Date,Open,High,Low,Close,Adj Close,Volume
2020-09-22,0.015356,0.016232,0.013655,0.014464,0.014464,39236436
2020-09-23,0.014465,0.017011,0.014243,0.014967,0.014967,71679505
2020-09-24,0.014967,0.015881,0.014787,0.015601,0.015601,30231671
2020-09-25,0.015636,0.018073,0.015620,0.016969,0.016969,98505463
2020-09-26,0.016981,0.017956,0.016903,0.017156,0.017156,96686630
2020-09-27,0.017156,0.017413,0.016731,0.017037,0.017037,130497512
2020-09-28,0.017037,0.019592,0.016949,0.017925,0.017925,4190587
2020-09-29,0.017925,0.019158,0.017406,0.018161,0.018161,3377708
2020-09-30,0.018146,0.018378,0.017670,0.017802,0.017802,2172278
2020-10-01,0.017802,0.018554,0.017481,0.017944,0.017944,6879792
2020-10-02,null,null,null,null,null,null
2020-10-03,null,null,null,null,null,null
2020-10-04,null,null,null,null,null,null
2020-10-05,0.015666,0.016021,0.015298,0.015853,0.015853,5114559
2020-10-06,0.015846,0.018000,0.015305,0.015511,0.015511,6324985
2020-10-07,0.015508,0.015530,0.013886,0.014079,0.014079,3569115
2020-10-08,0.014080,0.014304,0.013351,0.013865,0.013865,3845471
2020-10-09,0.013865,0.014419,0.013543,0.014017,0.014017,4316844
2020-10-10,0.013989,0.014759,0.013586,0.013733,0.013733,4197338
2020-10-11,0.013652,0.013947,0.013410,0.013845,0.013845,4538603
2020-10-12,0.013857,0.015668,0.013745,0.014569,0.014569,6464012
2020-10-13,0.014465,0.015307,0.013183,0.013455,0.013455,4589357
2020-10-14,0.013485,0.013486,0.011826,0.011972,0.011972,4730063
2020-10-15,0.011978,0.012165,0.011088,0.011912,0.011912,4461198
2020-10-16,0.011924,0.011924,0.010019,0.010259,0.010259,4136759
2020-10-17,0.010253,0.010358,0.009871,0.010092,0.010092,3997046
2020-10-18,0.010112,0.010483,0.009919,0.010457,0.010457,6436755
2020-10-19,0.010453,0.012551,0.009989,0.011384,0.011384,6969177
2020-10-20,0.011517,0.012137,0.009972,0.010380,0.010380,4610016
2020-10-21,0.010359,0.010869,0.009958,0.010216,0.010216,3459172
2020-10-22,0.010213,0.010772,0.010204,0.010276,0.010276,3523504
2020-10-23,0.010295,0.010775,0.009960,0.009981,0.009981,4991189
2020-10-24,0.009981,0.010131,0.009909,0.009979,0.009979,3158658
2020-10-25,0.009979,0.010696,0.009922,0.010348,0.010348,3598105
2020-10-26,0.010348,0.010448,0.010056,0.010099,0.010099,3380762
2020-10-27,0.010099,0.011647,0.010040,0.011574,0.011574,4559215
2020-10-28,0.011574,0.012192,0.010571,0.011179,0.011179,5181259
2020-10-29,0.011179,0.011691,0.010128,0.010174,0.010174,4078040
2020-10-30,0.010174,0.010395,0.007434,0.007833,0.007833,4447343
2020-10-31,0.007833,0.007930,0.006833,0.007201,0.007201,3383208
2020-11-01,0.007201,0.007410,0.006999,0.007407,0.007407,2810028
2020-11-02,0.007407,0.007560,0.006899,0.007025,0.007025,3190982
2020-11-03,0.007025,0.007025,0.006483,0.006692,0.006692,2952755
2020-11-04,0.006692,0.006794,0.006641,0.006667,0.006667,1878221
2020-11-05,0.006667,0.007018,0.006609,0.006647,0.006647,2057674
2020-11-06,0.006647,0.007712,0.006588,0.007695,0.007695,2330402
2020-11-07,0.007695,0.008477,0.007184,0.007209,0.007209,2585123
2020-11-08,0.007209,0.007450,0.007069,0.007296,0.007296,1639252
2020-11-09,0.007296,0.007903,0.007197,0.007702,0.007702,2039827
2020-11-10,0.007702,0.008001,0.007581,0.007778,0.007778,1949260
2020-11-11,0.007777,0.010947,0.007777,0.009613,0.009613,6517578
2020-11-12,0.009613,0.010340,0.008341,0.008835,0.008835,5302618
2020-11-13,0.008835,0.009495,0.008480,0.009105,0.009105,2959573
2020-11-14,0.009105,0.009386,0.008264,0.009007,0.009007,1593814
2020-11-15,0.009006,0.010040,0.008826,0.009243,0.009243,2951602
2020-11-16,0.009243,0.009919,0.008812,0.009390,0.009390,1209429
2020-11-17,0.009393,0.010216,0.009101,0.009776,0.009776,2434777
2020-11-18,0.009776,0.009852,0.008653,0.009122,0.009122,1416941
