Date,Open,High,Low,Close,Adj Close,Volume
2020-05-07,0.006125,0.006271,0.005612,0.005716,0.005716,3012299
2020-05-08,0.005709,0.005945,0.005635,0.005653,0.005653,1563215
2020-05-09,null,null,null,null,null,null
2020-05-10,null,null,null,null,null,null
2020-05-11,null,null,null,null,null,null
2020-05-12,null,null,null,null,null,null
2020-05-13,null,null,null,null,null,null
2020-05-14,null,null,null,null,null,null
2020-05-15,null,null,null,null,null,null
2020-05-16,0.005181,0.005302,0.005131,0.005250,0.005250,796794
2020-05-17,0.005253,0.005426,0.005115,0.005120,0.005120,1478868
2020-05-18,0.005119,0.006251,0.005113,0.005438,0.005438,4052166
2020-05-19,0.005438,0.005610,0.005321,0.005479,0.005479,3501807
2020-05-20,0.005489,0.005594,0.005257,0.005382,0.005382,3759813
2020-05-21,0.005352,0.005836,0.004997,0.005335,0.005335,3869229
2020-05-22,0.005333,0.005623,0.005261,0.005525,0.005525,2831031
2020-05-23,0.005522,0.005897,0.005515,0.005801,0.005801,3413212
2020-05-24,0.005786,0.005795,0.005217,0.005217,0.005217,3288430
2020-05-25,0.005222,0.005460,0.005183,0.005435,0.005435,3101718
2020-05-26,0.005441,0.005853,0.005408,0.005584,0.005584,3497554
2020-05-27,0.005584,0.005798,0.005479,0.005549,0.005549,3468547
2020-05-28,0.005546,0.005777,0.005493,0.005709,0.005709,2728937
2020-05-29,0.005706,0.006004,0.005698,0.005887,0.005887,3202966
2020-05-30,0.005928,0.006106,0.005780,0.006092,0.006092,3614643
2020-05-31,0.006092,0.006142,0.005792,0.005829,0.005829,2909966
2020-06-01,0.005829,0.006052,0.005811,0.005974,0.005974,2099264
2020-06-02,0.005999,0.006262,0.005640,0.005738,0.005738,3109075
2020-06-03,0.005738,0.005955,0.005629,0.005915,0.005915,1920903
2020-06-04,0.005915,0.006040,0.005864,0.005942,0.005942,1690333
2020-06-05,0.005944,0.006229,0.005827,0.005927,0.005927,1802462
2020-06-06,0.005927,0.006183,0.005886,0.005970,0.005970,2540272
2020-06-07,0.005970,0.006173,0.005844,0.006053,0.006053,3056774
2020-06-08,0.006049,0.006141,0.005997,0.006131,0.006131,2730871
2020-06-09,0.006127,0.006486,0.006056,0.006303,0.006303,3099883
2020-06-10,0.006309,0.006609,0.006223,0.006505,0.006505,4851398
2020-06-11,null,null,null,null,null,null
2020-06-12,null,null,null,null,null,null
2020-06-13,null,null,null,null,null,null
2020-06-14,0.006801,0.006816,0.006536,0.006603,0.006603,4526549
2020-06-15,0.006603,0.006716,0.005989,0.006638,0.006638,5440455
2020-06-16,0.006642,0.007143,0.006552,0.007136,0.007136,5167634
2020-06-17,0.007133,0.007473,0.006994,0.007399,0.007399,4517243
2020-06-18,0.007399,0.007399,0.007007,0.007295,0.007295,6951651
2020-06-19,0.007298,0.008423,0.007195,0.007500,0.007500,8102446
2020-06-20,null,null,null,null,null,null
2020-06-21,0.008255,0.008263,0.007306,0.007382,0.007382,7427684
2020-06-22,null,null,null,null,null,null
2020-06-23,0.007483,0.007567,0.007100,0.007283,0.007283,6947550
2020-06-24,0.007286,0.007356,0.006683,0.006693,0.006693,3922347
2020-06-25,0.006687,0.007014,0.006459,0.006780,0.006780,5114627
2020-06-26,0.006777,0.006803,0.006348,0.006529,0.006529,5066529
2020-06-27,null,null,null,null,null,null
2020-06-28,0.006074,0.006450,0.006003,0.006177,0.006177,6132982
2020-06-29,0.006177,0.006420,0.006090,0.006363,0.006363,4245814
2020-06-30,0.006358,0.006734,0.006327,0.006722,0.006722,6179623
2020-07-01,0.006718,0.006741,0.006367,0.006478,0.006478,5539628
2020-07-02,0.006479,0.006580,0.006192,0.006444,0.006444,4556684
2020-07-03,0.006445,0.006682,0.006399,0.006604,0.006604,7461951
2020-07-04,0.006614,0.007428,0.006579,0.007074,0.007074,7686547
2020-07-05,0.007078,0.007290,0.006656,0.006820,0.006820,7732768
2020-07-06,0.006820,0.007065,0.006706,0.007000,0.007000,6789382
2020-07-07,0.006992,0.007049,0.006649,0.006742,0.006742,7624600
2020-07-08,0.006741,0.006780,0.006439,0.006701,0.006701,4690280
2020-07-09,0.006701,0.006783,0.006510,0.006745,0.006745,7725048
2020-07-10,0.006741,0.007078,0.006741,0.006925,0.006925,5382509
2020-07-11,0.006930,0.007372,0.006865,0.007188,0.007188,6321682
2020-07-12,0.007189,0.007489,0.007004,0.007291,0.007291,5735031
2020-07-13,0.007291,0.007904,0.007112,0.007660,0.007660,6483891
2020-07-14,0.007665,0.007828,0.007357,0.007791,0.007791,6561377
2020-07-15,0.007841,0.007871,0.007258,0.007339,0.007339,5688019
2020-07-16,0.007340,0.007385,0.006964,0.007320,0.007320,6268579
2020-07-17,0.007317,0.007723,0.007219,0.007638,0.007638,6999655
2020-07-18,0.007645,0.007664,0.007386,0.007572,0.007572,6933862
2020-07-19,0.007569,0.007637,0.007348,0.007618,0.007618,9636532
2020-07-20,0.007618,0.010047,0.007618,0.009590,0.009590,16226312
2020-07-21,0.009579,0.009579,0.008096,0.008583,0.008583,12985686
2020-07-22,0.008583,0.008598,0.008122,0.008311,0.008311,10648530
2020-07-23,0.008311,0.008336,0.008116,0.008195,0.008195,10091388
2020-07-24,0.008189,0.008273,0.007976,0.008175,0.008175,7273253
2020-07-25,0.008179,0.008223,0.007915,0.007937,0.007937,8430297
2020-07-26,0.007928,0.008501,0.007792,0.008175,0.008175,19923584
2020-07-27,0.008173,0.008352,0.007644,0.007922,0.007922,7719093
2020-07-28,0.007920,0.008317,0.007886,0.008103,0.008103,10096555
2020-07-29,0.008099,0.008122,0.007977,0.008031,0.008031,6798153
2020-07-30,0.008028,0.009199,0.007890,0.008468,0.008468,10052132
2020-07-31,0.008474,0.008936,0.008251,0.008606,0.008606,7279731
2020-08-01,0.008606,0.008910,0.008354,0.008735,0.008735,7822182
2020-08-02,0.008744,0.009387,0.008202,0.008948,0.008948,10401166
2020-08-03,0.008941,0.009119,0.008663,0.008855,0.008855,3839026
2020-08-04,0.008854,0.009164,0.008770,0.008978,0.008978,3139275
2020-08-05,0.009008,0.009459,0.008836,0.008984,0.008984,8729839
2020-08-06,0.008980,0.009332,0.008863,0.008988,0.008988,6984236
2020-08-07,0.008985,0.009221,0.008838,0.008954,0.008954,9764013
2020-08-08,0.008973,0.009259,0.008910,0.009130,0.009130,12105131
2020-08-09,0.009119,0.009190,0.008889,0.008966,0.008966,10402734
2020-08-10,0.009009,0.009638,0.008678,0.009138,0.009138,13265102
2020-08-11,0.009152,0.011527,0.008750,0.009368,0.009368,9296635
2020-08-12,0.009392,0.009760,0.008857,0.009011,0.009011,7760375
2020-08-13,0.009023,0.009270,0.008911,0.009059,0.009059,9469370
2020-08-14,0.009057,0.009341,0.008936,0.009037,0.009037,8282144
2020-08-15,0.009013,0.009416,0.008952,0.009186,0.009186,8637710
2020-08-16,0.009185,0.009926,0.008969,0.009107,0.009107,7914058
2020-08-17,0.009107,0.009454,0.009058,0.009080,0.009080,3343034
2020-08-18,0.009086,0.009267,0.008967,0.009156,0.009156,15483008
2020-08-19,0.009156,0.009502,0.008936,0.009017,0.009017,9676920
2020-08-20,0.009033,0.009149,0.008894,0.009146,0.009146,8681711
2020-08-21,0.009146,0.010344,0.009108,0.009226,0.009226,10558988
2020-08-22,0.009211,0.009633,0.008956,0.009195,0.009195,13909322
2020-08-23,0.009233,0.009870,0.009180,0.009615,0.009615,9199895
2020-08-24,0.009615,0.010263,0.009226,0.009993,0.009993,17690538
2020-08-25,0.010005,0.010633,0.009399,0.010572,0.010572,10009037
2020-08-26,0.010573,0.017805,0.010475,0.016361,0.016361,13696984
2020-08-27,0.016481,0.027752,0.016481,0.019118,0.019118,36030839
2020-08-28,0.019017,0.019377,0.014507,0.015846,0.015846,11752106
2020-08-29,0.015822,0.019915,0.015354,0.015408,0.015408,9394691
2020-08-30,0.015413,0.018056,0.015047,0.016259,0.016259,6653416
2020-08-31,0.016221,0.016437,0.015467,0.015467,0.015467,3358675
2020-09-01,0.015481,0.015507,0.014601,0.014614,0.014614,3611155
2020-09-02,0.014606,0.014643,0.012292,0.013170,0.013170,3278187
2020-09-03,0.013187,0.014332,0.009708,0.009738,0.009738,3267720
2020-09-04,0.009727,0.010788,0.009125,0.010358,0.010358,2487070
2020-09-05,0.010349,0.010684,0.008407,0.008596,0.008596,1822591
2020-09-06,0.008596,0.010337,0.008355,0.009411,0.009411,1811119
2020-09-07,0.009393,0.009727,0.008293,0.009161,0.009161,1645271
2020-09-08,0.009156,0.009194,0.008494,0.008671,0.008671,1256300
2020-09-09,0.008713,0.009806,0.008621,0.009361,0.009361,1845779
2020-09-10,0.009342,0.013180,0.009245,0.012331,0.012331,4850722
2020-09-11,0.012331,0.012557,0.010610,0.010770,0.010770,3583059
2020-09-12,0.010770,0.011629,0.010501,0.010887,0.010887,2105711
2020-09-13,0.010887,0.011172,0.009348,0.010226,0.010226,11112387
2020-09-14,0.010186,0.010968,0.009583,0.010621,0.010621,5700405
2020-09-15,0.010611,0.010879,0.009403,0.009659,0.009659,8381507
2020-09-16,0.009646,0.009854,0.009041,0.009650,0.009650,7647261
2020-09-17,0.009734,0.009976,0.009257,0.009575,0.009575,4332407
2020-09-18,0.009575,0.009766,0.009229,0.009346,0.009346,3869353
2020-09-19,0.009342,0.009871,0.009334,0.009797,0.009797,7877927
2020-09-20,0.009798,0.009812,0.009080,0.009382,0.009382,4841555
2020-09-21,0.009379,0.009401,0.008098,0.008343,0.008343,3583119
2020-09-22,0.008341,0.009318,0.008285,0.008777,0.008777,6416733
2020-09-23,0.008777,0.008971,0.008224,0.008233,0.008233,5291604
2020-09-24,0.008239,0.009490,0.008151,0.008981,0.008981,2627661
2020-09-25,0.008983,0.009651,0.008807,0.009271,0.009271,5819102
2020-09-26,0.009266,0.009561,0.009212,0.009253,0.009253,1804149
2020-09-27,0.009247,0.009384,0.008685,0.008922,0.008922,9396287
2020-09-28,0.008922,0.009248,0.008790,0.008790,0.008790,1889967
2020-09-29,0.008792,0.009053,0.008726,0.008932,0.008932,9488700
2020-09-30,0.008945,0.009203,0.008732,0.009194,0.009194,8943732
2020-10-01,0.009194,0.009255,0.008633,0.008738,0.008738,14827482
2020-10-02,0.008750,0.009323,0.008158,0.008285,0.008285,10234845
2020-10-03,0.008285,0.008560,0.008231,0.008308,0.008308,7130344
2020-10-04,0.008308,0.008508,0.008239,0.008463,0.008463,7512489
2020-10-05,0.008456,0.008538,0.008184,0.008213,0.008213,5099292
