Date,Open,High,Low,Close,Adj Close,Volume
2020-05-07,0.826877,0.860467,0.778928,0.851912,0.851912,3281153
2020-05-08,0.849328,0.915447,0.835019,0.900970,0.900970,2887638
2020-05-09,null,null,null,null,null,null
2020-05-10,null,null,null,null,null,null
2020-05-11,null,null,null,null,null,null
2020-05-12,null,null,null,null,null,null
2020-05-13,null,null,null,null,null,null
2020-05-14,null,null,null,null,null,null
2020-05-15,null,null,null,null,null,null
2020-05-16,1.056987,1.087641,0.992212,1.011647,1.011647,2396169
2020-05-17,1.011647,1.033615,0.968493,1.004985,1.004985,2314333
2020-05-18,1.010002,1.047615,0.996756,1.034178,1.034178,2627049
2020-05-19,1.033775,1.052845,1.001782,1.024565,1.024565,2512091
2020-05-20,1.024322,1.057933,0.970255,0.972119,0.972119,2111509
2020-05-21,0.972151,1.020896,0.934505,0.950786,0.950786,1851658
2020-05-22,0.949314,0.951979,0.914485,0.935316,0.935316,1716612
2020-05-23,0.935656,0.951888,0.906426,0.911865,0.911865,1863081
2020-05-24,0.911983,0.916230,0.786878,0.787531,0.787531,1953197
2020-05-25,0.785944,0.848651,0.781646,0.798705,0.798705,1954013
2020-05-26,0.798078,0.823581,0.793123,0.819678,0.819678,1937518
2020-05-27,0.819678,0.901290,0.801479,0.816754,0.816754,2101919
2020-05-28,0.816007,0.882816,0.777215,0.845272,0.845272,1896999
2020-05-29,0.845395,0.985438,0.736023,0.767371,0.767371,1789312
2020-05-30,0.767128,0.975463,0.758809,0.813094,0.813094,1410788
2020-05-31,0.813094,0.878711,0.769901,0.842385,0.842385,1048516
2020-06-01,0.842402,0.874293,0.806041,0.872006,0.872006,1187030
2020-06-02,0.872372,0.901829,0.819718,0.837255,0.837255,1250474
2020-06-03,0.837358,0.857435,0.814878,0.853803,0.853803,1278903
2020-06-04,0.853617,0.885667,0.839198,0.880823,0.880823,1276427
2020-06-05,0.880854,0.903055,0.878137,0.888766,0.888766,1482185
2020-06-06,0.888766,0.895026,0.863416,0.871050,0.871050,1697423
2020-06-07,0.871017,0.877771,0.828020,0.852657,0.852657,1398980
2020-06-08,0.852791,0.888400,0.817668,0.827261,0.827261,978980
2020-06-09,0.826810,0.860597,0.817052,0.855098,0.855098,928631
2020-06-10,0.855228,0.869186,0.851075,0.865832,0.865832,968854
2020-06-11,null,null,null,null,null,null
2020-06-12,null,null,null,null,null,null
2020-06-13,null,null,null,null,null,null
2020-06-14,0.821656,0.829653,0.806155,0.813791,0.813791,1145917
2020-06-15,0.813791,0.828149,0.774214,0.813307,0.813307,1148674
2020-06-16,0.813435,0.824700,0.796150,0.804702,0.804702,1160439
2020-06-17,0.805067,0.816435,0.792400,0.803652,0.803652,1091315
2020-06-18,0.803637,0.815534,0.797376,0.811492,0.811492,1134547
2020-06-19,0.810932,0.818575,0.797055,0.799644,0.799644,1153756
2020-06-20,null,null,null,null,null,null
2020-06-21,0.798712,0.813185,0.790993,0.790993,0.790993,1273360
2020-06-22,null,null,null,null,null,null
2020-06-23,0.817621,0.823339,0.786285,0.806174,0.806174,1507346
2020-06-24,0.806566,0.811265,0.771039,0.772605,0.772605,1234545
2020-06-25,0.772785,0.773853,0.727838,0.730615,0.730615,1451467
2020-06-26,0.730449,0.755454,0.727055,0.744772,0.744772,1411793
2020-06-27,null,null,null,null,null,null
2020-06-28,0.739507,0.805655,0.734980,0.793083,0.793083,1422091
2020-06-29,0.793083,0.798245,0.749707,0.766745,0.766745,1493628
2020-06-30,0.765827,0.781079,0.755626,0.775349,0.775349,1601235
2020-07-01,0.775351,0.780571,0.753916,0.756340,0.756340,1254236
2020-07-02,0.756791,0.768053,0.740225,0.749059,0.749059,1506231
2020-07-03,0.749342,0.750895,0.684717,0.693179,0.693179,1825293
2020-07-04,0.693003,0.702845,0.686473,0.696628,0.696628,1920309
2020-07-05,0.699881,0.708287,0.688974,0.704055,0.704055,1815928
2020-07-06,0.704055,0.731687,0.693561,0.724010,0.724010,2520821
2020-07-07,0.724350,0.738398,0.721560,0.728913,0.728913,3575853
2020-07-08,0.729209,0.809787,0.728162,0.762533,0.762533,4743041
2020-07-09,0.762533,0.808759,0.731592,0.741517,0.741517,4718693
2020-07-10,0.741946,0.768169,0.708253,0.752452,0.752452,4960430
2020-07-11,0.755966,0.768258,0.719759,0.727314,0.727314,4781036
2020-07-12,0.727422,0.748130,0.714406,0.741432,0.741432,4868032
2020-07-13,0.741432,0.744934,0.703851,0.721301,0.721301,4598647
2020-07-14,0.719136,0.726571,0.693376,0.706037,0.706037,4030386
2020-07-15,0.707062,0.722492,0.676217,0.691605,0.691605,3625302
2020-07-16,0.689993,0.706011,0.655568,0.658750,0.658750,3388711
2020-07-17,0.658813,0.682988,0.655561,0.658841,0.658841,3122603
2020-07-18,0.658912,0.706599,0.611868,0.621502,0.621502,3055037
2020-07-19,0.622082,0.705932,0.596433,0.618364,0.618364,2317537
2020-07-20,0.618066,0.624239,0.551976,0.564535,0.564535,2559071
