Date,Open,High,Low,Close,Adj Close,Volume
2017-07-01,0.208817,0.271452,0.208330,0.260906,0.260906,133463
2017-07-02,0.262163,0.724759,0.222019,0.242485,0.242485,377683
2017-07-03,0.247353,0.737128,0.220921,0.259102,0.259102,427326
2017-07-04,0.257325,0.657574,0.253169,0.451188,0.451188,393598
2017-07-05,0.455168,0.907311,0.280563,0.302455,0.302455,568221
2017-07-06,0.311825,0.373191,0.269236,0.324730,0.324730,942716
2017-07-07,0.321671,0.353001,0.214676,0.217618,0.217618,1029640
2017-07-08,0.217880,0.227558,0.205322,0.224342,0.224342,205108
2017-07-09,0.224153,0.236862,0.194197,0.212932,0.212932,172876
2017-07-10,0.213034,0.404426,0.143410,0.171776,0.171776,1134980
2017-07-11,0.159293,0.168085,0.125054,0.162040,0.162040,764263
2017-07-12,0.223723,0.297901,0.151162,0.258630,0.258630,4081030
2017-07-13,0.256522,0.261054,0.189495,0.202064,0.202064,1449570
2017-07-14,0.202192,0.205801,0.145334,0.160398,0.160398,605020
2017-07-15,0.160290,0.160350,0.121833,0.124374,0.124374,324099
2017-07-16,0.122201,0.164629,0.095992,0.111695,0.111695,254956
2017-07-17,0.111328,0.146788,0.104489,0.126279,0.126279,282653
2017-07-18,0.127538,0.149463,0.122386,0.137497,0.137497,385193
2017-07-19,0.138663,0.146624,0.111466,0.113893,0.113893,446199
2017-07-20,0.115164,0.141582,0.115164,0.129597,0.129597,561050
2017-07-21,0.130580,0.148012,0.122361,0.128791,0.128791,391093
2017-07-22,0.128800,0.134703,0.122077,0.133358,0.133358,871195
2017-07-23,0.133750,0.164265,0.133607,0.153683,0.153683,1189210
2017-07-24,0.153232,0.179486,0.141494,0.147165,0.147165,1468460
2017-07-25,0.147329,0.148568,0.118900,0.135612,0.135612,1529520
2017-07-26,0.135097,0.137353,0.125285,0.134191,0.134191,1505400
2017-07-27,0.134823,0.146423,0.113943,0.121514,0.121514,1471990
2017-07-28,0.122736,0.130887,0.114624,0.121581,0.121581,1512420
2017-07-29,0.122391,0.147270,0.122391,0.141717,0.141717,1302360
2017-07-30,0.140347,0.143713,0.121342,0.128580,0.128580,1219330
2017-07-31,0.129008,0.131730,0.116113,0.123977,0.123977,1412530
2017-08-01,0.124052,0.136044,0.112210,0.133907,0.133907,1535080
2017-08-02,0.133605,0.134966,0.115308,0.120383,0.120383,1096110
2017-08-03,0.120204,0.154295,0.118379,0.137291,0.137291,1382690
2017-08-04,0.137902,0.141185,0.129936,0.139854,0.139854,1361660
2017-08-05,0.139790,0.171425,0.129213,0.144355,0.144355,1475580
2017-08-06,0.139310,0.155793,0.132612,0.151185,0.151185,1791400
2017-08-07,0.150754,0.161068,0.137168,0.148819,0.148819,2222290
2017-08-08,0.148634,0.173856,0.144026,0.159967,0.159967,2083480
2017-08-09,0.159587,0.161683,0.133213,0.152787,0.152787,2112490
2017-08-10,0.152520,0.179733,0.125673,0.174703,0.174703,2235250
2017-08-11,0.174981,0.774140,0.174981,0.660034,0.660034,30867700
2017-08-12,0.657810,0.723489,0.394095,0.461283,0.461283,10770900
2017-08-13,0.440625,0.475615,0.341019,0.405689,0.405689,3986560
2017-08-14,0.406572,0.475380,0.348478,0.353736,0.353736,3911320
2017-08-15,0.355506,0.940830,0.323415,0.853739,0.853739,21601800
2017-08-16,0.862125,1.598450,0.650087,1.405570,1.405570,38982600
2017-08-17,1.444760,2.503780,1.300220,2.139320,2.139320,88806096
2017-08-18,2.133100,2.218560,0.968280,1.461370,1.461370,42498900
2017-08-19,1.436730,1.743600,1.130260,1.678160,1.678160,23263000
2017-08-20,1.662330,1.700980,1.333960,1.445480,1.445480,14612500
2017-08-21,1.438960,1.446710,1.166150,1.189960,1.189960,11011800
2017-08-22,1.187680,1.213580,0.977318,1.106400,1.106400,8421890
2017-08-23,1.102940,1.182430,1.017710,1.066260,1.066260,8360730
2017-08-24,1.063670,1.350960,1.040040,1.191590,1.191590,14575800
2017-08-25,1.191590,1.248710,1.119180,1.158910,1.158910,6184660
2017-08-26,1.172780,1.286650,1.135030,1.276970,1.276970,8243890
2017-08-27,1.280750,1.608150,1.220160,1.382480,1.382480,16080300
2017-08-28,1.382870,1.481060,1.292590,1.380800,1.380800,9572380
2017-08-29,1.387280,1.408160,1.159040,1.238890,1.238890,13836500
2017-08-30,1.233680,1.279830,1.070560,1.170060,1.170060,8069200
2017-08-31,1.168080,1.176740,1.018510,1.096870,1.096870,8413170
2017-09-01,1.083520,1.119370,1.012480,1.040420,1.040420,6220460
2017-09-02,1.047160,1.055220,0.854762,0.881874,0.881874,4069400
2017-09-03,0.882956,0.996112,0.842723,0.864491,0.864491,3571450
2017-09-04,0.864829,0.864969,0.578446,0.686685,0.686685,5156370
2017-09-05,0.689169,0.820494,0.588386,0.783151,0.783151,3036330
2017-09-06,0.778511,1.106960,0.778511,1.106960,1.106960,11213900
2017-09-07,1.085180,1.085180,0.928414,0.971609,0.971609,6205590
2017-09-08,0.981928,1.004220,0.760726,0.832318,0.832318,4477380
2017-09-09,0.827881,0.915675,0.793826,0.875417,0.875417,2532350
2017-09-10,0.875929,0.875929,0.708473,0.779447,0.779447,2565490
2017-09-11,0.781547,0.811815,0.722585,0.734564,0.734564,2155310
2017-09-12,0.731420,0.764164,0.637736,0.666195,0.666195,2585580
2017-09-13,0.667889,0.673450,0.553991,0.629686,0.629686,2608050
2017-09-14,0.630202,0.717230,0.491460,0.509518,0.509518,3203330
2017-09-15,0.516479,0.655689,0.401126,0.617087,0.617087,2731580
2017-09-16,0.615379,0.647804,0.544459,0.587328,0.587328,1873380
2017-09-17,0.587843,0.597576,0.538685,0.574191,0.574191,1362140
2017-09-18,0.572319,0.680202,0.572319,0.667238,0.667238,2951370
2017-09-19,0.676063,0.676063,0.576540,0.582298,0.582298,1995840
2017-09-20,0.582291,0.595122,0.549435,0.566348,0.566348,1942310
2017-09-21,0.569059,0.572373,0.463280,0.473050,0.473050,1679510
2017-09-22,0.472979,0.539747,0.443777,0.491530,0.491530,2271000
2017-09-23,0.498371,0.617749,0.485834,0.604678,0.604678,3208330
2017-09-24,0.609461,0.644247,0.576741,0.620278,0.620278,2712160
2017-09-25,0.615550,0.642011,0.592135,0.614598,0.614598,2558520
2017-09-26,0.615448,0.644948,0.599703,0.605894,0.605894,2129550
2017-09-27,0.605987,1.091470,0.588189,0.961871,0.961871,18142500
2017-09-28,0.969106,1.134780,0.868685,1.019560,1.019560,16372200
2017-09-29,1.019400,1.090480,0.884379,1.080720,1.080720,5947840
2017-09-30,1.072330,1.437210,1.059030,1.435430,1.435430,14455300
2017-10-01,1.455560,1.470040,1.200920,1.301070,1.301070,12582500
2017-10-02,1.296080,1.355150,1.136330,1.282750,1.282750,8945760
2017-10-03,1.288840,1.337360,1.194490,1.249590,1.249590,6940770
2017-10-04,1.249110,1.390690,1.236760,1.320750,1.320750,8616460
2017-10-05,1.322800,1.326250,1.153860,1.167170,1.167170,5003370
2017-10-06,1.174670,1.330420,1.165220,1.240070,1.240070,3578170
2017-10-07,1.238840,1.242990,1.149000,1.197990,1.197990,3700430
2017-10-08,1.196930,1.196930,0.944747,0.985107,0.985107,7091540
2017-10-09,0.990997,1.020060,0.831455,0.914483,0.914483,5446200
2017-10-10,0.902384,1.055940,0.866137,1.026470,1.026470,4327210
2017-10-11,1.017250,1.044630,0.960728,0.971641,0.971641,3645430
2017-10-12,0.981009,0.993701,0.886798,0.886798,0.886798,3678350
2017-10-13,0.879211,0.952933,0.789382,0.888873,0.888873,5573790
2017-10-14,0.882489,0.907105,0.847015,0.881632,0.881632,2525400
2017-10-15,0.875995,0.938384,0.824255,0.884798,0.884798,2759130
2017-10-16,0.878831,0.979592,0.814434,0.898316,0.898316,3577870
2017-10-17,0.897589,0.929085,0.837598,0.879825,0.879825,3182320
2017-10-18,0.878476,0.879313,0.768051,0.848033,0.848033,3108220
2017-10-19,0.850887,0.867449,0.812151,0.832585,0.832585,2341480
2017-10-20,0.832897,0.853469,0.788798,0.789866,0.789866,2255950
2017-10-21,0.790683,0.832387,0.728693,0.809054,0.809054,2693060
2017-10-22,0.807331,0.862100,0.765778,0.789952,0.789952,2751820
2017-10-23,0.792237,0.876906,0.743134,0.853424,0.853424,3317990
2017-10-24,0.857386,1.208840,0.835310,1.056690,1.056690,15641800
2017-10-25,1.061130,1.075530,0.952496,0.999799,0.999799,5574300
2017-10-26,1.009200,1.067620,0.932574,0.988560,0.988560,4546190
2017-10-27,0.971506,1.023470,0.939323,0.965103,0.965103,2416100
2017-10-28,0.954649,1.000460,0.894176,0.935171,0.935171,2990510
2017-10-29,0.933451,1.065760,0.903158,0.918054,0.918054,5954300
2017-10-30,0.921468,0.963591,0.905711,0.936099,0.936099,2280440
2017-10-31,0.936587,0.969767,0.860653,0.871318,0.871318,3240020
2017-11-01,0.866628,0.900129,0.772378,0.780351,0.780351,2989020
2017-11-02,0.779552,0.814971,0.691998,0.745155,0.745155,4453620
2017-11-03,0.746437,0.811693,0.733046,0.810074,0.810074,2831380
2017-11-04,0.813813,0.821541,0.784925,0.793721,0.793721,1995290
2017-11-05,0.793049,0.839011,0.783318,0.833161,0.833161,1299980
2017-11-06,0.831117,0.986494,0.813871,0.917470,0.917470,4295590
2017-11-07,0.915355,0.990813,0.860579,0.898757,0.898757,2752310
2017-11-08,0.879067,1.119450,0.866523,1.045120,1.045120,6412960
2017-11-09,1.047630,1.165310,1.012660,1.095810,1.095810,4060900
2017-11-10,1.092850,1.104350,0.866143,0.931845,0.931845,3879040
2017-11-11,0.918452,0.981627,0.883363,0.941545,0.941545,2072460
2017-11-12,0.939740,0.939740,0.748754,0.805635,0.805635,2607520
2017-11-13,0.818738,0.966776,0.811363,0.918868,0.918868,2649800
2017-11-14,0.921497,1.049120,0.920225,1.006220,1.006220,3154220
2017-11-15,1.007800,1.019860,0.960851,0.994325,0.994325,2701960
2017-11-16,0.998650,1.062120,0.897352,0.897352,0.897352,3547970
2017-11-17,0.892038,1.102460,0.892038,1.070350,1.070350,3693340
2017-11-18,1.060790,1.108110,0.966683,1.024090,1.024090,3322900
2017-11-19,1.019180,1.077940,0.975233,1.015740,1.015740,2608010
2017-11-20,1.015130,1.042050,0.988009,1.023120,1.023120,2431960
2017-11-21,1.020790,1.183800,0.914694,1.042060,1.042060,6906140
2017-11-22,1.054180,1.133460,1.013850,1.077100,1.077100,3929450
2017-11-23,1.078470,1.078630,1.033100,1.038970,1.038970,2166060
2017-11-24,1.033180,1.049050,0.998316,1.032480,1.032480,2331440
2017-11-25,1.027470,1.127640,1.023470,1.111420,1.111420,2660870
2017-11-26,1.107060,1.204070,1.097500,1.196630,1.196630,3733660
2017-11-27,1.197220,1.293550,1.186140,1.257370,1.257370,4543970
2017-11-28,1.263220,1.297360,1.230440,1.289760,1.289760,4175400
2017-11-29,1.288570,1.596400,0.982768,1.009290,1.009290,23795200
2017-11-30,1.027740,1.233260,0.923308,1.100120,1.100120,12562100
2017-12-01,1.103170,1.267380,1.042070,1.196940,1.196940,7618920
2017-12-02,1.196610,1.220160,1.155490,1.169220,1.169220,5306500
2017-12-03,1.174690,1.383150,1.153290,1.260460,1.260460,8490420
2017-12-04,1.259510,1.510360,1.254460,1.510360,1.510360,13870300
2017-12-05,1.526340,1.527430,1.409000,1.409000,1.409000,8337730
2017-12-06,1.405050,1.489590,1.288220,1.433680,1.433680,11963900
2017-12-07,1.427560,1.438460,1.035790,1.074710,1.074710,12563200
2017-12-08,1.141300,1.218170,0.994353,1.126110,1.126110,9408580
2017-12-09,1.120380,1.320950,1.090050,1.194290,1.194290,8378130
2017-12-10,1.200100,1.200100,0.983296,1.080460,1.080460,4920540
2017-12-11,1.092710,1.173530,1.041190,1.126430,1.126430,6932610
2017-12-12,1.126580,1.299770,1.082120,1.189760,1.189760,10075700
2017-12-13,1.192440,1.316470,1.173660,1.246280,1.246280,9627110
2017-12-14,1.241820,1.299410,1.195960,1.299410,1.299410,9399770
2017-12-15,1.303120,1.393900,1.120640,1.273280,1.273280,13654800
2017-12-16,1.270590,1.450990,1.256490,1.359500,1.359500,13204200
2017-12-17,1.364190,1.756050,1.360760,1.606430,1.606430,18667700
2017-12-18,1.611130,1.834790,1.528130,1.743040,1.743040,19337500
2017-12-19,1.757450,1.939880,1.629730,1.810600,1.810600,20053700
2017-12-20,1.816450,1.816450,1.548840,1.679630,1.679630,13529800
2017-12-21,1.684680,2.127900,1.641520,1.937120,1.937120,23406900
2017-12-22,1.942990,2.177790,1.146500,1.629380,1.629380,26645400
2017-12-23,1.651120,2.099490,1.600410,1.961020,1.961020,19488900
2017-12-24,1.962280,2.119200,1.657640,2.042830,2.042830,26598800
2017-12-25,2.052030,2.703450,2.004650,2.487060,2.487060,41450500
2017-12-26,2.492830,3.260990,2.149620,3.051160,3.051160,56180000
2017-12-27,3.046950,3.647340,2.803200,3.064170,3.064170,55727900
2017-12-28,3.056710,3.151450,2.470830,2.750170,2.750170,33506600
2017-12-29,2.770830,3.093860,2.669920,2.702330,2.702330,28072700
2017-12-30,2.698680,2.698680,2.156380,2.369470,2.369470,19934400
2017-12-31,2.344350,2.896310,2.339650,2.789370,2.789370,26397700
2018-01-01,2.783710,3.133670,2.689190,3.108800,3.108800,23767100
2018-01-02,3.108130,3.443410,2.630550,2.951540,2.951540,36135500
2018-01-03,2.944270,3.058130,2.702090,2.857800,2.857800,25733700
2018-01-04,2.862340,3.002620,2.698600,2.855360,2.855360,23354700
2018-01-05,2.841790,2.889610,2.430100,2.469100,2.469100,22429900
2018-01-06,2.490450,3.024420,2.427010,2.860840,2.860840,22305400
2018-01-07,2.871130,3.708280,2.847180,3.153380,3.153380,38353500
2018-01-08,3.141330,3.304630,2.515590,3.253850,3.253850,25823900
2018-01-09,3.243790,3.460680,3.053600,3.270850,3.270850,23302700
2018-01-10,3.252510,3.272760,2.729970,2.980050,2.980050,14378900
2018-01-11,3.003050,3.013950,2.356570,2.624960,2.624960,14129300
2018-01-12,2.657410,3.009300,2.532430,2.874850,2.874850,11521500
2018-01-13,2.874150,2.956730,2.805560,2.868010,2.868010,10755300
2018-01-14,2.861090,2.950100,2.501190,2.688430,2.688430,11545000
2018-01-15,2.686040,2.825420,2.525970,2.525970,2.525970,12037100
2018-01-16,2.533960,2.533960,1.501780,1.798570,1.798570,11549000
2018-01-17,1.804530,1.921130,1.356200,1.789220,1.789220,9832010
2018-01-18,1.797370,2.213850,1.776760,1.963740,1.963740,14404300
2018-01-19,1.939620,2.297370,1.879010,2.252060,2.252060,16273200
2018-01-20,2.271880,2.505920,2.271880,2.349750,2.349750,16574900
2018-01-21,2.353780,2.353780,1.885080,1.929340,1.929340,11707100
2018-01-22,1.964740,2.094800,1.700340,1.820240,1.820240,12774000
2018-01-23,1.817800,1.951540,1.692420,1.845320,1.845320,11438100
2018-01-24,1.829040,2.008910,1.783430,1.955290,1.955290,12855800
2018-01-25,1.976630,2.090470,1.881380,1.939610,1.939610,17389600
2018-01-26,1.935440,1.986920,1.736950,1.967680,1.967680,15676900
2018-01-27,1.968290,2.070510,1.929460,2.039860,2.039860,14667100
2018-01-28,2.048200,2.168180,1.976300,1.980300,1.980300,17564500
2018-01-29,1.983760,2.002840,1.854880,1.916200,1.916200,16510500
2018-01-30,1.918020,1.930180,1.621530,1.641430,1.641430,18580600
2018-01-31,1.643250,1.773850,1.531250,1.674950,1.674950,26143800
2018-02-01,1.679350,1.715460,1.301530,1.424800,1.424800,23036900
2018-02-02,1.417490,1.421590,0.991169,1.308040,1.308040,17502900
2018-02-03,1.311870,1.433440,1.171780,1.389080,1.389080,17996200
2018-02-04,1.389640,1.430670,1.121800,1.192950,1.192950,13094800
2018-02-05,1.179340,1.202780,0.869224,0.909776,0.909776,8809600
2018-02-06,0.915340,1.089430,0.727344,1.067130,1.067130,12056000
2018-02-07,1.060960,1.233400,0.964062,1.068110,1.068110,14390400
2018-02-08,1.064510,1.210810,1.064510,1.128970,1.128970,14943500
2018-02-09,1.131610,1.239630,1.066890,1.224450,1.224450,10350900
2018-02-10,1.225900,1.457880,1.220590,1.457880,1.457880,21131200
2018-02-11,1.478370,1.478370,1.184820,1.220390,1.220390,18331700
2018-02-12,1.227940,1.315280,1.227940,1.300200,1.300200,13451800
2018-02-13,1.302570,1.304790,1.208630,1.221160,1.221160,13668400
2018-02-14,1.218420,1.437860,1.218420,1.372150,1.372150,15995700
2018-02-15,1.363970,1.429090,1.307740,1.404850,1.404850,15415500
2018-02-16,1.405470,1.457220,1.350730,1.453580,1.453580,14756400
2018-02-17,1.455890,1.565900,1.440660,1.543580,1.543580,15634400
2018-02-18,1.546490,1.552900,1.367530,1.387060,1.387060,15231200
2018-02-19,1.372860,1.890930,1.363940,1.890930,1.890930,32097300
2018-02-20,1.881900,1.922950,1.580150,1.591860,1.591860,30972100
2018-02-21,1.572420,1.662870,1.419010,1.449970,1.449970,16840200
2018-02-22,1.449650,1.538640,1.303740,1.335410,1.335410,14579700
2018-02-23,1.335720,1.630850,1.280840,1.496340,1.496340,19943700
2018-02-24,1.496460,1.594690,1.394690,1.475400,1.475400,15629000
2018-02-25,1.473250,1.596880,1.448050,1.551310,1.551310,20101700
2018-02-26,1.557130,1.629300,1.424800,1.450550,1.450550,17952900
2018-02-27,1.454670,1.469560,1.388770,1.411770,1.411770,14931700
2018-02-28,1.408890,1.484640,1.271380,1.271380,1.271380,16627600
2018-03-01,1.271870,1.356910,1.256670,1.302210,1.302210,17882600
2018-03-02,1.300180,1.300180,1.236540,1.289380,1.289380,16178500
2018-03-03,1.284830,1.305880,1.262370,1.281980,1.281980,15451700
2018-03-04,1.278810,1.334060,1.219080,1.334060,1.334060,16601300
2018-03-05,1.328780,1.329120,1.279490,1.279490,1.279490,12706400
2018-03-06,1.277630,1.277630,1.094310,1.119930,1.119930,10536600
2018-03-07,1.117030,1.130170,0.959102,0.997732,0.997732,9642890
2018-03-08,0.994919,1.162480,0.977978,1.048110,1.048110,16376100
2018-03-09,1.039870,1.071140,0.877484,0.971459,0.971459,9458020
2018-03-10,0.974622,1.007730,0.898629,0.899718,0.899718,8403630
2018-03-11,0.896488,0.973993,0.864965,0.965191,0.965191,8528160
2018-03-12,0.961367,0.979037,0.877519,0.904352,0.904352,10577700
2018-03-13,0.899608,0.925979,0.848108,0.863973,0.863973,8560200
2018-03-14,0.866427,0.887976,0.765130,0.804773,0.804773,10031200
2018-03-15,0.803658,0.806965,0.671358,0.751005,0.751005,8426060
2018-03-16,0.752043,0.778725,0.721913,0.762182,0.762182,8712780
2018-03-17,0.762645,0.766058,0.691017,0.701079,0.701079,8401410
2018-03-18,0.700068,0.700068,0.584559,0.691885,0.691885,7827300
2018-03-19,0.693705,0.811908,0.678755,0.777954,0.777954,8716570
2018-03-20,0.783327,0.844055,0.752050,0.821974,0.821974,7076910
2018-03-21,0.823245,0.840456,0.787466,0.803269,0.803269,8404430
2018-03-22,0.803389,0.835344,0.753786,0.789798,0.789798,7075540
2018-03-23,0.789089,0.796701,0.747837,0.795070,0.795070,7786460
2018-03-24,0.803341,0.830456,0.760482,0.789072,0.789072,8513690
2018-03-25,0.778417,0.831206,0.771096,0.805651,0.805651,8183540
2018-03-26,0.804142,0.819096,0.686860,0.723581,0.723581,8426870
2018-03-27,0.722348,0.744601,0.681364,0.699550,0.699550,6887600
2018-03-28,0.699773,0.752204,0.694518,0.743977,0.743977,7210730
2018-03-29,0.744251,0.753378,0.608376,0.621250,0.621250,6128800
2018-03-30,0.620426,0.642280,0.565383,0.593853,0.593853,7137310
2018-03-31,0.593705,0.650718,0.593705,0.624711,0.624711,5688150
2018-04-01,0.624940,0.632822,0.546220,0.575914,0.575914,6571900
2018-04-02,0.577139,0.601473,0.570441,0.587383,0.587383,6210200
2018-04-03,0.588305,0.641693,0.585164,0.633514,0.633514,7217110
2018-04-04,0.634592,0.655852,0.576321,0.580612,0.580612,6811240
2018-04-05,0.580071,0.583357,0.556604,0.566339,0.566339,5716840
2018-04-06,0.564153,0.569515,0.538620,0.543995,0.543995,4868940
2018-04-07,0.545664,0.585080,0.542957,0.582629,0.582629,6971140
2018-04-08,0.581809,0.612816,0.576519,0.603176,0.603176,7052110
2018-04-09,0.604768,0.627701,0.560835,0.584142,0.584142,8404260
2018-04-10,0.585685,0.614988,0.577830,0.611635,0.611635,7281390
2018-04-11,0.612873,0.638732,0.603220,0.638732,0.638732,6448800
2018-04-12,0.634535,0.697449,0.610339,0.695807,0.695807,7267990
2018-04-13,0.696255,0.739899,0.665091,0.696058,0.696058,8879240
2018-04-14,0.694930,0.767544,0.691435,0.750393,0.750393,9341980
2018-04-15,0.750542,0.773385,0.746624,0.773385,0.773385,6470160
2018-04-16,0.772924,0.839774,0.724519,0.757830,0.757830,14373800
2018-04-17,0.759021,0.770811,0.746205,0.747533,0.747533,6965020
2018-04-18,0.746985,0.867166,0.746832,0.866710,0.866710,12356300
2018-04-19,0.868287,0.892458,0.832612,0.892458,0.892458,10777100
2018-04-20,0.892790,0.913872,0.853102,0.889973,0.889973,8831710
2018-04-21,0.909280,1.677950,0.804181,1.677950,1.677950,26553800
2018-04-22,1.454290,1.482890,1.039100,1.056250,1.056250,102713000
2018-04-23,1.079040,1.084440,1.016200,1.022320,1.022320,16692700
2018-04-24,1.022230,1.127220,1.012230,1.114330,1.114330,14444600
2018-04-25,1.109520,1.109520,0.888578,0.898469,0.898469,9219380
2018-04-26,0.910632,0.994367,0.883929,0.988598,0.988598,6458710
2018-04-27,0.989935,1.030980,0.944978,0.944978,0.944978,5844830
2018-04-28,0.940992,1.103520,0.939262,1.073670,1.073670,7991820
2018-04-29,1.077750,1.123530,1.035540,1.070460,1.070460,7050200
2018-04-30,1.071210,1.104440,1.026280,1.057220,1.057220,7813580
2018-05-01,1.057300,1.057300,0.979316,1.056050,1.056050,5581960
2018-05-02,1.054240,1.076060,1.039660,1.064840,1.064840,5251350
2018-05-03,1.065380,1.172750,1.052280,1.123500,1.123500,8852260
2018-05-04,1.127120,1.133500,1.044820,1.082890,1.082890,6138100
2018-05-05,1.082430,1.107590,1.017240,1.036450,1.036450,5696380
2018-05-06,1.037390,1.040680,0.958531,1.000070,1.000070,4739140
2018-05-07,1.000930,1.004040,0.918167,0.959609,0.959609,3925920
2018-05-08,0.963253,0.984542,0.900889,0.929418,0.929418,3127370
2018-05-09,0.928481,1.059800,0.856520,0.981381,0.981381,18016700
2018-05-10,0.979703,0.983137,0.880389,0.880389,0.880389,3947850
2018-05-11,0.878920,0.878920,0.740976,0.755942,0.755942,3509250
2018-05-12,0.754041,0.811032,0.724490,0.772675,0.772675,2491040
2018-05-13,0.773506,0.844315,0.761421,0.830803,0.830803,2200100
2018-05-14,0.830792,0.898763,0.774571,0.871896,0.871896,4984360
2018-05-15,0.865290,0.922734,0.826545,0.836859,0.836859,4267330
2018-05-16,0.835585,0.851726,0.772672,0.819496,0.819496,2268800
2018-05-17,0.821199,0.860960,0.778978,0.781955,0.781955,3058210
2018-05-18,0.782133,0.809454,0.771446,0.800346,0.800346,1766030
2018-05-19,0.800569,0.805110,0.772234,0.783786,0.783786,1555840
2018-05-20,0.785040,0.818096,0.777630,0.808044,0.808044,1672320
2018-05-21,0.809469,0.809596,0.762807,0.768503,0.768503,1360290
2018-05-22,0.767677,0.768475,0.717809,0.720502,0.720502,2009170
2018-05-23,0.716034,0.718451,0.623191,0.634400,0.634400,2976980
2018-05-24,0.632903,0.653825,0.592572,0.648882,0.648882,2726310
2018-05-25,0.648699,0.663584,0.625029,0.647597,0.647597,1877810
2018-05-26,0.646835,0.665609,0.623986,0.625706,0.625706,1824830
2018-05-27,0.625893,0.626378,0.602583,0.616663,0.616663,2167480
2018-05-28,0.612955,0.632923,0.578267,0.580199,0.580199,3148460
2018-05-29,0.580875,0.631568,0.563293,0.624099,0.624099,2557590
2018-05-30,0.625439,0.635959,0.583083,0.600508,0.600508,2616010
2018-05-31,0.600285,0.630073,0.595930,0.619232,0.619232,2620670
2018-06-01,0.620046,0.632016,0.603782,0.624094,0.624094,2696740
2018-06-02,0.623882,0.647552,0.616241,0.643384,0.643384,2459010
2018-06-03,0.641531,0.661239,0.640164,0.650450,0.650450,2863870
2018-06-04,0.649963,0.655309,0.611394,0.618423,0.618423,1751570
2018-06-05,0.618199,0.627901,0.600506,0.623223,0.623223,1490170
2018-06-06,0.623058,0.628366,0.592525,0.605146,0.605146,1501130
2018-06-07,0.605734,0.616146,0.588543,0.591345,0.591345,1370200
2018-06-08,0.591823,0.594726,0.563408,0.566639,0.566639,1287050
2018-06-09,0.566509,0.571272,0.553839,0.553839,0.553839,1026940
2018-06-10,0.554178,0.554178,0.446280,0.456322,0.456322,1714020
2018-06-11,0.458877,0.462180,0.444511,0.459398,0.459398,967209
2018-06-12,0.460914,0.481282,0.417461,0.420540,0.420540,1362040
2018-06-13,0.420862,0.423370,0.365867,0.390162,0.390162,1220660
