Date,Open,High,Low,Close,Adj Close,Volume
2017-06-01,0.684297,0.697188,0.669747,0.695589,0.695589,1517
2017-06-02,0.695903,0.836068,0.687334,0.742796,0.742796,1801
2017-06-03,0.742469,0.868052,0.727862,0.863920,0.863920,2064
2017-06-04,0.861588,0.861588,0.725065,0.734774,0.734774,446
2017-06-05,0.734906,1.201500,0.734906,1.071980,1.071980,8803
2017-06-06,1.075220,1.458530,0.808817,1.427230,1.427230,14682
2017-06-07,1.427590,1.431210,0.896643,1.334830,1.334830,1326
2017-06-08,1.322550,1.402870,0.849142,1.402870,1.402870,9030
2017-06-09,1.400650,1.415760,1.107100,1.403080,1.403080,1296
2017-06-10,1.405180,1.456340,1.218710,1.310500,1.310500,16120
2017-06-11,1.309740,2.380340,1.301130,2.379740,2.379740,6667
2017-06-12,2.379550,3.379780,2.379550,3.180270,3.180270,32333
2017-06-13,3.169640,3.313550,2.437550,3.251450,3.251450,2683
2017-06-14,3.249550,3.319630,2.510480,2.948980,2.948980,14541
2017-06-15,2.948850,3.005210,2.140310,2.657120,2.657120,6760
2017-06-16,2.655160,2.997610,2.414390,2.872710,2.872710,3477
2017-06-17,2.872710,3.747010,2.498000,3.047570,3.047570,10942
2017-06-18,3.047570,3.739510,2.503000,3.734520,3.734520,10519
2017-06-19,3.734520,3.747010,2.378100,2.388090,2.388090,17955
2017-06-20,2.388090,2.997610,1.174060,2.250700,2.250700,5646
2017-06-21,2.250700,2.995110,2.250700,2.870210,2.870210,2069
2017-06-22,2.443050,2.870210,1.224020,2.098320,2.098320,4015
2017-06-23,2.098320,2.277410,1.361160,1.910370,1.910370,3038
2017-06-24,1.910150,1.943630,1.604630,1.856500,1.856500,3231
2017-06-25,1.852240,1.914760,1.637290,1.849330,1.849330,3007
2017-06-26,1.848360,1.867360,0.621653,0.951946,0.951946,11518
2017-06-27,0.974421,1.548440,0.755200,1.543560,1.543560,22945
2017-06-28,1.554550,1.564690,0.445071,0.459884,0.459884,10350
2017-06-29,0.459457,0.693632,0.451988,0.581228,0.581228,88073
2017-06-30,0.582385,0.984507,0.503210,0.760342,0.760342,24430
2017-07-01,0.760050,0.863344,0.417138,0.495905,0.495905,24158
2017-07-02,0.503066,0.822988,0.503066,0.819568,0.819568,9067
2017-07-03,0.816550,0.938864,0.619204,0.925401,0.925401,11544
2017-07-04,0.923298,0.985701,0.541865,0.660831,0.660831,16585
2017-07-05,0.660474,0.893692,0.634295,0.766551,0.766551,28111
2017-07-06,0.766931,0.881040,0.600634,0.662132,0.662132,13034
2017-07-07,0.662619,0.663842,0.485768,0.504908,0.504908,11107
2017-07-08,0.505332,0.638953,0.499721,0.580736,0.580736,4087
2017-07-09,0.581255,0.586085,0.499479,0.540075,0.540075,4280
2017-07-10,0.541126,0.552089,0.405119,0.508938,0.508938,3428
2017-07-11,0.507854,0.514061,0.400126,0.506018,0.506018,3378
2017-07-12,0.505268,0.515060,0.259229,0.500743,0.500743,7131
2017-07-13,0.520207,0.520509,0.282823,0.325640,0.325640,8670
2017-07-14,0.325402,0.340311,0.286633,0.333361,0.333361,3551
2017-07-15,0.332789,0.388175,0.276398,0.374335,0.374335,441
2017-07-16,0.373210,0.400824,0.311108,0.373461,0.373461,1015
2017-07-17,0.373047,0.472125,0.329042,0.454516,0.454516,2629
2017-07-18,0.455689,0.619865,0.446946,0.531080,0.531080,5561
2017-07-19,0.531925,0.628250,0.465787,0.486333,0.486333,2046
2017-07-20,0.484871,0.610656,0.443358,0.565026,0.565026,3820
2017-07-21,0.569216,0.593406,0.521370,0.533562,0.533562,2468
2017-07-22,0.533454,0.615180,0.530900,0.568922,0.568922,322
2017-07-23,0.566092,0.698600,0.564713,0.630605,0.630605,759
2017-07-24,0.624371,0.912729,0.413409,0.488238,0.488238,10563
2017-07-25,0.405443,0.492098,0.301432,0.412016,0.412016,15174
2017-07-26,0.345636,0.398799,0.300614,0.382685,0.382685,9415
2017-07-27,0.305502,0.407439,0.300892,0.315705,0.315705,12577
2017-07-28,0.308679,0.551659,0.301721,0.362955,0.362955,8731
2017-07-29,0.305952,0.399845,0.302585,0.391405,0.391405,4928
2017-07-30,0.366891,0.391572,0.351219,0.369599,0.369599,2215
2017-07-31,0.369978,0.433612,0.336141,0.351893,0.351893,4866
2017-08-01,0.349201,0.413971,0.323951,0.338501,0.338501,658
2017-08-02,0.335707,0.418195,0.331355,0.356289,0.356289,7875
2017-08-03,0.356926,0.436773,0.356926,0.401428,0.401428,5156
2017-08-04,0.381819,0.455274,0.381192,0.405531,0.405531,7515
2017-08-05,0.399642,0.599724,0.399346,0.592284,0.592284,4229
2017-08-06,0.553367,0.967448,0.468280,0.509923,0.509923,12867
2017-08-07,0.483022,0.607173,0.470948,0.562457,0.562457,11118
2017-08-08,0.563025,0.684091,0.558371,0.585000,0.585000,6897
2017-08-09,0.581186,0.879753,0.571814,0.681904,0.681904,9484
2017-08-10,0.678626,1.013830,0.646479,1.011230,1.011230,24875
2017-08-11,1.024830,1.040430,0.729318,1.026550,1.026550,36973
2017-08-12,0.857831,1.507700,0.857831,1.432390,1.432390,49268
2017-08-13,1.249280,1.535870,1.161880,1.339600,1.339600,50152
2017-08-14,1.182030,1.527160,1.182030,1.342100,1.342100,37160
2017-08-15,1.168300,1.461740,0.879699,1.419010,1.419010,45549
2017-08-16,1.067510,1.489460,0.937820,1.489190,1.489190,18484
2017-08-17,1.303490,1.315990,0.896581,1.287880,1.287880,61277
2017-08-18,1.091350,1.266010,0.447679,0.768952,0.768952,172621
2017-08-19,0.710777,1.077680,0.612909,1.016200,1.016200,32967
2017-08-20,0.862227,1.105630,0.857671,1.054730,1.054730,23244
2017-08-21,0.815432,1.059290,0.748106,0.806320,0.806320,30402
2017-08-22,0.808188,0.978146,0.585118,0.953999,0.953999,63121
2017-08-23,0.952054,1.042920,0.724598,0.865504,0.865504,28180
2017-08-24,0.865878,0.897723,0.743834,0.823760,0.823760,26452
2017-08-25,0.822462,0.924009,0.780263,0.828000,0.828000,24532
2017-08-26,0.829592,0.938787,0.820718,0.908361,0.908361,35276
2017-08-27,0.908124,0.958776,0.847455,0.881723,0.881723,22464
2017-08-28,0.882607,1.034030,0.847916,0.963906,0.963906,39623
2017-08-29,0.965545,1.048360,0.935775,1.035040,1.035040,27867
2017-08-30,1.033660,1.168530,0.898506,1.073470,1.073470,36172
2017-08-31,1.071600,1.535010,1.025410,1.113270,1.113270,40879
2017-09-01,1.113470,1.551230,1.113470,1.293360,1.293360,53502
2017-09-02,1.294980,1.378620,0.831651,0.958489,0.958489,48580
2017-09-03,0.959106,1.487280,0.959106,1.182070,1.182070,62297
2017-09-04,1.182460,1.452940,0.859621,0.912464,0.912464,53019
2017-09-05,0.917198,0.917198,0.283955,0.298899,0.298899,3519670
2017-09-06,0.303047,0.891457,0.303047,0.560394,0.560394,6264130
2017-09-07,0.557628,0.619668,0.521498,0.569701,0.569701,2448560
2017-09-08,0.570241,0.578109,0.404967,0.431868,0.431868,3146830
2017-09-09,0.433691,0.483179,0.423491,0.429527,0.429527,1451410
2017-09-10,0.434929,0.454874,0.365406,0.384103,0.384103,1295900
2017-09-11,0.384291,0.522660,0.356573,0.363583,0.363583,703492
2017-09-12,0.364139,0.530637,0.363902,0.433167,0.433167,1478770
2017-09-13,0.443873,0.506744,0.329589,0.368998,0.368998,3100890
2017-09-14,0.372378,0.397466,0.298908,0.299577,0.299577,688983
2017-09-15,0.300264,0.390641,0.270000,0.346622,0.346622,1194600
2017-09-16,0.346642,0.414357,0.320443,0.359813,0.359813,807397
2017-09-17,0.358986,0.369661,0.316456,0.343407,0.343407,478048
2017-09-18,0.343418,0.423659,0.343418,0.397115,0.397115,680281
2017-09-19,0.398741,0.407543,0.376662,0.382359,0.382359,593961
2017-09-20,0.382755,0.402483,0.376832,0.378479,0.378479,447135
2017-09-21,0.377168,0.384972,0.320026,0.320064,0.320064,439939
2017-09-22,0.319866,0.346432,0.319866,0.334637,0.334637,337741
2017-09-23,0.336032,0.357370,0.330807,0.339844,0.339844,272675
2017-09-24,0.340261,0.344619,0.311300,0.311695,0.311695,297611
2017-09-25,0.312076,0.400071,0.310531,0.367468,0.367468,600417
2017-09-26,0.368156,0.378972,0.347648,0.349306,0.349306,413036
2017-09-27,0.348382,0.371616,0.348335,0.368270,0.368270,232267
2017-09-28,0.368188,0.387655,0.359825,0.366961,0.366961,436401
2017-09-29,0.366107,0.370888,0.341024,0.360794,0.360794,345831
2017-09-30,0.362311,0.379228,0.331283,0.344498,0.344498,887483
2017-10-01,0.344117,0.401955,0.322479,0.350917,0.350917,577789
2017-10-02,0.352153,0.391712,0.308359,0.361038,0.361038,985293
2017-10-03,0.361926,0.377966,0.338064,0.365593,0.365593,450227
2017-10-04,0.366173,0.385538,0.352074,0.354188,0.354188,472926
2017-10-05,0.353399,0.369752,0.353337,0.367259,0.367259,361429
2017-10-06,0.367311,0.393583,0.366629,0.392858,0.392858,339295
2017-10-07,0.391572,0.415998,0.375442,0.394004,0.394004,395748
2017-10-08,0.393361,0.398073,0.384733,0.385719,0.385719,287952
2017-10-09,0.387153,0.387153,0.334643,0.340874,0.340874,523289
2017-10-10,0.338915,0.372926,0.331074,0.343336,0.343336,464924
2017-10-11,0.343164,0.368658,0.337433,0.347905,0.347905,237162
2017-10-12,0.347507,0.365319,0.334515,0.337678,0.337678,366232
2017-10-13,0.337928,0.355998,0.309781,0.310773,0.310773,455638
2017-10-14,0.313522,0.337443,0.304069,0.310579,0.310579,425327
2017-10-15,0.309726,0.318694,0.296562,0.315538,0.315538,315645
2017-10-16,0.314159,0.372669,0.314008,0.356765,0.356765,413709
2017-10-17,0.357050,0.415252,0.350869,0.385547,0.385547,426842
2017-10-18,0.384752,0.384752,0.194672,0.327058,0.327058,986538
2017-10-19,0.327274,0.332248,0.307126,0.323944,0.323944,400128
2017-10-20,0.324453,0.344779,0.302388,0.307418,0.307418,503348
2017-10-21,0.307018,0.313426,0.287827,0.296738,0.296738,572300
2017-10-22,0.297957,0.302241,0.285525,0.291219,0.291219,300795
2017-10-23,0.290986,0.291096,0.253283,0.264751,0.264751,485006
2017-10-24,0.264424,0.283908,0.155793,0.235855,0.235855,897665
2017-10-25,0.235978,0.267934,0.226441,0.247924,0.247924,587841
2017-10-26,0.247743,0.260868,0.233935,0.233935,0.233935,431411
2017-10-27,0.233840,0.236345,0.213669,0.220159,0.220159,458868
2017-10-28,0.221456,0.255584,0.219291,0.245165,0.245165,488516
2017-10-29,0.244967,0.272845,0.223123,0.270058,0.270058,600981
2017-10-30,0.269099,0.280013,0.249793,0.251556,0.251556,460260
2017-10-31,0.251181,0.256687,0.235146,0.239505,0.239505,537603
2017-11-01,0.237539,0.238015,0.219129,0.222870,0.222870,416685
2017-11-02,0.223238,0.237083,0.206259,0.220525,0.220525,687640
2017-11-03,0.220855,0.285478,0.220581,0.274585,0.274585,490517
2017-11-04,0.275258,0.351525,0.269018,0.326924,0.326924,689581
2017-11-05,0.326023,0.408140,0.325222,0.356993,0.356993,1014890
2017-11-06,0.358185,0.397992,0.335274,0.373769,0.373769,821969
2017-11-07,0.373300,0.393752,0.369706,0.370073,0.370073,325542
2017-11-08,0.369592,0.443580,0.366153,0.416063,0.416063,502589
2017-11-09,0.413420,0.511824,0.413420,0.490982,0.490982,832997
2017-11-10,0.491876,0.497833,0.388533,0.398245,0.398245,661289
2017-11-11,0.397125,0.425409,0.381680,0.406436,0.406436,486416
2017-11-12,0.406147,0.411660,0.368343,0.376291,0.376291,385882
2017-11-13,0.377250,0.411707,0.377250,0.392801,0.392801,361200
2017-11-14,0.393152,0.423283,0.374815,0.389868,0.389868,554608
2017-11-15,0.390061,0.424228,0.379251,0.401170,0.401170,525604
2017-11-16,0.401948,0.437792,0.393975,0.407759,0.407759,693730
2017-11-17,0.407065,0.459475,0.397686,0.426430,0.426430,594614
2017-11-18,0.426417,0.518576,0.424787,0.510966,0.510966,780992
2017-11-19,0.508952,0.531701,0.480143,0.529227,0.529227,1020450
2017-11-20,0.528859,0.594823,0.525000,0.556340,0.556340,1140400
2017-11-21,0.557591,0.625725,0.530502,0.602072,0.602072,1057880
2017-11-22,0.602363,0.732780,0.598118,0.723606,0.723606,1298920
2017-11-23,0.725328,0.873127,0.724272,0.790392,0.790392,2253540
2017-11-24,0.788770,0.823453,0.507010,0.579407,0.579407,4367000
2017-11-25,0.584706,0.681959,0.552801,0.592756,0.592756,1572680
2017-11-26,0.592010,0.637527,0.553507,0.567398,0.567398,1489970
2017-11-27,0.570120,0.612297,0.540208,0.556779,0.556779,1399830
2017-11-28,0.556659,0.578857,0.528782,0.544577,0.544577,1436770
2017-11-29,0.544699,0.615994,0.525856,0.525856,0.525856,1309990
2017-11-30,0.531436,0.553194,0.473427,0.541153,0.541153,942626
2017-12-01,0.539763,0.572650,0.508753,0.552976,0.552976,965399
2017-12-02,0.550898,0.581337,0.549933,0.580648,0.580648,941222
2017-12-03,0.579764,0.696111,0.579764,0.611477,0.611477,1135280
2017-12-04,0.613574,0.624807,0.568434,0.595969,0.595969,1171920
2017-12-05,0.598230,0.625981,0.581440,0.590182,0.590182,915988
2017-12-06,0.589559,0.652528,0.570843,0.612980,0.612980,1441510
2017-12-07,0.611595,0.656109,0.575865,0.613694,0.613694,1528110
2017-12-08,0.613507,0.641847,0.576212,0.638163,0.638163,1308730
2017-12-09,0.638560,0.668934,0.610688,0.623724,0.623724,1249470
2017-12-10,0.625306,0.638255,0.568755,0.579934,0.579934,948690
2017-12-11,0.579945,0.644374,0.566355,0.644374,0.644374,1199350
2017-12-12,0.645472,0.660133,0.594340,0.659490,0.659490,1456990
2017-12-13,0.659843,0.720033,0.614840,0.638113,0.638113,1619990
2017-12-14,0.638842,0.788441,0.625890,0.788441,0.788441,2329860
2017-12-15,0.798690,1.263070,0.788689,1.263070,1.263070,6010610
2017-12-16,1.260240,1.324600,1.116600,1.188420,1.188420,4237580
2017-12-17,1.177360,1.355210,1.177360,1.278970,1.278970,2727140
2017-12-18,1.266060,1.352040,1.179770,1.338530,1.338530,3815380
2017-12-19,1.337230,1.695120,1.336810,1.546480,1.546480,6317100
2017-12-20,1.570680,1.585400,1.380630,1.500570,1.500570,4884380
2017-12-21,1.503660,1.602440,1.399250,1.465330,1.465330,5377690
2017-12-22,1.490240,1.499130,0.992437,1.195400,1.195400,3418480
2017-12-23,1.209830,1.412260,1.209830,1.321690,1.321690,2108070
2017-12-24,1.333070,1.333070,1.115430,1.261260,1.261260,1786080
2017-12-25,1.255910,1.398700,1.242920,1.389180,1.389180,2248590
2017-12-26,1.384680,1.480100,1.375360,1.439400,1.439400,2346160
2017-12-27,1.446150,1.536790,1.398230,1.486170,1.486170,2495370
2017-12-28,1.484860,1.485660,1.273010,1.323360,1.323360,2149510
2017-12-29,1.334170,1.405040,1.313800,1.334150,1.334150,1858930
2017-12-30,1.331180,1.342780,1.129390,1.228490,1.228490,1756310
2017-12-31,1.221690,1.333010,1.195810,1.321360,1.321360,1482490
2018-01-01,1.322240,1.333870,1.252890,1.300220,1.300220,1312670
2018-01-02,1.303500,1.426850,1.303370,1.383130,1.383130,2867610
2018-01-03,1.378800,1.530800,1.374070,1.528330,1.528330,2798770
2018-01-04,1.532270,1.888270,1.510490,1.806780,1.806780,3454190
2018-01-05,1.804420,2.390190,1.804420,2.127080,2.127080,5526110
2018-01-06,2.118680,2.509860,2.040520,2.468660,2.468660,4581780
2018-01-07,2.451910,2.886370,2.451910,2.665580,2.665580,6197720
2018-01-08,2.658560,2.773330,2.055020,2.441510,2.441510,5645830
2018-01-09,2.438040,2.615060,2.317580,2.482540,2.482540,3778640
2018-01-10,2.479770,2.479770,2.141080,2.271760,2.271760,3117280
2018-01-11,2.277810,2.360560,2.043800,2.058300,2.058300,3467050
2018-01-12,2.068740,2.325450,2.036880,2.223790,2.223790,2801560
2018-01-13,2.223040,2.322750,2.194860,2.314870,2.314870,3114980
2018-01-14,2.361410,2.361410,1.926760,2.133400,2.133400,2711380
2018-01-15,2.127750,2.142150,1.893640,1.971090,1.971090,2900980
2018-01-16,1.961390,1.963000,1.339460,1.456520,1.456520,3547600
2018-01-17,1.454990,1.563100,1.218780,1.552480,1.552480,2535970
2018-01-18,1.568330,1.633370,1.419390,1.521350,1.521350,2156320
2018-01-19,1.510560,1.588770,1.410530,1.532520,1.532520,3265330
2018-01-20,1.538040,1.853850,1.538040,1.795710,1.795710,2220340
2018-01-21,1.798040,1.800020,1.479270,1.493470,1.493470,1675180
2018-01-22,1.507590,1.677840,1.429520,1.493520,1.493520,2368590
2018-01-23,1.493590,1.568980,1.409140,1.533070,1.533070,2509220
2018-01-24,1.530220,1.842940,1.501900,1.842940,1.842940,2482720
2018-01-25,1.852320,2.189830,1.850100,2.165890,2.165890,3965590
2018-01-26,2.163540,2.556100,2.059130,2.436890,2.436890,6051310
2018-01-27,2.436390,2.975960,2.425560,2.858010,2.858010,6201390
2018-01-28,2.869640,3.518540,2.869640,3.214780,3.214780,11368100
2018-01-29,3.231090,3.384730,2.801980,3.031540,3.031540,5425230
2018-01-30,3.036910,3.049770,2.445530,2.455800,2.455800,5563420
2018-01-31,2.435240,2.946240,2.334480,2.946240,2.946240,4352570
2018-02-01,2.988490,3.136810,2.590470,2.698390,2.698390,7004030
2018-02-02,2.692970,2.723080,2.198750,2.598920,2.598920,6815050
2018-02-03,2.604600,2.974680,2.412490,2.838270,2.838270,6101430
2018-02-04,2.856440,2.912560,2.504340,2.538980,2.538980,4240530
2018-02-05,2.508990,2.567810,1.976050,2.102430,2.102430,5440170
2018-02-06,2.121870,2.402570,1.754610,2.394590,2.394590,7492040
2018-02-07,2.378120,3.440260,2.149530,2.554000,2.554000,29364300
2018-02-08,2.577140,2.947120,2.577140,2.866180,2.866180,21679800
2018-02-09,2.871860,3.043140,2.725090,2.906670,2.906670,4705450
2018-02-10,2.911240,2.991680,2.655440,2.758140,2.758140,6130930
2018-02-11,2.760510,2.760510,2.336700,2.499950,2.499950,7236360
2018-02-12,2.513700,2.720200,2.513700,2.628790,2.628790,3573810
2018-02-13,2.619920,2.619920,2.312350,2.418580,2.418580,7490450
2018-02-14,2.427910,2.635760,2.427910,2.635760,2.635760,4919220
2018-02-15,2.634990,2.682670,2.511580,2.564180,2.564180,3817200
2018-02-16,2.563710,2.661750,2.536930,2.612770,2.612770,2849720
2018-02-17,2.610340,2.725280,2.585750,2.676900,2.676900,3016070
2018-02-18,2.683820,2.741160,2.503670,2.565920,2.565920,3565100
2018-02-19,2.559670,2.845110,2.546490,2.692520,2.692520,3536050
2018-02-20,2.718250,2.756840,2.523740,2.531560,2.531560,4470310
2018-02-21,2.542650,2.543960,2.272500,2.342990,2.342990,4012920
2018-02-22,2.338680,2.519890,2.217750,2.257620,2.257620,4527210
2018-02-23,2.238110,2.414450,2.194900,2.298100,2.298100,3459750
