Date,Open,High,Low,Close,Adj Close,Volume
2020-05-07,0.599200,0.603433,0.517008,0.557734,0.557734,8315
2020-05-08,0.557287,0.576892,0.459247,0.501922,0.501922,7314
2020-05-09,null,null,null,null,null,null
2020-05-10,null,null,null,null,null,null
2020-05-11,null,null,null,null,null,null
2020-05-12,null,null,null,null,null,null
2020-05-13,null,null,null,null,null,null
2020-05-14,null,null,null,null,null,null
2020-05-15,null,null,null,null,null,null
2020-05-16,0.447644,0.488399,0.442418,0.451722,0.451722,1055
2020-05-17,0.451722,0.492242,0.450786,0.460042,0.460042,2202
2020-05-18,0.460022,0.507985,0.424029,0.455361,0.455361,12685
2020-05-19,0.455073,0.456337,0.389551,0.424754,0.424754,13296
2020-05-20,0.425022,0.429717,0.395880,0.396749,0.396749,3084
2020-05-21,0.396767,0.401718,0.335906,0.359058,0.359058,2387
2020-05-22,0.359013,0.378188,0.348868,0.366631,0.366631,5207
2020-05-23,0.366660,0.386004,0.309446,0.341822,0.341822,10978
2020-05-24,0.341822,0.351254,0.317094,0.317560,0.317560,2606
2020-05-25,0.316640,0.341815,0.315136,0.331125,0.331125,3441
2020-05-26,0.331080,0.343156,0.318577,0.320793,0.320793,3765
2020-05-27,0.320793,0.341492,0.320766,0.333184,0.333184,1585
2020-05-28,0.333164,0.349610,0.330506,0.335537,0.335537,1797
2020-05-29,0.335540,0.345667,0.330786,0.330786,0.330786,522
2020-05-30,0.330786,0.344881,0.301260,0.310258,0.310258,14080
2020-05-31,0.310258,0.310298,0.297607,0.302124,0.302124,5363
2020-06-01,0.302052,0.346484,0.298063,0.312298,0.312298,9864
2020-06-02,0.312328,0.323340,0.287508,0.303727,0.303727,3405
2020-06-03,0.303772,0.345051,0.297458,0.332148,0.332148,4856
2020-06-04,0.332203,0.350911,0.309545,0.337720,0.337720,5945
2020-06-05,0.337720,0.357802,0.313056,0.324093,0.324093,3957
2020-06-06,0.324093,0.535877,0.322273,0.472776,0.472776,25695
2020-06-07,0.472818,0.580165,0.442925,0.485115,0.485115,17949
2020-06-08,0.485167,0.521991,0.473203,0.502316,0.502316,4562
2020-06-09,0.502308,0.533427,0.496277,0.528256,0.528256,6729
2020-06-10,0.524346,0.535439,0.487458,0.527869,0.527869,7251
2020-06-11,null,null,null,null,null,null
2020-06-12,null,null,null,null,null,null
2020-06-13,null,null,null,null,null,null
2020-06-14,0.542380,0.582479,0.505953,0.526014,0.526014,5541
2020-06-15,0.525992,0.546515,0.503649,0.503652,0.503652,5030
2020-06-16,0.503755,0.747332,0.498363,0.677656,0.677656,34223
2020-06-17,0.677718,0.709509,0.620035,0.625473,0.625473,29999
2020-06-18,0.625454,0.658911,0.609852,0.620075,0.620075,6850
2020-06-19,0.620806,0.643370,0.610248,0.611813,0.611813,4995
2020-06-20,null,null,null,null,null,null
2020-06-21,0.613587,0.619595,0.577855,0.595412,0.595412,7142
2020-06-22,null,null,null,null,null,null
2020-06-23,0.656169,0.749267,0.656096,0.717944,0.717944,30713
2020-06-24,0.718270,0.730809,0.631143,0.632709,0.632709,8997
