Date,Open,High,Low,Close,Adj Close,Volume
2020-05-07,0.003291,0.003618,0.002368,0.002863,0.002863,3392
2020-05-08,0.002857,0.004403,0.002489,0.003620,0.003620,4394
2020-05-09,null,null,null,null,null,null
2020-05-10,null,null,null,null,null,null
2020-05-11,null,null,null,null,null,null
2020-05-12,null,null,null,null,null,null
2020-05-13,null,null,null,null,null,null
2020-05-14,null,null,null,null,null,null
2020-05-15,null,null,null,null,null,null
2020-05-16,0.002618,0.005195,0.002201,0.003394,0.003394,3405
2020-05-17,0.003394,0.006844,0.002569,0.005905,0.005905,22503
2020-05-18,0.005921,0.006957,0.002589,0.003813,0.003813,9758
2020-05-19,0.003813,0.006587,0.003553,0.004325,0.004325,7104
2020-05-20,0.005775,0.006959,0.004120,0.005446,0.005446,21214
2020-05-21,0.005446,0.006692,0.002435,0.002435,0.002435,1995
2020-05-22,0.002435,0.005660,0.002173,0.004828,0.004828,9859
2020-05-23,0.004829,0.006515,0.003801,0.006247,0.006247,21062
2020-05-24,0.006243,0.006747,0.004010,0.005517,0.005517,20615
2020-05-25,0.005509,0.006406,0.004026,0.005858,0.005858,21366
2020-05-26,0.006264,0.006698,0.004197,0.006123,0.006123,20955
2020-05-27,0.006123,0.006503,0.004185,0.005229,0.005229,20067
2020-05-28,0.005230,0.006574,0.004351,0.006085,0.006085,21624
2020-05-29,0.006088,0.006747,0.004289,0.006349,0.006349,21292
2020-05-30,0.006349,0.007026,0.004255,0.006303,0.006303,23588
2020-05-31,0.006303,0.007247,0.004359,0.005637,0.005637,22812
2020-06-01,0.005631,0.006759,0.004306,0.005738,0.005738,23661
2020-06-02,0.005733,0.007203,0.004410,0.005312,0.005312,22349
2020-06-03,0.005313,0.006967,0.004364,0.005043,0.005043,22874
2020-06-04,0.005047,0.007343,0.004638,0.006671,0.006671,21489
2020-06-05,0.006671,0.008136,0.004917,0.005646,0.005646,18701
2020-06-06,0.005646,0.008048,0.004976,0.007320,0.007320,23110
2020-06-07,0.007318,0.008102,0.004828,0.006502,0.006502,21936
2020-06-08,0.006504,0.007997,0.005036,0.005850,0.005850,20059
2020-06-09,0.007342,0.007861,0.004089,0.005129,0.005129,20510
2020-06-10,0.005130,0.005719,0.002547,0.002550,0.002550,2
2020-06-11,null,null,null,null,null,null
2020-06-12,null,null,null,null,null,null
2020-06-13,null,null,null,null,null,null
2020-06-14,0.005156,0.006285,0.003920,0.005172,0.005172,18337
2020-06-15,0.005170,0.006143,0.003822,0.005411,0.005411,19226
2020-06-16,0.005243,0.005931,0.003898,0.005330,0.005330,18536
2020-06-17,0.005326,0.005990,0.003833,0.005432,0.005432,18781
2020-06-18,0.005432,0.006272,0.003416,0.004217,0.004217,15699
2020-06-19,0.004143,0.004945,0.003156,0.003588,0.003588,14867
2020-06-20,null,null,null,null,null,null
2020-06-21,0.003933,0.006201,0.003850,0.004322,0.004322,16430
2020-06-22,null,null,null,null,null,null
2020-06-23,0.004462,0.006506,0.004066,0.004650,0.004650,18805
2020-06-24,0.004655,0.006401,0.003813,0.005279,0.005279,16018
2020-06-25,0.005283,0.005993,0.003865,0.005595,0.005595,16630
2020-06-26,0.005353,0.005835,0.003432,0.005314,0.005314,15915
2020-06-27,null,null,null,null,null,null
2020-06-28,0.004426,0.005649,0.003271,0.003955,0.003955,15032
2020-06-29,0.003955,0.005730,0.003333,0.005382,0.005382,15880
2020-06-30,0.005556,0.005595,0.003288,0.003913,0.003913,14278
2020-07-01,0.003912,0.004645,0.002767,0.003135,0.003135,5207
2020-07-02,0.003136,0.004640,0.002734,0.003824,0.003824,7148
2020-07-03,0.003823,0.004583,0.002716,0.003110,0.003110,7910
2020-07-04,0.003364,0.004356,0.002607,0.004008,0.004008,8306
2020-07-05,0.003994,0.004607,0.002691,0.003985,0.003985,6783
2020-07-06,0.003985,0.004667,0.002717,0.003352,0.003352,8217
2020-07-07,0.003630,0.004655,0.002776,0.003503,0.003503,7180
2020-07-08,0.003504,0.006873,0.001286,0.001288,0.001288,1
2020-07-09,0.001288,0.006623,0.001252,0.004667,0.004667,1801
2020-07-10,0.004538,0.006011,0.003636,0.004732,0.004732,17390
2020-07-11,0.004733,0.006153,0.003502,0.004844,0.004844,17454
2020-07-12,0.004890,0.006096,0.003463,0.004920,0.004920,17721
2020-07-13,0.004920,0.006246,0.003531,0.004770,0.004770,16157
2020-07-14,0.004761,0.006210,0.003543,0.004509,0.004509,18261
2020-07-15,0.004508,0.006080,0.003052,0.003678,0.003678,15840
2020-07-16,0.003677,0.005321,0.002918,0.003103,0.003103,8252
2020-07-17,0.003103,0.005241,0.002882,0.003282,0.003282,9946
