Date,Open,High,Low,Close,Adj Close,Volume
2020-05-07,0.086422,0.088138,0.084136,0.085320,0.085320,2941707
2020-05-08,0.085379,0.095116,0.085379,0.092368,0.092368,5600972
2020-05-09,null,null,null,null,null,null
2020-05-10,null,null,null,null,null,null
2020-05-11,null,null,null,null,null,null
2020-05-12,null,null,null,null,null,null
2020-05-13,null,null,null,null,null,null
2020-05-14,null,null,null,null,null,null
2020-05-15,null,null,null,null,null,null
2020-05-16,0.081231,0.086128,0.080726,0.085789,0.085789,4303113
2020-05-17,0.085807,0.085928,0.083212,0.083347,0.083347,4305964
2020-05-18,0.083235,0.084887,0.083065,0.084151,0.084151,3542277
2020-05-19,0.084115,0.088764,0.083424,0.086603,0.086603,4968207
2020-05-20,0.086695,0.089708,0.084190,0.084743,0.084743,4488782
2020-05-21,0.084765,0.110825,0.079775,0.091774,0.091774,22889973
2020-05-22,0.091553,0.102086,0.090601,0.094188,0.094188,11503782
2020-05-23,0.094174,0.096049,0.091951,0.093222,0.093222,3818451
2020-05-24,0.093102,0.098531,0.090172,0.090261,0.090261,4125974
2020-05-25,0.089937,0.101619,0.088781,0.100376,0.100376,4370442
2020-05-26,0.100315,0.100885,0.091854,0.095217,0.095217,2891274
2020-05-27,0.095217,0.100805,0.093295,0.093883,0.093883,3192125
2020-05-28,0.093926,0.096663,0.092181,0.093750,0.093750,3116841
2020-05-29,0.093710,0.098389,0.093612,0.096562,0.096562,3535603
2020-05-30,0.096758,0.100068,0.095926,0.099980,0.099980,3609760
2020-05-31,0.099980,0.105152,0.096509,0.097634,0.097634,5117583
2020-06-01,0.097713,0.104998,0.097453,0.101420,0.101420,4201634
2020-06-02,0.101403,0.117505,0.094705,0.106477,0.106477,8125232
2020-06-03,0.106477,0.117408,0.105986,0.109960,0.109960,6440631
2020-06-04,0.109956,0.114984,0.105975,0.113203,0.113203,4657808
2020-06-05,0.113072,0.122342,0.112130,0.112257,0.112257,5997253
2020-06-06,0.112257,0.114608,0.109570,0.110099,0.110099,3497525
2020-06-07,0.110099,0.128769,0.109519,0.125019,0.125019,8940999
2020-06-08,0.124956,0.133064,0.119710,0.124482,0.124482,10100783
2020-06-09,0.124310,0.129399,0.121608,0.124732,0.124732,8891386
2020-06-10,0.124735,0.131242,0.122515,0.123731,0.123731,8516837
2020-06-11,null,null,null,null,null,null
2020-06-12,null,null,null,null,null,null
2020-06-13,null,null,null,null,null,null
2020-06-14,0.114245,0.121382,0.112801,0.115121,0.115121,7505900
2020-06-15,0.115121,0.115936,0.099631,0.109885,0.109885,5697855
2020-06-16,0.109952,0.110712,0.107064,0.110188,0.110188,4960630
2020-06-17,0.110398,0.117053,0.109120,0.113487,0.113487,5045792
2020-06-18,0.113487,0.122203,0.111155,0.111789,0.111789,6962010
2020-06-19,0.111974,0.115335,0.107537,0.110422,0.110422,4561629
2020-06-20,null,null,null,null,null,null
2020-06-21,0.108333,0.112464,0.107562,0.107939,0.107939,3582740
2020-06-22,null,null,null,null,null,null
2020-06-23,0.109359,0.110020,0.107497,0.108962,0.108962,2651500
2020-06-24,0.109143,0.110309,0.103348,0.104570,0.104570,2202433
2020-06-25,0.104596,0.104806,0.099994,0.100563,0.100563,3628826
2020-06-26,0.100656,0.102213,0.096198,0.097024,0.097024,5392863
2020-06-27,null,null,null,null,null,null
2020-06-28,0.090623,0.095480,0.089128,0.092715,0.092715,4888105
2020-06-29,0.092715,0.094587,0.090054,0.093095,0.093095,6027333
2020-06-30,0.093156,0.098930,0.092010,0.096712,0.096712,7151336
2020-07-01,0.096653,0.098573,0.094604,0.095861,0.095861,6174624
2020-07-02,0.095919,0.098390,0.093306,0.094713,0.094713,5777063
2020-07-03,0.094701,0.100862,0.094496,0.098326,0.098326,5245262
2020-07-04,0.098316,0.102924,0.097899,0.099272,0.099272,3933668
2020-07-05,0.099086,0.101753,0.096426,0.098023,0.098023,3874887
2020-07-06,0.098023,0.103473,0.098023,0.101298,0.101298,4562163
2020-07-07,0.101165,0.107630,0.100065,0.106862,0.106862,6099140
2020-07-08,0.107022,0.112316,0.106020,0.111325,0.111325,5985059
2020-07-09,0.111366,0.112291,0.102992,0.105383,0.105383,6079598
2020-07-10,0.105372,0.114934,0.102277,0.112248,0.112248,6712299
2020-07-11,0.112300,0.121670,0.111065,0.119378,0.119378,5335305
2020-07-12,0.119384,0.119952,0.111843,0.114643,0.114643,5255916
2020-07-13,0.114643,0.117381,0.109923,0.110440,0.110440,5507582
2020-07-14,0.109882,0.113722,0.106973,0.112393,0.112393,4539998
2020-07-15,0.112324,0.116955,0.111330,0.114535,0.114535,4097189
2020-07-16,0.114530,0.115620,0.103538,0.108398,0.108398,5057366
2020-07-17,0.108383,0.111366,0.107366,0.109303,0.109303,3255532
2020-07-18,0.109319,0.110444,0.107177,0.109429,0.109429,2747795
2020-07-19,0.109869,0.121666,0.109160,0.118180,0.118180,8002503
2020-07-20,0.118680,0.128093,0.112533,0.113871,0.113871,7947618
2020-07-21,0.113711,0.122159,0.113083,0.116622,0.116622,4401698
2020-07-22,0.116597,0.123679,0.115479,0.118451,0.118451,4700951
2020-07-23,0.118484,0.121525,0.114114,0.117185,0.117185,3596017
2020-07-24,0.117195,0.119230,0.113734,0.115514,0.115514,3124158
2020-07-25,0.115545,0.120747,0.112712,0.113026,0.113026,2682751
2020-07-26,0.112924,0.114620,0.103755,0.108309,0.108309,3481487
2020-07-27,0.108376,0.109147,0.095791,0.096799,0.096799,3622306
2020-07-28,0.097172,0.105782,0.097172,0.105365,0.105365,2727288
2020-07-29,0.105616,0.106291,0.101112,0.101474,0.101474,2054071
2020-07-30,0.101472,0.107060,0.101282,0.106791,0.106791,1757285
2020-07-31,0.106723,0.106904,0.101159,0.101851,0.101851,1985785
2020-08-01,0.101851,0.103679,0.100539,0.102401,0.102401,2009337
2020-08-02,0.102441,0.104232,0.096187,0.102366,0.102366,2289345
2020-08-03,0.102264,0.104714,0.101603,0.102933,0.102933,2022812
2020-08-04,0.102928,0.104492,0.101957,0.104226,0.104226,1638744
2020-08-05,0.104233,0.105512,0.102758,0.105273,0.105273,2309913
2020-08-06,0.105278,0.106135,0.102562,0.105498,0.105498,1765060
2020-08-07,0.105482,0.116517,0.105009,0.114872,0.114872,3737934
2020-08-08,0.115053,0.117769,0.112095,0.112765,0.112765,3487614
2020-08-09,0.112736,0.123038,0.112658,0.119627,0.119627,3574744
2020-08-10,0.121978,0.134658,0.113782,0.126815,0.126815,8832190
2020-08-11,0.126810,0.127107,0.111966,0.116297,0.116297,3965545
2020-08-12,0.116372,0.125120,0.111847,0.121157,0.121157,4167646
2020-08-13,0.121162,0.129367,0.116992,0.123868,0.123868,5195256
2020-08-14,0.123970,0.130476,0.121505,0.127332,0.127332,3590682
2020-08-15,0.127396,0.129085,0.120311,0.122468,0.122468,2498055
2020-08-16,0.122353,0.125515,0.118913,0.123934,0.123934,2777133
2020-08-17,0.123934,0.133536,0.122683,0.125690,0.125690,6945902
2020-08-18,0.125553,0.141611,0.121702,0.136855,0.136855,7239136
2020-08-19,0.136855,0.137877,0.121793,0.126384,0.126384,4745534
2020-08-20,0.126479,0.133165,0.126479,0.130787,0.130787,2454981
2020-08-21,0.130733,0.148724,0.129941,0.143150,0.143150,10338962
2020-08-22,0.142929,0.160898,0.133418,0.148450,0.148450,11285602
2020-08-23,0.148411,0.148711,0.139404,0.141383,0.141383,4496316
2020-08-24,0.141383,0.157281,0.140094,0.151193,0.151193,7327128
2020-08-25,0.151104,0.153500,0.130457,0.134932,0.134932,4032299
2020-08-26,0.134767,0.139453,0.130497,0.134772,0.134772,3005916
2020-08-27,0.134421,0.135817,0.120596,0.123745,0.123745,2759940
2020-08-28,0.123757,0.130936,0.123097,0.126544,0.126544,2031308
2020-08-29,0.126561,0.130571,0.125743,0.128868,0.128868,2026342
2020-08-30,0.128912,0.146955,0.128369,0.138058,0.138058,7244803
2020-08-31,0.137762,0.140372,0.131029,0.134885,0.134885,2699019
2020-09-01,0.134823,0.147387,0.131486,0.138556,0.138556,6213663
2020-09-02,0.138520,0.146599,0.125358,0.129107,0.129107,2637069
2020-09-03,0.129150,0.130450,0.098034,0.098379,0.098379,3014817
2020-09-04,0.098495,0.106881,0.097755,0.103273,0.103273,1834508
2020-09-05,0.103297,0.105298,0.089098,0.091266,0.091266,2247751
2020-09-06,0.091266,0.097466,0.087025,0.095665,0.095665,1459773
2020-09-07,0.095676,0.096895,0.087864,0.094036,0.094036,1456196
2020-09-08,0.094179,0.095531,0.089574,0.091947,0.091947,825860
2020-09-09,0.091953,0.099094,0.090694,0.095834,0.095834,1303940
2020-09-10,0.095892,0.113340,0.095811,0.110586,0.110586,4429209
2020-09-11,0.110586,0.115939,0.103077,0.112236,0.112236,2997384
2020-09-12,0.112199,0.115629,0.109497,0.109867,0.109867,1684708
2020-09-13,0.109867,0.113866,0.098795,0.103316,0.103316,1863608
2020-09-14,0.103351,0.107752,0.101434,0.104117,0.104117,1109521
2020-09-15,0.104141,0.119357,0.097945,0.098219,0.098219,4408193
2020-09-16,0.098180,0.099489,0.092564,0.098887,0.098887,1586135
2020-09-17,0.098852,0.099735,0.095131,0.098116,0.098116,1154344
2020-09-18,0.098116,0.098312,0.089867,0.090938,0.090938,1691742
2020-09-19,0.091103,0.093010,0.090865,0.091911,0.091911,1202626
2020-09-20,0.092040,0.093583,0.089410,0.091246,0.091246,1236784
2020-09-21,0.091217,0.092644,0.078110,0.082471,0.082471,1785868
2020-09-22,0.082102,0.085178,0.079680,0.083595,0.083595,1272249
2020-09-23,0.083595,0.084187,0.074904,0.074941,0.074941,1057784
2020-09-24,0.074938,0.079690,0.074477,0.079636,0.079636,1279595
2020-09-25,0.079640,0.081760,0.076785,0.080879,0.080879,1209552
2020-09-26,0.080870,0.083834,0.079778,0.082239,0.082239,1421911
2020-09-27,0.082326,0.107956,0.078448,0.097551,0.097551,11749263
2020-09-28,0.097551,0.099597,0.086854,0.086869,0.086869,4918028
2020-09-29,0.086818,0.088986,0.084718,0.086525,0.086525,2096595
2020-09-30,0.086402,0.086688,0.083252,0.083877,0.083877,1744522
2020-10-01,0.083877,0.085585,0.080203,0.082432,0.082432,1465141
2020-10-02,0.082413,0.083362,0.077337,0.079270,0.079270,1374186
2020-10-03,0.079270,0.080431,0.078663,0.079494,0.079494,987568
2020-10-04,0.079494,0.080703,0.078365,0.079141,0.079141,1001839
2020-10-05,0.079141,0.079986,0.077843,0.079880,0.079880,728887
2020-10-06,0.079872,0.080303,0.074092,0.074622,0.074622,1056766
2020-10-07,0.074622,0.076283,0.070772,0.074227,0.074227,1257778
2020-10-08,0.074186,0.076991,0.069795,0.076645,0.076645,1386179
2020-10-09,0.076710,0.080684,0.075553,0.080423,0.080423,989522
2020-10-10,0.080193,0.082507,0.077130,0.077456,0.077456,2219622
2020-10-11,0.077570,0.080444,0.076955,0.079736,0.079736,1834016
2020-10-12,0.079738,0.086892,0.079035,0.083025,0.083025,2746392
2020-10-13,0.083024,0.089323,0.082363,0.085656,0.085656,3491519
2020-10-14,0.085833,0.088625,0.080730,0.081542,0.081542,2546014
2020-10-15,0.081546,0.081966,0.077347,0.080294,0.080294,2423475
2020-10-16,0.080294,0.080897,0.076528,0.078683,0.078683,2166833
2020-10-17,0.078683,0.080735,0.077448,0.079083,0.079083,1705270
