Date,Open,High,Low,Close,Adj Close,Volume
2020-10-20,0.090741,0.092642,0.078496,0.083775,0.083775,740
2020-10-21,0.083775,0.091633,0.068061,0.088484,0.088484,570
2020-10-22,0.088484,0.095236,0.065118,0.084927,0.084927,7
2020-10-23,0.084927,0.092328,0.046022,0.046184,0.046184,0
2020-10-24,0.046196,0.096425,0.046031,0.081009,0.081009,793
2020-10-25,0.080982,0.091028,0.072328,0.084386,0.084386,762
2020-10-26,0.084426,0.085009,0.070911,0.072295,0.072295,1004
2020-10-27,0.072308,0.090819,0.060443,0.083114,0.083114,1363
2020-10-28,0.083211,0.084328,0.059804,0.065360,0.065360,151
2020-10-29,0.065358,0.080022,0.038011,0.063644,0.063644,2
2020-10-30,0.063643,0.084776,0.058183,0.084123,0.084123,0
2020-10-31,0.084124,0.085909,0.037186,0.074228,0.074228,19
2020-11-01,0.074227,0.085282,0.041330,0.063351,0.063351,2804
2020-11-02,0.063353,0.080609,0.055392,0.070813,0.070813,227
2020-11-03,0.070766,0.082364,0.021864,0.022264,0.022264,213
2020-11-04,0.022320,0.087028,0.021729,0.086806,0.086806,799
2020-11-05,0.086808,0.097777,0.072125,0.096990,0.096990,760
2020-11-06,0.096989,0.099585,0.084280,0.092518,0.092518,824
2020-11-07,0.092518,0.101530,0.043162,0.053973,0.053973,1231
2020-11-08,0.053974,0.066538,0.043531,0.048937,0.048937,505
2020-11-09,0.048940,0.074053,0.047537,0.069518,0.069518,258
2020-11-10,0.069501,0.080419,0.063735,0.064685,0.064685,0
2020-11-11,0.064681,0.082077,0.064677,0.077370,0.077370,160
2020-11-12,0.077360,0.077658,0.063653,0.076851,0.076851,183
2020-11-13,0.076852,0.077734,0.051075,0.065761,0.065761,462
2020-11-14,0.065761,0.074428,0.063469,0.072472,0.072472,6
2020-11-15,0.072475,0.076552,0.048683,0.073514,0.073514,704
2020-11-16,0.073514,0.076789,0.055476,0.070721,0.070721,8867
2020-11-17,0.070609,0.081815,0.058519,0.072343,0.072343,1662
2020-11-18,0.072346,0.084612,0.059303,0.079933,0.079933,0
2020-11-19,0.079940,0.081357,0.035738,0.040123,0.040123,950
2020-11-20,0.040122,0.091239,0.035913,0.075995,0.075995,2677
2020-11-21,0.075992,0.083349,0.057732,0.058163,0.058163,1222
2020-11-22,0.058164,0.083032,0.055311,0.082120,0.082120,0
2020-11-23,0.082114,0.083640,0.040596,0.073592,0.073592,18
2020-11-24,0.073655,0.085145,0.049137,0.058198,0.058198,59
2020-11-25,0.058259,0.073201,0.035934,0.070812,0.070812,0
2020-11-26,0.070720,0.085753,0.055153,0.084868,0.084868,0
2020-11-27,0.084896,0.086353,0.031626,0.050515,0.050515,738
2020-11-28,0.050514,0.067300,0.044038,0.066912,0.066912,0
2020-11-29,0.066910,0.068857,0.054609,0.056534,0.056534,2
2020-11-30,0.056532,0.074232,0.056532,0.067840,0.067840,6
2020-12-01,0.067835,0.095350,0.067430,0.085326,0.085326,672
2020-12-02,0.085320,0.096110,0.044344,0.095953,0.095953,357
2020-12-03,0.095944,0.138814,0.054527,0.085585,0.085585,1320
2020-12-04,0.085575,0.087517,0.042932,0.079670,0.079670,21
2020-12-05,0.079661,0.087847,0.043758,0.043958,0.043958,0
2020-12-06,0.043959,0.093173,0.034743,0.070513,0.070513,1090
2020-12-07,0.070536,0.093743,0.066657,0.067561,0.067561,28
2020-12-08,0.067555,0.088096,0.039220,0.045488,0.045488,355
2020-12-09,0.045490,0.076522,0.038240,0.073597,0.073597,796
2020-12-10,0.073599,0.083127,0.064336,0.081302,0.081302,39
2020-12-11,0.081308,0.081838,0.035327,0.036205,0.036205,0
2020-12-12,0.036208,0.075408,0.036182,0.059613,0.059613,2
2020-12-13,0.059608,0.076617,0.058477,0.064305,0.064305,2163
2020-12-14,0.064310,0.076844,0.060031,0.069509,0.069509,2157
2020-12-15,0.069507,0.081658,0.067597,0.075158,0.075158,1521
2020-12-16,0.075144,0.096994,0.058264,0.078481,0.078481,6204
2020-12-17,0.078414,0.106367,0.055266,0.079393,0.079393,6828
2020-12-18,0.079444,0.104277,0.037745,0.060503,0.060503,2134
2020-12-19,0.060510,0.091200,0.051978,0.085691,0.085691,689
2020-12-20,0.085690,0.093727,0.082910,0.086375,0.086375,8
2020-12-21,0.086396,0.114285,0.057893,0.057902,0.057902,1401
2020-12-22,0.057737,0.086731,0.057561,0.072773,0.072773,532
2020-12-23,0.072758,0.078439,0.062889,0.076783,0.076783,38
2020-12-24,0.076714,0.709024,0.058326,0.076050,0.076050,6
2020-12-25,0.075962,0.095537,0.075485,0.095390,0.095390,33
2020-12-26,0.095362,0.095604,0.041093,0.042421,0.042421,777
2020-12-27,0.042435,0.101123,0.027051,0.081552,0.081552,966
2020-12-28,0.081450,0.083630,0.051635,0.051749,0.051749,93
2020-12-29,0.062147,0.063525,0.050992,0.063499,0.063499,0
