Date,Open,High,Low,Close,Adj Close,Volume
2017-05-18,1.485630,1.557020,1.417130,1.524380,1.524380,2745280
2017-05-19,1.499320,1.558980,1.288170,1.330770,1.330770,1655390
2017-05-20,1.327890,1.470180,1.301070,1.434030,1.434030,1272560
2017-05-21,1.452290,1.499730,1.325600,1.410180,1.410180,1152680
2017-05-22,1.400330,1.611700,1.202740,1.536040,1.536040,1358470
2017-05-23,1.471560,2.105750,1.471560,2.105750,2.105750,2436560
2017-05-24,2.090700,2.646810,2.090700,2.646810,2.646810,3619740
2017-05-25,2.612710,2.682780,1.971310,2.108700,2.108700,1535420
2017-05-26,2.090850,2.500970,1.718930,1.961560,1.961560,1150820
2017-05-27,1.974750,2.056040,1.436000,1.724570,1.724570,713711
2017-05-28,1.735440,2.024560,1.643690,1.844930,1.844930,801602
2017-05-29,1.637060,1.867400,1.637060,1.829900,1.829900,653050
2017-05-30,1.826980,2.152110,1.734090,1.844380,1.844380,1345200
2017-05-31,1.843710,2.109500,1.730950,2.090320,2.090320,1365970
2017-06-01,2.088260,2.193900,1.989810,2.087420,2.087420,630982
2017-06-02,2.088960,2.213440,2.039360,2.155500,2.155500,759428
2017-06-03,2.150220,2.317250,2.142390,2.216230,2.216230,963743
2017-06-04,2.211830,2.265510,2.016430,2.104400,2.104400,1065030
2017-06-05,2.104090,2.246960,2.074570,2.215520,2.215520,973493
2017-06-06,2.236450,2.593370,2.190970,2.445000,2.445000,1266720
2017-06-07,2.404320,2.863860,2.319000,2.567540,2.567540,1762630
2017-06-08,2.545740,3.181770,2.523060,3.132370,3.132370,3743020
2017-06-09,3.159590,3.347650,2.915600,3.299620,3.299620,1877340
2017-06-10,3.305360,4.002500,3.089410,4.002500,4.002500,2275360
2017-06-11,4.041630,4.281390,3.566260,4.160400,4.160400,3049210
2017-06-12,4.108710,4.355430,3.406060,3.734350,3.734350,2292920
2017-06-13,3.725720,3.926060,3.543890,3.898430,3.898430,1369980
2017-06-14,3.896390,3.974600,2.882580,3.155170,3.155170,1610150
2017-06-15,3.161720,4.093500,2.591210,4.042510,4.042510,1173940
2017-06-16,4.023920,4.161390,3.179750,3.223630,3.223630,787317
2017-06-17,3.222990,3.328260,3.091260,3.107630,3.107630,766546
2017-06-18,3.123610,3.208980,2.865480,2.898240,2.898240,929574
2017-06-19,2.869880,3.047460,2.783230,2.814190,2.814190,1110070
2017-06-20,2.825140,2.904940,2.629920,2.647360,2.647360,938596
2017-06-21,2.809540,3.172860,2.552520,2.699350,2.699350,1428180
2017-06-22,2.710550,2.938130,2.647090,2.766030,2.766030,788086
2017-06-23,2.766010,3.093590,2.653520,2.954070,2.954070,878484
2017-06-24,2.975510,3.032770,2.652770,2.702150,2.702150,1043750
2017-06-25,2.704090,2.782620,2.322720,2.409200,2.409200,656243
2017-06-26,2.413070,2.486390,1.742590,2.294830,2.294830,997967
2017-06-27,2.362250,2.446300,1.921360,2.446300,2.446300,608510
2017-06-28,2.473780,3.072190,2.314980,2.970880,2.970880,1176160
2017-06-29,2.902300,3.057460,2.598900,2.642540,2.642540,772157
2017-06-30,2.647270,2.702050,2.260930,2.303790,2.303790,585257
2017-07-01,2.305420,2.371050,2.164160,2.206930,2.206930,450321
2017-07-02,2.205930,2.488930,2.146360,2.425230,2.425230,388197
2017-07-03,2.407730,2.463550,2.223670,2.371540,2.371540,471371
2017-07-04,2.341940,2.398470,2.165900,2.213170,2.213170,434296
2017-07-05,2.237410,2.355520,2.123750,2.316970,2.316970,404513
2017-07-06,2.316460,2.477560,2.233450,2.452490,2.452490,555626
2017-07-07,2.452010,2.470920,2.077620,2.087810,2.087810,647124
2017-07-08,2.089790,2.181150,1.992090,2.164300,2.164300,350485
2017-07-09,2.165620,2.252020,2.101310,2.125510,2.125510,305830
