Date,Open,High,Low,Close,Adj Close,Volume
2020-06-14,1.227747,1.424768,1.227747,1.309285,1.309285,37416716
2020-06-15,1.304935,1.382666,1.127983,1.359130,1.359130,33565950
2020-06-16,1.357993,1.398991,1.212999,1.292323,1.292323,31246790
2020-06-17,1.292036,1.350241,1.213332,1.316081,1.316081,27651735
2020-06-18,1.314291,1.388750,1.252554,1.316650,1.316650,34501750
2020-06-19,1.310706,1.782768,1.274479,1.587847,1.587847,21078860
2020-06-20,null,null,null,null,null,null
2020-06-21,1.488598,1.960703,1.459499,1.776378,1.776378,6106780
2020-06-22,null,null,null,null,null,null
2020-06-23,1.686753,1.792863,1.607085,1.777647,1.777647,9137796
2020-06-24,1.764691,1.788692,1.619778,1.692440,1.692440,8788152
2020-06-25,1.695420,1.716558,1.615634,1.668492,1.668492,7553944
2020-06-26,1.665700,1.672573,1.535968,1.551722,1.551722,7584870
2020-06-27,null,null,null,null,null,null
2020-06-28,1.578086,1.619855,1.444486,1.518112,1.518112,7129911
2020-06-29,1.518112,1.596276,1.436623,1.518216,1.518216,6724869
2020-06-30,1.510010,1.563271,1.410918,1.431350,1.431350,6712283
2020-07-01,1.431261,1.525895,1.383206,1.424587,1.424587,6345034
2020-07-02,1.423624,1.551591,1.400353,1.551591,1.551591,5701687
2020-07-03,1.555753,1.782452,1.541157,1.566878,1.566878,6744154
2020-07-04,1.570909,1.847875,1.555442,1.698400,1.698400,7242132
2020-07-05,1.693779,1.789676,1.593016,1.660579,1.660579,5517978
2020-07-06,1.668019,1.749057,1.639268,1.715004,1.715004,5574142
2020-07-07,1.718957,1.745565,1.588961,1.601487,1.601487,6173388
2020-07-08,1.601487,1.674141,1.523102,1.547144,1.547144,5922150
2020-07-09,1.545715,1.621161,1.465287,1.506317,1.506317,4185580
2020-07-10,1.504439,1.674693,1.486428,1.628987,1.628987,3058060
2020-07-11,1.628987,1.725525,1.533087,1.592077,1.592077,3600378
2020-07-12,1.591613,1.606371,1.455313,1.478699,1.478699,2457389
2020-07-13,1.478699,1.629184,1.478699,1.536299,1.536299,4070973
2020-07-14,1.547194,1.610694,1.511636,1.549795,1.549795,1753262
2020-07-15,1.555377,1.685628,1.538189,1.612219,1.612219,893683
2020-07-16,1.620248,1.702757,1.602322,1.616715,1.616715,985880
2020-07-17,1.605593,1.652944,1.559152,1.565635,1.565635,1214222
2020-07-18,1.568663,1.709466,1.559225,1.691158,1.691158,1226163
2020-07-19,1.687608,1.726257,1.601381,1.709775,1.709775,1296346
2020-07-20,1.714541,1.819360,1.680593,1.751105,1.751105,1691536
2020-07-21,1.749385,1.757534,1.646341,1.648032,1.648032,1197628
2020-07-22,1.647223,1.657832,1.508194,1.635810,1.635810,1679469
2020-07-23,1.635810,1.682190,1.519482,1.643798,1.643798,1476465
2020-07-24,1.643798,1.758440,1.613946,1.726799,1.726799,1312324
2020-07-25,1.721851,1.842085,1.666428,1.699642,1.699642,1336764
2020-07-26,1.701436,1.794567,1.604316,1.716573,1.716573,1500100
2020-07-27,1.716549,1.716549,1.519724,1.626839,1.626839,1564970
2020-07-28,1.626842,1.632702,1.514246,1.592407,1.592407,1310901
2020-07-29,1.591195,1.593696,1.508615,1.560495,1.560495,1397684
2020-07-30,1.561973,1.639819,1.558410,1.606424,1.606424,936109
2020-07-31,1.606424,1.606424,1.515605,1.524986,1.524986,1523499
2020-08-01,1.524665,1.577647,1.494655,1.528765,1.528765,1771063
2020-08-02,1.529708,1.651686,1.492638,1.536897,1.536897,1467758
2020-08-03,1.539785,1.575140,1.495412,1.509097,1.509097,1416672
2020-08-04,1.508354,1.570511,1.501096,1.536338,1.536338,1220723
2020-08-05,1.535147,1.580200,1.516525,1.537837,1.537837,1225492
2020-08-06,1.537837,1.706059,1.520015,1.686634,1.686634,1393982
2020-08-07,1.686794,1.781031,1.604649,1.742004,1.742004,1580885
2020-08-08,1.747101,1.777785,1.640722,1.733165,1.733165,1330089
2020-08-09,1.733726,2.452182,1.718214,2.203288,2.203288,4115724
2020-08-10,2.203288,2.399381,1.826604,2.220089,2.220089,3330291
2020-08-11,2.219297,2.450325,2.092571,2.224987,2.224987,3441665
2020-08-12,null,null,null,null,null,null
2020-08-13,null,null,null,null,null,null
2020-08-14,null,null,null,null,null,null
2020-08-15,null,null,null,null,null,null
2020-08-16,2.972247,3.431054,2.953362,3.351265,3.351265,2245813
2020-08-17,3.351265,3.785825,3.282782,3.508570,3.508570,2602548
2020-08-18,3.506384,3.796494,3.146631,3.593811,3.593811,2619147
2020-08-19,3.597990,3.666852,3.110163,3.378134,3.378134,2736046
2020-08-20,3.378134,3.398793,3.087473,3.159601,3.159601,2075876
2020-08-21,3.165889,3.216322,2.776824,2.863856,2.863856,2453399
2020-08-22,2.832577,3.242307,2.522461,3.210296,3.210296,2414397
2020-08-23,3.209589,3.676163,3.142096,3.643957,3.643957,1962623
2020-08-24,3.638630,4.337158,3.542880,4.177042,4.177042,4909996
2020-08-25,4.177954,4.189073,3.811744,4.015244,4.015244,4694970
2020-08-26,4.017000,4.971580,3.868530,4.959550,4.959550,7507291
2020-08-27,4.944744,5.840442,4.816841,5.514919,5.514919,8145797
2020-08-28,5.512850,5.861186,5.390902,5.670319,5.670319,5376372
2020-08-29,5.674283,7.559001,5.670479,7.005406,7.005406,9956589
2020-08-30,7.000074,7.475553,6.361028,6.714105,6.714105,7786283
2020-08-31,6.690194,6.690194,5.453196,6.094809,6.094809,8458284
2020-09-01,6.093190,7.814643,5.831929,6.614081,6.614081,10675924
2020-09-02,6.615943,6.993811,5.721635,6.602085,6.602085,9592090
