Date,Open,High,Low,Close,Adj Close,Volume
2016-07-23,0.036725,0.036970,0.036284,0.036970,0.036970,35
2016-07-24,0.036912,0.042547,0.036834,0.042405,0.042405,7
2016-07-25,0.042403,0.042463,0.042117,0.042117,0.042117,7
2016-07-26,null,null,null,null,null,null
2016-07-27,null,null,null,null,null,null
2016-07-28,null,null,null,null,null,null
2016-07-29,null,null,null,null,null,null
2016-07-30,0.039250,0.039641,0.038929,0.039318,0.039318,0
2016-07-31,0.039315,0.039423,0.038534,0.039141,0.039141,0
2016-08-01,0.037433,0.037514,0.035419,0.035419,0.035419,0
2016-08-02,0.035507,0.035641,0.031106,0.032287,0.032287,0
2016-08-03,0.032245,0.033351,0.031617,0.033076,0.033076,0
2016-08-04,0.033073,0.033798,0.033030,0.033273,0.033273,0
2016-08-05,0.033390,0.033551,0.032277,0.033272,0.033272,1
2016-08-06,0.033276,0.035706,0.033275,0.035297,0.035297,0
2016-08-07,null,null,null,null,null,null
2016-08-08,null,null,null,null,null,null
2016-08-09,null,null,null,null,null,null
2016-08-10,null,null,null,null,null,null
2016-08-11,null,null,null,null,null,null
2016-08-12,null,null,null,null,null,null
2016-08-13,null,null,null,null,null,null
2016-08-14,null,null,null,null,null,null
2016-08-15,null,null,null,null,null,null
2016-08-16,null,null,null,null,null,null
2016-08-17,null,null,null,null,null,null
2016-08-18,null,null,null,null,null,null
2016-08-19,null,null,null,null,null,null
2016-08-20,null,null,null,null,null,null
2016-08-21,null,null,null,null,null,null
2016-08-22,null,null,null,null,null,null
2016-08-23,null,null,null,null,null,null
2016-08-24,null,null,null,null,null,null
2016-08-25,0.027116,0.029172,0.026988,0.028799,0.028799,0
2016-08-26,0.028691,0.028778,0.028267,0.028746,0.028746,0
2016-08-27,null,null,null,null,null,null
2016-08-28,null,null,null,null,null,null
2016-08-29,0.036855,0.037547,0.033498,0.036526,0.036526,27
2016-08-30,0.035950,0.037836,0.031242,0.031650,0.031650,23
2016-08-31,null,null,null,null,null,null
2016-09-01,null,null,null,null,null,null
2016-09-02,null,null,null,null,null,null
2016-09-03,null,null,null,null,null,null
2016-09-04,null,null,null,null,null,null
2016-09-05,null,null,null,null,null,null
2016-09-06,null,null,null,null,null,null
2016-09-07,null,null,null,null,null,null
2016-09-08,null,null,null,null,null,null
2016-09-09,null,null,null,null,null,null
2016-09-10,null,null,null,null,null,null
2016-09-11,null,null,null,null,null,null
2016-09-12,null,null,null,null,null,null
2016-09-13,null,null,null,null,null,null
2016-09-14,null,null,null,null,null,null
2016-09-15,null,null,null,null,null,null
2016-09-16,null,null,null,null,null,null
2016-09-17,null,null,null,null,null,null
2016-09-18,null,null,null,null,null,null
2016-09-19,null,null,null,null,null,null
2016-09-20,null,null,null,null,null,null
2016-09-21,null,null,null,null,null,null
2016-09-22,null,null,null,null,null,null
2016-09-23,null,null,null,null,null,null
2016-09-24,null,null,null,null,null,null
2016-09-25,null,null,null,null,null,null
2016-09-26,null,null,null,null,null,null
2016-09-27,null,null,null,null,null,null
2016-09-28,null,null,null,null,null,null
2016-09-29,null,null,null,null,null,null
2016-09-30,null,null,null,null,null,null
2016-10-01,null,null,null,null,null,null
2016-10-02,null,null,null,null,null,null
2016-10-03,null,null,null,null,null,null
2016-10-04,null,null,null,null,null,null
2016-10-05,null,null,null,null,null,null
2016-10-06,null,null,null,null,null,null
2016-10-07,null,null,null,null,null,null
2016-10-08,null,null,null,null,null,null
2016-10-09,null,null,null,null,null,null
2016-10-10,null,null,null,null,null,null
2016-10-11,null,null,null,null,null,null
2016-10-12,null,null,null,null,null,null
2016-10-13,0.013997,0.034967,0.012198,0.033319,0.033319,34707
2016-10-14,0.033324,0.035909,0.018594,0.019724,0.019724,75563
2016-10-15,0.019724,0.021981,0.016408,0.016771,0.016771,87516
2016-10-16,0.016774,0.019490,0.016222,0.018237,0.018237,61576
2016-10-17,0.018275,0.025507,0.016532,0.018939,0.018939,1316410
2016-10-18,0.019071,0.019249,0.015046,0.015436,0.015436,281499
2016-10-19,0.015478,0.017306,0.015004,0.017017,0.017017,203649
2016-10-20,0.017020,0.017025,0.014863,0.015005,0.015005,145587
2016-10-21,0.015028,0.015836,0.014276,0.014453,0.014453,104878
2016-10-22,0.014333,0.014755,0.013484,0.013592,0.013592,134767
2016-10-23,0.013587,0.014046,0.012053,0.012269,0.012269,96600
2016-10-24,0.012275,0.014628,0.012224,0.013997,0.013997,118622
2016-10-25,0.013911,0.014547,0.012234,0.012234,0.012234,82645
2016-10-26,0.012530,0.013146,0.011117,0.012167,0.012167,71104
2016-10-27,0.012164,0.012388,0.010963,0.011682,0.011682,76228
2016-10-28,0.011661,0.011703,0.009899,0.010176,0.010176,47067
2016-10-29,0.010283,0.010464,0.008727,0.009032,0.009032,69251
2016-10-30,0.009029,0.010839,0.008368,0.009951,0.009951,71488
2016-10-31,0.009941,0.011496,0.009349,0.009458,0.009458,34148
2016-11-01,0.009452,0.010094,0.008928,0.009322,0.009322,58374
2016-11-02,0.009316,0.013097,0.009080,0.010626,0.010626,99043
2016-11-03,0.010517,0.011665,0.009833,0.010276,0.010276,42039
2016-11-04,0.010149,0.011516,0.009811,0.011361,0.011361,28404
2016-11-05,0.011358,0.011520,0.010611,0.010844,0.010844,25689
2016-11-06,0.010846,0.011483,0.010526,0.010872,0.010872,27665
2016-11-07,0.010868,0.010921,0.009635,0.009876,0.009876,18978
2016-11-08,0.010018,0.010153,0.009681,0.009848,0.009848,40719
2016-11-09,0.009794,0.010191,0.009499,0.009958,0.009958,28822
2016-11-10,0.009965,0.010364,0.009965,0.010150,0.010150,11366
2016-11-11,0.010151,0.010630,0.009369,0.010211,0.010211,28637
2016-11-12,0.010211,0.010940,0.009893,0.010406,0.010406,25928
2016-11-13,0.010406,0.011169,0.010102,0.010400,0.010400,26143
2016-11-14,0.010398,0.010792,0.010366,0.010496,0.010496,8371
2016-11-15,0.010509,0.010757,0.009790,0.010032,0.010032,29654
2016-11-16,0.009825,0.010192,0.009012,0.009121,0.009121,26844
2016-11-17,0.009116,0.009752,0.009091,0.009333,0.009333,10638
2016-11-18,0.009338,0.010161,0.009279,0.009491,0.009491,13572
2016-11-19,0.009489,0.009676,0.009224,0.009455,0.009455,8019
2016-11-20,0.009457,0.009777,0.008986,0.009219,0.009219,14447
2016-11-21,0.009219,0.009616,0.009182,0.009354,0.009354,10135
2016-11-22,0.009350,0.009460,0.009129,0.009192,0.009192,21903
2016-11-23,0.009191,0.010237,0.009094,0.009873,0.009873,18956
2016-11-24,0.009720,0.010792,0.009128,0.010101,0.010101,25053
2016-11-25,0.010099,0.010099,0.009247,0.009815,0.009815,11348
2016-11-26,0.009815,0.010090,0.009369,0.009594,0.009594,10279
2016-11-27,0.009591,0.009880,0.009245,0.009394,0.009394,14149
2016-11-28,0.009400,0.010013,0.009349,0.009590,0.009590,8121
2016-11-29,0.009590,0.010117,0.009590,0.010021,0.010021,10494
2016-11-30,0.010020,0.010532,0.009448,0.009615,0.009615,18139
2016-12-01,0.009573,0.009795,0.009391,0.009397,0.009397,10497
2016-12-02,0.009405,0.009735,0.008877,0.008879,0.008879,29050
2016-12-03,0.008882,0.009427,0.008580,0.009004,0.009004,20401
2016-12-04,0.009092,0.009520,0.008914,0.009469,0.009469,9675
2016-12-05,0.009474,0.009476,0.008972,0.009296,0.009296,5935
2016-12-06,0.009291,0.009599,0.008629,0.008762,0.008762,19953
2016-12-07,0.008763,0.009775,0.008689,0.009645,0.009645,8457
2016-12-08,0.009655,0.010126,0.009491,0.010022,0.010022,11474
2016-12-09,0.010009,0.010135,0.009472,0.009472,0.009472,18937
2016-12-10,0.009473,0.010632,0.009473,0.010005,0.010005,5165
2016-12-11,0.010007,0.011129,0.010007,0.010784,0.010784,33068
2016-12-12,0.010860,0.011033,0.010504,0.010918,0.010918,11511
2016-12-13,0.010910,0.010918,0.010325,0.010673,0.010673,10866
2016-12-14,0.010748,0.010924,0.010394,0.010746,0.010746,6582
