Date,Open,High,Low,Close,Adj Close,Volume
2020-05-07,0.028732,0.033290,0.026585,0.031297,0.031297,105460
2020-05-08,0.031297,0.033897,0.028808,0.032064,0.032064,112430
2020-05-09,null,null,null,null,null,null
2020-05-10,null,null,null,null,null,null
2020-05-11,null,null,null,null,null,null
2020-05-12,null,null,null,null,null,null
2020-05-13,null,null,null,null,null,null
2020-05-14,null,null,null,null,null,null
2020-05-15,null,null,null,null,null,null
2020-05-16,0.029843,0.030639,0.028259,0.028985,0.028985,89557
2020-05-17,0.029033,0.031911,0.027126,0.029059,0.029059,114405
2020-05-18,0.029026,0.030521,0.027513,0.029533,0.029533,75361
2020-05-19,0.029523,0.030437,0.027889,0.028946,0.028946,76006
2020-05-20,0.028952,0.030969,0.028856,0.029493,0.029493,78288
2020-05-21,0.029425,0.030111,0.025957,0.026617,0.026617,96908
2020-05-22,0.026664,0.030683,0.024787,0.028236,0.028236,115177
2020-05-23,0.028284,0.031989,0.027956,0.031011,0.031011,107272
2020-05-24,0.031034,0.031040,0.027471,0.027494,0.027494,77990
2020-05-25,0.027455,0.030646,0.026997,0.029684,0.029684,87631
2020-05-26,0.029678,0.032098,0.028426,0.030592,0.030592,73649
2020-05-27,0.030592,0.032984,0.029051,0.029692,0.029692,69105
2020-05-28,0.029693,0.031413,0.029654,0.030830,0.030830,168629
2020-05-29,0.030825,0.031705,0.029142,0.029718,0.029718,70015
2020-05-30,0.029716,0.032431,0.028901,0.030616,0.030616,62817
2020-05-31,0.030617,0.031597,0.027054,0.029077,0.029077,101358
2020-06-01,0.029034,0.029254,0.025792,0.028084,0.028084,79637
2020-06-02,0.028192,0.030238,0.026143,0.027332,0.027332,90402
2020-06-03,0.027332,0.028874,0.025346,0.028855,0.028855,74951
2020-06-04,0.028796,0.029521,0.024121,0.024173,0.024173,87074
2020-06-05,0.024173,0.028409,0.022277,0.023528,0.023528,96990
2020-06-06,0.023528,0.028528,0.021404,0.026781,0.026781,78518
2020-06-07,0.026781,0.029425,0.025557,0.029238,0.029238,109014
2020-06-08,0.029218,0.030474,0.024024,0.029295,0.029295,96917
2020-06-09,0.029279,0.032712,0.028020,0.029939,0.029939,80380
2020-06-10,0.029929,0.032808,0.019905,0.026363,0.026363,192978
