Date,Open,High,Low,Close,Adj Close,Volume
2020-05-07,2.668623,2.779392,2.621931,2.728238,2.728238,200554903
2020-05-08,2.728238,2.858430,2.691718,2.821946,2.821946,192534152
2020-05-09,null,null,null,null,null,null
2020-05-10,null,null,null,null,null,null
2020-05-11,null,null,null,null,null,null
2020-05-12,null,null,null,null,null,null
2020-05-13,null,null,null,null,null,null
2020-05-14,null,null,null,null,null,null
2020-05-15,null,null,null,null,null,null
2020-05-16,2.477582,2.565202,2.450411,2.552264,2.552264,147163344
2020-05-17,2.553340,2.617655,2.538812,2.541480,2.541480,143724086
2020-05-18,2.538703,2.656746,2.534909,2.593554,2.593554,163528477
2020-05-19,2.592818,2.648388,2.536650,2.602924,2.602924,142768378
2020-05-20,2.602352,2.700983,2.569700,2.698328,2.698328,159956835
2020-05-21,2.700639,2.725868,2.465629,2.520560,2.520560,181807764
2020-05-22,2.521104,2.678724,2.497294,2.650378,2.650378,151380584
2020-05-23,2.651030,2.669420,2.573104,2.603690,2.603690,115303106
2020-05-24,2.603144,2.649468,2.516774,2.526007,2.526007,135354359
2020-05-25,2.517841,2.626885,2.483173,2.613055,2.613055,141861563
2020-05-26,2.613720,2.625373,2.540781,2.578387,2.578387,121605318
2020-05-27,2.578387,2.669717,2.574236,2.605861,2.605861,121510767
2020-05-28,2.607287,2.665778,2.576886,2.659643,2.659643,101752451
2020-05-29,2.662475,2.700473,2.638479,2.679670,2.679670,92727475
2020-05-30,2.679527,2.819746,2.644461,2.812186,2.812186,125099098
2020-05-31,2.811762,2.873754,2.710368,2.734456,2.734456,126961037
2020-06-01,2.731191,2.855539,2.715183,2.850683,2.850683,131032791
2020-06-02,2.850445,2.951232,2.678128,2.754056,2.754056,173439108
2020-06-03,2.754056,2.908088,2.745414,2.904270,2.904270,130830909
2020-06-04,2.903488,3.148083,2.896689,3.111725,3.111725,194087419
2020-06-05,3.111725,3.204691,3.043715,3.109037,3.109037,173819262
2020-06-06,3.109037,3.165883,3.057735,3.057735,3.057735,115040527
2020-06-07,3.057735,3.107534,2.914474,3.026901,3.026901,122046710
2020-06-08,3.025220,3.154157,3.004497,3.148531,3.148531,107678224
2020-06-09,3.148071,3.177743,3.090763,3.129249,3.129249,132661687
2020-06-10,3.129513,3.129513,3.034199,3.116704,3.116704,125271625
2020-06-11,null,null,null,null,null,null
2020-06-12,null,null,null,null,null,null
2020-06-13,null,null,null,null,null,null
2020-06-14,2.879134,2.882717,2.750518,2.771541,2.771541,99789109
2020-06-15,2.771541,2.788595,2.555839,2.713403,2.713403,146311613
2020-06-16,2.710582,2.763422,2.688336,2.723480,2.723480,114669148
2020-06-17,2.729941,2.735571,2.662144,2.701179,2.701179,116732797
2020-06-18,2.700755,2.704180,2.622509,2.655319,2.655319,95666155
2020-06-19,2.652196,2.660112,2.589453,2.590800,2.590800,99231023
2020-06-20,null,null,null,null,null,null
2020-06-21,2.612102,2.630438,2.590352,2.607178,2.607178,82053811
2020-06-22,null,null,null,null,null,null
2020-06-23,2.679376,2.828764,2.646420,2.773338,2.773338,104021029
2020-06-24,2.777385,2.879359,2.659262,2.683902,2.683902,105354511
2020-06-25,2.684702,2.688825,2.575874,2.624457,2.624457,77264799
2020-06-26,2.626096,2.653603,2.528569,2.619405,2.619405,84370609
2020-06-27,null,null,null,null,null,null
2020-06-28,2.441162,2.558433,2.412809,2.514017,2.514017,67511560
2020-06-29,2.513733,2.680011,2.473121,2.645176,2.645176,90524641
2020-06-30,2.644447,2.676381,2.576128,2.595410,2.595410,56318983
2020-07-01,2.598838,2.679215,2.578562,2.656286,2.656286,61670189
2020-07-02,2.658656,2.794067,2.633327,2.682292,2.682292,81945498
2020-07-03,2.683455,2.799232,2.677361,2.692836,2.692836,84247985
2020-07-04,2.695007,2.785637,2.686560,2.773056,2.773056,73677976
2020-07-05,2.777943,2.978117,2.743319,2.925243,2.925243,127933386
2020-07-06,2.925243,3.121791,2.921761,3.019436,3.019436,139258504
2020-07-07,3.017371,3.277335,2.971285,3.240814,3.240814,129565057
2020-07-08,3.241442,3.567355,3.170337,3.551420,3.551420,167546062
2020-07-09,3.551420,3.809280,3.417897,3.800761,3.800761,172133671
2020-07-10,3.798486,4.134889,3.588114,4.060970,4.060970,240007520
2020-07-11,4.061099,4.444570,3.902153,3.942199,3.942199,262446668
2020-07-12,3.932925,4.162484,3.910953,4.015897,4.015897,162188362
2020-07-13,4.015897,4.326034,3.760213,3.875738,3.875738,215883769
2020-07-14,3.875738,4.025128,3.819808,3.955175,3.955175,161379171
2020-07-15,3.952954,4.135864,3.868855,4.036373,4.036373,118920919
2020-07-16,4.039359,4.270097,3.778594,4.077920,4.077920,181058807
2020-07-17,4.074570,4.254850,3.957512,4.141174,4.141174,147509307
2020-07-18,4.141125,4.520884,4.112275,4.363539,4.363539,188008154
2020-07-19,4.356778,4.510891,4.008357,4.189864,4.189864,191114701
2020-07-20,4.191439,4.242794,3.872844,3.880807,3.880807,123252885
2020-07-21,3.880812,4.047467,3.791942,3.996588,3.996588,134911035
2020-07-22,3.998928,4.035539,3.886690,4.013120,4.013120,95362252
2020-07-23,4.010246,4.090374,3.925659,3.955487,3.955487,97303814
2020-07-24,3.957433,3.963042,3.790557,3.817853,3.817853,100656642
2020-07-25,3.822463,3.945609,3.777825,3.905024,3.905024,117721753
2020-07-26,3.904946,3.907226,3.745546,3.805035,3.805035,114783801
2020-07-27,3.804794,3.910432,3.340014,3.588862,3.588862,179412714
2020-07-28,3.589797,3.775700,3.550349,3.750459,3.750459,120724603
2020-07-29,3.748865,3.853818,3.625933,3.640441,3.640441,107518753
2020-07-30,3.640441,3.751485,3.606627,3.719433,3.719433,89185103
2020-07-31,3.716915,3.835903,3.710569,3.792371,3.792371,98156636
2020-08-01,3.792371,4.110024,3.790374,4.063536,4.063536,157637841
2020-08-02,4.067579,4.209582,3.610149,3.891798,3.891798,154074396
2020-08-03,3.903086,4.046147,3.812794,3.854832,3.854832,144959925
2020-08-04,3.854753,4.048723,3.822953,4.010160,4.010160,112162333
2020-08-05,4.013313,4.204214,3.959866,4.159565,4.159565,127763370
2020-08-06,4.158173,4.249587,4.129965,4.176072,4.176072,128558907
2020-08-07,4.174510,4.193940,3.931064,4.020471,4.020471,122545387
2020-08-08,4.020939,4.431723,3.991134,4.431723,4.431723,119089971
2020-08-09,4.433790,5.434855,4.313193,5.283985,5.283985,367025727
2020-08-10,5.283985,5.847683,5.141793,5.472078,5.472078,356003398
2020-08-11,5.482550,5.567739,4.726464,4.930304,4.930304,227937900
2020-08-12,4.933632,6.050349,4.892307,5.976281,5.976281,360566166
2020-08-13,null,null,null,null,null,null
2020-08-14,null,null,null,null,null,null
2020-08-15,null,null,null,null,null,null
2020-08-16,6.086251,6.373477,5.822707,6.221525,6.221525,214631153
2020-08-17,6.221525,6.313448,5.937772,5.937772,5.937772,177357908
2020-08-18,5.912311,6.127319,5.585945,5.838898,5.838898,178381360
2020-08-19,5.832695,5.933451,5.340114,5.668452,5.668452,176905066
2020-08-20,5.670327,6.371311,5.574494,6.303447,6.303447,234862298
2020-08-21,6.304483,6.590842,5.629506,5.632924,5.632924,250034249
