Date,Open,High,Low,Close,Adj Close,Volume
2020-05-07,0.010266,0.012506,0.009787,0.012316,0.012316,61429
2020-05-08,0.012316,0.015661,0.011787,0.011906,0.011906,65913
2020-05-09,null,null,null,null,null,null
2020-05-10,null,null,null,null,null,null
2020-05-11,null,null,null,null,null,null
2020-05-12,null,null,null,null,null,null
2020-05-13,null,null,null,null,null,null
2020-05-14,null,null,null,null,null,null
2020-05-15,null,null,null,null,null,null
2020-05-16,0.010506,0.011019,0.009896,0.009944,0.009944,37953
2020-05-17,0.010026,0.011105,0.009436,0.010075,0.010075,42642
2020-05-18,0.010075,0.010961,0.009884,0.010118,0.010118,41635
2020-05-19,0.010112,0.010876,0.009840,0.010876,0.010876,35509
2020-05-20,0.010880,0.010942,0.009716,0.010249,0.010249,32929
2020-05-21,0.010178,0.010334,0.009487,0.010197,0.010197,37876
2020-05-22,0.010195,0.010282,0.009696,0.009952,0.009952,26185
2020-05-23,0.010100,0.010356,0.009552,0.010031,0.010031,35961
2020-05-24,0.010032,0.010524,0.009640,0.009798,0.009798,19880
2020-05-25,0.009770,0.009894,0.009286,0.009462,0.009462,19196
2020-05-26,0.009461,0.009628,0.008930,0.009502,0.009502,11155
2020-05-27,0.009502,0.009818,0.008075,0.009686,0.009686,19569
2020-05-28,0.009572,0.010117,0.009091,0.009819,0.009819,20772
2020-05-29,0.009819,0.010098,0.009444,0.009609,0.009609,19577
2020-05-30,0.009608,0.009717,0.008979,0.009575,0.009575,16233
2020-05-31,0.009575,0.009632,0.009130,0.009283,0.009283,23878
2020-06-01,0.009281,0.009474,0.008968,0.009171,0.009171,126097
2020-06-02,0.009176,0.009401,0.008582,0.008850,0.008850,117743
2020-06-03,0.008850,0.008940,0.008513,0.008893,0.008893,118695
2020-06-04,0.008895,0.008914,0.008155,0.008842,0.008842,116654
2020-06-05,0.008842,0.008899,0.008389,0.008727,0.008727,111822
2020-06-06,0.008727,0.008828,0.008245,0.008770,0.008770,116744
2020-06-07,0.008770,0.008826,0.008337,0.008692,0.008692,112655
2020-06-08,0.008692,0.009043,0.008494,0.008935,0.008935,119465
2020-06-09,0.008945,0.008995,0.008484,0.008846,0.008846,119747
2020-06-10,0.008852,0.009054,0.008511,0.008734,0.008734,117890
2020-06-11,null,null,null,null,null,null
2020-06-12,null,null,null,null,null,null
2020-06-13,null,null,null,null,null,null
2020-06-14,0.010433,0.011682,0.009560,0.010747,0.010747,66996
2020-06-15,0.010746,0.011342,0.009946,0.010450,0.010450,59399
2020-06-16,0.010450,0.010992,0.010304,0.010675,0.010675,59159
2020-06-17,0.010678,0.011519,0.010218,0.011298,0.011298,63561
2020-06-18,0.011296,0.011484,0.010231,0.011374,0.011374,71312
2020-06-19,0.011385,0.012766,0.010766,0.010938,0.010938,59550
2020-06-20,null,null,null,null,null,null
2020-06-21,0.010902,0.011710,0.010412,0.010990,0.010990,68810
2020-06-22,null,null,null,null,null,null
2020-06-23,0.011053,0.011509,0.010705,0.011387,0.011387,69044
2020-06-24,0.011392,0.011442,0.010421,0.010457,0.010457,54915
2020-06-25,0.010456,0.010535,0.010163,0.010495,0.010495,54809
2020-06-26,0.010491,0.010632,0.009969,0.010341,0.010341,49314
2020-06-27,null,null,null,null,null,null
2020-06-28,0.010305,0.010495,0.009790,0.009873,0.009873,62372
2020-06-29,0.009875,0.010256,0.009816,0.010151,0.010151,142104
2020-06-30,0.010148,0.010874,0.009832,0.010148,0.010148,146307
