Date,Open,High,Low,Close,Adj Close,Volume
2020-05-07,0.058577,0.065008,0.057817,0.062681,0.062681,36
2020-05-08,0.062647,0.096900,0.061835,0.094337,0.094337,803
2020-05-09,null,null,null,null,null,null
2020-05-10,null,null,null,null,null,null
2020-05-11,null,null,null,null,null,null
2020-05-12,null,null,null,null,null,null
2020-05-13,null,null,null,null,null,null
2020-05-14,null,null,null,null,null,null
2020-05-15,null,null,null,null,null,null
2020-05-16,0.148746,0.151188,0.102596,0.102605,0.102605,289
2020-05-17,0.102634,0.126857,0.085032,0.116067,0.116067,641
2020-05-18,0.116062,0.128632,0.091344,0.093045,0.093045,112
2020-05-19,0.092987,0.126847,0.085877,0.090392,0.090392,95
2020-05-20,0.090428,0.150695,0.085410,0.086536,0.086536,113
2020-05-21,0.086540,0.147967,0.082275,0.089641,0.089641,507
2020-05-22,0.089630,0.134368,0.074340,0.100753,0.100753,146
2020-05-23,0.100761,0.102037,0.071028,0.074507,0.074507,150
2020-05-24,0.074513,0.092807,0.059457,0.073196,0.073196,593
2020-05-25,0.072984,0.081729,0.062401,0.062436,0.062436,90
2020-05-26,0.062428,0.088313,0.060987,0.088313,0.088313,299
2020-05-27,0.088313,0.088315,0.061941,0.069806,0.069806,140
2020-05-28,0.069802,0.137293,0.068822,0.136982,0.136982,772
2020-05-29,0.136984,0.137805,0.078498,0.132017,0.132017,209
2020-05-30,0.132007,0.143309,0.113713,0.133343,0.133343,1065
2020-05-31,0.133343,0.197871,0.115972,0.116127,0.116127,761
2020-06-01,0.116100,0.196204,0.095563,0.161944,0.161944,1783
2020-06-02,0.161959,2.067459,0.142339,0.428455,0.428455,20167
2020-06-03,0.428519,0.429349,0.197485,0.299709,0.299709,807
2020-06-04,0.299758,0.421613,0.203953,0.287749,0.287749,2355
2020-06-05,0.287749,0.400200,0.232188,0.232188,0.232188,1304
2020-06-06,0.232188,0.320712,0.144021,0.179116,0.179116,2356
2020-06-07,0.179116,0.262867,0.179055,0.213139,0.213139,787
2020-06-08,0.213162,0.243095,0.185288,0.187501,0.187501,1137
2020-06-09,0.187502,0.243022,0.158736,0.160431,0.160431,411
2020-06-10,0.160439,0.263784,0.160126,0.191689,0.191689,811
2020-06-11,null,null,null,null,null,null
2020-06-12,null,null,null,null,null,null
2020-06-13,null,null,null,null,null,null
2020-06-14,0.184232,0.207499,0.159160,0.167261,0.167261,304
2020-06-15,0.167261,0.364994,0.147160,0.329518,0.329518,1282
2020-06-16,0.329585,0.329884,0.197706,0.201142,0.201142,880
2020-06-17,0.201161,0.300796,0.200609,0.273543,0.273543,790
2020-06-18,0.273543,0.284227,0.187416,0.189692,0.189692,1147
2020-06-19,0.189916,0.220079,0.167965,0.206234,0.206234,580
2020-06-20,null,null,null,null,null,null
2020-06-21,0.214360,0.216168,0.184941,0.185014,0.185014,115
2020-06-22,null,null,null,null,null,null
