Date,Open,High,Low,Close,Adj Close,Volume
2020-05-07,0.044652,0.046675,0.042926,0.046316,0.046316,102199
2020-05-08,0.046316,0.046651,0.039491,0.039610,0.039610,11563
2020-05-09,null,null,null,null,null,null
2020-05-10,null,null,null,null,null,null
2020-05-11,null,null,null,null,null,null
2020-05-12,null,null,null,null,null,null
2020-05-13,null,null,null,null,null,null
2020-05-14,null,null,null,null,null,null
2020-05-15,null,null,null,null,null,null
2020-05-16,0.048335,0.058931,0.048166,0.057930,0.057930,39834
2020-05-17,0.057947,0.076426,0.056717,0.059883,0.059883,199038
2020-05-18,0.059881,0.064937,0.058130,0.061538,0.061538,31529
2020-05-19,0.061499,0.069881,0.060873,0.063465,0.063465,241644
2020-05-20,0.063375,0.063970,0.053285,0.058921,0.058921,75016
2020-05-21,0.058739,0.059780,0.054961,0.056686,0.056686,15002
2020-05-22,0.056678,0.061301,0.055193,0.057865,0.057865,134609
2020-05-23,0.057870,0.059685,0.056361,0.056785,0.056785,58603
2020-05-24,0.056789,0.059970,0.053327,0.053399,0.053399,12116
2020-05-25,0.053244,0.062722,0.053047,0.055110,0.055110,15670
2020-05-26,0.055103,0.067512,0.054654,0.061856,0.061856,67012
2020-05-27,0.061856,0.062456,0.055321,0.057963,0.057963,104085
2020-05-28,0.058060,0.066242,0.057949,0.064553,0.064553,265151
2020-05-29,0.064548,0.065370,0.061839,0.062201,0.062201,236555
2020-05-30,0.062289,0.065652,0.060846,0.064726,0.064726,206752
2020-05-31,0.065108,0.066238,0.060403,0.060722,0.060722,244384
2020-06-01,0.060707,0.062277,0.057384,0.061634,0.061634,242525
2020-06-02,0.060445,0.062056,0.053061,0.055268,0.055268,118350
2020-06-03,0.055268,0.065514,0.054288,0.059130,0.059130,11971
2020-06-04,0.059140,0.063193,0.057554,0.059102,0.059102,112887
2020-06-05,0.059102,0.060086,0.056864,0.058403,0.058403,175781
2020-06-06,0.058403,0.058824,0.055658,0.057192,0.057192,208827
2020-06-07,0.057192,0.058887,0.055058,0.056764,0.056764,125328
2020-06-08,0.056770,0.058330,0.056403,0.056985,0.056985,151108
2020-06-09,0.057080,0.058430,0.056501,0.058127,0.058127,192785
2020-06-10,0.057937,0.061832,0.056887,0.061785,0.061785,143312
2020-06-11,null,null,null,null,null,null
2020-06-12,null,null,null,null,null,null
2020-06-13,null,null,null,null,null,null
2020-06-14,0.059633,0.065357,0.056822,0.057822,0.057822,85210
2020-06-15,0.057889,0.060950,0.056364,0.060319,0.060319,88897
2020-06-16,0.060324,0.063922,0.055795,0.063201,0.063201,97852
2020-06-17,0.063207,0.063285,0.053245,0.054158,0.054158,76303
2020-06-18,0.054156,0.061564,0.053780,0.059035,0.059035,12676
2020-06-19,0.059104,0.060814,0.057497,0.059192,0.059192,16474
2020-06-20,null,null,null,null,null,null
2020-06-21,0.059508,0.060034,0.057098,0.057121,0.057121,13299
2020-06-22,null,null,null,null,null,null
2020-06-23,0.059640,0.060049,0.055556,0.057944,0.057944,18520
2020-06-24,0.057969,0.060083,0.055979,0.057052,0.057052,59267
2020-06-25,0.057051,0.057234,0.054460,0.055669,0.055669,329938
2020-06-26,0.055658,0.055851,0.052166,0.053387,0.053387,264640
2020-06-27,null,null,null,null,null,null
2020-06-28,0.054231,0.056280,0.053403,0.053958,0.053958,20610
2020-06-29,0.053959,0.055932,0.052101,0.053942,0.053942,64166
2020-06-30,0.053586,0.056426,0.051637,0.053644,0.053644,103381
2020-07-01,0.053950,0.055617,0.053088,0.054684,0.054684,29365
2020-07-02,0.054684,0.054915,0.052705,0.053887,0.053887,45507
2020-07-03,0.053958,0.054695,0.053249,0.053779,0.053779,72942
2020-07-04,0.053696,0.054999,0.053095,0.054093,0.054093,85727
2020-07-05,0.053914,0.054846,0.052992,0.053792,0.053792,62527
2020-07-06,0.053792,0.058465,0.053062,0.055375,0.055375,66630
2020-07-07,0.055366,0.056638,0.054240,0.055165,0.055165,19703
2020-07-08,0.055165,0.058808,0.055096,0.057055,0.057055,24712
2020-07-09,0.057059,0.057542,0.055408,0.055948,0.055948,28626
2020-07-10,0.055953,0.057609,0.053957,0.055554,0.055554,91561
2020-07-11,0.055626,0.056291,0.053707,0.055729,0.055729,136869
2020-07-12,0.055999,0.056534,0.055199,0.055767,0.055767,125984
2020-07-13,0.055767,0.056334,0.054600,0.055278,0.055278,112301
2020-07-14,0.055278,0.056210,0.054508,0.055139,0.055139,157476
2020-07-15,0.055141,0.056026,0.053907,0.054198,0.054198,127105
2020-07-16,0.054412,0.054764,0.053341,0.054111,0.054111,116402
2020-07-17,0.053929,0.054719,0.053614,0.053984,0.053984,119914
2020-07-18,0.054149,0.054995,0.053648,0.054115,0.054115,114085
2020-07-19,0.054535,0.054535,0.053042,0.054124,0.054124,74823
2020-07-20,0.054207,0.054666,0.052876,0.053182,0.053182,88065
2020-07-21,0.053182,0.055983,0.052799,0.053665,0.053665,134130
2020-07-22,0.053121,0.054681,0.053038,0.054268,0.054268,107549
2020-07-23,0.054268,0.054798,0.052543,0.054308,0.054308,87420
2020-07-24,0.054308,0.056740,0.053525,0.055389,0.055389,84754
2020-07-25,0.055492,0.057154,0.054269,0.055211,0.055211,97578
2020-07-26,0.055219,0.056876,0.050090,0.056011,0.056011,143286
2020-07-27,0.056012,0.060698,0.049586,0.051937,0.051937,163517
2020-07-28,0.051757,0.057935,0.049632,0.054485,0.054485,164920
2020-07-29,0.054597,0.059826,0.053069,0.053914,0.053914,177453
2020-07-30,0.053914,0.059287,0.052438,0.057556,0.057556,150357
2020-07-31,0.057549,0.060642,0.056389,0.057820,0.057820,183322
2020-08-01,0.057820,0.060319,0.056068,0.057463,0.057463,148684
2020-08-02,0.057368,0.058717,0.051980,0.054504,0.054504,160400
2020-08-03,0.054504,0.056784,0.052678,0.053745,0.053745,208584
2020-08-04,0.053740,0.056537,0.052801,0.053846,0.053846,128977
2020-08-05,0.053987,0.056058,0.052722,0.055200,0.055200,149228
2020-08-06,0.055200,0.056143,0.053840,0.054630,0.054630,91690
2020-08-07,0.054623,0.055470,0.051029,0.052360,0.052360,71938
2020-08-08,0.052475,0.056873,0.052244,0.055815,0.055815,96688
2020-08-09,0.055695,0.058782,0.047906,0.058303,0.058303,78589
2020-08-10,0.058303,0.060159,0.056362,0.059035,0.059035,56259
2020-08-11,0.059055,0.059614,0.053035,0.053524,0.053524,68287
2020-08-12,null,null,null,null,null,null
2020-08-13,null,null,null,null,null,null
2020-08-14,null,null,null,null,null,null
2020-08-15,null,null,null,null,null,null
2020-08-16,0.055759,0.056015,0.053589,0.053756,0.053756,125586
2020-08-17,0.053756,0.057100,0.052247,0.056715,0.056715,103872
2020-08-18,0.056702,0.057444,0.052138,0.052546,0.052546,70322
2020-08-19,0.052543,0.054058,0.049910,0.053011,0.053011,162973
2020-08-20,0.053011,0.054089,0.050021,0.051327,0.051327,109078
2020-08-21,0.051321,0.054010,0.048983,0.051226,0.051226,94372
2020-08-22,0.051251,0.053720,0.049082,0.052670,0.052670,105379
2020-08-23,0.052665,0.059285,0.050726,0.058674,0.058674,146653
