Date,Open,High,Low,Close,Adj Close,Volume
2020-05-07,0.336150,0.366946,0.320268,0.365269,0.365269,106875703
2020-05-08,0.365269,0.367491,0.322230,0.333932,0.333932,116170978
2020-05-09,null,null,null,null,null,null
2020-05-10,null,null,null,null,null,null
2020-05-11,null,null,null,null,null,null
2020-05-12,null,null,null,null,null,null
2020-05-13,null,null,null,null,null,null
2020-05-14,null,null,null,null,null,null
2020-05-15,null,null,null,null,null,null
2020-05-16,0.304711,0.316423,0.302490,0.315704,0.315704,169321782
2020-05-17,0.315169,0.339315,0.312229,0.334560,0.334560,233790364
2020-05-18,0.334065,0.351163,0.333770,0.343287,0.343287,161105176
2020-05-19,0.343539,0.355589,0.328802,0.344644,0.344644,80820436
2020-05-20,0.341058,0.356529,0.330257,0.337825,0.337825,42648208
2020-05-21,0.337574,0.350555,0.305520,0.321135,0.321135,48453117
2020-05-22,0.320759,0.339532,0.318388,0.335398,0.335398,52356473
2020-05-23,0.331289,0.365434,0.331289,0.358480,0.358480,72913424
2020-05-24,0.356429,0.365179,0.328995,0.330378,0.330378,99462521
2020-05-25,0.329621,0.362416,0.324197,0.356133,0.356133,96620740
2020-05-26,0.357632,0.374704,0.346654,0.373538,0.373538,53218853
2020-05-27,0.373538,0.376496,0.347217,0.361652,0.361652,44618556
2020-05-28,0.365975,0.372682,0.355178,0.364786,0.364786,41030981
2020-05-29,0.364956,0.393214,0.359640,0.381840,0.381840,42877127
2020-05-30,0.381645,0.430067,0.367690,0.412361,0.412361,53197409
2020-05-31,0.413513,0.443735,0.394156,0.397343,0.397343,54679432
2020-06-01,0.400959,0.442984,0.398328,0.433569,0.433569,56314201
2020-06-02,0.436359,0.554906,0.434855,0.470637,0.470637,32841536
2020-06-03,0.470637,0.508878,0.449060,0.467299,0.467299,53019280
2020-06-04,0.469895,0.538438,0.463662,0.510350,0.510350,65413797
2020-06-05,0.510350,0.542175,0.484338,0.502003,0.502003,73700313
2020-06-06,0.502003,0.533516,0.474143,0.485045,0.485045,55269749
2020-06-07,0.485045,0.525573,0.460074,0.483356,0.483356,58254721
2020-06-08,0.484242,0.486283,0.465986,0.480670,0.480670,45053367
2020-06-09,0.482780,0.482780,0.449636,0.477109,0.477109,54542431
2020-06-10,0.476582,0.513212,0.448860,0.504292,0.504292,68522554
2020-06-11,null,null,null,null,null,null
2020-06-12,null,null,null,null,null,null
2020-06-13,null,null,null,null,null,null
2020-06-14,0.499188,0.513646,0.469350,0.482372,0.482372,55415636
2020-06-15,0.482372,0.486762,0.431861,0.481527,0.481527,79753825
2020-06-16,0.478943,0.495971,0.462927,0.479107,0.479107,64575811
2020-06-17,0.479334,0.481717,0.451605,0.465466,0.465466,73257660
2020-06-18,0.465237,0.504040,0.461010,0.495287,0.495287,61116288
2020-06-19,0.499478,0.539235,0.479475,0.500699,0.500699,68250257
2020-06-20,null,null,null,null,null,null
2020-06-21,0.491851,0.513792,0.487655,0.495923,0.495923,53024859
2020-06-22,null,null,null,null,null,null
2020-06-23,0.488669,0.501807,0.478877,0.493636,0.493636,32292021
2020-06-24,0.493638,0.502177,0.466169,0.479387,0.479387,27254478
2020-06-25,0.487151,0.501900,0.453051,0.499510,0.499510,26729464
2020-06-26,0.500225,0.533848,0.475744,0.494985,0.494985,29484085
2020-06-27,null,null,null,null,null,null
2020-06-28,0.438657,0.455606,0.421529,0.441579,0.441579,12888544
2020-06-29,0.441126,0.442078,0.407000,0.422496,0.422496,14497042
2020-06-30,0.419530,0.428140,0.406721,0.409410,0.409410,10139336
2020-07-01,0.412387,0.414368,0.390534,0.392338,0.392338,9600295
2020-07-02,0.392285,0.400122,0.368779,0.388692,0.388692,10877626
2020-07-03,0.388459,0.389907,0.369433,0.370346,0.370346,8561463
2020-07-04,0.369815,0.393302,0.369512,0.378721,0.378721,8509801
2020-07-05,0.378210,0.384070,0.357052,0.364113,0.364113,9093030
2020-07-06,0.363958,0.398993,0.363216,0.396086,0.396086,10097477
2020-07-07,0.395509,0.397340,0.383371,0.387503,0.387503,8314993
2020-07-08,0.387573,0.412643,0.385431,0.411586,0.411586,10436410
2020-07-09,0.410559,0.416968,0.391290,0.401576,0.401576,9820618
2020-07-10,0.402052,0.407922,0.379971,0.405211,0.405211,8914344
2020-07-11,0.404500,0.408704,0.396263,0.402333,0.402333,8646497
2020-07-12,0.402346,0.406775,0.391951,0.397788,0.397788,8491595
2020-07-13,0.397788,0.401387,0.382261,0.384454,0.384454,9384439
2020-07-14,0.384454,0.385626,0.374512,0.379784,0.379784,10243008
2020-07-15,0.379803,0.386213,0.366401,0.368906,0.368906,8349889
2020-07-16,0.368795,0.371232,0.347051,0.351283,0.351283,9885718
2020-07-17,0.351629,0.364379,0.345146,0.355053,0.355053,7521940
2020-07-18,0.355064,0.375468,0.350138,0.369865,0.369865,7869447
2020-07-19,0.370004,0.371983,0.361108,0.371040,0.371040,8848283
2020-07-20,0.371511,0.391403,0.367279,0.386582,0.386582,10510575
