Date,Open,High,Low,Close,Adj Close,Volume
2020-05-07,9.684501,10.034672,9.154407,9.775808,9.775808,19235202
2020-05-08,9.775808,10.727365,9.646132,10.221997,10.221997,20844298
2020-05-09,null,null,null,null,null,null
2020-05-10,null,null,null,null,null,null
2020-05-11,null,null,null,null,null,null
2020-05-12,null,null,null,null,null,null
2020-05-13,null,null,null,null,null,null
2020-05-14,null,null,null,null,null,null
2020-05-15,null,null,null,null,null,null
2020-05-16,8.265737,8.267563,7.732847,7.732847,7.732847,6921477
2020-05-17,7.734125,8.046892,7.429591,8.037553,8.037553,9554517
2020-05-18,8.035865,8.198896,7.572372,7.826962,7.826962,6737933
2020-05-19,7.831487,7.857080,7.525381,7.537844,7.537844,2388341
2020-05-20,7.535760,7.624450,7.457967,7.490417,7.490417,2312171
2020-05-21,7.488770,7.512900,7.087747,7.124395,7.124395,3316313
2020-05-22,7.125267,7.380142,7.005535,7.214865,7.214865,3307839
2020-05-23,7.210773,7.287964,6.811495,6.870084,6.870084,3182781
2020-05-24,6.868196,6.921824,6.487493,6.487493,6.487493,3646960
2020-05-25,6.489721,6.519842,6.177677,6.457920,6.457920,3019518
2020-05-26,6.459006,7.973633,6.447921,7.901872,7.901872,7312399
2020-05-27,7.901872,8.976604,7.593746,8.644959,8.644959,13152208
2020-05-28,8.644197,9.239614,7.714745,8.195143,8.195143,8786983
2020-05-29,8.208185,8.607987,8.131502,8.361159,8.361159,4535260
2020-05-30,8.360720,8.370305,8.008462,8.299541,8.299541,5123157
2020-05-31,8.299509,8.914969,8.217707,8.456203,8.456203,5572965
2020-06-01,8.463497,8.821461,8.442789,8.697406,8.697406,4938867
2020-06-02,8.698155,9.132323,8.492601,8.635145,8.635145,6771552
2020-06-03,8.635145,8.720464,8.415650,8.532786,8.532786,3738315
2020-06-04,8.535172,8.670484,8.406931,8.543718,8.543718,3770561
2020-06-05,8.543718,8.598966,8.440951,8.524385,8.524385,3850584
2020-06-06,8.524385,8.561810,8.453825,8.520091,8.520091,2853566
2020-06-07,8.520091,8.986593,8.495308,8.949138,8.949138,4516049
2020-06-08,8.947465,9.155036,8.760373,8.829191,8.829191,4763667
2020-06-09,8.832729,9.026445,8.742718,8.934216,8.934216,4430307
2020-06-10,8.933546,9.798762,8.858107,8.975602,8.975602,5044361
2020-06-11,null,null,null,null,null,null
2020-06-12,null,null,null,null,null,null
2020-06-13,null,null,null,null,null,null
2020-06-14,8.310003,8.567976,8.255099,8.482195,8.482195,3577283
2020-06-15,8.480966,8.544423,7.888729,8.292420,8.292420,4092507
2020-06-16,8.289357,8.384037,8.197404,8.324046,8.324046,3403104
2020-06-17,8.324216,8.350869,8.210733,8.278947,8.278947,3061120
2020-06-18,8.278362,8.304427,8.125842,8.128563,8.128563,3094521
2020-06-19,8.134871,8.249029,8.044526,8.054222,8.054222,2996713
2020-06-20,null,null,null,null,null,null
2020-06-21,8.019756,8.075068,7.837809,7.949692,7.949692,2551166
2020-06-22,null,null,null,null,null,null
2020-06-23,7.985901,8.081953,7.863305,8.056794,8.056794,3078603
2020-06-24,8.054799,8.068757,7.764477,7.870067,7.870067,3041279
2020-06-25,7.865372,7.925396,7.659897,7.859141,7.859141,2872916
2020-06-26,7.859657,7.890297,7.539795,7.559191,7.559191,2958331
2020-06-27,null,null,null,null,null,null
2020-06-28,7.198606,7.256315,7.030081,7.159289,7.159289,2392018
2020-06-29,7.154598,7.436955,7.084057,7.337558,7.337558,3286030
2020-06-30,7.337273,7.503381,7.250983,7.359581,7.359581,2796383
2020-07-01,7.358661,7.527541,7.294558,7.471522,7.471522,2616431
2020-07-02,7.473300,7.603647,7.356889,7.564971,7.564971,2579095
2020-07-03,7.567137,7.621259,7.408421,7.508871,7.508871,2475915
2020-07-04,7.507288,7.616998,7.434758,7.536810,7.536810,2461923
