Date,Open,High,Low,Close,Adj Close,Volume
2017-07-25,0.115203,0.115841,0.101531,0.105870,0.105870,145269
2017-07-26,0.105893,0.109013,0.099266,0.105138,0.105138,200395
2017-07-27,0.105108,0.108479,0.100888,0.107737,0.107737,344499
2017-07-28,0.107632,0.109019,0.101473,0.104067,0.104067,342568
2017-07-29,0.104782,0.111264,0.101108,0.107811,0.107811,340218
2017-07-30,0.107935,0.108138,0.103162,0.106414,0.106414,224261
2017-07-31,0.106828,0.108349,0.101600,0.104250,0.104250,240309
2017-08-01,0.104595,0.106266,0.096109,0.099867,0.099867,300413
2017-08-02,0.099721,0.101211,0.097361,0.100452,0.100452,256793
2017-08-03,0.100328,0.106978,0.099120,0.106642,0.106642,293008
2017-08-04,0.106685,0.107756,0.102699,0.107494,0.107494,287621
2017-08-05,0.107418,0.144653,0.107070,0.128871,0.128871,542878
2017-08-06,0.129293,0.132988,0.127380,0.130999,0.130999,393681
2017-08-07,0.133958,0.149765,0.133300,0.148848,0.148848,748177
2017-08-08,0.148998,0.226925,0.147766,0.224421,0.224421,2617340
2017-08-09,0.224748,0.260625,0.222158,0.242912,0.242912,3075320
2017-08-10,0.251827,0.349976,0.245052,0.349079,0.349079,4118070
2017-08-11,0.348785,0.409654,0.311067,0.392572,0.392572,4413920
2017-08-12,0.392193,0.475992,0.337589,0.446365,0.446365,5080760
2017-08-13,0.445990,1.022640,0.445990,0.876828,0.876828,13852100
2017-08-14,0.872918,1.463390,0.735764,1.295570,1.295570,51698100
2017-08-15,1.327090,1.378920,0.923372,1.056550,1.056550,19824400
2017-08-16,1.119690,1.452720,1.078690,1.437240,1.437240,31363100
2017-08-17,1.436970,2.111310,1.323640,1.967150,1.967150,61296500
2017-08-18,1.925190,2.754120,1.894700,2.384000,2.384000,69048000
2017-08-19,2.334400,2.334400,1.819940,2.093370,2.093370,43391300
2017-08-20,2.108210,2.689440,2.075820,2.502580,2.502580,65350400
2017-08-21,2.430750,2.908920,2.430750,2.701110,2.701110,72000600
2017-08-22,2.724450,2.724450,2.224790,2.485270,2.485270,52091300
2017-08-23,2.473970,2.955450,2.473970,2.580430,2.580430,64925100
2017-08-24,2.627360,2.663970,2.283380,2.379320,2.379320,45080400
2017-08-25,2.390570,2.729970,2.390570,2.496870,2.496870,49977600
2017-08-26,2.530380,2.538840,1.960560,2.169360,2.169360,26690700
2017-08-27,2.179970,2.313550,1.858020,2.005190,2.005190,17214900
2017-08-28,2.021490,2.167430,1.962800,2.042900,2.042900,15413900
2017-08-29,2.106250,2.327580,1.989730,2.327580,2.327580,20372000
2017-08-30,2.281940,2.365350,2.094560,2.350050,2.350050,24830000
2017-08-31,2.328230,2.408150,2.196450,2.203790,2.203790,20214800
2017-09-01,2.201690,2.388990,2.116520,2.384170,2.384170,20990700
2017-09-02,2.500000,2.849270,1.722470,1.992680,1.992680,22995400
2017-09-03,1.925480,2.019300,1.424170,1.575800,1.575800,11662000
2017-09-04,1.576650,1.576650,0.613010,1.049570,1.049570,20075100
2017-09-05,1.032510,1.119450,0.740622,0.973716,0.973716,9453770
2017-09-06,0.990521,1.171300,0.735500,1.086140,1.086140,14279400
2017-09-07,1.034340,1.508270,0.956745,1.366220,1.366220,15442300
2017-09-08,1.398040,1.403930,0.946601,1.006830,1.006830,9872850
2017-09-09,1.009200,1.033780,0.863061,0.989301,0.989301,4011510
2017-09-10,0.982078,1.002760,0.852385,0.942159,0.942159,3257430
2017-09-11,0.949186,1.101700,0.902000,1.025810,1.025810,5167180
2017-09-12,1.033480,1.208240,0.987632,1.035680,1.035680,7213490
2017-09-13,1.042900,1.042900,0.880241,0.937204,0.937204,2780700
2017-09-14,0.937870,0.950177,0.673482,0.678784,0.678784,3134360
2017-09-15,0.683305,0.849217,0.526755,0.799709,0.799709,4625680
2017-09-16,0.808056,0.927197,0.746113,0.804198,0.804198,2829570
2017-09-17,0.803423,0.814797,0.733745,0.789589,0.789589,1273640
2017-09-18,0.789565,0.937029,0.787604,0.909202,0.909202,3717860
2017-09-19,0.907398,0.909132,0.787653,0.802425,0.802425,2888420
2017-09-20,0.815032,0.816384,0.743676,0.747890,0.747890,2536950
2017-09-21,0.764013,0.781775,0.684281,0.702140,0.702140,2238040
2017-09-22,0.698871,0.740154,0.683260,0.715893,0.715893,2099500
