Date,Open,High,Low,Close,Adj Close,Volume
2017-06-18,13.741500,19.983999,13.741500,19.983999,19.983999,16871
2017-06-19,20.905800,23.731001,16.986401,23.731001,23.731001,51908
2017-06-20,23.731001,23.731001,14.988000,21.407900,21.407900,28295
2017-06-21,21.407900,22.756800,17.486000,20.006500,20.006500,28089
2017-06-22,20.006500,20.009001,3.974300,4.188290,4.188290,2399260
2017-06-23,4.158270,4.442570,3.900780,4.041520,4.041520,8023600
2017-06-24,4.055680,4.056350,3.329090,3.399320,3.399320,4176390
2017-06-25,3.404950,3.477990,2.554540,2.856380,2.856380,4202840
2017-06-26,2.855320,3.063880,2.146860,2.479180,2.479180,8236810
2017-06-27,2.656420,3.045050,2.304970,3.045050,3.045050,4432880
2017-06-28,3.063540,3.514340,2.866600,3.484930,3.484930,7524550
2017-06-29,3.488770,3.585860,3.158940,3.158940,3.158940,3625460
2017-06-30,3.180960,3.270420,2.797010,2.846930,2.846930,3329010
2017-07-01,2.872480,2.885540,2.586700,2.700480,2.700480,3321100
2017-07-02,2.696310,2.987060,2.590620,2.924390,2.924390,2457840
2017-07-03,2.907600,2.946330,2.756590,2.892300,2.892300,3030160
2017-07-04,2.886560,2.958120,2.771750,2.848110,2.848110,1823890
2017-07-05,2.845500,2.866810,2.667850,2.786760,2.786760,2600760
2017-07-06,2.772500,2.851610,2.740290,2.776060,2.776060,1497570
2017-07-07,2.773640,2.775000,2.474660,2.491840,2.491840,1849670
2017-07-08,2.495500,2.558110,2.391320,2.504760,2.504760,1452940
2017-07-09,2.505700,2.560300,2.410790,2.410790,2.410790,661295
2017-07-10,2.407340,2.422850,1.952390,2.103880,2.103880,2403320
2017-07-11,2.095980,2.151470,1.769040,1.938750,1.938750,1557010
2017-07-12,1.935260,2.246770,1.825550,2.174790,2.174790,831411
2017-07-13,2.205530,2.210620,1.909340,2.057700,2.057700,23188800
2017-07-14,2.053300,2.068000,1.826510,1.976160,1.976160,65835700
2017-07-15,1.972500,1.980930,1.712080,1.712080,1.712080,72605904
2017-07-16,1.704630,1.729150,1.358050,1.560040,1.560040,1499730
2017-07-17,1.549530,1.870400,1.547530,1.870400,1.870400,958200
2017-07-18,1.878280,2.508720,1.789120,2.259340,2.259340,1752420
2017-07-19,2.259000,2.430000,1.785310,1.811530,1.811530,5602570
