Date,Open,High,Low,Close,Adj Close,Volume
2020-06-14,1.023403,1.028180,1.016245,1.021210,1.021210,13784
2020-06-15,1.021005,1.072755,0.975809,1.065060,1.065060,7016
2020-06-16,1.065142,1.080833,1.018725,1.028568,1.028568,5957
2020-06-17,1.028663,1.030389,1.004774,1.022944,1.022944,9066
2020-06-18,1.022913,1.023279,1.008277,1.018110,1.018110,17218
2020-06-19,1.019289,1.020789,1.003575,1.007967,1.007967,14160
2020-06-20,null,null,null,null,null,null
2020-06-21,1.023335,1.033613,1.012996,1.013391,1.013391,4825
2020-06-22,null,null,null,null,null,null
2020-06-23,1.032622,1.034678,1.008463,1.011211,1.011211,8072
2020-06-24,1.011652,1.021412,0.971289,1.016605,1.016605,10864
2020-06-25,1.017270,1.024307,0.991366,1.013913,1.013913,6920
2020-06-26,1.013713,1.028578,1.001283,1.018926,1.018926,9323
2020-06-27,null,null,null,null,null,null
2020-06-28,1.004234,1.022311,0.999206,1.018526,1.018526,0
2020-06-29,1.018526,1.018526,1.018526,1.018526,1.018526,0
2020-06-30,1.018526,1.018526,1.018526,1.018526,1.018526,0
2020-07-01,1.018526,1.034429,1.003182,1.024124,1.024124,8001
2020-07-02,1.024124,1.030065,1.000669,1.010696,1.010696,9376
2020-07-03,1.010469,1.017629,1.005751,1.011271,1.011271,0
2020-07-04,1.011271,1.045731,1.011271,1.028822,1.028822,9353
2020-07-05,1.028829,1.041860,1.013043,1.023419,1.023419,10247
2020-07-06,1.023377,1.044564,1.016071,1.033589,1.033589,4375
2020-07-07,1.033410,1.043783,1.017133,1.020716,1.020716,5779
2020-07-08,1.020716,1.045104,1.019427,1.037270,1.037270,10296
2020-07-09,1.037332,1.039393,0.995547,0.998893,0.998893,10610
2020-07-10,0.998997,1.022094,0.986991,1.021069,1.021069,2443
2020-07-11,1.021069,1.025632,1.013390,1.018398,1.018398,10367
2020-07-12,1.018378,1.029426,1.012968,1.022590,1.022590,10673
2020-07-13,1.022590,1.029137,1.014141,1.016201,1.016201,9933
2020-07-14,1.016209,1.031900,1.008213,1.024390,1.024390,9868
2020-07-15,1.024375,1.032224,1.016676,1.019204,1.019204,9866
2020-07-16,1.019027,1.026800,1.006886,1.019587,1.019587,9455
2020-07-17,1.019490,1.030630,1.014853,1.022234,1.022234,5218
