Date,Open,High,Low,Close,Adj Close,Volume
2020-05-07,0.217635,0.264524,0.178370,0.191757,0.191757,1624
2020-05-08,0.191757,0.248828,0.190385,0.222254,0.222254,1702
2020-05-09,null,null,null,null,null,null
2020-05-10,null,null,null,null,null,null
2020-05-11,null,null,null,null,null,null
2020-05-12,null,null,null,null,null,null
2020-05-13,null,null,null,null,null,null
2020-05-14,null,null,null,null,null,null
2020-05-15,null,null,null,null,null,null
2020-05-16,0.166190,0.191150,0.160554,0.160567,0.160567,1275
2020-05-17,0.160613,0.196740,0.160234,0.183861,0.183861,1681
2020-05-18,0.183853,0.188151,0.166514,0.169066,0.169066,1535
2020-05-19,0.168968,0.176747,0.072846,0.145448,0.145448,1857
2020-05-20,0.145505,0.166961,0.099422,0.144276,0.144276,1491
2020-05-21,0.144275,0.160489,0.094366,0.110213,0.110213,815
2020-05-22,0.110199,0.150793,0.102078,0.149412,0.149412,1369
2020-05-23,0.149424,0.153926,0.104705,0.124449,0.124449,1284
2020-05-24,0.108110,0.153527,0.107510,0.110961,0.110961,1218
2020-05-25,0.110640,0.153104,0.106571,0.151612,0.151612,1419
2020-05-26,0.151591,0.184198,0.147615,0.166986,0.166986,1779
2020-05-27,0.166986,0.245732,0.159929,0.245609,0.245609,1979
2020-05-28,0.245594,0.246679,0.165469,0.190646,0.190646,1621
2020-05-29,0.190637,0.233687,0.179935,0.212227,0.212227,1924
2020-05-30,0.212211,0.235434,0.199155,0.216823,0.216823,2351
2020-05-31,0.216820,0.235043,0.197956,0.216386,0.216386,2228
2020-06-01,0.216336,0.223111,0.198117,0.212891,0.212891,2080
2020-06-02,0.212932,0.227823,0.196387,0.199224,0.199224,1594
2020-06-03,0.199224,0.233461,0.199023,0.204921,0.204921,1425
2020-06-04,0.204957,0.234356,0.199029,0.209340,0.209340,1597
2020-06-05,0.209340,0.233668,0.169798,0.169800,0.169800,1514
2020-06-06,0.169800,0.231077,0.168786,0.231042,0.231042,2246
2020-06-07,0.231042,0.232217,0.166175,0.174981,0.174981,942
2020-06-08,0.175000,0.232340,0.170530,0.221490,0.221490,2034
2020-06-09,0.221490,0.231315,0.169775,0.176450,0.176450,1327
2020-06-10,0.176459,0.202683,0.171412,0.173430,0.173430,1619
2020-06-11,null,null,null,null,null,null
2020-06-12,null,null,null,null,null,null
2020-06-13,null,null,null,null,null,null
2020-06-14,0.178835,0.225285,0.165427,0.224028,0.224028,1999
2020-06-15,0.223984,0.226761,0.158855,0.225370,0.225370,1565
2020-06-16,0.225387,0.228497,0.166301,0.192104,0.192104,1673
2020-06-17,0.192123,0.192214,0.163194,0.166145,0.166145,1023
2020-06-18,0.166140,0.166343,0.072270,0.072333,0.072333,253
2020-06-19,0.072416,0.103230,0.070213,0.102427,0.102427,775
2020-06-20,null,null,null,null,null,null
2020-06-21,0.163566,0.165114,0.078431,0.091002,0.091002,597
2020-06-22,null,null,null,null,null,null
2020-06-23,0.158166,0.168784,0.127006,0.155745,0.155745,1186
2020-06-24,0.155813,0.168388,0.138102,0.154079,0.154079,1001
2020-06-25,0.154078,0.162833,0.086820,0.088643,0.088643,664
2020-06-26,0.088625,0.109936,0.082964,0.103219,0.103219,660
2020-06-27,null,null,null,null,null,null
2020-06-28,0.082675,0.160633,0.082428,0.112604,0.112604,1097
2020-06-29,0.112607,0.162144,0.088477,0.138919,0.138919,1250
2020-06-30,0.138911,0.161184,0.083875,0.114938,0.114938,833
2020-07-01,0.115594,0.153169,0.101011,0.144746,0.144746,1287
