Date,Open,High,Low,Close,Adj Close,Volume
2014-09-17,0.034049,0.034940,0.030774,0.031356,0.031356,708696
2014-09-18,0.031351,0.032907,0.030179,0.031145,0.031145,504952
2014-09-19,0.031108,0.031346,0.028119,0.030019,0.030019,539520
2014-09-20,0.029974,0.033035,0.029138,0.031173,0.031173,567017
2014-09-21,0.031222,0.031825,0.029819,0.030029,0.030029,270648
2014-09-22,0.030033,0.031122,0.030033,0.030651,0.030651,121298
2014-09-23,0.030648,0.032395,0.030217,0.032095,0.032095,403715
2014-09-24,0.032012,0.032012,0.030128,0.030656,0.030656,218822
2014-09-25,0.030648,0.031054,0.030226,0.030783,0.030783,166740
2014-09-26,0.030777,0.034983,0.030777,0.033929,0.033929,1211990
2014-09-27,0.033914,0.035333,0.033247,0.033868,0.033868,520848
2014-09-28,0.033915,0.034103,0.031599,0.031776,0.031776,360587
2014-09-29,0.031742,0.031917,0.030456,0.030984,0.030984,259268
2014-09-30,0.031006,0.033372,0.030869,0.032881,0.032881,268646
2014-10-01,0.032879,0.033385,0.032251,0.032310,0.032310,183853
2014-10-02,0.032334,0.032334,0.031280,0.031410,0.031410,87025
2014-10-03,0.031410,0.032145,0.031020,0.031935,0.031935,111488
2014-10-04,0.031765,0.032100,0.029546,0.030180,0.030180,252982
2014-10-05,0.029968,0.031113,0.027432,0.029076,0.029076,337712
2014-10-06,0.029164,0.030577,0.028227,0.028926,0.028926,253555
2014-10-07,0.028940,0.029558,0.027703,0.028233,0.028233,196917
2014-10-08,0.028274,0.028945,0.026856,0.028591,0.028591,214919
2014-10-09,0.028700,0.029103,0.028042,0.028401,0.028401,231151
2014-10-10,0.028472,0.028689,0.026938,0.027052,0.027052,203303
2014-10-11,0.026781,0.028013,0.024964,0.028013,0.028013,380242
2014-10-12,0.028068,0.028225,0.026516,0.027188,0.027188,167045
2014-10-13,0.027179,0.027593,0.026903,0.027486,0.027486,114471
2014-10-14,0.027510,0.028205,0.027374,0.027406,0.027406,192025
2014-10-15,0.027587,0.027753,0.025963,0.026507,0.026507,195984
2014-10-16,0.026506,0.027250,0.025038,0.025580,0.025580,366588
2014-10-17,0.025578,0.026721,0.024840,0.025181,0.025181,204787
2014-10-18,0.025372,0.025372,0.024078,0.024593,0.024593,238007
