Date,Open,High,Low,Close,Adj Close,Volume
2020-05-07,0.244914,0.277410,0.235161,0.254272,0.254272,734
2020-05-08,0.264491,0.297699,0.260031,0.292156,0.292156,1038
2020-05-09,null,null,null,null,null,null
2020-05-10,null,null,null,null,null,null
2020-05-11,null,null,null,null,null,null
2020-05-12,null,null,null,null,null,null
2020-05-13,null,null,null,null,null,null
2020-05-14,null,null,null,null,null,null
2020-05-15,null,null,null,null,null,null
2020-05-16,0.246819,0.266020,0.245079,0.258488,0.258488,380
2020-05-17,0.258511,0.273213,0.257195,0.260733,0.260733,72
2020-05-18,0.260722,0.264116,0.239539,0.252469,0.252469,5375
2020-05-19,0.252311,0.253337,0.238563,0.243062,0.243062,1249
2020-05-20,0.243214,0.246617,0.234693,0.239095,0.239095,1610
2020-05-21,0.239102,0.240012,0.220009,0.224619,0.224619,588
2020-05-22,0.224596,0.244335,0.222033,0.243425,0.243425,3264
2020-05-23,0.243444,0.246122,0.226201,0.241154,0.241154,80
2020-05-24,0.229903,0.236996,0.217256,0.217456,0.217456,90
2020-05-25,0.216827,0.226658,0.196450,0.216242,0.216242,291
2020-05-26,0.216214,0.225033,0.187827,0.209768,0.209768,1189
2020-05-27,0.209768,0.219025,0.206285,0.217346,0.217346,65
2020-05-28,0.217337,0.218199,0.189888,0.206761,0.206761,1154
2020-05-29,0.206763,0.213253,0.204964,0.213134,0.213134,202
2020-05-30,0.213117,0.218802,0.199712,0.218776,0.218776,719
2020-05-31,0.218776,0.220235,0.203743,0.213896,0.213896,335
2020-06-01,0.213857,0.234992,0.210468,0.234039,0.234039,350
2020-06-02,0.234052,0.234626,0.212848,0.215207,0.215207,685
2020-06-03,0.215207,0.215372,0.162511,0.209358,0.209358,5337
2020-06-04,0.209392,0.215317,0.186887,0.214376,0.214376,1066
2020-06-05,0.214378,0.215780,0.200427,0.205520,0.205520,451
2020-06-06,0.205520,0.206821,0.183593,0.197077,0.197077,560
2020-06-07,0.197094,0.213317,0.197002,0.212023,0.212023,247
2020-06-08,0.212046,0.223592,0.200410,0.216525,0.216525,1417
2020-06-09,0.216522,0.218004,0.190264,0.196634,0.196634,348
2020-06-10,0.196634,0.215806,0.195915,0.215775,0.215775,586
2020-06-11,null,null,null,null,null,null
2020-06-12,null,null,null,null,null,null
2020-06-13,null,null,null,null,null,null
2020-06-14,0.227929,0.229845,0.179043,0.187962,0.187962,2114
2020-06-15,0.187962,0.208785,0.187915,0.202313,0.202313,868
2020-06-16,0.202355,0.208710,0.201532,0.204086,0.204086,79
2020-06-17,0.204111,0.212275,0.172130,0.179342,0.179342,2775
2020-06-18,0.179337,0.184294,0.173850,0.181725,0.181725,654
2020-06-19,0.181923,0.186147,0.163766,0.168152,0.168152,1736
2020-06-20,null,null,null,null,null,null
2020-06-21,0.177740,0.193794,0.176903,0.192149,0.192149,472
2020-06-22,null,null,null,null,null,null
2020-06-23,0.194188,0.231106,0.191438,0.205067,0.205067,2921
2020-06-24,0.205146,0.207566,0.180686,0.181471,0.181471,224
2020-06-25,0.181584,0.182276,0.174676,0.177757,0.177757,809
2020-06-26,0.177729,0.192856,0.175294,0.186530,0.186530,1159
2020-06-27,null,null,null,null,null,null
2020-06-28,0.170307,0.177642,0.169718,0.175803,0.175803,807
2020-06-29,0.175803,0.183510,0.170158,0.176930,0.176930,557
2020-06-30,0.176919,0.184562,0.176149,0.179517,0.179517,395
2020-07-01,0.179517,0.183730,0.175349,0.180134,0.180134,72
2020-07-02,0.180204,0.183405,0.177486,0.179646,0.179646,84
2020-07-03,0.179648,0.184465,0.174088,0.174609,0.174609,398
2020-07-04,0.174632,0.188239,0.174389,0.181229,0.181229,529
2020-07-05,0.180587,0.183677,0.169142,0.176076,0.176076,519
2020-07-06,0.176076,0.197086,0.175179,0.190338,0.190338,218
2020-07-07,0.190304,0.220660,0.173135,0.187434,0.187434,2268
2020-07-08,0.187472,0.218371,0.185438,0.217901,0.217901,1054
2020-07-09,0.217911,0.227693,0.193099,0.204594,0.204594,1634
2020-07-10,0.204600,0.204763,0.193621,0.199977,0.199977,176
2020-07-11,0.199989,0.204959,0.193775,0.194891,0.194891,423
2020-07-12,0.194888,0.202130,0.184968,0.185024,0.185024,1197
2020-07-13,0.185024,0.187756,0.176217,0.179082,0.179082,1298
2020-07-14,0.179378,0.184066,0.177558,0.182038,0.182038,540
2020-07-15,0.182028,0.183048,0.176864,0.181288,0.181288,326
2020-07-16,0.181268,0.193326,0.175044,0.186464,0.186464,624
2020-07-17,0.186448,0.187614,0.169992,0.178170,0.178170,1105
2020-07-18,0.178164,0.192393,0.164846,0.176153,0.176153,1132
2020-07-19,0.176147,0.187775,0.174154,0.186179,0.186179,636
2020-07-20,0.186465,0.195923,0.175882,0.177962,0.177962,1053
2020-07-21,0.177958,0.181507,0.177171,0.177932,0.177932,1071
2020-07-22,0.177935,0.202977,0.175518,0.195908,0.195908,693
2020-07-23,0.195907,0.196363,0.176448,0.187345,0.187345,1346
2020-07-24,0.187371,0.225138,0.186374,0.201014,0.201014,1538
2020-07-25,0.201030,0.210082,0.174666,0.192357,0.192357,2080
2020-07-26,0.192389,0.208892,0.190012,0.201831,0.201831,711
2020-07-27,0.201824,0.222084,0.201660,0.212754,0.212754,473
2020-07-28,0.212730,0.222114,0.206149,0.212244,0.212244,404
2020-07-29,0.212320,0.250192,0.200471,0.231362,0.231362,1785
2020-07-30,0.231527,0.231585,0.207297,0.210815,0.210815,899
2020-07-31,0.210790,0.220389,0.208387,0.218573,0.218573,139
2020-08-01,0.218573,0.228672,0.212334,0.222496,0.222496,46
2020-08-02,0.222509,0.229643,0.207867,0.211664,0.211664,677
2020-08-03,0.211625,0.229136,0.209512,0.212743,0.212743,660
2020-08-04,0.212724,0.216908,0.207120,0.208146,0.208146,683
2020-08-05,0.208168,0.229708,0.204792,0.222546,0.222546,730
2020-08-06,0.222550,0.257210,0.220357,0.244685,0.244685,2390
2020-08-07,0.244651,0.245232,0.225531,0.229516,0.229516,1431
2020-08-08,0.229580,0.266117,0.229042,0.246546,0.246546,1800
2020-08-09,0.246621,0.263288,0.238045,0.251638,0.251638,1158
2020-08-10,0.251703,0.452034,0.251670,0.369531,0.369531,2567
2020-08-11,0.369644,0.373670,0.230575,0.241073,0.241073,2148
2020-08-12,0.241156,0.267618,0.232542,0.261384,0.261384,3267
2020-08-13,0.261400,0.282012,0.252046,0.269848,0.269848,2807
2020-08-14,0.269759,0.286785,0.257872,0.264188,0.264188,1258
2020-08-15,0.264266,0.286279,0.260654,0.278771,0.278771,353
2020-08-16,0.278729,0.313223,0.260308,0.299268,0.299268,4458
2020-08-17,0.299268,0.350249,0.285247,0.348810,0.348810,2049
2020-08-18,0.348842,0.349654,0.264394,0.290346,0.290346,2737
2020-08-19,0.290346,0.291601,0.253861,0.253861,0.253861,1661
2020-08-20,0.253511,0.287918,0.249272,0.285577,0.285577,1455
2020-08-21,0.285546,0.288350,0.264053,0.271765,0.271765,488
2020-08-22,0.271765,0.276811,0.261068,0.261108,0.261108,392
2020-08-23,0.261086,0.268278,0.247454,0.267938,0.267938,616
2020-08-24,0.267938,0.304152,0.254901,0.292997,0.292997,1284
2020-08-25,0.292937,0.302554,0.268288,0.271534,0.271534,755
2020-08-26,0.271149,0.272466,0.248627,0.249172,0.249172,707
2020-08-27,0.249092,0.274397,0.244617,0.254207,0.254207,1285
2020-08-28,0.254214,0.291450,0.251291,0.275274,0.275274,2566
2020-08-29,0.275326,0.282322,0.257893,0.282092,0.282092,794
2020-08-30,0.282061,0.291551,0.269683,0.272860,0.272860,1056
2020-08-31,0.272911,0.289968,0.270750,0.270750,0.270750,552
2020-09-01,0.270663,0.280761,0.260973,0.274050,0.274050,1614
2020-09-02,0.274062,0.274783,0.258159,0.265410,0.265410,1036
2020-09-03,0.265273,0.266354,0.244162,0.245728,0.245728,1847
2020-09-04,0.245783,0.248463,0.224121,0.239074,0.239074,1157
2020-09-05,0.239424,0.272593,0.237937,0.254712,0.254712,458
2020-09-06,0.254712,0.255935,0.227016,0.240928,0.240928,1288
2020-09-07,0.240948,0.241756,0.223638,0.235068,0.235068,827
2020-09-08,0.235102,0.247637,0.213361,0.230497,0.230497,220
2020-09-09,0.230505,0.245992,0.228138,0.245626,0.245626,430
2020-09-10,0.245658,0.255711,0.234568,0.245252,0.245252,855
2020-09-11,0.245251,0.245694,0.219045,0.237129,0.237129,2252
2020-09-12,0.237129,0.245268,0.223026,0.226010,0.226010,577
2020-09-13,0.226006,0.233199,0.223650,0.224178,0.224178,303
2020-09-14,0.224205,0.249445,0.222980,0.247986,0.247986,721
2020-09-15,0.248029,0.248517,0.203673,0.206256,0.206256,124
2020-09-16,0.206251,0.255660,0.204380,0.243246,0.243246,391
2020-09-17,0.243258,0.251356,0.232030,0.238507,0.238507,22
2020-09-18,0.238507,0.241039,0.225026,0.227100,0.227100,751
2020-09-19,0.227184,0.245431,0.200141,0.238931,0.238931,660
2020-09-20,0.238944,0.238944,0.229555,0.231358,0.231358,1121
2020-09-21,0.231359,0.233595,0.211436,0.212770,0.212770,432
2020-09-22,0.212700,0.233938,0.162186,0.225647,0.225647,499
2020-09-23,0.225647,0.231067,0.198480,0.199757,0.199757,8164
2020-09-24,0.199744,0.221379,0.191040,0.210489,0.210489,5500
2020-09-25,0.210487,0.214941,0.199671,0.200435,0.200435,554
2020-09-26,0.200448,0.205703,0.199710,0.205133,0.205133,103
2020-09-27,0.205118,0.206151,0.158756,0.159197,0.159197,12
2020-09-28,0.159197,0.475518,0.135623,0.229325,0.229325,744
2020-09-29,0.229276,0.231907,0.198250,0.209815,0.209815,1057
2020-09-30,0.209803,0.289369,0.197436,0.218702,0.218702,137
2020-10-01,0.218705,0.220209,0.185719,0.186171,0.186171,160
2020-10-02,0.186165,0.198339,0.185723,0.195478,0.195478,1044
2020-10-03,0.195478,0.200576,0.194683,0.200077,0.200077,96
2020-10-04,0.200077,0.201213,0.196534,0.198247,0.198247,300
2020-10-05,0.198264,0.199111,0.186725,0.190049,0.190049,197
2020-10-06,0.190029,0.203577,0.186773,0.193160,0.193160,1010
2020-10-07,0.193160,0.213963,0.188303,0.188966,0.188966,560
2020-10-08,0.188974,0.201749,0.182655,0.192724,0.192724,103
2020-10-09,0.192950,0.211713,0.192374,0.199922,0.199922,528
2020-10-10,0.199309,0.219542,0.199177,0.200563,0.200563,544
2020-10-11,0.200563,0.226926,0.199902,0.225594,0.225594,28
2020-10-12,0.225594,0.226149,0.195744,0.200349,0.200349,703
2020-10-13,0.200349,0.207463,0.195381,0.198346,0.198346,68
2020-10-14,0.198346,0.214367,0.196213,0.201650,0.201650,327
2020-10-15,0.201650,0.217960,0.192952,0.204653,0.204653,599
2020-10-16,0.204652,0.216401,0.200345,0.200856,0.200856,479
2020-10-17,0.200856,0.208766,0.198299,0.205042,0.205042,77
2020-10-18,0.205042,0.212078,0.198875,0.200917,0.200917,157
2020-10-19,0.200917,0.216235,0.198884,0.215754,0.215754,139
2020-10-20,0.215754,0.216489,0.207598,0.208289,0.208289,40
2020-10-21,0.208289,0.237451,0.208020,0.237167,0.237167,1350
2020-10-22,0.237166,0.239390,0.211851,0.214796,0.214796,2073
2020-10-23,0.214795,0.234140,0.211307,0.215590,0.215590,368
2020-10-24,0.215641,0.217966,0.214355,0.215540,0.215540,477
2020-10-25,0.215500,0.217672,0.213813,0.214526,0.214526,483
2020-10-26,0.214583,0.216048,0.201542,0.207360,0.207360,1131
2020-10-27,0.207380,0.228283,0.197920,0.214478,0.214478,1885
2020-10-28,0.214679,0.216607,0.200064,0.211709,0.211709,500
2020-10-29,0.211664,0.214713,0.202920,0.211046,0.211046,224
2020-10-30,0.210865,0.212851,0.195137,0.201595,0.201595,501
2020-10-31,0.201598,0.216306,0.198151,0.214792,0.214792,412
2020-11-01,0.214826,0.216046,0.196825,0.209291,0.209291,112
2020-11-02,0.209600,0.212308,0.197629,0.204291,0.204291,303
2020-11-03,0.204156,0.207377,0.194825,0.201727,0.201727,230
2020-11-04,0.202231,0.202940,0.191739,0.198221,0.198221,638
2020-11-05,0.198225,0.230706,0.189227,0.210412,0.210412,1265
2020-11-06,0.210410,0.217285,0.203146,0.204551,0.204551,473
2020-11-07,0.204721,0.219722,0.193891,0.198916,0.198916,199
2020-11-08,0.198708,0.213131,0.179949,0.198606,0.198606,3498
2020-11-09,0.198512,0.204522,0.192981,0.194585,0.194585,159
2020-11-10,0.194539,0.195476,0.185722,0.191436,0.191436,723
2020-11-11,0.191427,0.209815,0.190455,0.190590,0.190590,494
2020-11-12,0.190567,0.222779,0.184711,0.191816,0.191816,1088
2020-11-13,0.191816,0.218948,0.191489,0.210241,0.210241,417
2020-11-14,0.210241,0.211717,0.205646,0.207761,0.207761,337
2020-11-15,0.207763,0.210240,0.205899,0.208311,0.208311,85
2020-11-16,0.208311,0.210758,0.205995,0.210203,0.210203,31
2020-11-17,0.209861,0.210305,0.199588,0.199721,0.199721,314
2020-11-18,0.199723,0.205025,0.191766,0.193024,0.193024,114
2020-11-19,0.193028,0.195658,0.190966,0.195093,0.195093,994
2020-11-20,0.195091,0.197214,0.192047,0.194610,0.194610,893
2020-11-21,0.194608,0.198362,0.194326,0.196579,0.196579,888
2020-11-22,0.196580,0.197253,0.190827,0.193531,0.193531,576
2020-11-23,0.193527,0.196358,0.190343,0.191955,0.191955,149
2020-11-24,0.191948,0.204157,0.190314,0.201303,0.201303,671
2020-11-25,0.201299,0.201657,0.116346,0.120649,0.120649,1354
2020-11-26,0.120644,0.154708,0.119082,0.151587,0.151587,833
2020-11-27,0.151654,0.152055,0.136797,0.137061,0.137061,664
2020-11-28,0.137061,0.149360,0.131179,0.131776,0.131776,364
2020-11-29,0.131777,0.152443,0.130901,0.146393,0.146393,1681
2020-11-30,0.146390,0.178067,0.146106,0.175385,0.175385,2491
2020-12-01,0.175380,0.177657,0.158638,0.167821,0.167821,164
2020-12-02,0.167822,0.185250,0.166911,0.178602,0.178602,61
2020-12-03,0.178565,0.182958,0.164553,0.181241,0.181241,371
2020-12-04,0.181288,0.204984,0.162442,0.182280,0.182280,522
2020-12-05,0.181726,0.181726,0.166079,0.167326,0.167326,134
2020-12-06,0.167398,0.172731,0.162963,0.170542,0.170542,55
2020-12-07,0.170554,0.180497,0.165527,0.174116,0.174116,221
2020-12-08,0.174088,0.175148,0.165187,0.171951,0.171951,754
2020-12-09,0.171905,0.175755,0.149537,0.152254,0.152254,1248
2020-12-10,0.152161,0.178488,0.145985,0.163583,0.163583,658
2020-12-11,0.163506,0.174530,0.146683,0.152591,0.152591,223
2020-12-12,0.152474,0.212681,0.143416,0.203205,0.203205,3407
2020-12-13,0.203287,0.203818,0.167136,0.177660,0.177660,663
2020-12-14,0.177617,0.184541,0.149854,0.178883,0.178883,191
2020-12-15,0.178845,0.181370,0.163860,0.171737,0.171737,505
2020-12-16,0.171728,0.189180,0.157982,0.180043,0.180043,556
2020-12-17,0.180063,0.199939,0.174166,0.174975,0.174975,241
2020-12-18,0.174972,0.180230,0.155230,0.156769,0.156769,338
2020-12-19,0.156765,0.156765,0.139715,0.148689,0.148689,146
2020-12-20,0.148688,0.149491,0.147157,0.147471,0.147471,1521
2020-12-21,0.147471,0.150273,0.139533,0.142517,0.142517,1245
2020-12-22,0.142509,0.149487,0.141988,0.149166,0.149166,265
2020-12-23,0.149159,0.150334,0.141958,0.143308,0.143308,246
2020-12-24,0.143314,0.150360,0.124567,0.136094,0.136094,118
2020-12-25,0.135936,0.160830,0.124438,0.144772,0.144772,361
2020-12-26,0.144729,0.160978,0.123463,0.147235,0.147235,192
2020-12-27,0.147263,0.168289,0.140182,0.145457,0.145457,161
2020-12-28,0.145299,0.172322,0.144405,0.155735,0.155735,64
2020-12-29,0.153214,0.160345,0.149427,0.155301,0.155301,33
