Date,Open,High,Low,Close,Adj Close,Volume
2020-05-07,4.864780,4.894260,4.779731,4.836350,4.836350,69189
2020-05-08,4.836350,4.863535,2.031844,4.510436,4.510436,144191
2020-05-09,null,null,null,null,null,null
2020-05-10,null,null,null,null,null,null
2020-05-11,null,null,null,null,null,null
2020-05-12,null,null,null,null,null,null
2020-05-13,null,null,null,null,null,null
2020-05-14,null,null,null,null,null,null
2020-05-15,null,null,null,null,null,null
2020-05-16,4.505211,4.510155,4.481039,4.489442,4.489442,247036
2020-05-17,4.489381,4.514148,4.459378,4.500241,4.500241,147378
2020-05-18,4.499617,4.528517,4.467508,4.495712,4.495712,242616
2020-05-19,4.497457,4.526219,4.473588,4.476825,4.476825,160033
2020-05-20,4.474259,4.542069,4.465130,4.490595,4.490595,215651
2020-05-21,4.492710,4.545475,4.470492,4.502609,4.502609,248436
2020-05-22,4.501704,4.518866,4.482066,4.504383,4.504383,188310
2020-05-23,4.504301,4.515448,4.476373,4.513782,4.513782,161945
2020-05-24,4.512661,4.988093,4.482168,4.930417,4.930417,202665
2020-05-25,4.932041,4.943977,4.896887,4.927288,4.927288,206985
2020-05-26,4.929397,4.956107,4.896468,4.919086,4.919086,249973
2020-05-27,4.919086,4.945801,4.890522,4.931989,4.931989,162563
2020-05-28,4.929998,4.944158,4.885978,4.916221,4.916221,290750
2020-05-29,4.912207,4.953353,4.904652,4.932069,4.932069,207684
2020-05-30,4.933089,4.957702,4.901416,4.935940,4.935940,150521
2020-05-31,4.936005,4.951306,4.908080,4.916758,4.916758,192329
2020-06-01,4.921893,4.945245,4.835409,4.936886,4.936886,166437
2020-06-02,4.932442,4.955718,4.835385,4.914065,4.914065,179663
2020-06-03,4.914065,4.940743,4.903673,4.919852,4.919852,162242
2020-06-04,4.919446,4.943113,4.892129,4.927084,4.927084,283347
2020-06-05,4.927084,4.968250,4.912034,4.936046,4.936046,194688
2020-06-06,4.936046,4.949642,4.895668,4.911975,4.911975,212531
