Date,Open,High,Low,Close,Adj Close,Volume
2020-05-07,20.639584,20.712429,19.825686,20.432102,20.432102,105032
2020-05-08,20.432102,20.583652,19.846828,20.468758,20.468758,394765
2020-05-09,null,null,null,null,null,null
2020-05-10,null,null,null,null,null,null
2020-05-11,null,null,null,null,null,null
2020-05-12,null,null,null,null,null,null
2020-05-13,null,null,null,null,null,null
2020-05-14,null,null,null,null,null,null
2020-05-15,null,null,null,null,null,null
2020-05-16,20.459995,20.482193,19.572746,20.383072,20.383072,347763
2020-05-17,20.383024,20.479700,19.817909,20.429125,20.429125,576102
2020-05-18,20.428003,20.529280,19.721001,20.409847,20.409847,501891
2020-05-19,20.415815,20.524569,19.596899,20.322321,20.322321,611385
2020-05-20,20.308046,20.505989,19.768066,20.375242,20.375242,483737
2020-05-21,20.375172,20.597563,20.083214,20.409941,20.409941,694623
2020-05-22,20.411575,20.471966,19.627283,20.063786,20.063786,289209
2020-05-23,20.064850,20.501436,19.580013,20.495132,20.495132,540634
2020-05-24,20.491123,20.581480,19.834465,20.307072,20.307072,451573
2020-05-25,20.312687,20.458603,19.690928,20.351871,20.351871,487261
2020-05-26,20.355495,20.456902,19.971478,20.359478,20.359478,426845
2020-05-27,20.359478,20.511471,20.009167,20.467724,20.467724,483368
2020-05-28,20.460257,20.525246,19.689699,20.410572,20.410572,602492
2020-05-29,20.402870,20.537100,19.604061,20.459585,20.459585,489362
2020-05-30,20.459133,20.521706,19.861822,20.438566,20.438566,296316
2020-05-31,20.437992,20.544960,19.623888,20.370752,20.370752,302061
2020-06-01,20.399874,20.485888,19.641556,20.461714,20.461714,384072
2020-06-02,20.443239,20.658724,20.025551,20.354744,20.354744,747041
2020-06-03,20.354744,20.489447,19.770924,20.404390,20.404390,390652
2020-06-04,20.401785,20.557627,19.911200,20.445553,20.445553,671254
2020-06-05,20.445553,20.640362,19.963129,20.459797,20.459797,477483
2020-06-06,20.465895,20.582640,19.894932,20.266510,20.266510,680631
2020-06-07,20.266510,20.516195,19.850409,20.449102,20.449102,660639
2020-06-08,20.450069,20.538448,14.859006,20.400188,20.400188,1112901
2020-06-09,20.424738,20.653505,19.739222,20.476522,20.476522,897127
2020-06-10,20.477385,20.612514,19.659653,20.390116,20.390116,1214948
2020-06-11,null,null,null,null,null,null
2020-06-12,null,null,null,null,null,null
2020-06-13,null,null,null,null,null,null
2020-06-14,20.442663,20.580313,20.313316,20.506830,20.506830,805958
2020-06-15,20.508549,20.662321,20.237000,20.445034,20.445034,1037636
2020-06-16,20.442308,20.502764,19.612764,20.102726,20.102726,1030276
2020-06-17,20.097622,20.480200,19.589745,20.412809,20.412809,1122523
2020-06-18,20.414141,20.497562,20.129967,20.445044,20.445044,617922
2020-06-19,20.444246,20.504328,20.137379,20.291203,20.291203,763060
2020-06-20,null,null,null,null,null,null
2020-06-21,20.219332,20.493816,19.646009,20.442631,20.442631,939952
2020-06-22,null,null,null,null,null,null
2020-06-23,20.344341,20.506844,20.145016,20.452101,20.452101,710773
2020-06-24,20.453218,20.505596,20.193819,20.425602,20.425602,680462
2020-06-25,20.413380,20.494150,20.128420,20.405401,20.405401,708662
2020-06-26,20.401386,20.526154,20.048054,20.385281,20.385281,962135
2020-06-27,null,null,null,null,null,null
2020-06-28,20.482674,20.674774,20.208574,20.449629,20.449629,818602
2020-06-29,20.449629,20.537046,20.169182,20.433027,20.433027,713058
2020-06-30,20.427200,20.540787,19.598923,20.394215,20.394215,977779
2020-07-01,20.392593,20.529243,20.167858,20.427099,20.427099,903915
2020-07-02,20.426588,20.756630,20.242569,20.665850,20.665850,726193
2020-07-03,20.668516,20.729000,20.083117,20.400990,20.400990,795828
2020-07-04,20.394241,20.599136,20.131128,20.406965,20.406965,822763
2020-07-05,20.394999,20.506296,20.183737,20.376143,20.376143,683208
2020-07-06,20.376143,20.476755,20.036707,20.355225,20.355225,901907
2020-07-07,20.356060,20.432158,19.879320,20.297756,20.297756,570829
2020-07-08,20.297756,20.454062,19.895710,20.390951,20.390951,819157
2020-07-09,20.396009,20.543312,20.090643,20.482000,20.482000,864506
2020-07-10,20.471369,20.505903,20.206438,20.399452,20.399452,1203559
2020-07-11,20.399452,20.471481,20.227188,20.417698,20.417698,1251264
2020-07-12,20.422297,20.484245,20.205107,20.366707,20.366707,835541
2020-07-13,20.366707,20.494007,20.181984,20.390568,20.390568,1239661
2020-07-14,20.441885,20.510900,20.205048,20.324425,20.324425,1162224
2020-07-15,20.321081,20.475910,20.143166,20.382483,20.382483,715901
2020-07-16,20.385136,20.505655,20.220627,20.285162,20.285162,815923
2020-07-17,20.282072,20.462742,20.120213,20.387562,20.387562,979510
2020-07-18,20.389185,20.544828,20.182177,20.368050,20.368050,942997
2020-07-19,20.365553,20.503626,20.228905,20.364000,20.364000,1035288
2020-07-20,20.360367,20.485220,20.267012,20.405001,20.405001,889709
2020-07-21,20.404936,20.465225,20.068134,20.368460,20.368460,1116135
2020-07-22,20.368460,20.486362,20.216095,20.407927,20.407927,906768
2020-07-23,20.407927,20.473005,20.163052,20.360914,20.360914,916267
2020-07-24,20.360914,20.468147,20.220524,20.372484,20.372484,1094538
2020-07-25,20.375654,20.452032,20.221262,20.366846,20.366846,587472
2020-07-26,20.359188,20.543404,20.143738,20.369623,20.369623,834625
2020-07-27,20.369165,20.684504,20.184752,20.421091,20.421091,883675
2020-07-28,20.414503,20.524281,19.738979,19.767502,19.767502,1131633
2020-07-29,19.765814,20.513569,19.744997,20.428347,20.428347,482337
2020-07-30,20.421997,20.515957,19.579552,20.420792,20.420792,602912
2020-07-31,20.420792,20.511780,20.186825,20.436636,20.436636,749127
2020-08-01,20.432322,20.475113,20.020147,20.298962,20.298962,457478
2020-08-02,20.327118,21.206982,20.061213,20.348074,20.348074,591682
2020-08-03,20.352808,20.459864,19.976305,20.408487,20.408487,529295
2020-08-04,20.418823,20.520527,20.052492,20.115099,20.115099,499982
2020-08-05,20.112955,20.542185,19.937735,20.441099,20.441099,517897
2020-08-06,20.441099,20.501192,20.167900,20.400337,20.400337,771053
2020-08-07,20.404770,20.632338,19.982983,20.437956,20.437956,749649
2020-08-08,20.438993,20.508013,20.102356,20.390324,20.390324,666462
2020-08-09,20.389008,20.521006,20.085081,20.134562,20.134562,535332
2020-08-10,20.134562,20.678226,20.087328,20.423141,20.423141,562963
2020-08-11,20.414795,20.538813,19.897484,20.460791,20.460791,487021
2020-08-12,null,null,null,null,null,null
2020-08-13,null,null,null,null,null,null
2020-08-14,null,null,null,null,null,null
2020-08-15,null,null,null,null,null,null
2020-08-16,20.411451,20.512550,20.176535,20.414537,20.414537,664166
2020-08-17,20.414537,20.604258,20.164928,20.379175,20.379175,1047379
2020-08-18,20.386908,20.588303,20.154911,20.446144,20.446144,539642
2020-08-19,20.441799,20.549866,20.210669,20.444304,20.444304,1085567
2020-08-20,20.444304,20.472240,20.168613,20.403021,20.403021,592313
2020-08-21,20.402809,20.555195,20.108248,20.491003,20.491003,622471
2020-08-22,20.476036,20.554392,20.034988,20.401802,20.401802,735405
2020-08-23,20.403929,20.473244,20.111706,20.434208,20.434208,1179945
2020-08-24,20.437750,20.478947,20.201319,20.424067,20.424067,739193
2020-08-25,20.431297,20.590223,19.701141,20.435156,20.435156,564592
2020-08-26,20.450447,20.462742,20.131311,20.434416,20.434416,854235
2020-08-27,20.436365,20.533756,20.291822,20.441813,20.441813,1091176
2020-08-28,20.442760,20.472105,20.269579,20.435720,20.435720,893377
2020-08-29,20.425711,20.602663,20.265615,20.444803,20.444803,850864
2020-08-30,20.456423,20.486536,20.204054,20.423462,20.423462,925864
2020-08-31,20.417320,20.472485,20.108965,20.461168,20.461168,813373
2020-09-01,20.459297,20.504183,20.130911,20.470026,20.470026,744268
2020-09-02,20.460274,20.670254,20.212307,20.324640,20.324640,931325
2020-09-03,20.312239,20.854223,20.174732,20.529966,20.529966,934089
2020-09-04,20.505873,20.992680,20.285782,20.490610,20.490610,1036437
2020-09-05,null,null,null,null,null,null
2020-09-06,null,null,null,null,null,null
2020-09-07,null,null,null,null,null,null
2020-09-08,null,null,null,null,null,null
2020-09-09,null,null,null,null,null,null
2020-09-10,null,null,null,null,null,null
2020-09-11,null,null,null,null,null,null
2020-09-12,null,null,null,null,null,null
2020-09-13,null,null,null,null,null,null
2020-09-14,null,null,null,null,null,null
2020-09-15,null,null,null,null,null,null
2020-09-16,null,null,null,null,null,null
2020-09-17,null,null,null,null,null,null
2020-09-18,null,null,null,null,null,null
2020-09-19,null,null,null,null,null,null
2020-09-20,null,null,null,null,null,null
2020-09-21,null,null,null,null,null,null
2020-09-22,20.460430,20.510889,20.266422,20.425880,20.425880,1056119
2020-09-23,20.425730,20.714779,20.286104,20.453730,20.453730,776155
2020-09-24,20.453730,20.495987,19.767931,20.423933,20.423933,589532
2020-09-25,20.431532,20.489635,20.252876,20.445107,20.445107,1181794
2020-09-26,20.446928,20.494112,20.238808,20.463470,20.463470,732556
2020-09-27,20.452644,20.500814,20.187704,20.414883,20.414883,858997
2020-09-28,20.414883,20.519161,20.207998,20.441429,20.441429,683168
2020-09-29,20.444355,24.392380,20.382612,23.152414,23.152414,719182
2020-09-30,23.141853,30.138729,23.135218,30.072083,30.072083,639043
2020-10-01,30.065884,31.305313,30.021955,31.071262,31.071262,517020
2020-10-02,null,null,null,null,null,null
2020-10-03,null,null,null,null,null,null
2020-10-04,null,null,null,null,null,null
2020-10-05,31.550991,33.645138,31.456425,33.635891,33.635891,327362
2020-10-06,33.626453,33.766979,33.524197,33.674892,33.674892,530034
2020-10-07,33.677826,33.772995,33.568344,33.614204,33.614204,417588
2020-10-08,33.615250,33.762470,33.546124,33.619923,33.619923,334493
2020-10-09,33.605747,35.694347,33.566891,35.655132,35.655132,335811
2020-10-10,35.521072,35.522350,33.573360,33.576740,33.576740,372142
2020-10-11,33.576740,35.071728,33.575733,35.065937,35.065937,461383
2020-10-12,35.065937,35.075077,32.721283,32.732311,32.732311,0
2020-10-13,32.732323,35.072613,32.647781,35.067577,35.067577,585379
2020-10-14,35.067577,35.810631,35.045742,35.803677,35.803677,387805
2020-10-15,35.803677,35.825935,35.425308,35.427864,35.427864,504255
2020-10-16,35.427864,35.830894,35.425297,35.828613,35.828613,346205
2020-10-17,35.828613,35.847782,35.757805,35.821331,35.821331,307045
2020-10-18,35.821331,35.829899,35.759109,35.813816,35.813816,379197
2020-10-19,35.813816,35.840630,35.763668,35.833405,35.833405,318493
2020-10-20,35.833405,39.546413,35.823021,39.542675,39.542675,336318
2020-10-21,39.542675,39.556526,37.910503,37.925495,37.925495,361557
2020-10-22,37.925495,37.965504,37.816502,37.819592,37.819592,380710
2020-10-23,37.819592,37.961887,37.796238,37.900139,37.900139,377012
2020-10-24,37.900139,37.962135,37.820896,37.955437,37.955437,260818
2020-10-25,37.955437,41.350010,37.842590,41.337139,41.337139,241087
