Date,Open,High,Low,Close,Adj Close,Volume
2020-05-07,0.126026,0.133531,0.124779,0.130433,0.130433,305995
2020-05-08,0.130225,0.134065,0.127965,0.132960,0.132960,300657
2020-05-09,null,null,null,null,null,null
2020-05-10,null,null,null,null,null,null
2020-05-11,null,null,null,null,null,null
2020-05-12,null,null,null,null,null,null
2020-05-13,null,null,null,null,null,null
2020-05-14,null,null,null,null,null,null
2020-05-15,null,null,null,null,null,null
2020-05-16,0.121950,0.124364,0.118670,0.121204,0.121204,255700
2020-05-17,0.121214,0.128137,0.121020,0.127186,0.127186,131208
2020-05-18,0.127191,0.139535,0.127175,0.136002,0.136002,153436
2020-05-19,0.136002,0.137628,0.134639,0.135954,0.135954,295318
2020-05-20,0.135977,0.140000,0.134625,0.138266,0.138266,293521
2020-05-21,0.138266,0.140132,0.132540,0.135578,0.135578,271245
2020-05-22,0.135579,0.157118,0.133772,0.155304,0.155304,541680
2020-05-23,0.155329,0.167024,0.155329,0.167024,0.167024,366889
2020-05-24,0.167101,0.177839,0.164982,0.173804,0.173804,425194
2020-05-25,0.173497,0.181624,0.168679,0.178459,0.178459,419610
2020-05-26,0.178463,0.192949,0.155073,0.170587,0.170587,19748152
2020-05-27,0.170587,0.193341,0.157840,0.183358,0.183358,2125400
2020-05-28,0.183389,0.192258,0.181700,0.190968,0.190968,408264
2020-05-29,0.190998,0.224666,0.186680,0.218810,0.218810,1011012
2020-05-30,0.218815,0.283836,0.217044,0.264988,0.264988,1026148
2020-05-31,0.265006,0.265100,0.235327,0.244056,0.244056,968549
2020-06-01,0.244092,0.264498,0.239479,0.263140,0.263140,529536
2020-06-02,0.263358,0.265733,0.245932,0.248862,0.248862,647900
2020-06-03,0.248862,0.264746,0.248096,0.262683,0.262683,871688
2020-06-04,0.262818,0.272552,0.249288,0.259853,0.259853,721795
2020-06-05,0.259853,0.269130,0.253161,0.254304,0.254304,694808
2020-06-06,0.254304,0.261001,0.249206,0.253164,0.253164,565116
2020-06-07,0.253164,0.256521,0.241784,0.248459,0.248459,570813
2020-06-08,0.248334,0.248840,0.226250,0.235664,0.235664,923063
2020-06-09,0.235569,0.254898,0.224194,0.254898,0.254898,716596
2020-06-10,0.254418,0.259161,0.233872,0.243879,0.243879,912072
2020-06-11,null,null,null,null,null,null
2020-06-12,null,null,null,null,null,null
2020-06-13,null,null,null,null,null,null
2020-06-14,0.250034,0.250116,0.224631,0.224631,0.224631,570620
2020-06-15,0.224631,0.226448,0.200020,0.204658,0.204658,803698
2020-06-16,0.204663,0.216523,0.196945,0.206825,0.206825,491790
2020-06-17,0.206914,0.214257,0.201235,0.206279,0.206279,255601
2020-06-18,0.206279,0.229980,0.205627,0.229140,0.229140,300061
2020-06-19,0.224955,0.252699,0.215838,0.249280,0.249280,475016
2020-06-20,null,null,null,null,null,null
2020-06-21,0.272904,0.295009,0.263036,0.278180,0.278180,439277
2020-06-22,null,null,null,null,null,null
2020-06-23,0.308630,0.319954,0.299179,0.299226,0.299226,589377
2020-06-24,0.299306,0.305254,0.279375,0.285744,0.285744,615137
2020-06-25,0.285912,0.338146,0.284363,0.336037,0.336037,643319
2020-06-26,0.335961,0.371869,0.316062,0.368216,0.368216,1174124
2020-06-27,null,null,null,null,null,null
2020-06-28,0.404388,0.443990,0.382710,0.433317,0.433317,841388
2020-06-29,0.433317,0.461262,0.428878,0.459155,0.459155,927832
2020-06-30,0.459048,0.520975,0.442367,0.486793,0.486793,1557369
2020-07-01,0.486813,0.493638,0.428264,0.441681,0.441681,1146485
2020-07-02,0.441309,0.453181,0.413268,0.448902,0.448902,795396
2020-07-03,0.451068,0.477005,0.437617,0.476236,0.476236,747652
2020-07-04,0.476225,0.484743,0.441049,0.456340,0.456340,805198
2020-07-05,0.456207,0.458915,0.382060,0.416587,0.416587,928478
2020-07-06,0.416587,0.419677,0.383522,0.399693,0.399693,814472
2020-07-07,0.398768,0.411537,0.375175,0.404995,0.404995,696995
2020-07-08,0.405045,0.421792,0.391667,0.399411,0.399411,705488
2020-07-09,0.412888,0.412888,0.374780,0.393023,0.393023,805882
2020-07-10,0.393028,0.406367,0.382775,0.396775,0.396775,494438
2020-07-11,0.396813,0.413746,0.396345,0.399289,0.399289,490376
2020-07-12,0.399313,0.402478,0.372969,0.373415,0.373415,466155
2020-07-13,0.373415,0.398529,0.345001,0.390656,0.390656,1330573
2020-07-14,0.389692,0.390784,0.370266,0.382410,0.382410,609592
2020-07-15,0.382610,0.384982,0.370318,0.380828,0.380828,426140
2020-07-16,0.380732,0.394287,0.373999,0.385187,0.385187,544211
2020-07-17,0.385113,0.420025,0.373129,0.405687,0.405687,863193
2020-07-18,0.405680,0.423318,0.401815,0.412224,0.412224,659048
2020-07-19,0.411174,0.418755,0.399381,0.407690,0.407690,599628
2020-07-20,null,null,null,null,null,null
2020-07-21,0.396052,0.431431,0.392909,0.431029,0.431029,810862
2020-07-22,0.430966,0.441298,0.416911,0.430851,0.430851,854113
2020-07-23,0.430726,0.444347,0.424735,0.439977,0.439977,673757
2020-07-24,0.439977,0.441026,0.401479,0.414431,0.414431,1287856
2020-07-25,0.414536,0.419268,0.400523,0.412025,0.412025,549585
2020-07-26,0.412046,0.427441,0.389668,0.409372,0.409372,743374
2020-07-27,0.409385,0.437229,0.401190,0.402360,0.402360,973674
2020-07-28,0.401965,0.418036,0.387473,0.395300,0.395300,1237922
2020-07-29,0.395348,0.421553,0.391794,0.405335,0.405335,1019688
2020-07-30,0.405761,0.410217,0.387045,0.399547,0.399547,1543453
2020-07-31,0.398976,0.426648,0.391185,0.407392,0.407392,891179
2020-08-01,0.407392,0.467968,0.404862,0.457366,0.457366,1363712
2020-08-02,0.457280,0.471851,0.428387,0.428434,0.428434,1077649
2020-08-03,0.428450,0.447281,0.416914,0.421891,0.421891,1626781
2020-08-04,null,null,null,null,null,null
2020-08-05,0.425817,0.431557,0.392549,0.392549,0.392549,1849894
2020-08-06,0.392390,0.422433,0.392337,0.396101,0.396101,1119638
2020-08-07,0.396341,0.409047,0.382379,0.384702,0.384702,1347748
2020-08-08,0.385074,0.405407,0.381708,0.392496,0.392496,1121653
2020-08-09,0.392795,0.401104,0.372606,0.376371,0.376371,1167184
2020-08-10,0.376420,0.389535,0.376193,0.381726,0.381726,1312618
2020-08-11,0.381726,0.386065,0.359078,0.371052,0.371052,1276281
2020-08-12,0.371047,0.418220,0.369240,0.413184,0.413184,1208589
2020-08-13,null,null,null,null,null,null
2020-08-14,null,null,null,null,null,null
2020-08-15,null,null,null,null,null,null
2020-08-16,null,null,null,null,null,null
2020-08-17,null,null,null,null,null,null
2020-08-18,null,null,null,null,null,null
2020-08-19,null,null,null,null,null,null
2020-08-20,null,null,null,null,null,null
2020-08-21,null,null,null,null,null,null
2020-08-22,null,null,null,null,null,null
2020-08-23,null,null,null,null,null,null
2020-08-24,0.369629,0.379517,0.353255,0.367063,0.367063,1196095
2020-08-25,0.367147,0.393528,0.360352,0.392491,0.392491,1167800
2020-08-26,0.392227,0.407344,0.386368,0.405046,0.405046,1175665
2020-08-27,0.404944,0.432931,0.398697,0.412543,0.412543,1648895
2020-08-28,0.413046,0.431410,0.405039,0.423476,0.423476,1410561
2020-08-29,0.423304,0.432534,0.411082,0.416389,0.416389,1222240
2020-08-30,0.416097,0.439693,0.412765,0.439230,0.439230,1210384
2020-08-31,null,null,null,null,null,null
2020-09-01,null,null,null,null,null,null
2020-09-02,null,null,null,null,null,null
2020-09-03,null,null,null,null,null,null
2020-09-04,0.367454,0.386753,0.363309,0.382820,0.382820,972601
2020-09-05,null,null,null,null,null,null
2020-09-06,null,null,null,null,null,null
2020-09-07,null,null,null,null,null,null
2020-09-08,null,null,null,null,null,null
2020-09-09,null,null,null,null,null,null
2020-09-10,0.424800,0.516173,0.408154,0.512746,0.512746,2382767
2020-09-11,0.510706,0.558825,0.496362,0.534479,0.534479,2621231
2020-09-12,0.534388,0.569026,0.515215,0.521140,0.521140,1987168
2020-09-13,0.521135,0.528739,0.493721,0.498657,0.498657,1089071
2020-09-14,null,null,null,null,null,null
2020-09-15,0.540808,0.573143,0.530710,0.555080,0.555080,1613710
2020-09-16,0.555007,0.570970,0.542599,0.559006,0.559006,1302507
2020-09-17,null,null,null,null,null,null
2020-09-18,null,null,null,null,null,null
2020-09-19,0.662266,0.777065,0.662177,0.727604,0.727604,4330657
2020-09-20,null,null,null,null,null,null
2020-09-21,null,null,null,null,null,null
2020-09-22,0.702863,0.803168,0.700320,0.792520,0.792520,3522357
2020-09-23,0.792575,0.838112,0.729498,0.736030,0.736030,2925592
2020-09-24,0.735741,0.851768,0.731983,0.849588,0.849588,4063911
2020-09-25,0.839547,0.932735,0.799467,0.932356,0.932356,4222737
