Date,Open,High,Low,Close,Adj Close,Volume
2020-05-07,0.015118,0.015638,0.014690,0.015557,0.015557,2600925
2020-05-08,0.015547,0.015876,0.015046,0.015665,0.015665,2700107
2020-05-09,null,null,null,null,null,null
2020-05-10,null,null,null,null,null,null
2020-05-11,null,null,null,null,null,null
2020-05-12,null,null,null,null,null,null
2020-05-13,null,null,null,null,null,null
2020-05-14,null,null,null,null,null,null
2020-05-15,null,null,null,null,null,null
2020-05-16,0.013803,0.013829,0.013292,0.013484,0.013484,2299438
2020-05-17,0.013489,0.013754,0.013355,0.013629,0.013629,2158215
2020-05-18,0.013626,0.014043,0.013596,0.013698,0.013698,2169567
2020-05-19,0.013701,0.014010,0.013606,0.013929,0.013929,2183052
2020-05-20,0.013929,0.014267,0.013665,0.013718,0.013718,2232501
2020-05-21,0.013721,0.013793,0.013011,0.013087,0.013087,2146105
2020-05-22,0.013090,0.013554,0.013057,0.013458,0.013458,2192725
2020-05-23,0.013461,0.013661,0.013328,0.013435,0.013435,2244921
2020-05-24,0.013443,0.013566,0.012914,0.012920,0.012920,2181292
2020-05-25,0.012887,0.012907,0.012654,0.012768,0.012768,2237014
2020-05-26,0.012766,0.012833,0.012397,0.012449,0.012449,2129352
2020-05-27,0.012449,0.012871,0.012442,0.012666,0.012666,2131085
2020-05-28,0.012660,0.012838,0.012412,0.012796,0.012796,2178103
2020-05-29,0.012801,0.013055,0.012781,0.012875,0.012875,2214894
2020-05-30,0.012877,0.013224,0.012769,0.013139,0.013139,2257390
2020-05-31,0.013130,0.013190,0.012678,0.012724,0.012724,2069092
2020-06-01,0.012724,0.013189,0.012696,0.013108,0.013108,2237184
2020-06-02,0.013101,0.013524,0.011849,0.012538,0.012538,2365439
2020-06-03,0.012538,0.012855,0.012501,0.012757,0.012757,2100778
2020-06-04,0.012756,0.012952,0.012441,0.012631,0.012631,2113790
2020-06-05,0.012631,0.012701,0.012349,0.012356,0.012356,2118396
2020-06-06,0.012356,0.012505,0.012284,0.012344,0.012344,2043388
2020-06-07,0.012344,0.012689,0.012141,0.012407,0.012407,2192791
2020-06-08,0.012408,0.012511,0.012184,0.012264,0.012264,2143096
2020-06-09,0.012264,0.012401,0.011766,0.011937,0.011937,2148432
2020-06-10,0.011906,0.012048,0.011767,0.011959,0.011959,1884844
2020-06-11,null,null,null,null,null,null
2020-06-12,null,null,null,null,null,null
2020-06-13,null,null,null,null,null,null
2020-06-14,0.011325,0.011476,0.011257,0.011332,0.011332,1817372
2020-06-15,0.011332,0.011416,0.010971,0.011206,0.011206,1851199
2020-06-16,0.011211,0.011453,0.011173,0.011312,0.011312,2061498
2020-06-17,0.011325,0.011557,0.011210,0.011434,0.011434,1882148
2020-06-18,0.011434,0.011481,0.011110,0.011199,0.011199,1959803
2020-06-19,0.011199,0.011203,0.010923,0.010937,0.010937,1795538
2020-06-20,null,null,null,null,null,null
2020-06-21,0.011017,0.011086,0.010866,0.010902,0.010902,1813747
2020-06-22,null,null,null,null,null,null
2020-06-23,0.011316,0.011538,0.011186,0.011384,0.011384,2062870
2020-06-24,0.011385,0.011642,0.011011,0.011033,0.011033,2010611
2020-06-25,0.011018,0.011110,0.010879,0.010999,0.010999,2061875
2020-06-26,0.010994,0.011040,0.010737,0.010756,0.010756,1916490
2020-06-27,null,null,null,null,null,null
2020-06-28,0.010486,0.010663,0.010343,0.010623,0.010623,1975452
2020-06-29,0.010623,0.010681,0.010310,0.010588,0.010588,1925386
2020-06-30,0.010584,0.010687,0.010462,0.010579,0.010579,1907277
2020-07-01,0.010579,0.010764,0.010494,0.010714,0.010714,1959149
2020-07-02,0.010712,0.011109,0.010650,0.010903,0.010903,1858052
2020-07-03,0.010884,0.010916,0.010677,0.010730,0.010730,1789111
2020-07-04,0.010734,0.010891,0.010649,0.010715,0.010715,1718239
2020-07-05,0.010700,0.010798,0.010507,0.010517,0.010517,1854111
2020-07-06,0.010517,0.011011,0.010484,0.011002,0.011002,1916022
2020-07-07,0.010983,0.011029,0.010785,0.010995,0.010995,1882053
2020-07-08,0.010999,0.011251,0.010917,0.011196,0.011196,1827522
2020-07-09,0.011187,0.011189,0.010835,0.010887,0.010887,1941455
2020-07-10,0.010882,0.010988,0.010681,0.010951,0.010951,1841263
2020-07-11,0.010958,0.010997,0.010872,0.010915,0.010915,1848675
2020-07-12,0.010914,0.011076,0.010883,0.011013,0.011013,2039421
2020-07-13,0.011013,0.011358,0.010934,0.011358,0.011358,2086425
2020-07-14,0.011346,0.011348,0.010820,0.010988,0.010988,1973229
2020-07-15,0.010977,0.011015,0.010843,0.010911,0.010911,1911622
2020-07-16,0.010911,0.010938,0.010686,0.010811,0.010811,1843244
2020-07-17,0.010815,0.010873,0.010733,0.010789,0.010789,1887176
2020-07-18,0.010784,0.010903,0.010718,0.010846,0.010846,1842788
2020-07-19,0.010855,0.010966,0.010727,0.010872,0.010872,1887710
2020-07-20,0.010869,0.011052,0.010775,0.010861,0.010861,1854217
2020-07-21,0.010863,0.011261,0.010847,0.011107,0.011107,1936919
2020-07-22,0.011096,0.011298,0.011025,0.011294,0.011294,1972532
2020-07-23,0.011294,0.011573,0.011228,0.011472,0.011472,1932547
2020-07-24,0.011472,0.011582,0.011162,0.011365,0.011365,1919009
2020-07-25,0.011361,0.011588,0.011259,0.011463,0.011463,1985349
2020-07-26,0.011465,0.011725,0.011389,0.011480,0.011480,1949338
2020-07-27,0.011479,0.011553,0.011119,0.011339,0.011339,1970622
2020-07-28,0.011399,0.011640,0.011007,0.011366,0.011366,1933842
2020-07-29,0.011378,0.011595,0.011352,0.011505,0.011505,2096604
2020-07-30,0.011520,0.012189,0.011401,0.012108,0.012108,2279723
2020-07-31,0.012112,0.012600,0.011747,0.011948,0.011948,2101993
2020-08-01,0.011948,0.012315,0.011728,0.012230,0.012230,2159029
2020-08-02,0.012227,0.013224,0.012037,0.012497,0.012497,2346813
2020-08-03,0.012499,0.013404,0.012478,0.013034,0.013034,2266071
2020-08-04,0.013034,0.013164,0.012710,0.012760,0.012760,2218351
2020-08-05,0.012759,0.013152,0.012533,0.013019,0.013019,2204390
2020-08-06,0.013019,0.013241,0.012958,0.013129,0.013129,2136862
2020-08-07,0.013122,0.013198,0.012265,0.012355,0.012355,2149632
2020-08-08,0.012354,0.012658,0.012314,0.012537,0.012537,2108632
2020-08-09,0.012552,0.012780,0.012439,0.012497,0.012497,2067970
2020-08-10,0.012498,0.012764,0.011545,0.012372,0.012372,2409020
2020-08-11,0.012369,0.012463,0.011342,0.011469,0.011469,2066367
2020-08-12,0.011469,0.011912,0.011373,0.011719,0.011719,2033713
2020-08-13,null,null,null,null,null,null
2020-08-14,null,null,null,null,null,null
2020-08-15,null,null,null,null,null,null
2020-08-16,0.012360,0.012582,0.012144,0.012350,0.012350,1373627
2020-08-17,0.012350,0.012646,0.012311,0.012598,0.012598,1402795
2020-08-18,0.012598,0.013054,0.012459,0.012459,0.012459,1425613
2020-08-19,0.012459,0.012699,0.012123,0.012155,0.012155,1273058
2020-08-20,0.012155,0.012601,0.012146,0.012534,0.012534,1296228
2020-08-21,0.012532,0.012719,0.012342,0.012433,0.012433,1374536
2020-08-22,0.012387,0.012442,0.012205,0.012300,0.012300,1429912
2020-08-23,0.012300,0.012605,0.012155,0.012556,0.012556,1842211
2020-08-24,0.012554,0.012971,0.012519,0.012861,0.012861,1579958
