Date,Open,High,Low,Close,Adj Close,Volume
2020-05-07,0.008985,0.009152,0.008768,0.008967,0.008967,1891734
2020-05-08,0.008977,0.009224,0.008786,0.009125,0.009125,1865015
2020-05-09,null,null,null,null,null,null
2020-05-10,null,null,null,null,null,null
2020-05-11,null,null,null,null,null,null
2020-05-12,null,null,null,null,null,null
2020-05-13,null,null,null,null,null,null
2020-05-14,null,null,null,null,null,null
2020-05-15,null,null,null,null,null,null
2020-05-16,0.008641,0.008863,0.008589,0.008826,0.008826,1400481
2020-05-17,0.008826,0.009356,0.008752,0.008776,0.008776,2486053
2020-05-18,0.008780,0.009025,0.008742,0.008949,0.008949,1910598
2020-05-19,0.008952,0.008978,0.008703,0.008885,0.008885,1624631
2020-05-20,0.008877,0.008998,0.008497,0.008673,0.008673,1781930
2020-05-21,0.008673,0.009389,0.008628,0.009031,0.009031,3920225
2020-05-22,0.009031,0.011275,0.008955,0.010340,0.010340,9031035
2020-05-23,0.010332,0.010457,0.009714,0.009714,0.009714,3017804
2020-05-24,0.009728,0.010168,0.009060,0.009100,0.009100,2889297
2020-05-25,0.009083,0.010417,0.009012,0.010335,0.010335,4135308
2020-05-26,0.010334,0.010398,0.009707,0.009868,0.009868,3138223
2020-05-27,0.009868,0.010260,0.009748,0.009898,0.009898,3087507
2020-05-28,0.009902,0.011622,0.009778,0.010989,0.010989,5679415
2020-05-29,0.010986,0.011569,0.010883,0.011417,0.011417,3525587
2020-05-30,0.011418,0.012662,0.011305,0.011922,0.011922,4865266
2020-05-31,0.011922,0.011989,0.011301,0.011311,0.011311,2608808
2020-06-01,0.011303,0.011739,0.011198,0.011369,0.011369,3201316
2020-06-02,0.011366,0.011906,0.010800,0.011165,0.011165,3080812
2020-06-03,0.011165,0.011440,0.011128,0.011419,0.011419,1644192
2020-06-04,0.011418,0.011497,0.011175,0.011257,0.011257,1865349
2020-06-05,0.011253,0.011526,0.011177,0.011243,0.011243,1295734
2020-06-06,0.011243,0.011598,0.011121,0.011346,0.011346,1592177
2020-06-07,0.011346,0.011398,0.010993,0.011206,0.011206,1492785
2020-06-08,0.011208,0.011406,0.011141,0.011359,0.011359,1324838
2020-06-09,0.011385,0.012093,0.011328,0.011821,0.011821,4049026
2020-06-10,0.011828,0.012605,0.011689,0.012365,0.012365,2797621
2020-06-11,null,null,null,null,null,null
2020-06-12,null,null,null,null,null,null
2020-06-13,null,null,null,null,null,null
2020-06-14,0.012241,0.012248,0.011390,0.011497,0.011497,1993569
2020-06-15,0.011497,0.011520,0.010675,0.011315,0.011315,1745214
2020-06-16,0.011307,0.011757,0.011196,0.011689,0.011689,1817444
2020-06-17,0.011692,0.012060,0.011397,0.012047,0.012047,2348176
2020-06-18,0.012047,0.012188,0.011693,0.011814,0.011814,1814335
2020-06-19,0.011817,0.012217,0.011562,0.011834,0.011834,2262276
2020-06-20,null,null,null,null,null,null
2020-06-21,0.013102,0.013865,0.012369,0.012394,0.012394,4946150
