Date,Open,High,Low,Close,Adj Close,Volume
2020-05-07,1.837600,1.962488,1.822674,1.956031,1.956031,1875647
2020-05-08,1.951016,1.963952,1.902146,1.905703,1.905703,1860979
2020-05-09,null,null,null,null,null,null
2020-05-10,null,null,null,null,null,null
2020-05-11,null,null,null,null,null,null
2020-05-12,null,null,null,null,null,null
2020-05-13,null,null,null,null,null,null
2020-05-14,null,null,null,null,null,null
2020-05-15,null,null,null,null,null,null
2020-05-16,1.756778,1.803313,1.741647,1.770462,1.770462,1743105
2020-05-17,1.768053,1.844064,1.760081,1.809573,1.809573,1794126
2020-05-18,1.810132,1.862220,1.778816,1.815444,1.815444,1791939
2020-05-19,1.807393,1.836106,1.770679,1.812489,1.812489,1754717
2020-05-20,1.819838,1.828852,1.737359,1.755321,1.755321,1618237
2020-05-21,1.750867,1.763257,1.638163,1.683550,1.683550,1607219
2020-05-22,1.679288,1.716117,1.662652,1.696481,1.696481,1667030
2020-05-23,1.693528,1.728342,1.673816,1.695267,1.695267,1507929
2020-05-24,1.693055,1.716644,1.613493,1.621508,1.621508,1291837
2020-05-25,1.620444,1.671532,1.607277,1.658522,1.658522,1356268
2020-05-26,1.661399,1.679242,1.627253,1.650419,1.650419,1318471
2020-05-27,1.650419,1.721733,1.643912,1.711948,1.711948,1432931
2020-05-28,1.712693,1.769154,1.699400,1.756424,1.756424,1390329
2020-05-29,1.757600,1.767269,1.713330,1.732066,1.732066,1391799
2020-05-30,1.726263,1.780771,1.709821,1.779966,1.779966,1439454
2020-05-31,1.779966,1.779994,1.712442,1.717117,1.717117,1380545
2020-06-01,1.717460,1.858182,1.717460,1.839689,1.839689,1503836
2020-06-02,1.842847,1.849551,1.652278,1.694761,1.694761,1403728
2020-06-03,1.694761,1.724763,1.685525,1.722816,1.722816,1399415
2020-06-04,1.722101,1.760638,1.692920,1.749157,1.749157,1392718
2020-06-05,1.749157,1.758812,1.705644,1.708194,1.708194,1353973
2020-06-06,1.708194,1.729208,1.692147,1.706596,1.706596,1358958
2020-06-07,1.706596,1.737328,1.671535,1.729245,1.729245,1367979
2020-06-08,1.730376,1.737257,1.690887,1.713899,1.713899,1392444
