Date,Open,High,Low,Close,Adj Close,Volume
2020-05-07,0.000185,0.000393,0.000183,0.000390,0.000390,1329
2020-05-08,0.000390,0.000393,0.000203,0.000214,0.000214,436
2020-05-09,null,null,null,null,null,null
2020-05-10,null,null,null,null,null,null
2020-05-11,null,null,null,null,null,null
2020-05-12,null,null,null,null,null,null
2020-05-13,null,null,null,null,null,null
2020-05-14,null,null,null,null,null,null
2020-05-15,null,null,null,null,null,null
2020-05-16,0.000187,0.000191,0.000185,0.000187,0.000187,1200
2020-05-17,0.000187,0.000260,0.000187,0.000193,0.000193,17
2020-05-18,0.000193,0.000198,0.000191,0.000195,0.000195,59
2020-05-19,0.000195,0.000291,0.000191,0.000291,0.000291,1336
2020-05-20,0.000291,0.000294,0.000219,0.000231,0.000231,12
2020-05-21,0.000231,0.000274,0.000174,0.000272,0.000272,1163
2020-05-22,0.000272,0.000277,0.000270,0.000276,0.000276,0
2020-05-23,0.000276,0.000276,0.000182,0.000184,0.000184,126
2020-05-24,0.000184,0.000186,0.000181,0.000182,0.000182,0
2020-05-25,0.000182,0.000267,0.000175,0.000266,0.000266,1196
2020-05-26,0.000266,0.000268,0.000263,0.000265,0.000265,151
2020-05-27,0.000265,0.000276,0.000182,0.000184,0.000184,18
2020-05-28,0.000184,0.000284,0.000183,0.000281,0.000281,1608
2020-05-29,0.000281,0.000283,0.000275,0.000283,0.000283,1454
2020-05-30,0.000283,0.000291,0.000281,0.000291,0.000291,1489
2020-05-31,0.000291,0.000291,0.000189,0.000190,0.000190,58
2020-06-01,0.000190,0.000232,0.000189,0.000203,0.000203,264
2020-06-02,0.000203,0.000270,0.000189,0.000190,0.000190,1374
2020-06-03,0.000190,0.000290,0.000189,0.000290,0.000290,1256
2020-06-04,0.000290,0.000295,0.000285,0.000287,0.000287,1067
2020-06-05,0.000287,0.000295,0.000193,0.000193,0.000193,162
2020-06-06,0.000193,0.000290,0.000192,0.000289,0.000289,137
2020-06-07,0.000289,0.000291,0.000189,0.000195,0.000195,3896
2020-06-08,0.000195,0.000659,0.000194,0.000293,0.000293,45
2020-06-09,0.000293,0.000295,0.000194,0.000196,0.000196,1420
2020-06-10,0.000196,0.000198,0.000195,0.000197,0.000197,65
2020-06-11,null,null,null,null,null,null
2020-06-12,null,null,null,null,null,null
2020-06-13,null,null,null,null,null,null
2020-06-14,0.000189,0.000192,0.000187,0.000188,0.000188,2891
2020-06-15,0.000188,0.000285,0.000179,0.000283,0.000283,9
2020-06-16,0.000283,0.000287,0.000189,0.000286,0.000286,279
2020-06-17,0.000286,0.000286,0.000245,0.000284,0.000284,1546
