Date,Open,High,Low,Close,Adj Close,Volume
2020-05-07,0.019355,0.019649,0.018173,0.018638,0.018638,2574491
2020-05-08,0.018638,0.020914,0.018519,0.019507,0.019507,1988426
2020-05-09,null,null,null,null,null,null
2020-05-10,null,null,null,null,null,null
2020-05-11,null,null,null,null,null,null
2020-05-12,null,null,null,null,null,null
2020-05-13,null,null,null,null,null,null
2020-05-14,null,null,null,null,null,null
2020-05-15,null,null,null,null,null,null
2020-05-16,0.019225,0.019798,0.018836,0.019090,0.019090,1044064
2020-05-17,0.019133,0.019488,0.018792,0.018887,0.018887,860393
2020-05-18,0.018889,0.020596,0.018394,0.020073,0.020073,2727387
2020-05-19,0.020065,0.021100,0.019706,0.020505,0.020505,1642657
2020-05-20,0.020514,0.022406,0.020266,0.021408,0.021408,3795348
2020-05-21,0.021479,0.021589,0.019098,0.020042,0.020042,1990927
2020-05-22,0.020042,0.021485,0.019790,0.021006,0.021006,1417434
2020-05-23,0.021006,0.023420,0.020950,0.023298,0.023298,2318547
2020-05-24,0.023398,0.025050,0.021727,0.021911,0.021911,3583342
2020-05-25,0.021874,0.023994,0.021309,0.023802,0.023802,2589673
2020-05-26,0.023791,0.024245,0.021975,0.022668,0.022668,2322599
2020-05-27,0.022668,0.023204,0.021571,0.022154,0.022154,2497377
2020-05-28,0.022148,0.025207,0.021713,0.021954,0.021954,5492748
2020-05-29,0.021922,0.022456,0.021516,0.021970,0.021970,1660220
2020-05-30,0.021904,0.021979,0.020833,0.021648,0.021648,1795444
2020-05-31,0.021648,0.022180,0.020188,0.020352,0.020352,1422502
2020-06-01,0.020367,0.021423,0.020340,0.021234,0.021234,1228737
2020-06-02,0.021319,0.022272,0.020188,0.021254,0.021254,1857532
2020-06-03,0.021254,0.021896,0.021107,0.021603,0.021603,1294097
2020-06-04,0.021607,0.023360,0.021485,0.022794,0.022794,2577563
2020-06-05,0.022794,0.023430,0.022575,0.022728,0.022728,1379502
2020-06-06,0.022728,0.022728,0.021880,0.022028,0.022028,1105939
