Date,Open,High,Low,Close,Adj Close,Volume
2020-09-22,8.193675,8.490559,3.769276,4.049202,4.049202,5650998
2020-09-23,4.049197,4.736888,3.627769,3.643383,3.643383,1906506
2020-09-24,3.646715,3.705848,3.085820,3.533924,3.533924,1256324
2020-09-25,3.535489,4.455460,3.526400,4.235697,4.235697,2133395
2020-09-26,4.251790,4.652437,3.946690,4.540169,4.540169,1124127
2020-09-27,4.540169,4.563844,3.968495,4.006698,4.006698,969413
2020-09-28,4.006698,6.414283,3.992607,6.105549,6.105549,3402770
2020-09-29,6.105549,6.963548,5.150971,5.610957,5.610957,4321375
2020-09-30,5.606775,6.992695,5.606775,6.550759,6.550759,2962020
2020-10-01,6.550759,6.660773,5.610292,5.836889,5.836889,1583828
2020-10-02,null,null,null,null,null,null
2020-10-03,null,null,null,null,null,null
2020-10-04,null,null,null,null,null,null
2020-10-05,5.588538,5.777142,5.465435,5.630554,5.630554,463951
2020-10-06,5.626313,6.211565,5.447561,5.622451,5.622451,1048598
2020-10-07,5.623645,5.764173,4.240252,4.694901,4.694901,1072340
2020-10-08,4.671775,4.717527,3.942181,4.601847,4.601847,762299
2020-10-09,4.649650,4.942593,4.260754,4.644319,4.644319,648081
2020-10-10,4.651463,7.956277,4.613406,7.089027,7.089027,3756942
2020-10-11,6.960648,8.460238,6.904218,7.281156,7.281156,3233723
2020-10-12,7.281143,7.821020,6.702118,6.862925,6.862925,1822732
2020-10-13,6.878003,7.453971,6.564039,7.453864,7.453864,1120424
2020-10-14,7.567721,7.568462,5.959267,6.107580,6.107580,1625891
2020-10-15,6.109642,6.185377,5.330040,5.828950,5.828950,1744180
2020-10-16,5.829296,5.932043,4.504390,4.803216,4.803216,1411210
2020-10-17,4.803216,5.510491,4.656468,5.338802,5.338802,714362
2020-10-18,5.315462,5.557551,5.230239,5.471000,5.471000,470886
2020-10-19,5.471000,5.528052,4.893988,5.153959,5.153959,565622
2020-10-20,5.010334,5.083045,4.614477,4.734618,4.734618,581962
2020-10-21,4.686849,5.273553,4.528844,4.942331,4.942331,708687
2020-10-22,4.942331,4.994294,4.614782,4.826858,4.826858,611597
2020-10-23,4.826858,5.183345,4.702157,4.889679,4.889679,620854
2020-10-24,4.889732,5.057194,4.704145,4.774710,4.774710,503626
2020-10-25,4.774628,5.258235,4.696156,5.078841,5.078841,820559
2020-10-26,5.078984,5.169486,4.821842,4.913535,4.913535,1624418
2020-10-27,4.913535,4.972402,4.578372,4.653565,4.653565,945193
2020-10-28,4.653565,4.669930,4.015913,4.282331,4.282331,1361051
2020-10-29,4.282130,4.388677,4.001541,4.079050,4.079050,734714
2020-10-30,4.079050,4.080655,3.652459,3.846079,3.846079,654228
2020-10-31,3.846079,3.942793,3.605747,3.609823,3.609823,486374
2020-11-01,3.609823,3.727089,3.523474,3.622964,3.622964,556291
2020-11-02,3.622964,3.692388,3.141968,3.184551,3.184551,4851968
2020-11-03,3.184553,3.199749,2.925338,2.988856,2.988856,5033479
2020-11-04,2.988856,3.049221,2.903160,2.937028,2.937028,4496987
2020-11-05,2.937028,3.217764,2.908965,3.107820,3.107820,341372
2020-11-06,3.115010,3.601534,3.115010,3.601534,3.601534,6142816
2020-11-07,3.601534,3.814804,3.191095,3.255074,3.255074,5686588
2020-11-08,3.255074,3.382124,3.181459,3.330940,3.330940,5689382
2020-11-09,3.330940,3.802959,3.288070,3.427229,3.427229,6025615
2020-11-10,3.427227,3.696774,3.273881,3.544416,3.544416,6383145
2020-11-11,3.544413,4.131298,3.541835,3.715256,3.715256,6461238
2020-11-12,3.715253,3.719414,3.459519,3.630989,3.630989,6062068
2020-11-13,3.630990,3.723768,3.492475,3.564394,3.564394,5852518
2020-11-14,3.564399,3.755558,3.348322,3.464644,3.464644,6491237
2020-11-15,3.464637,4.168436,3.392283,3.840335,3.840335,7638680
2020-11-16,3.840328,4.396139,3.840328,4.035624,4.035624,8155379
2020-11-17,3.941958,4.110246,3.750321,3.750440,3.750440,7628145
2020-11-18,3.750441,3.858972,3.606114,3.747443,3.747443,4908409
2020-11-19,3.747450,3.752276,3.519410,3.537348,3.537348,417693
