Date,Open,High,Low,Close,Adj Close,Volume
2020-05-07,0.000429,0.000463,0.000421,0.000427,0.000427,24112
2020-05-08,0.000427,0.000467,0.000395,0.000421,0.000421,44536
2020-05-09,null,null,null,null,null,null
2020-05-10,null,null,null,null,null,null
2020-05-11,null,null,null,null,null,null
2020-05-12,null,null,null,null,null,null
2020-05-13,null,null,null,null,null,null
2020-05-14,null,null,null,null,null,null
2020-05-15,null,null,null,null,null,null
2020-05-16,0.000417,0.000433,0.000415,0.000429,0.000429,20308
2020-05-17,0.000429,0.000440,0.000421,0.000431,0.000431,17507
2020-05-18,0.000431,0.000462,0.000406,0.000422,0.000422,30047
2020-05-19,0.000422,0.000436,0.000396,0.000405,0.000405,30528
2020-05-20,0.000405,0.000424,0.000405,0.000419,0.000419,19152
2020-05-21,0.000419,0.000425,0.000397,0.000402,0.000402,28251
2020-05-22,0.000402,0.000580,0.000401,0.000422,0.000422,34088
2020-05-23,0.000417,0.000436,0.000390,0.000408,0.000408,57650
2020-05-24,0.000408,0.000425,0.000387,0.000406,0.000406,25443
2020-05-25,0.000404,0.000422,0.000386,0.000399,0.000399,41366
2020-05-26,0.000399,0.001070,0.000388,0.000397,0.000397,69965
2020-05-27,0.000397,0.000419,0.000388,0.000409,0.000409,34440
2020-05-28,0.000410,0.000422,0.000393,0.000415,0.000415,28405
2020-05-29,0.000413,0.000420,0.000387,0.000401,0.000401,50241
2020-05-30,0.000400,0.000422,0.000391,0.000421,0.000421,26433
2020-05-31,0.000421,0.000425,0.000387,0.000393,0.000393,51110
2020-06-01,0.000394,0.000434,0.000388,0.000424,0.000424,97182
2020-06-02,0.000424,0.000501,0.000417,0.000499,0.000499,203675
2020-06-03,0.000499,0.000663,0.000461,0.000649,0.000649,223330
2020-06-04,0.000644,0.000732,0.000466,0.000584,0.000584,384486
2020-06-05,0.000572,0.000597,0.000467,0.000517,0.000517,101395
2020-06-06,0.000528,0.000565,0.000501,0.000516,0.000516,286014
2020-06-07,0.000516,0.000568,0.000513,0.000533,0.000533,28890
2020-06-08,0.000534,0.000576,0.000528,0.000564,0.000564,56785
2020-06-09,0.000557,0.000628,0.000549,0.000615,0.000615,154394
2020-06-10,0.000613,0.000621,0.000584,0.000602,0.000602,78412
2020-06-11,null,null,null,null,null,null
2020-06-12,null,null,null,null,null,null
2020-06-13,null,null,null,null,null,null
2020-06-14,0.000543,0.000595,0.000542,0.000587,0.000587,33336
2020-06-15,0.000585,0.000589,0.000530,0.000567,0.000567,46513
2020-06-16,0.000564,0.000600,0.000534,0.000555,0.000555,110721
2020-06-17,0.000555,0.000597,0.000551,0.000588,0.000588,64300
2020-06-18,0.000583,0.000592,0.000555,0.000577,0.000577,22992
2020-06-19,0.000578,0.000591,0.000543,0.000552,0.000552,49321
2020-06-20,null,null,null,null,null,null
2020-06-21,0.000541,0.000561,0.000490,0.000515,0.000515,68075
2020-06-22,null,null,null,null,null,null
2020-06-23,0.000565,0.000574,0.000508,0.000529,0.000529,35199
2020-06-24,0.000510,0.000563,0.000491,0.000537,0.000537,37305
2020-06-25,0.000536,0.000564,0.000510,0.000546,0.000546,74538
2020-06-26,0.000546,0.000563,0.000503,0.000546,0.000546,42482
2020-06-27,null,null,null,null,null,null
2020-06-28,0.000545,0.000550,0.000505,0.000520,0.000520,41891
2020-06-29,0.000520,0.000542,0.000513,0.000536,0.000536,55015
2020-06-30,0.000535,0.000558,0.000516,0.000534,0.000534,61506
2020-07-01,0.000534,0.000633,0.000528,0.000603,0.000603,143136
2020-07-02,0.000611,0.000627,0.000567,0.000602,0.000602,72840
2020-07-03,0.000598,0.000611,0.000574,0.000597,0.000597,53936
2020-07-04,0.000597,0.000611,0.000575,0.000593,0.000593,55550
2020-07-05,0.000592,0.000643,0.000571,0.000602,0.000602,52632
2020-07-06,0.000602,0.000633,0.000592,0.000617,0.000617,88506
2020-07-07,0.000616,0.000619,0.000571,0.000587,0.000587,63275
2020-07-08,0.000587,0.000617,0.000526,0.000605,0.000605,168132
2020-07-09,0.000606,0.000656,0.000564,0.000596,0.000596,91436
2020-07-10,0.000595,0.000608,0.000550,0.000574,0.000574,214130
2020-07-11,0.000574,0.000617,0.000573,0.000615,0.000615,32722
2020-07-12,0.000615,0.001050,0.000594,0.000670,0.000670,107141
2020-07-13,0.000670,0.000766,0.000651,0.000724,0.000724,198240
2020-07-14,0.000723,0.000791,0.000685,0.000781,0.000781,160094
2020-07-15,0.000781,0.000899,0.000771,0.000865,0.000865,224016
2020-07-16,0.000872,0.000888,0.000690,0.000796,0.000796,220128
2020-07-17,0.000795,0.000809,0.000723,0.000787,0.000787,83894
2020-07-18,0.000787,0.000826,0.000758,0.000799,0.000799,57791
2020-07-19,0.000799,0.000846,0.000794,0.000818,0.000818,49627
2020-07-20,0.000818,0.000834,0.000763,0.000787,0.000787,67066
2020-07-21,0.000787,0.000834,0.000751,0.000809,0.000809,66552
2020-07-22,0.000810,0.000811,0.000742,0.000760,0.000760,88823
2020-07-23,0.000760,0.000781,0.000639,0.000726,0.000726,158421
2020-07-24,0.000726,0.000741,0.000621,0.000675,0.000675,81853
2020-07-25,0.000682,0.000682,0.000629,0.000653,0.000653,100579
2020-07-26,0.000654,0.000785,0.000609,0.000654,0.000654,41979
2020-07-27,0.000654,0.000703,0.000614,0.000646,0.000646,85593
2020-07-28,0.000645,0.000702,0.000624,0.000674,0.000674,94387
2020-07-29,0.000674,0.000732,0.000637,0.000666,0.000666,96361
2020-07-30,0.000666,0.000686,0.000621,0.000622,0.000622,47812
2020-07-31,0.000622,0.000684,0.000544,0.000607,0.000607,141402
2020-08-01,0.000607,0.000677,0.000575,0.000626,0.000626,97719
2020-08-02,0.000625,0.000669,0.000527,0.000627,0.000627,89429
2020-08-03,0.000628,0.000677,0.000590,0.000624,0.000624,68107
2020-08-04,0.000624,0.000714,0.000608,0.000672,0.000672,95696
2020-08-05,0.000703,0.000736,0.000666,0.000692,0.000692,84996
2020-08-06,0.000692,0.000741,0.000683,0.000705,0.000705,59934
2020-08-07,0.000705,0.000710,0.000615,0.000651,0.000651,68855
2020-08-08,0.000651,0.000676,0.000612,0.000667,0.000667,82194
2020-08-09,0.000667,0.000943,0.000604,0.000713,0.000713,86783
2020-08-10,0.000713,0.000738,0.000649,0.000677,0.000677,99549
2020-08-11,0.000677,0.000746,0.000644,0.000691,0.000691,66795
2020-08-12,0.000691,0.000691,0.000589,0.000653,0.000653,70891
2020-08-13,0.000654,0.000690,0.000594,0.000625,0.000625,88682
2020-08-14,0.000625,0.000681,0.000619,0.000626,0.000626,81634
2020-08-15,0.000626,0.000673,0.000622,0.000656,0.000656,68031
2020-08-16,0.000656,0.000998,0.000627,0.000640,0.000640,100608
