Date,Open,High,Low,Close,Adj Close,Volume
2020-05-07,0.090506,0.092065,0.089415,0.090394,0.090394,7124408
2020-05-08,0.090394,0.092308,0.089464,0.091925,0.091925,6898467
2020-05-09,null,null,null,null,null,null
2020-05-10,null,null,null,null,null,null
2020-05-11,null,null,null,null,null,null
2020-05-12,null,null,null,null,null,null
2020-05-13,null,null,null,null,null,null
2020-05-14,null,null,null,null,null,null
2020-05-15,null,null,null,null,null,null
2020-05-16,0.081657,0.094288,0.081109,0.087988,0.087988,7065346
2020-05-17,0.087934,0.092976,0.087818,0.088605,0.088605,6263460
2020-05-18,0.088481,0.089229,0.086649,0.088154,0.088154,5211225
2020-05-19,0.088303,0.088694,0.086131,0.087931,0.087931,4339074
2020-05-20,0.087972,0.092616,0.086153,0.090134,0.090134,6184840
2020-05-21,0.090188,0.093015,0.084969,0.089885,0.089885,9671406
2020-05-22,0.089816,0.097648,0.087482,0.097648,0.097648,12015384
2020-05-23,0.098010,0.100764,0.091951,0.095615,0.095615,12116298
2020-05-24,0.095611,0.097656,0.089261,0.089348,0.089348,10439434
2020-05-25,0.089449,0.094920,0.087693,0.094060,0.094060,10422738
2020-05-26,0.093714,0.095718,0.092794,0.094066,0.094066,10198031
2020-05-27,0.094066,0.095071,0.092496,0.094414,0.094414,9521186
2020-05-28,0.094440,0.134144,0.094335,0.124668,0.124668,24355993
2020-05-29,0.124991,0.132274,0.102323,0.104719,0.104719,21360055
2020-05-30,0.104654,0.109191,0.102032,0.105737,0.105737,12196009
2020-05-31,0.105737,0.107904,0.099768,0.100214,0.100214,10904794
2020-06-01,0.100406,0.107492,0.099839,0.104816,0.104816,12008357
2020-06-02,0.104743,0.111917,0.100770,0.104838,0.104838,13104522
2020-06-03,0.104838,0.138988,0.103029,0.119861,0.119861,23833804
2020-06-04,0.120010,0.120010,0.110721,0.111026,0.111026,14479318
2020-06-05,0.111026,0.112278,0.108113,0.108169,0.108169,6810331
2020-06-06,0.108169,0.119686,0.107610,0.111763,0.111763,9320016
2020-06-07,0.111763,0.117513,0.111381,0.116463,0.116463,11727992
2020-06-08,0.116445,0.119002,0.114548,0.114548,0.114548,8013829
2020-06-09,0.114684,0.121232,0.114435,0.120815,0.120815,8508279
2020-06-10,0.120127,0.123002,0.113442,0.115838,0.115838,8374695
2020-06-11,null,null,null,null,null,null
2020-06-12,null,null,null,null,null,null
2020-06-13,null,null,null,null,null,null
2020-06-14,0.105095,0.107859,0.103061,0.104539,0.104539,6918696
2020-06-15,0.104539,0.104669,0.092848,0.101989,0.101989,7903446
2020-06-16,0.102117,0.104777,0.100965,0.103925,0.103925,6605116
2020-06-17,0.104023,0.106993,0.102521,0.106474,0.106474,7820290
2020-06-18,0.106474,0.106971,0.104232,0.105910,0.105910,8571482
2020-06-19,0.105727,0.105913,0.099450,0.099479,0.099479,9736232
2020-06-20,null,null,null,null,null,null
2020-06-21,0.104027,0.104619,0.101678,0.101729,0.101729,7083322
2020-06-22,null,null,null,null,null,null
2020-06-23,0.104075,0.113116,0.102529,0.108778,0.108778,17443092
2020-06-24,0.108698,0.109767,0.101420,0.103637,0.103637,13574501
2020-06-25,0.103641,0.105184,0.099457,0.104573,0.104573,12485829
2020-06-26,0.104524,0.128047,0.104116,0.124627,0.124627,27908755
2020-06-27,null,null,null,null,null,null
2020-06-28,0.109413,0.114669,0.108024,0.110995,0.110995,8511781
2020-06-29,0.110995,0.112288,0.105894,0.106547,0.106547,5896838
2020-06-30,0.106574,0.110241,0.106369,0.107651,0.107651,15641183
2020-07-01,0.107653,0.108943,0.105427,0.105643,0.105643,6122886
2020-07-02,0.105591,0.107480,0.100831,0.103188,0.103188,4933431
2020-07-03,0.103137,0.105940,0.102740,0.104419,0.104419,5832139
2020-07-04,0.104409,0.109746,0.104266,0.107856,0.107856,7212199
2020-07-05,0.108014,0.108105,0.104404,0.105714,0.105714,9397205
2020-07-06,0.105714,0.116163,0.105141,0.112825,0.112825,12431245
2020-07-07,0.112543,0.117748,0.110847,0.113785,0.113785,12671578
2020-07-08,0.113753,0.115419,0.111078,0.113752,0.113752,9371037
2020-07-09,0.113752,0.113761,0.109985,0.111236,0.111236,10344397
2020-07-10,0.111064,0.127066,0.109970,0.121615,0.121615,21489981
2020-07-11,0.121463,0.125229,0.116879,0.118123,0.118123,17183048
2020-07-12,0.118046,0.122958,0.115341,0.117490,0.117490,12076002
2020-07-13,0.117490,0.118926,0.113002,0.114824,0.114824,13708332
2020-07-14,0.114867,0.118466,0.111664,0.117554,0.117554,13764909
2020-07-15,0.117327,0.118223,0.113820,0.114002,0.114002,9994479
2020-07-16,0.113974,0.114099,0.108191,0.111703,0.111703,8019183
2020-07-17,0.111725,0.114904,0.111434,0.113297,0.113297,7013986
2020-07-18,0.113290,0.115504,0.112531,0.114311,0.114311,4558684
2020-07-19,0.114341,0.121110,0.114150,0.119668,0.119668,10670803
2020-07-20,0.119656,0.134989,0.117775,0.123878,0.123878,22798266
2020-07-21,0.123796,0.140162,0.122241,0.134534,0.134534,24411628
2020-07-22,0.134412,0.134757,0.127096,0.130356,0.130356,16722188
2020-07-23,0.130394,0.131788,0.123880,0.124634,0.124634,9585279
2020-07-24,0.124634,0.130869,0.122992,0.127783,0.127783,12284543
2020-07-25,0.127792,0.130246,0.121749,0.121749,0.121749,13237765
2020-07-26,0.121711,0.123383,0.115390,0.117159,0.117159,12537145
2020-07-27,0.117100,0.117959,0.105271,0.107819,0.107819,16541204
2020-07-28,0.107891,0.113382,0.105770,0.111790,0.111790,11636305
2020-07-29,0.111826,0.125461,0.111790,0.118818,0.118818,18665201
2020-07-30,0.118823,0.124560,0.117523,0.119445,0.119445,15525978
2020-07-31,0.119437,0.119532,0.112512,0.113835,0.113835,15630852
2020-08-01,0.113835,0.116790,0.112699,0.113804,0.113804,14894753
2020-08-02,0.113865,0.114259,0.101894,0.106184,0.106184,17888108
2020-08-03,0.106159,0.109607,0.105633,0.108153,0.108153,11746163
2020-08-04,0.108150,0.113806,0.107775,0.112507,0.112507,15323310
2020-08-05,0.112383,0.115308,0.109963,0.114496,0.114496,17754746
2020-08-06,0.114389,0.117960,0.113010,0.115030,0.115030,15308763
2020-08-07,0.114971,0.124454,0.113640,0.120140,0.120140,17673199
2020-08-08,0.120335,0.129094,0.120335,0.123196,0.123196,25472902
2020-08-09,0.123303,0.141187,0.122470,0.136017,0.136017,26538563
2020-08-10,0.136055,0.138125,0.130499,0.132735,0.132735,17441487
2020-08-11,0.132803,0.153428,0.132220,0.135452,0.135452,23133530
2020-08-12,0.135407,0.146339,0.135203,0.145823,0.145823,19543046
2020-08-13,null,null,null,null,null,null
2020-08-14,null,null,null,null,null,null
2020-08-15,null,null,null,null,null,null
2020-08-16,0.138107,0.138885,0.132413,0.138056,0.138056,10053438
2020-08-17,0.138056,0.148906,0.134531,0.143670,0.143670,12010002
2020-08-18,0.143753,0.156256,0.139620,0.151076,0.151076,12805620
2020-08-19,0.151076,0.151161,0.129249,0.133537,0.133537,8853419
2020-08-20,0.133494,0.139884,0.129654,0.139627,0.139627,7142400
2020-08-21,0.139575,0.149888,0.136572,0.136697,0.136697,11178434
2020-08-22,0.136623,0.139955,0.128028,0.139782,0.139782,7888508
2020-08-23,0.139745,0.148145,0.131364,0.144903,0.144903,13347180
2020-08-24,0.144903,0.149669,0.141582,0.147519,0.147519,9864951
2020-08-25,0.147629,0.157336,0.142464,0.157336,0.157336,13962599
2020-08-26,0.158024,0.158816,0.147200,0.147497,0.147497,14224480
2020-08-27,0.147661,0.148263,0.135433,0.139440,0.139440,10526458
2020-08-28,0.139483,0.158342,0.139266,0.151720,0.151720,13677067
2020-08-29,0.151217,0.178791,0.148039,0.167080,0.167080,21931468
2020-08-30,0.166904,0.166904,0.153864,0.156304,0.156304,10936589
2020-08-31,0.156200,0.158583,0.149426,0.149670,0.149670,9270357
2020-09-01,0.149589,0.168345,0.146770,0.157342,0.157342,12802514
2020-09-02,0.157327,0.161240,0.142720,0.151858,0.151858,8806666
2020-09-03,0.151731,0.152192,0.111955,0.111999,0.111999,8436221
2020-09-04,0.111726,0.125577,0.107215,0.119716,0.119716,7958353
2020-09-05,0.119909,0.121576,0.094602,0.098591,0.098591,8773717
2020-09-06,0.098591,0.105143,0.095350,0.102111,0.102111,6004768
2020-09-07,0.102155,0.103128,0.092780,0.099946,0.099946,5945089
2020-09-08,0.099797,0.101932,0.093924,0.097940,0.097940,5195583
2020-09-09,0.097891,0.102951,0.095670,0.100452,0.100452,4880469
2020-09-10,0.100609,0.119729,0.100221,0.113497,0.113497,9164911
2020-09-11,0.113568,0.116843,0.106825,0.115267,0.115267,7497031
2020-09-12,0.115259,0.117018,0.111222,0.114139,0.114139,6692251
2020-09-13,0.114108,0.115066,0.104292,0.106204,0.106204,5874738
2020-09-14,0.106108,0.110113,0.102723,0.106977,0.106977,5378387
2020-09-15,0.106955,0.107996,0.099901,0.100104,0.100104,4689529
2020-09-16,0.100138,0.105312,0.095382,0.102240,0.102240,5669406
2020-09-17,0.101969,0.104493,0.096691,0.098721,0.098721,4453713
2020-09-18,0.098721,0.102279,0.098367,0.098698,0.098698,4470406
2020-09-19,0.098763,0.100436,0.097972,0.098945,0.098945,3415821
2020-09-20,0.098934,0.110410,0.098210,0.102119,0.102119,9754964
