Date,Open,High,Low,Close,Adj Close,Volume
2020-05-07,0.056452,0.061247,0.055839,0.060881,0.060881,6124
2020-05-08,0.061288,0.063041,0.057239,0.058497,0.058497,8439
2020-05-09,null,null,null,null,null,null
2020-05-10,null,null,null,null,null,null
2020-05-11,null,null,null,null,null,null
2020-05-12,null,null,null,null,null,null
2020-05-13,null,null,null,null,null,null
2020-05-14,null,null,null,null,null,null
2020-05-15,null,null,null,null,null,null
2020-05-16,0.069086,0.072905,0.064181,0.070125,0.070125,7763
2020-05-17,0.070125,0.085757,0.069727,0.084010,0.084010,18562
2020-05-18,0.084006,0.098961,0.080596,0.092976,0.092976,40913
2020-05-19,0.092960,0.103440,0.088904,0.094523,0.094523,23899
2020-05-20,0.094583,0.096338,0.089069,0.090742,0.090742,14424
2020-05-21,0.090746,0.091471,0.075714,0.080378,0.080378,21018
2020-05-22,0.080233,0.083725,0.075861,0.083513,0.083513,16016
2020-05-23,0.083519,0.087700,0.077372,0.077788,0.077788,18192
2020-05-24,0.078693,0.078741,0.073300,0.073420,0.073420,11509
2020-05-25,0.072989,0.074228,0.065052,0.067331,0.067331,14267
2020-05-26,0.067322,0.077994,0.065742,0.075333,0.075333,13371
2020-05-27,0.075333,0.075473,0.066612,0.067931,0.067931,14905
2020-05-28,0.067927,0.079731,0.067236,0.076717,0.076717,14445
2020-05-29,0.076718,0.080999,0.068203,0.070482,0.070482,17374
2020-05-30,0.070482,0.083029,0.069517,0.079596,0.079596,15237
2020-05-31,0.079596,0.084758,0.077902,0.079138,0.079138,14269
2020-06-01,0.079138,0.082746,0.074626,0.079188,0.079188,12235
2020-06-02,0.079131,0.087683,0.073991,0.075169,0.075169,10818
2020-06-03,0.075180,0.076032,0.072423,0.074231,0.074231,11246
2020-06-04,0.074244,0.075601,0.070140,0.072829,0.072829,10483
2020-06-05,0.072629,0.072914,0.069617,0.071480,0.071480,9011
2020-06-06,0.071480,0.072342,0.068350,0.071924,0.071924,8174
2020-06-07,0.071233,0.071688,0.066718,0.070493,0.070493,8480
2020-06-08,0.070500,0.070881,0.068073,0.070372,0.070372,8604
2020-06-09,0.070280,0.070280,0.068153,0.069469,0.069469,8314
2020-06-10,0.069472,0.072137,0.068487,0.072110,0.072110,8791
2020-06-11,null,null,null,null,null,null
2020-06-12,null,null,null,null,null,null
2020-06-13,null,null,null,null,null,null
2020-06-14,0.064098,0.064764,0.061090,0.063517,0.063517,8414
2020-06-15,0.063514,0.066000,0.059737,0.062963,0.062963,9887
2020-06-16,0.062977,0.066019,0.062467,0.064978,0.064978,6229
2020-06-17,0.064984,0.066591,0.061169,0.063889,0.063889,7765
2020-06-18,0.063887,0.066145,0.062846,0.064276,0.064276,8478
2020-06-19,0.064352,0.065148,0.061048,0.063465,0.063465,11538
2020-06-20,null,null,null,null,null,null
2020-06-21,0.061634,0.065252,0.061133,0.062354,0.062354,6846
2020-06-22,null,null,null,null,null,null
2020-06-23,0.065121,0.065663,0.062828,0.065046,0.065046,7211
2020-06-24,0.064353,0.065805,0.061985,0.063048,0.063048,6825
2020-06-25,0.063017,0.064417,0.060728,0.062311,0.062311,8092
2020-06-26,0.062280,0.063218,0.060960,0.061989,0.061989,5961
2020-06-27,null,null,null,null,null,null
2020-06-28,0.060839,0.062468,0.058659,0.059822,0.059822,7499
2020-06-29,0.059822,0.062203,0.055918,0.058162,0.058162,7661
2020-06-30,0.058778,0.060117,0.055883,0.057520,0.057520,5914
2020-07-01,0.057519,0.062329,0.055954,0.059759,0.059759,7897
2020-07-02,0.059629,0.060196,0.055844,0.056701,0.056701,4819
2020-07-03,0.056354,0.059232,0.055475,0.056663,0.056663,6519
2020-07-04,0.056666,0.063702,0.053431,0.059130,0.059130,8286
2020-07-05,0.058441,0.059586,0.055281,0.056147,0.056147,6855
2020-07-06,0.056147,0.060318,0.055387,0.059400,0.059400,10000
2020-07-07,0.058525,0.061816,0.057091,0.058148,0.058148,9779
2020-07-08,0.058162,0.062902,0.051779,0.055312,0.055312,17707
2020-07-09,0.055398,0.057372,0.053682,0.055037,0.055037,4425
2020-07-10,0.055043,0.055955,0.052904,0.055087,0.055087,7887
2020-07-11,0.054534,0.056246,0.053044,0.054145,0.054145,6916
2020-07-12,0.054144,0.058362,0.053691,0.055847,0.055847,3236
2020-07-13,0.055847,0.056694,0.053496,0.055424,0.055424,7036
2020-07-14,0.055104,0.057633,0.054082,0.055062,0.055062,6567
2020-07-15,0.054894,0.057454,0.053941,0.055920,0.055920,7629
2020-07-16,0.055911,0.056790,0.052630,0.054834,0.054834,6845
2020-07-17,0.054828,0.056522,0.051951,0.053193,0.053193,7499
2020-07-18,0.053498,0.054897,0.051048,0.052963,0.052963,6481
2020-07-19,0.053217,0.053420,0.050231,0.051503,0.051503,4386
2020-07-20,0.051583,0.052700,0.049722,0.050358,0.050358,5674
2020-07-21,0.050357,0.052083,0.049294,0.050829,0.050829,8491
2020-07-22,0.050830,0.051573,0.048609,0.050616,0.050616,2921
2020-07-23,0.050616,0.052408,0.049901,0.051585,0.051585,2975
2020-07-24,0.051599,0.052618,0.049684,0.050430,0.050430,4470
2020-07-25,0.050943,0.052909,0.050273,0.050828,0.050828,2630
2020-07-26,0.050837,0.055154,0.050441,0.052976,0.052976,8310
2020-07-27,0.052978,0.061764,0.052854,0.058796,0.058796,4083
2020-07-28,0.058718,0.094946,0.051167,0.057197,0.057197,44164
2020-07-29,0.057218,0.068774,0.056516,0.064421,0.064421,5940
2020-07-30,0.064481,0.067825,0.058621,0.062164,0.062164,5341
2020-07-31,0.062164,0.098026,0.061634,0.079251,0.079251,40626
2020-08-01,0.079251,0.083788,0.076818,0.078315,0.078315,8677
2020-08-02,0.078308,0.078308,0.067504,0.070658,0.070658,6016
2020-08-03,0.070691,0.086389,0.068434,0.081971,0.081971,92248
2020-08-04,0.081963,0.112262,0.081731,0.089209,0.089209,54065
2020-08-05,0.089219,0.093714,0.083804,0.091530,0.091530,13227
2020-08-06,0.091532,0.093491,0.083667,0.088545,0.088545,14476
2020-08-07,0.088533,0.092601,0.082216,0.086928,0.086928,12894
2020-08-08,0.086955,0.088772,0.082074,0.086126,0.086126,11095
2020-08-09,0.086154,0.091624,0.083045,0.091624,0.091624,15720
2020-08-10,0.090934,0.095413,0.088421,0.092891,0.092891,14038
2020-08-11,0.092965,0.092965,0.082231,0.087003,0.087003,12898
2020-08-12,0.087048,0.087048,0.080194,0.084939,0.084939,10041
2020-08-13,0.084225,0.086831,0.081843,0.084984,0.084984,10654
2020-08-14,0.084950,0.088446,0.083098,0.084782,0.084782,7968
2020-08-15,0.084779,0.090615,0.083685,0.086083,0.086083,9171
2020-08-16,0.086069,0.086335,0.083804,0.085704,0.085704,10159
2020-08-17,0.085704,0.095390,0.084347,0.095041,0.095041,12052
2020-08-18,0.093880,0.096309,0.081046,0.084811,0.084811,11174
