Date,Open,High,Low,Close,Adj Close,Volume
2020-05-07,0.015589,0.017368,0.015261,0.016271,0.016271,563025
2020-05-08,0.016262,0.017434,0.013462,0.014548,0.014548,772098
2020-05-09,null,null,null,null,null,null
2020-05-10,null,null,null,null,null,null
2020-05-11,null,null,null,null,null,null
2020-05-12,null,null,null,null,null,null
2020-05-13,null,null,null,null,null,null
2020-05-14,null,null,null,null,null,null
2020-05-15,null,null,null,null,null,null
2020-05-16,0.010222,0.010600,0.009580,0.009595,0.009595,164515
2020-05-17,0.009597,0.009723,0.008796,0.009384,0.009384,421394
2020-05-18,0.009384,0.010439,0.009067,0.010174,0.010174,287101
2020-05-19,0.010169,0.010406,0.009264,0.009538,0.009538,175589
2020-05-20,0.009540,0.009974,0.008389,0.008659,0.008659,323693
2020-05-21,0.008658,0.009376,0.008191,0.008575,0.008575,189161
2020-05-22,0.008585,0.009332,0.008186,0.009230,0.009230,164749
2020-05-23,0.009231,0.009362,0.008303,0.008604,0.008604,141117
2020-05-24,0.008604,0.008918,0.008378,0.008682,0.008682,132455
2020-05-25,0.008731,0.009256,0.008422,0.008933,0.008933,157459
2020-05-26,0.008933,0.009615,0.008812,0.009264,0.009264,220719
2020-05-27,0.009264,0.009494,0.008783,0.009269,0.009269,174066
2020-05-28,0.009269,0.009439,0.008875,0.009262,0.009262,108104
2020-05-29,0.009254,0.009569,0.009127,0.009351,0.009351,132753
2020-05-30,0.009326,0.009495,0.009017,0.009233,0.009233,107324
2020-05-31,0.009218,0.009484,0.008791,0.008845,0.008845,115269
2020-06-01,0.008846,0.009354,0.008638,0.009203,0.009203,183125
2020-06-02,0.009258,0.010057,0.009025,0.009359,0.009359,212801
2020-06-03,0.009359,0.010032,0.009218,0.010013,0.010013,78653
2020-06-04,0.010034,0.010243,0.009575,0.009682,0.009682,136288
2020-06-05,0.009682,0.009867,0.009303,0.009318,0.009318,75589
2020-06-06,0.009318,0.009649,0.009308,0.009440,0.009440,45366
2020-06-07,0.009440,0.009598,0.009219,0.009571,0.009571,82648
2020-06-08,0.009565,0.010044,0.009538,0.009967,0.009967,91019
2020-06-09,0.009970,0.010569,0.009470,0.009620,0.009620,223773
2020-06-10,0.009636,0.009826,0.008721,0.009717,0.009717,411738
2020-06-11,null,null,null,null,null,null
2020-06-12,null,null,null,null,null,null
2020-06-13,null,null,null,null,null,null
2020-06-14,0.009027,0.009099,0.008682,0.008805,0.008805,101641
2020-06-15,0.008805,0.008930,0.008298,0.008704,0.008704,86942
2020-06-16,0.008704,0.009069,0.008575,0.008886,0.008886,89755
2020-06-17,0.008887,0.008921,0.008551,0.008718,0.008718,113321
2020-06-18,0.008718,0.008925,0.008533,0.008712,0.008712,126739
2020-06-19,0.008718,0.008989,0.008520,0.008753,0.008753,75715
2020-06-20,null,null,null,null,null,null
2020-06-21,0.009052,0.009193,0.008791,0.008833,0.008833,81557
2020-06-22,null,null,null,null,null,null
2020-06-23,0.009061,0.009199,0.008733,0.008988,0.008988,141959
2020-06-24,0.009072,0.009447,0.008754,0.008891,0.008891,119626
2020-06-25,0.008894,0.008894,0.008129,0.008222,0.008222,182782
2020-06-26,0.008221,0.008348,0.006947,0.007342,0.007342,520201
2020-06-27,null,null,null,null,null,null
2020-06-28,0.006759,0.007486,0.006502,0.007043,0.007043,180363
2020-06-29,0.007043,0.007285,0.006231,0.006558,0.006558,169715
2020-06-30,0.006557,0.006957,0.006460,0.006680,0.006680,129650
2020-07-01,0.006680,0.007792,0.006571,0.007588,0.007588,194552
2020-07-02,0.007507,0.007755,0.007190,0.007587,0.007587,115596
2020-07-03,0.007588,0.007589,0.006811,0.006920,0.006920,96804
2020-07-04,0.006919,0.006963,0.006629,0.006901,0.006901,67750
2020-07-05,0.006901,0.007224,0.006735,0.007130,0.007130,103107
2020-07-06,0.007130,0.007437,0.006891,0.007078,0.007078,96033
2020-07-07,0.007076,0.007502,0.007052,0.007278,0.007278,179962
2020-07-08,0.007279,0.010074,0.007175,0.009531,0.009531,749990
2020-07-09,0.009532,0.010985,0.009226,0.010437,0.010437,341529
2020-07-10,0.010433,0.010994,0.009432,0.010502,0.010502,329604
2020-07-11,0.010503,0.010630,0.009661,0.010185,0.010185,231385
2020-07-12,0.010062,0.010993,0.009963,0.010280,0.010280,142180
2020-07-13,0.010280,0.011284,0.009255,0.009347,0.009347,282157
2020-07-14,0.009321,0.009704,0.008541,0.008869,0.008869,355094
2020-07-15,0.008869,0.009459,0.008676,0.009028,0.009028,177083
2020-07-16,0.009027,0.009903,0.008810,0.009740,0.009740,236730
2020-07-17,0.009776,0.012217,0.009688,0.012217,0.012217,763541
2020-07-18,0.012225,0.014598,0.011748,0.014335,0.014335,665345
2020-07-19,0.014334,0.014746,0.012396,0.013152,0.013152,552607
2020-07-20,0.013163,0.014636,0.012358,0.012530,0.012530,454491
2020-07-21,0.012528,0.016015,0.011715,0.014830,0.014830,755633
2020-07-22,0.014830,0.016234,0.013789,0.013797,0.013797,712257
2020-07-23,0.013797,0.014559,0.013003,0.014428,0.014428,438911
2020-07-24,0.014428,0.015937,0.013210,0.013496,0.013496,478228
2020-07-25,0.013497,0.014779,0.013171,0.013445,0.013445,291024
2020-07-26,0.013642,0.013925,0.012620,0.013667,0.013667,305012
2020-07-27,0.013644,0.013644,0.010362,0.012464,0.012464,841008
2020-07-28,0.012456,0.013122,0.011649,0.012268,0.012268,355324
2020-07-29,0.012271,0.012347,0.010548,0.011471,0.011471,572683
2020-07-30,0.011477,0.013694,0.011065,0.011921,0.011921,383981
2020-07-31,0.011920,0.013056,0.010996,0.010996,0.010996,435933
2020-08-01,0.010996,0.012171,0.010712,0.011136,0.011136,325235
2020-08-02,0.011074,0.011695,0.010200,0.011369,0.011369,332651
2020-08-03,0.011372,0.012243,0.010646,0.010646,0.010646,271480
2020-08-04,0.010646,0.011310,0.010466,0.010682,0.010682,193738
2020-08-05,0.010682,0.012548,0.010532,0.012315,0.012315,393048
2020-08-06,0.012314,0.015118,0.011960,0.014135,0.014135,572068
2020-08-07,0.014133,0.016373,0.013604,0.015388,0.015388,591512
2020-08-08,0.015423,0.015595,0.014509,0.015075,0.015075,260898
2020-08-09,0.015179,0.016645,0.014194,0.016405,0.016405,515990
2020-08-10,0.016438,0.021318,0.014090,0.020188,0.020188,1647030
2020-08-11,0.020190,0.021333,0.016830,0.019276,0.019276,966402
2020-08-12,0.019241,0.022991,0.018474,0.020444,0.020444,1031390
2020-08-13,null,null,null,null,null,null
2020-08-14,null,null,null,null,null,null
2020-08-15,null,null,null,null,null,null
2020-08-16,0.020787,0.022229,0.018310,0.021135,0.021135,914002
2020-08-17,0.021135,0.022543,0.019190,0.021697,0.021697,812978
2020-08-18,0.021573,0.023276,0.020277,0.022970,0.022970,602729
2020-08-19,0.022970,0.023444,0.019391,0.019435,0.019435,739529
2020-08-20,0.019435,0.023096,0.019389,0.023009,0.023009,620132
2020-08-21,0.022880,0.025882,0.021487,0.022816,0.022816,1195681
2020-08-22,0.022791,0.024469,0.020417,0.022387,0.022387,512865
2020-08-23,0.022410,0.022671,0.020996,0.021791,0.021791,314324
2020-08-24,0.021786,0.024050,0.021187,0.023493,0.023493,408092
2020-08-25,0.023493,0.024734,0.020702,0.021786,0.021786,535026
2020-08-26,0.021773,0.022126,0.019513,0.019863,0.019863,518531
2020-08-27,0.019918,0.020271,0.017808,0.018469,0.018469,362386
2020-08-28,0.018415,0.021587,0.017590,0.019592,0.019592,454135
