Date,Open,High,Low,Close,Adj Close,Volume
2020-05-07,2.176757,2.285453,2.131054,2.248435,2.248435,52978
2020-05-08,2.248435,2.265888,2.126396,2.172599,2.172599,28451
2020-05-09,null,null,null,null,null,null
2020-05-10,null,null,null,null,null,null
2020-05-11,null,null,null,null,null,null
2020-05-12,null,null,null,null,null,null
2020-05-13,null,null,null,null,null,null
2020-05-14,null,null,null,null,null,null
2020-05-15,null,null,null,null,null,null
2020-05-16,1.966330,2.019914,1.950807,1.989875,1.989875,22368
2020-05-17,1.990039,2.050849,1.976647,2.004290,2.004290,18347
2020-05-18,2.004230,2.056483,1.947122,1.980856,1.980856,47661
2020-05-19,1.980120,2.030224,1.941924,1.992826,1.992826,36578
2020-05-20,1.993049,2.014919,1.930306,1.973611,1.973611,42796
2020-05-21,1.973522,2.006660,1.831027,1.870659,1.870659,23062
2020-05-22,1.870603,1.909783,1.845909,1.904012,1.904012,20352
2020-05-23,1.904201,1.922511,1.843044,1.904411,1.904411,21163
2020-05-24,1.904512,1.927489,1.819670,1.820312,1.820312,20694
2020-05-25,1.816422,1.879532,1.787655,1.872708,1.872708,29700
2020-05-26,1.872661,1.933510,1.818808,1.841912,1.841912,31511
2020-05-27,1.841912,1.912945,1.840527,1.897866,1.897866,36794
2020-05-28,1.903543,1.988299,1.881947,1.971167,1.971167,48041
2020-05-29,1.971217,2.058137,1.960333,1.981611,1.981611,37092
2020-05-30,1.981521,2.365750,1.969752,2.142383,2.142383,68080
2020-05-31,2.142357,2.294084,2.076684,2.183662,2.183662,31292
2020-06-01,2.183639,2.435610,2.179699,2.362747,2.362747,39308
2020-06-02,2.363034,2.481854,2.280144,2.292479,2.292479,55239
2020-06-03,2.292479,2.562919,2.291387,2.450217,2.450217,55381
2020-06-04,2.450532,2.688931,2.446141,2.557989,2.557989,55474
2020-06-05,2.557989,2.692573,2.533561,2.639123,2.639123,38595
2020-06-06,2.639123,3.918920,2.631294,3.239006,3.239006,106772
2020-06-07,3.239006,3.430301,3.044076,3.086390,3.086390,34246
2020-06-08,3.086680,3.224998,3.084030,3.178074,3.178074,34248
2020-06-09,3.179365,3.248454,3.116653,3.218312,3.218312,61733
2020-06-10,3.218512,3.220993,2.963066,3.047986,3.047986,48151
2020-06-11,null,null,null,null,null,null
2020-06-12,null,null,null,null,null,null
2020-06-13,null,null,null,null,null,null
2020-06-14,2.859165,3.042621,2.842264,2.862805,2.862805,42631
2020-06-15,2.862360,2.971650,2.747165,2.951549,2.951549,62287
2020-06-16,2.951604,2.951604,2.772843,2.840405,2.840405,50002
2020-06-17,2.840833,2.865286,2.796851,2.816740,2.816740,70067
2020-06-18,2.816560,3.302352,2.801341,2.882920,2.882920,56158
2020-06-19,2.884313,2.884313,2.783696,2.788375,2.788375,35129
2020-06-20,null,null,null,null,null,null
2020-06-21,2.806940,2.839171,2.783003,2.791481,2.791481,31374
2020-06-22,null,null,null,null,null,null
2020-06-23,2.815115,2.869824,2.767195,2.847867,2.847867,56956
2020-06-24,2.848709,2.935177,2.774312,2.802172,2.802172,60212
