Date,Open,High,Low,Close,Adj Close,Volume
2020-07-08,0.168757,0.180090,0.168261,0.175255,0.175255,110942
2020-07-09,0.175292,0.176905,0.168745,0.172247,0.172247,135620
2020-07-10,0.172228,0.172810,0.167822,0.172089,0.172089,122023
2020-07-11,0.172089,0.172690,0.168202,0.170992,0.170992,89078
2020-07-12,0.170998,0.172445,0.169087,0.170752,0.170752,49890
2020-07-13,0.170752,0.173551,0.168341,0.170116,0.170116,39386
2020-07-14,0.170208,0.172063,0.167969,0.170844,0.170844,29488
2020-07-15,0.170844,0.173040,0.167934,0.172742,0.172742,28779
2020-07-16,0.172713,0.173229,0.167152,0.169350,0.169350,29650
2020-07-17,0.169339,0.178685,0.167304,0.177437,0.177437,63074
2020-07-18,0.177430,0.184108,0.167774,0.180913,0.180913,51635
2020-07-19,0.180904,0.185184,0.170383,0.184094,0.184094,52838
2020-07-20,0.184247,0.191417,0.179542,0.183976,0.183976,76934
2020-07-21,0.183913,0.188407,0.176681,0.182271,0.182271,90799
2020-07-22,0.182270,0.193728,0.182270,0.193387,0.193387,54528
2020-07-23,0.193387,0.199034,0.192139,0.196313,0.196313,69502
2020-07-24,0.196313,0.208530,0.195621,0.202458,0.202458,93610
2020-07-25,0.202477,0.225232,0.201573,0.216906,0.216906,69105
2020-07-26,0.216869,0.222174,0.205864,0.213617,0.213617,104757
2020-07-27,0.213619,0.223875,0.206337,0.219892,0.219892,110810
2020-07-28,0.222007,0.238964,0.219200,0.229420,0.229420,67378
2020-07-29,0.229444,0.240253,0.226360,0.227475,0.227475,58360
2020-07-30,0.227583,0.238663,0.225712,0.237238,0.237238,63690
2020-07-31,0.237238,0.252798,0.237238,0.250820,0.250820,91986
2020-08-01,0.250879,0.259749,0.248688,0.257821,0.257821,75329
2020-08-02,0.257817,0.264747,0.246684,0.254355,0.254355,86403
2020-08-03,0.254275,0.260034,0.253278,0.255900,0.255900,67621
2020-08-04,0.255849,0.263641,0.255490,0.259458,0.259458,115705
2020-08-05,0.259464,0.264689,0.254266,0.263110,0.263110,106086
2020-08-06,0.263110,0.264165,0.248349,0.249795,0.249795,140382
2020-08-07,0.249776,0.262358,0.248116,0.257974,0.257974,517960
2020-08-08,0.258357,0.266070,0.255955,0.262674,0.262674,689373
2020-08-09,0.262758,0.268053,0.260853,0.264108,0.264108,853118
2020-08-10,0.264108,0.271127,0.262777,0.266963,0.266963,2743597
2020-08-11,0.266999,0.271356,0.260260,0.266229,0.266229,2825366
2020-08-12,null,null,null,null,null,null
2020-08-13,null,null,null,null,null,null
2020-08-14,null,null,null,null,null,null
2020-08-15,null,null,null,null,null,null
2020-08-16,0.294745,0.298669,0.281391,0.298435,0.298435,2731471
2020-08-17,0.298435,0.330969,0.294354,0.330562,0.330562,3064192
2020-08-18,0.330371,0.336229,0.326925,0.332142,0.332142,2926204
2020-08-19,0.332111,0.333006,0.321162,0.327462,0.327462,2804540
2020-08-20,0.327462,0.354603,0.301548,0.354264,0.354264,2904522
2020-08-21,0.354203,0.355831,0.326268,0.327460,0.327460,2595226
2020-08-22,0.327435,0.340306,0.323695,0.340306,0.340306,2148435
2020-08-23,0.340222,0.359784,0.336101,0.359117,0.359117,2092418
2020-08-24,0.358931,0.364253,0.351590,0.362172,0.362172,2337996
2020-08-25,0.361744,0.362746,0.335213,0.343675,0.343675,2439551
2020-08-26,0.343598,0.350120,0.341064,0.346586,0.346586,2259048
2020-08-27,0.346598,0.350815,0.334816,0.342984,0.342984,2342893
2020-08-28,0.342986,0.349641,0.341125,0.346703,0.346703,2327939
2020-08-29,0.346956,0.350617,0.344082,0.344853,0.344853,2380344
2020-08-30,0.344766,0.358303,0.344766,0.352131,0.352131,2467038
2020-08-31,0.352322,0.357584,0.348138,0.353463,0.353463,2640304
2020-09-01,0.353300,0.355038,0.337414,0.345042,0.345042,2577565
2020-09-02,0.344567,0.350112,0.332133,0.341917,0.341917,2298724
2020-09-03,0.341896,0.347426,0.317853,0.318703,0.318703,2484366
2020-09-04,0.318831,0.321442,0.289950,0.295359,0.295359,2711675
2020-09-05,null,null,null,null,null,null
2020-09-06,null,null,null,null,null,null
2020-09-07,null,null,null,null,null,null
2020-09-08,null,null,null,null,null,null
2020-09-09,null,null,null,null,null,null
2020-09-10,null,null,null,null,null,null
2020-09-11,null,null,null,null,null,null
2020-09-12,null,null,null,null,null,null
2020-09-13,null,null,null,null,null,null
2020-09-14,null,null,null,null,null,null
2020-09-15,null,null,null,null,null,null
2020-09-16,null,null,null,null,null,null
2020-09-17,null,null,null,null,null,null
2020-09-18,null,null,null,null,null,null
2020-09-19,null,null,null,null,null,null
2020-09-20,null,null,null,null,null,null
2020-09-21,null,null,null,null,null,null
2020-09-22,0.221991,0.225757,0.208804,0.222040,0.222040,1992389
2020-09-23,0.222021,0.283275,0.199597,0.278455,0.278455,2421432
2020-09-24,0.278455,0.308166,0.277005,0.291895,0.291895,2691828
2020-09-25,0.291810,0.292603,0.269244,0.282431,0.282431,3185944
2020-09-26,0.282656,0.292078,0.265965,0.283468,0.283468,2921124
2020-09-27,0.283398,0.284731,0.265316,0.272458,0.272458,3122019
2020-09-28,0.272458,0.286031,0.255807,0.258434,0.258434,3880337
2020-09-29,0.258215,0.264571,0.232450,0.244505,0.244505,3134435
2020-09-30,0.244470,0.244599,0.207331,0.211940,0.211940,3097042
2020-10-01,0.211903,0.225018,0.211903,0.222467,0.222467,3119242
2020-10-02,null,null,null,null,null,null
2020-10-03,null,null,null,null,null,null
2020-10-04,null,null,null,null,null,null
2020-10-05,0.210375,0.216301,0.209264,0.211296,0.211296,3427257
2020-10-06,0.211155,0.213179,0.202109,0.202443,0.202443,3679868
2020-10-07,0.202412,0.202802,0.196400,0.198205,0.198205,3339106
2020-10-08,0.198102,0.204137,0.196846,0.202840,0.202840,3744923
2020-10-09,0.202982,0.220168,0.202356,0.220168,0.220168,3661267
2020-10-10,0.219085,0.223597,0.202162,0.203603,0.203603,3397063
2020-10-11,0.203646,0.209726,0.202847,0.207020,0.207020,2877698
2020-10-12,0.207119,0.209378,0.199981,0.204625,0.204625,4246086
2020-10-13,0.204606,0.217874,0.202914,0.215539,0.215539,3497413
2020-10-14,0.215510,0.215740,0.202157,0.204797,0.204797,3352149
2020-10-15,0.204873,0.233558,0.203683,0.231931,0.231931,3927236
2020-10-16,0.232241,0.233710,0.201662,0.208419,0.208419,3498593
2020-10-17,0.208956,0.215024,0.200191,0.204418,0.204418,3128635
2020-10-18,0.204424,0.210280,0.204421,0.210130,0.210130,3194843
2020-10-19,0.210228,0.210308,0.200474,0.202488,0.202488,3913727
2020-10-20,0.202513,0.206795,0.200261,0.202214,0.202214,3535936
2020-10-21,0.202232,0.212459,0.199733,0.209158,0.209158,4201077
2020-10-22,0.209062,0.223832,0.208711,0.220756,0.220756,3631068
2020-10-23,0.220908,0.220908,0.189881,0.208177,0.208177,3169795
2020-10-24,0.208184,0.223918,0.203576,0.223076,0.223076,3331036
2020-10-25,0.223076,0.224176,0.216775,0.220082,0.220082,3168407
2020-10-26,0.220086,0.223659,0.208061,0.220888,0.220888,3149522
2020-10-27,0.220888,0.221835,0.199706,0.208654,0.208654,4063593
2020-10-28,0.208654,0.211028,0.198015,0.207250,0.207250,3420083
2020-10-29,0.207251,0.208887,0.204483,0.208797,0.208797,3380171
2020-10-30,0.208792,0.209831,0.196545,0.205995,0.205995,3315897
2020-10-31,0.205995,0.212281,0.201215,0.204918,0.204918,3652349
2020-11-01,0.204918,0.208562,0.194595,0.205742,0.205742,3561964
2020-11-02,0.205742,0.207294,0.181801,0.198560,0.198560,4019065
2020-11-03,0.198555,0.201387,0.190360,0.201387,0.201387,4017319
2020-11-04,0.201338,0.206545,0.195834,0.205081,0.205081,4047964
2020-11-05,0.204905,0.227932,0.204258,0.227932,0.227932,5172882
2020-11-06,0.227932,0.282545,0.222310,0.282128,0.282128,4222205
2020-11-07,0.282128,0.283810,0.224950,0.259658,0.259658,4361382
2020-11-08,0.259660,0.275402,0.250299,0.273163,0.273163,4562024
2020-11-09,0.273170,0.273952,0.241150,0.266033,0.266033,4650084
2020-11-10,0.266022,0.272357,0.264146,0.267951,0.267951,591365
2020-11-11,0.267957,0.274801,0.264782,0.273800,0.273800,4230833
2020-11-12,0.273790,0.282052,0.269637,0.280880,0.280880,5244059
2020-11-13,0.280882,0.283255,0.273755,0.275288,0.275288,4870704
2020-11-14,0.275288,0.279067,0.264207,0.267732,0.267732,5264792
2020-11-15,0.267741,0.275309,0.264648,0.270095,0.270095,4435957
2020-11-16,0.270094,0.281769,0.267538,0.280426,0.280426,4937280
2020-11-17,0.280084,0.295508,0.270771,0.293505,0.293505,5972746
2020-11-18,0.293385,0.303076,0.289404,0.294513,0.294513,5107109
2020-11-19,0.294338,0.300494,0.275160,0.289587,0.289587,4410592
2020-11-20,0.289581,0.304141,0.284174,0.296823,0.296823,5283184
2020-11-21,0.296804,0.314187,0.288530,0.303658,0.303658,6371295
2020-11-22,0.303674,0.309109,0.291073,0.303275,0.303275,5153387
2020-11-23,0.303259,0.313173,0.263249,0.309104,0.309104,5173575
2020-11-24,0.309062,0.328020,0.302623,0.322351,0.322351,5428167
2020-11-25,0.322346,0.329504,0.314729,0.319778,0.319778,5217961
2020-11-26,0.319632,0.321699,0.289038,0.309973,0.309973,5006974
2020-11-27,0.310149,0.313723,0.296557,0.306932,0.306932,4446656
2020-11-28,0.306946,0.319605,0.304760,0.318514,0.318514,4483272
2020-11-29,0.318482,0.337297,0.313032,0.335059,0.335059,5086490
2020-11-30,0.335035,0.396991,0.292303,0.388464,0.388464,5575829
2020-12-01,0.388456,0.389857,0.363652,0.371221,0.371221,4613072
2020-12-02,0.371156,0.406595,0.366071,0.382880,0.382880,5217121
2020-12-03,0.382855,0.408715,0.374153,0.408255,0.408255,5401881
2020-12-04,0.408273,0.424978,0.350863,0.418163,0.418163,4891561
2020-12-05,0.417779,0.436464,0.402367,0.435140,0.435140,5518703
2020-12-06,0.435193,0.440583,0.396437,0.440226,0.440226,5459356
2020-12-07,0.440315,0.443503,0.421127,0.442833,0.442833,5651165
2020-12-08,0.442790,0.483087,0.438309,0.462760,0.462760,5621047
2020-12-09,0.462752,0.463475,0.430974,0.444882,0.444882,4856023
2020-12-10,0.444824,0.475145,0.425592,0.462308,0.462308,3645800
2020-12-11,0.462317,0.463761,0.445822,0.458353,0.458353,5111087
2020-12-12,0.458342,0.483065,0.455813,0.475032,0.475032,5238724
2020-12-13,0.474968,0.496257,0.470798,0.490339,0.490339,6188147
2020-12-14,0.490381,0.533037,0.486169,0.527052,0.527052,6302872
2020-12-15,0.527128,0.540980,0.498995,0.538980,0.538980,5920353
2020-12-16,0.538924,0.614614,0.523425,0.601521,0.601521,1595730
2020-12-17,0.601555,0.646957,0.588671,0.636504,0.636504,5781558
2020-12-18,0.636332,0.655638,0.633527,0.648585,0.648585,6080873
2020-12-19,0.648648,0.736491,0.641791,0.667100,0.667100,6423934
2020-12-20,0.667061,0.749444,0.639891,0.650059,0.650059,5557084
2020-12-21,0.650117,0.780161,0.622989,0.773841,0.773841,6953238
2020-12-22,0.773765,0.829274,0.752413,0.812781,0.812781,8681381
2020-12-23,0.812949,0.889711,0.791911,0.875438,0.875438,9086957
2020-12-24,0.874485,0.945225,0.720110,0.939614,0.939614,7185753
2020-12-25,0.939467,1.102901,0.939467,1.102399,1.102399,8173145
2020-12-26,1.102135,1.310591,0.889937,1.309034,1.309034,8652963
2020-12-27,1.308698,1.438273,0.953026,1.369289,1.369289,9324115
2020-12-28,1.368240,1.461631,1.304309,1.316703,1.316703,5106472
2020-12-29,1.275367,1.383396,1.233031,1.383396,1.383396,8194363
