Date,Open,High,Low,Close,Adj Close,Volume
2020-05-07,0.012911,0.014073,0.012767,0.013775,0.013775,138117
2020-05-08,0.013775,0.014414,0.013618,0.013727,0.013727,163837
2020-05-09,null,null,null,null,null,null
2020-05-10,null,null,null,null,null,null
2020-05-11,null,null,null,null,null,null
2020-05-12,null,null,null,null,null,null
2020-05-13,null,null,null,null,null,null
2020-05-14,null,null,null,null,null,null
2020-05-15,null,null,null,null,null,null
2020-05-16,0.014371,0.017809,0.014220,0.016494,0.016494,186917
2020-05-17,0.016506,0.017617,0.015431,0.016964,0.016964,152704
2020-05-18,0.016963,0.018638,0.015721,0.016774,0.016774,108169
2020-05-19,0.016770,0.016840,0.015814,0.016429,0.016429,85757
2020-05-20,0.016435,0.018354,0.015472,0.015472,0.015472,97627
2020-05-21,0.015471,0.017090,0.014910,0.015028,0.015028,141231
2020-05-22,0.015025,0.016368,0.012927,0.015927,0.015927,110893
2020-05-23,0.015927,0.016207,0.015373,0.015496,0.015496,141901
2020-05-24,0.015483,0.016463,0.015210,0.015399,0.015399,102652
2020-05-25,0.015376,0.020018,0.015323,0.018060,0.018060,211821
2020-05-26,0.018060,0.018261,0.016112,0.017045,0.017045,151000
2020-05-27,0.017045,0.019104,0.016770,0.017141,0.017141,217313
2020-05-28,0.017139,0.020032,0.017137,0.018538,0.018538,227078
2020-05-29,0.018570,0.020305,0.017985,0.020047,0.020047,225678
2020-05-30,0.020047,0.025215,0.019211,0.024815,0.024815,297649
2020-05-31,0.024757,0.027721,0.024134,0.025756,0.025756,312476
2020-06-01,0.025760,0.033399,0.025587,0.029645,0.029645,315642
2020-06-02,0.029382,0.035780,0.027492,0.028396,0.028396,282702
2020-06-03,0.028396,0.030437,0.027005,0.030385,0.030385,204526
2020-06-04,0.030392,0.036503,0.029406,0.036503,0.036503,325777
2020-06-05,0.036503,0.044507,0.036107,0.038833,0.038833,410274
2020-06-06,0.038833,0.050826,0.038484,0.045819,0.045819,472100
2020-06-07,0.045819,0.054979,0.043838,0.053705,0.053705,423216
2020-06-08,0.053711,0.055767,0.045593,0.047282,0.047282,482942
2020-06-09,0.047253,0.051407,0.032919,0.047956,0.047956,474458
2020-06-10,0.047967,0.055950,0.044089,0.050221,0.050221,475292
2020-06-11,null,null,null,null,null,null
2020-06-12,null,null,null,null,null,null
2020-06-13,null,null,null,null,null,null
2020-06-14,0.043176,0.043880,0.040132,0.041129,0.041129,240611
2020-06-15,0.041129,0.042205,0.037243,0.039532,0.039532,354140
2020-06-16,0.039555,0.043527,0.038514,0.043408,0.043408,345614
2020-06-17,0.043403,0.050512,0.043296,0.050218,0.050218,454953
2020-06-18,0.050172,0.059174,0.046848,0.050445,0.050445,261037
2020-06-19,0.050260,0.051047,0.046295,0.046678,0.046678,268129
2020-06-20,null,null,null,null,null,null
2020-06-21,0.048471,0.049414,0.046506,0.047588,0.047588,218411
2020-06-22,null,null,null,null,null,null
2020-06-23,0.047825,0.048862,0.046767,0.047056,0.047056,229165
2020-06-24,0.047067,0.048247,0.044855,0.046301,0.046301,203846
2020-06-25,0.046310,0.046780,0.045315,0.046136,0.046136,137760
2020-06-26,0.046130,0.047344,0.045081,0.047019,0.047019,298082
2020-06-27,null,null,null,null,null,null
2020-06-28,0.045361,0.046987,0.044621,0.045444,0.045444,250256
2020-06-29,0.045489,0.047116,0.044661,0.046187,0.046187,275506
2020-06-30,0.046161,0.050271,0.045742,0.046958,0.046958,172703
2020-07-01,0.046899,0.047757,0.045924,0.047223,0.047223,199382
2020-07-02,0.047195,0.049623,0.046110,0.047436,0.047436,229035
2020-07-03,0.047432,0.048688,0.046146,0.046563,0.046563,273248
2020-07-04,0.046572,0.048145,0.046359,0.047469,0.047469,188912
2020-07-05,0.047480,0.047938,0.045496,0.045953,0.045953,138932
2020-07-06,0.045953,0.047108,0.045274,0.047011,0.047011,163932
2020-07-07,0.047035,0.047466,0.045281,0.045775,0.045775,258947
2020-07-08,0.045794,0.053857,0.045097,0.047505,0.047505,317143
2020-07-09,0.047504,0.053188,0.046332,0.046604,0.046604,237326
2020-07-10,0.046582,0.048513,0.045459,0.048366,0.048366,185080
2020-07-11,0.048376,0.051469,0.047746,0.051096,0.051096,293243
2020-07-12,0.051096,0.051510,0.049118,0.050735,0.050735,226647
2020-07-13,0.050735,0.079020,0.050287,0.076014,0.076014,636372
