Date,Open,High,Low,Close,Adj Close,Volume
2020-06-14,0.142855,0.148329,0.130799,0.147082,0.147082,85457
2020-06-15,0.147101,0.150097,0.138170,0.146803,0.146803,227859
2020-06-16,0.146786,0.149714,0.142969,0.144456,0.144456,66298
2020-06-17,0.144424,0.145540,0.137742,0.138232,0.138232,74759
2020-06-18,0.138243,0.140711,0.134528,0.136939,0.136939,79856
2020-06-19,0.136939,0.138444,0.134447,0.134447,0.134447,86390
2020-06-20,null,null,null,null,null,null
2020-06-21,0.136543,0.159839,0.134853,0.148381,0.148381,17531
2020-06-22,null,null,null,null,null,null
2020-06-23,0.233618,0.234319,0.206510,0.216409,0.216409,67099
2020-06-24,0.216414,0.237632,0.159217,0.231980,0.231980,96416
2020-06-25,0.231792,0.234787,0.221553,0.231769,0.231769,87641
2020-06-26,0.231728,0.333442,0.231118,0.333310,0.333310,99377
2020-06-27,null,null,null,null,null,null
2020-06-28,0.367356,0.377682,0.325573,0.367125,0.367125,99423
2020-06-29,0.367125,0.370645,0.318780,0.350320,0.350320,109659
2020-06-30,0.349983,0.351127,0.305104,0.306403,0.306403,89294
2020-07-01,0.306773,0.310137,0.283934,0.302756,0.302756,94093
2020-07-02,0.302696,0.302707,0.224363,0.259335,0.259335,117756
2020-07-03,0.259372,0.271892,0.223411,0.257077,0.257077,71363
2020-07-04,0.256950,0.265057,0.254675,0.257918,0.257918,77583
2020-07-05,0.257777,0.262920,0.254888,0.258067,0.258067,119483
2020-07-06,0.258028,0.265620,0.254025,0.254025,0.254025,108884
2020-07-07,0.254040,0.266457,0.220751,0.227268,0.227268,87649
2020-07-08,0.227268,0.264140,0.224900,0.255326,0.255326,223676
2020-07-09,0.255413,0.256900,0.205766,0.205766,0.205766,181008
2020-07-10,0.205632,0.233948,0.205297,0.232865,0.232865,174356
2020-07-11,0.232865,0.311261,0.229560,0.283574,0.283574,246916
2020-07-12,0.284795,0.292906,0.274842,0.286036,0.286036,297560
2020-07-13,0.286036,0.294207,0.277004,0.285688,0.285688,272528
2020-07-14,0.286444,0.291410,0.274552,0.277638,0.277638,253853
2020-07-15,0.277834,0.291682,0.251738,0.265754,0.265754,262542
2020-07-16,0.265811,0.340965,0.262899,0.307704,0.307704,303089
2020-07-17,0.307654,0.408584,0.296667,0.399077,0.399077,200403
2020-07-18,0.399118,0.399983,0.307655,0.334526,0.334526,230410
2020-07-19,0.334491,0.362816,0.302910,0.361639,0.361639,462793
2020-07-20,0.361565,0.400759,0.335411,0.391660,0.391660,321902
2020-07-21,0.391660,0.421435,0.337399,0.407937,0.407937,223723
2020-07-22,0.407967,0.461317,0.391283,0.427265,0.427265,195700
2020-07-23,0.427265,0.553339,0.422053,0.553339,0.553339,282931
2020-07-24,0.553339,0.636903,0.546616,0.635805,0.635805,422686
2020-07-25,0.648222,0.658200,0.610996,0.641866,0.641866,351270
2020-07-26,0.642301,0.663044,0.599854,0.599854,0.599854,404294
2020-07-27,0.599841,0.620995,0.568673,0.593966,0.593966,361005
2020-07-28,0.593661,0.620911,0.590254,0.609987,0.609987,345566
2020-07-29,0.609780,0.867425,0.580986,0.628836,0.628836,1290155
2020-07-30,0.628550,0.747953,0.607723,0.699462,0.699462,487437
2020-07-31,0.699462,0.777810,0.698412,0.775556,0.775556,2849216
2020-08-01,0.776157,0.985130,0.692382,0.780150,0.780150,3252460
2020-08-02,0.782466,0.964414,0.774923,0.962385,0.962385,3260133
2020-08-03,0.961989,1.172230,0.961989,1.081322,1.081322,3306683
2020-08-04,1.082372,1.107569,0.972919,1.067165,1.067165,3924274
2020-08-05,1.066073,1.135547,1.048216,1.127523,1.127523,3661381
2020-08-06,1.127523,1.133648,1.092568,1.119897,1.119897,1961833
2020-08-07,1.119564,1.125233,1.020180,1.044257,1.044257,1058541
2020-08-08,1.043888,1.046999,0.900758,0.900758,0.900758,546131
2020-08-09,0.899714,1.826352,0.673285,1.811357,1.811357,1351540
2020-08-10,1.811357,1.811357,0.685635,0.693997,0.693997,881545
2020-08-11,0.693697,0.708071,0.613074,0.653560,0.653560,759140
2020-08-12,null,null,null,null,null,null
2020-08-13,null,null,null,null,null,null
2020-08-14,null,null,null,null,null,null
2020-08-15,null,null,null,null,null,null
2020-08-16,0.714953,0.768817,0.708177,0.718781,0.718781,273367
2020-08-17,0.718781,0.728493,0.683271,0.685428,0.685428,344279
2020-08-18,0.687634,0.786379,0.684407,0.737806,0.737806,688831
2020-08-19,0.737650,0.790621,0.695638,0.707430,0.707430,949404
2020-08-20,0.707430,0.729531,0.667163,0.701880,0.701880,661581
2020-08-21,0.706043,0.728701,0.638179,0.644637,0.644637,831937
2020-08-22,0.643185,0.664946,0.562027,0.603656,0.603656,517618
2020-08-23,0.604217,0.614295,0.514742,0.564639,0.564639,647872
2020-08-24,0.564083,0.605769,0.494190,0.494394,0.494394,506353
2020-08-25,0.495549,0.580516,0.490341,0.548572,0.548572,595850
2020-08-26,0.549177,0.589112,0.506138,0.560086,0.560086,537451
2020-08-27,0.560388,0.582660,0.514572,0.546682,0.546682,503736
2020-08-28,0.546547,0.584308,0.545661,0.570033,0.570033,427463
2020-08-29,0.569370,0.654526,0.569370,0.654251,0.654251,577630
2020-08-30,0.652298,0.697166,0.603024,0.620318,0.620318,702808
2020-08-31,0.619892,0.654736,0.612306,0.637043,0.637043,501230
2020-09-01,0.636930,0.644150,0.430408,0.467944,0.467944,995399
2020-09-02,0.472289,0.626965,0.471857,0.620810,0.620810,655433
2020-09-03,0.620447,0.623347,0.559833,0.569148,0.569148,499410
2020-09-04,0.568263,0.619075,0.526585,0.572586,0.572586,530364
2020-09-05,null,null,null,null,null,null
2020-09-06,null,null,null,null,null,null
2020-09-07,null,null,null,null,null,null
2020-09-08,null,null,null,null,null,null
2020-09-09,null,null,null,null,null,null
2020-09-10,null,null,null,null,null,null
2020-09-11,null,null,null,null,null,null
2020-09-12,null,null,null,null,null,null
2020-09-13,null,null,null,null,null,null
2020-09-14,null,null,null,null,null,null
2020-09-15,null,null,null,null,null,null
2020-09-16,null,null,null,null,null,null
2020-09-17,null,null,null,null,null,null
2020-09-18,null,null,null,null,null,null
2020-09-19,null,null,null,null,null,null
2020-09-20,null,null,null,null,null,null
2020-09-21,null,null,null,null,null,null
2020-09-22,0.442536,0.465191,0.334767,0.361362,0.361362,465757
2020-09-23,0.361360,0.478326,0.289421,0.463311,0.463311,747446
2020-09-24,0.463311,0.465117,0.363368,0.379569,0.379569,489074
2020-09-25,0.379778,0.398269,0.269104,0.367947,0.367947,315287
2020-09-26,0.367274,0.377222,0.277351,0.309583,0.309583,368323
2020-09-27,0.309418,0.388804,0.284409,0.351130,0.351130,317026
2020-09-28,0.351130,0.356783,0.298512,0.308718,0.308718,437935
2020-09-29,0.308938,0.316244,0.264722,0.299689,0.299689,573135
2020-09-30,0.300869,0.411206,0.244285,0.279444,0.279444,413350
2020-10-01,0.279828,0.280366,0.194383,0.197288,0.197288,440086
2020-10-02,null,null,null,null,null,null
2020-10-03,null,null,null,null,null,null
2020-10-04,null,null,null,null,null,null
2020-10-05,0.287860,0.353275,0.213353,0.327166,0.327166,517288
2020-10-06,0.326879,0.346904,0.202797,0.271271,0.271271,239406
2020-10-07,0.271583,0.343928,0.231276,0.333168,0.333168,809315
2020-10-08,0.333232,0.338576,0.226578,0.233389,0.233389,476680
2020-10-09,0.233246,0.340787,0.231162,0.261383,0.261383,485220
2020-10-10,0.260238,0.291608,0.257142,0.290185,0.290185,395526
2020-10-11,0.290214,0.313407,0.261629,0.265745,0.265745,444393
2020-10-12,0.264620,0.315815,0.263248,0.312930,0.312930,392456
2020-10-13,0.313029,0.482672,0.312999,0.482669,0.482669,1120027
2020-10-14,0.479521,0.479523,0.348833,0.362742,0.362742,152260
2020-10-15,0.362755,0.365356,0.321303,0.352355,0.352355,803055
2020-10-16,0.352622,0.413603,0.336568,0.392186,0.392186,1451737
2020-10-17,0.392315,0.446582,0.286419,0.306813,0.306813,1098089
2020-10-18,0.307485,0.370076,0.307444,0.341703,0.341703,647510
2020-10-19,0.340730,0.434685,0.330150,0.367366,0.367366,791908
2020-10-20,0.367527,0.385367,0.340423,0.363823,0.363823,1145977
2020-10-21,0.362734,0.414808,0.344393,0.388397,0.388397,1860292
2020-10-22,0.388237,0.436022,0.335768,0.356398,0.356398,972102
2020-10-23,0.355881,0.384510,0.314563,0.333983,0.333983,1083703
2020-10-24,0.333983,0.349283,0.315932,0.329082,0.329082,941827
2020-10-25,0.329082,0.349173,0.292307,0.332943,0.332943,1483005
2020-10-26,0.332943,0.353663,0.252304,0.284262,0.284262,587357
2020-10-27,0.284262,0.349693,0.270819,0.349281,0.349281,958030
2020-10-28,0.349281,0.353567,0.263530,0.297454,0.297454,202518
2020-10-29,0.297454,0.359767,0.258637,0.282768,0.282768,226662
2020-10-30,0.282763,0.368253,0.268928,0.307729,0.307729,170596
2020-10-31,0.307735,0.350336,0.281455,0.294482,0.294482,354932
2020-11-01,0.294476,0.306506,0.256406,0.285691,0.285691,359289
2020-11-02,0.285701,0.314625,0.262776,0.280858,0.280858,430356
2020-11-03,0.280858,0.290534,0.268754,0.274852,0.274852,223358
2020-11-04,0.274852,0.303072,0.271888,0.289588,0.289588,421168
2020-11-05,0.289588,0.300002,0.270093,0.289795,0.289795,546876
2020-11-06,0.289795,0.300822,0.267806,0.275261,0.275261,384756
2020-11-07,0.275261,0.296827,0.261626,0.271831,0.271831,277556
2020-11-08,0.271831,0.290396,0.251516,0.279796,0.279796,354604
2020-11-09,0.279796,0.285260,0.245576,0.267672,0.267672,535533
2020-11-10,0.267668,0.283699,0.242229,0.258234,0.258234,307839
2020-11-11,0.258234,0.279626,0.236741,0.251642,0.251642,403038
2020-11-12,0.251625,0.284710,0.247089,0.269222,0.269222,626997
2020-11-13,0.269222,0.281098,0.245665,0.269774,0.269774,300761
2020-11-14,0.269822,0.285826,0.192968,0.260375,0.260375,1433928
2020-11-15,0.260332,0.286294,0.252104,0.270915,0.270915,409079
2020-11-16,0.270915,0.275155,0.237343,0.262235,0.262235,174729
2020-11-17,0.253992,0.266456,0.240763,0.261504,0.261504,190564
2020-11-18,0.261504,0.267609,0.259182,0.259991,0.259991,316740
2020-11-19,0.259991,0.276666,0.242258,0.256679,0.256679,100359
2020-11-20,0.256679,0.276718,0.227174,0.258540,0.258540,110047
2020-11-21,0.258540,0.285186,0.237141,0.249960,0.249960,234080
2020-11-22,0.249964,0.268242,0.221307,0.254669,0.254669,129805
2020-11-23,0.254669,0.266434,0.235174,0.255444,0.255444,129162
2020-11-24,0.255448,0.264199,0.226887,0.249852,0.249852,337264
2020-11-25,0.249855,0.269595,0.244218,0.258990,0.258990,117940
2020-11-26,0.258985,0.268300,0.226423,0.246447,0.246447,359945
