Date,Open,High,Low,Close,Adj Close,Volume
2020-05-07,0.319523,0.357562,0.309265,0.340715,0.340715,667
2020-05-08,0.339818,0.346323,0.308597,0.327567,0.327567,277
2020-05-09,null,null,null,null,null,null
2020-05-10,null,null,null,null,null,null
2020-05-11,null,null,null,null,null,null
2020-05-12,null,null,null,null,null,null
2020-05-13,null,null,null,null,null,null
2020-05-14,null,null,null,null,null,null
2020-05-15,null,null,null,null,null,null
2020-05-16,0.324672,0.454039,0.291908,0.374818,0.374818,4704
2020-05-17,0.374818,0.470118,0.361184,0.382162,0.382162,3777
2020-05-18,0.385655,0.405090,0.370669,0.373415,0.373415,1179
2020-05-19,0.372237,0.424835,0.364412,0.385577,0.385577,1074
2020-05-20,0.385820,0.403048,0.342454,0.377278,0.377278,438
2020-05-21,0.377296,0.392195,0.360724,0.363697,0.363697,487
2020-05-22,0.363657,0.373623,0.342049,0.345151,0.345151,798
2020-05-23,0.340310,0.363496,0.331520,0.341949,0.341949,224
2020-05-24,0.343762,0.348329,0.317755,0.327448,0.327448,366
2020-05-25,0.326560,0.431057,0.293413,0.340268,0.340268,3139
2020-05-26,0.340268,0.452559,0.333555,0.393901,0.393901,4017
2020-05-27,0.393901,0.443922,0.389394,0.437139,0.437139,3684
2020-05-28,0.437113,0.554044,0.425764,0.474942,0.474942,2950
2020-05-29,0.474946,0.530785,0.464449,0.519636,0.519636,3143
2020-05-30,0.519636,0.601542,0.481134,0.548832,0.548832,4063
2020-05-31,0.548832,0.558073,0.524978,0.527454,0.527454,1602
2020-06-01,0.527454,0.590513,0.525119,0.575481,0.575481,2445
2020-06-02,0.575824,0.600166,0.535748,0.591664,0.591664,2219
2020-06-03,0.591752,0.661857,0.546085,0.590923,0.590923,8933
2020-06-04,0.591021,0.628269,0.575400,0.592292,0.592292,2132
2020-06-05,0.592292,0.607299,0.568577,0.568577,0.568577,1105
2020-06-06,0.568577,0.573095,0.559556,0.566136,0.566136,292
2020-06-07,0.566136,0.633548,0.549004,0.633288,0.633288,2040
2020-06-08,0.577400,0.630738,0.542759,0.552647,0.552647,986
2020-06-09,0.552626,0.582930,0.511793,0.552800,0.552800,977
2020-06-10,0.547049,0.554528,0.509782,0.527244,0.527244,317
2020-06-11,null,null,null,null,null,null
2020-06-12,null,null,null,null,null,null
2020-06-13,null,null,null,null,null,null
2020-06-14,0.489116,0.493614,0.432447,0.475250,0.475250,1335
2020-06-15,0.475231,0.490886,0.449349,0.460268,0.460268,802
2020-06-16,0.460362,0.465069,0.445730,0.452317,0.452317,583
2020-06-17,0.453880,0.471467,0.393935,0.411784,0.411784,771
2020-06-18,0.411785,0.430806,0.354180,0.361245,0.361245,1466
2020-06-19,0.359429,0.401746,0.345757,0.378316,0.378316,556
2020-06-20,null,null,null,null,null,null
2020-06-21,0.396801,0.400148,0.351738,0.369190,0.369190,324
2020-06-22,null,null,null,null,null,null
2020-06-23,0.378113,0.379499,0.327656,0.352091,0.352091,235
2020-06-24,0.352244,0.380502,0.350040,0.355479,0.355479,337
2020-06-25,0.355709,0.359442,0.338205,0.349968,0.349968,209
2020-06-26,0.349899,0.351251,0.334425,0.340335,0.340335,291
2020-06-27,null,null,null,null,null,null
2020-06-28,0.322780,0.328527,0.315166,0.322781,0.322781,318
2020-06-29,0.322788,0.328760,0.314632,0.318438,0.318438,267
2020-06-30,0.320151,0.323297,0.303915,0.314512,0.314512,202
2020-07-01,0.314516,0.330041,0.303928,0.322906,0.322906,364
2020-07-02,0.321841,0.425118,0.307203,0.316177,0.316177,471
2020-07-03,0.316101,0.324511,0.201945,0.258243,0.258243,1869
2020-07-04,0.255450,0.361971,0.248637,0.255495,0.255495,828
2020-07-05,0.254566,0.259011,0.241658,0.242668,0.242668,393
2020-07-06,0.242668,0.258153,0.220605,0.237950,0.237950,1195
2020-07-07,0.237933,0.277997,0.207681,0.229221,0.229221,580
2020-07-08,0.229273,0.269450,0.219572,0.225048,0.225048,452
2020-07-09,0.225040,0.279932,0.220947,0.248794,0.248794,528
2020-07-10,0.248820,0.249408,0.220360,0.224441,0.224441,387
2020-07-11,0.221309,0.265120,0.219410,0.226664,0.226664,1218
2020-07-12,0.226658,0.227538,0.186623,0.198430,0.198430,506
2020-07-13,0.198430,0.415651,0.189697,0.254267,0.254267,4343
2020-07-14,0.252800,0.282253,0.239253,0.256906,0.256906,375
2020-07-15,0.257065,0.261359,0.245217,0.247165,0.247165,322
2020-07-16,0.246500,0.325305,0.222395,0.262198,0.262198,1504
2020-07-17,0.268460,0.336126,0.266022,0.331145,0.331145,2681
2020-07-18,0.331134,0.331134,0.272451,0.283367,0.283367,302
2020-07-19,0.283358,0.351351,0.274308,0.317676,0.317676,1045
2020-07-20,0.317665,0.330747,0.261045,0.298349,0.298349,1431
2020-07-21,0.298342,0.346529,0.283090,0.346524,0.346524,1101
2020-07-22,0.346530,0.348814,0.303387,0.348247,0.348247,323
2020-07-23,0.348263,0.370487,0.314777,0.335383,0.335383,722
2020-07-24,0.335473,0.350110,0.332687,0.339692,0.339692,389
2020-07-25,0.339718,0.380237,0.339587,0.354999,0.354999,516
2020-07-26,0.355029,0.376965,0.354980,0.363432,0.363432,320
2020-07-27,0.363441,0.426170,0.363441,0.411508,0.411508,611
2020-07-28,0.410947,0.514053,0.345270,0.420660,0.420660,1973
2020-07-29,0.420810,0.428540,0.378847,0.406155,0.406155,665
2020-07-30,0.406533,0.483862,0.391821,0.444883,0.444883,844
2020-07-31,0.444883,0.448146,0.411972,0.428382,0.428382,349
2020-08-01,0.428382,0.518712,0.417464,0.469599,0.469599,900
2020-08-02,0.469555,0.521432,0.441808,0.479886,0.479886,1239
2020-08-03,0.480108,0.505575,0.461835,0.465191,0.465191,465
2020-08-04,0.465147,0.500464,0.462072,0.471966,0.471966,298
2020-08-05,0.473584,0.494380,0.465940,0.493235,0.493235,402
2020-08-06,0.493231,0.493467,0.441700,0.475949,0.475949,830
2020-08-07,0.475887,0.486805,0.464672,0.472602,0.472602,590
2020-08-08,0.472752,0.494042,0.467549,0.471568,0.471568,1640
2020-08-09,0.471724,0.499726,0.443260,0.479494,0.479494,1124
2020-08-10,0.479685,0.501867,0.449648,0.484968,0.484968,1770
2020-08-11,0.485098,0.522401,0.442758,0.453008,0.453008,1359
2020-08-12,0.453241,0.463687,0.436435,0.450720,0.450720,659
2020-08-13,0.450741,0.465369,0.439601,0.463562,0.463562,374
2020-08-14,0.463374,0.471549,0.451117,0.470124,0.470124,290
2020-08-15,0.470109,0.475211,0.459867,0.462850,0.462850,397
2020-08-16,0.462772,0.470680,0.440548,0.449027,0.449027,606
2020-08-17,0.449027,0.462121,0.440914,0.457508,0.457508,664
2020-08-18,0.457411,0.471127,0.432923,0.466861,0.466861,28
2020-08-19,0.466861,0.481775,0.423278,0.481405,0.481405,54
2020-08-20,0.481405,0.487483,0.473356,0.474954,0.474954,45
2020-08-21,0.474900,0.488001,0.444351,0.444767,0.444767,93
2020-08-22,0.444909,0.488130,0.440447,0.488044,0.488044,1
2020-08-23,0.488002,0.488058,0.462284,0.486226,0.486226,106
2020-08-24,0.486080,0.491768,0.454378,0.490840,0.490840,5
2020-08-25,0.490739,0.490802,0.487468,0.487721,0.487721,0
2020-08-26,0.487721,0.487721,0.451316,0.482316,0.482316,68
2020-08-27,0.482159,0.482583,0.441985,0.447901,0.447901,1
2020-08-28,0.447915,0.495762,0.447618,0.466930,0.466930,62
2020-08-29,0.467021,0.496623,0.465072,0.494415,0.494415,84
2020-08-30,0.494209,0.585422,0.493666,0.585422,0.585422,350
2020-08-31,0.585531,0.588563,0.385027,0.487082,0.487082,4529
2020-09-01,0.486923,0.516789,0.437883,0.485622,0.485622,1409
2020-09-02,0.485643,0.486533,0.437387,0.457348,0.457348,609
2020-09-03,0.457348,0.475708,0.400714,0.407945,0.407945,1134
2020-09-04,0.408116,0.591051,0.396746,0.450623,0.450623,3486
2020-09-05,0.448604,0.452541,0.398221,0.405436,0.405436,990
2020-09-06,0.405436,0.461094,0.390099,0.430958,0.430958,1002
2020-09-07,0.430999,0.445080,0.407159,0.433163,0.433163,682
2020-09-08,0.433318,0.439927,0.402976,0.413296,0.413296,572
2020-09-09,0.413309,0.445590,0.403946,0.416765,0.416765,1000
2020-09-10,0.419207,0.561450,0.419207,0.457025,0.457025,3267
2020-09-11,0.457025,0.476495,0.444788,0.468806,0.468806,851
2020-09-12,0.468806,0.473853,0.427489,0.448675,0.448675,947
2020-09-13,0.448675,0.474839,0.413005,0.430967,0.430967,1587
2020-09-14,0.431021,0.465468,0.415896,0.447597,0.447597,1292
2020-09-15,0.447734,0.459148,0.374122,0.423959,0.423959,2010
2020-09-16,0.423941,0.507378,0.416560,0.471375,0.471375,1642
2020-09-17,0.471398,0.497214,0.457084,0.479197,0.479197,2569
2020-09-18,0.479197,0.562080,0.475294,0.507320,0.507320,5768
2020-09-19,0.507577,0.574105,0.493698,0.505818,0.505818,4660
2020-09-20,0.505840,0.518549,0.439439,0.475771,0.475771,5164
2020-09-21,0.475772,0.484004,0.438995,0.479000,0.479000,1724
2020-09-22,0.479617,0.510303,0.466981,0.509885,0.509885,2568
2020-09-23,0.509885,0.510445,0.473184,0.477006,0.477006,3598
2020-09-24,0.476832,0.547324,0.475279,0.536955,0.536955,2338
2020-09-25,0.530524,0.553643,0.513713,0.541764,0.541764,3707
2020-09-26,0.541717,0.545212,0.435066,0.489179,0.489179,5772
2020-09-27,0.489153,0.567757,0.489037,0.549973,0.549973,6838
2020-09-28,0.549973,0.613139,0.544056,0.592705,0.592705,6541
2020-09-29,0.592539,0.667558,0.575911,0.599191,0.599191,6877
2020-09-30,0.599181,0.627759,0.578762,0.603840,0.603840,4148
2020-10-01,0.603857,0.680136,0.570809,0.600002,0.600002,5425
2020-10-02,0.599989,0.648292,0.587599,0.648069,0.648069,5243
2020-10-03,0.648172,0.687252,0.638437,0.666815,0.666815,4323
2020-10-04,0.666815,0.736921,0.652059,0.718349,0.718349,6118
2020-10-05,0.718393,0.736263,0.681120,0.735270,0.735270,6504
2020-10-06,0.726440,0.789863,0.707712,0.787151,0.787151,4872
2020-10-07,0.787151,0.892563,0.696845,0.892563,0.892563,13658
2020-10-08,0.892560,1.027519,0.877497,0.989673,0.989673,10041
2020-10-09,0.990580,1.027137,0.948564,0.958229,0.958229,3318
2020-10-10,0.951951,1.060582,0.823424,0.999800,0.999800,10258
2020-10-11,0.993536,1.065883,0.966233,1.000459,1.000459,5296
2020-10-12,1.008023,1.014797,0.876268,0.933382,0.933382,6435
2020-10-13,0.943201,0.943201,0.863058,0.879070,0.879070,4235
2020-10-14,0.879059,0.950825,0.854677,0.889491,0.889491,4721
2020-10-15,0.889491,0.950053,0.837423,0.947105,0.947105,4611
2020-10-16,0.946452,0.955352,0.920211,0.942354,0.942354,2571
2020-10-17,0.946024,0.983940,0.938560,0.983731,0.983731,3590
2020-10-18,0.968486,0.992530,0.886103,0.947469,0.947469,2037
2020-10-19,0.947469,1.013369,0.936371,1.006139,1.006139,3169
2020-10-20,1.006139,1.006445,0.831087,0.963188,0.963188,7672
2020-10-21,0.963073,0.970886,0.758432,0.784876,0.784876,5545
2020-10-22,0.784876,0.940827,0.784448,0.911082,0.911082,4860
2020-10-23,0.919218,0.958320,0.904349,0.952079,0.952079,5498
2020-10-24,0.952343,0.995350,0.933187,0.995350,0.995350,1548
2020-10-25,0.995012,1.006676,0.799281,0.885700,0.885700,2483
2020-10-26,0.886120,0.954674,0.878671,0.953690,0.953690,1490
2020-10-27,0.953870,0.958641,0.796540,0.899949,0.899949,2508
2020-10-28,0.901001,0.908555,0.785025,0.829635,0.829635,2762
2020-10-29,0.829610,0.839436,0.631510,0.795304,0.795304,4166
2020-10-30,0.795295,0.817485,0.674707,0.754342,0.754342,4317
2020-10-31,0.754351,0.806434,0.700177,0.740403,0.740403,888
2020-11-01,0.740391,0.809922,0.720664,0.790109,0.790109,934
2020-11-02,0.790135,0.819587,0.689860,0.798612,0.798612,3864
2020-11-03,0.798083,0.817959,0.696919,0.806749,0.806749,1325
2020-11-04,0.808773,0.829107,0.639042,0.646030,0.646030,3195
2020-11-05,0.646045,0.864199,0.595055,0.746934,0.746934,8206
2020-11-06,0.748058,0.804381,0.684711,0.741710,0.741710,1885
2020-11-07,0.742334,0.758131,0.664328,0.693676,0.693676,1118
2020-11-08,0.692951,0.717744,0.648216,0.716859,0.716859,1097
2020-11-09,0.716522,0.758236,0.654793,0.718802,0.718802,950
2020-11-10,0.718768,0.804127,0.684523,0.754655,0.754655,3565
2020-11-11,0.754604,0.812989,0.743126,0.772651,0.772651,1701
2020-11-12,0.772559,0.835289,0.743513,0.815802,0.815802,1884
2020-11-13,0.815808,0.824372,0.733888,0.766382,0.766382,1483
2020-11-14,0.766380,0.780833,0.732522,0.760413,0.760413,882
2020-11-15,0.760450,1.029348,0.721007,0.972060,0.972060,17001
2020-11-16,0.972057,1.001891,0.761895,0.935920,0.935920,3303
2020-11-17,0.950220,1.022087,0.858159,1.020705,1.020705,5814
2020-11-18,1.020747,1.055532,0.883951,0.938157,0.938157,1588
2020-11-19,0.938243,1.085428,0.796848,1.043660,1.043660,20841
2020-11-20,1.043631,1.078733,1.007934,1.035898,1.035898,5313
2020-11-21,1.035853,1.185719,1.016231,1.133266,1.133266,5267
2020-11-22,1.133288,1.222317,1.069608,1.204734,1.204734,12510
2020-11-23,1.204646,1.215583,1.101064,1.198730,1.198730,3264
2020-11-24,1.199789,1.205205,1.031156,1.164457,1.164457,4492
2020-11-25,1.165563,1.449953,1.132744,1.406444,1.406444,14168
2020-11-26,1.404706,1.458625,1.177334,1.296068,1.296068,5919
2020-11-27,1.297702,1.386171,1.220226,1.342514,1.342514,5835
2020-11-28,1.342511,1.522255,1.152834,1.299470,1.299470,15260
2020-11-29,1.299429,1.420004,1.174605,1.392264,1.392264,9095
2020-11-30,1.392206,1.571493,1.346966,1.559839,1.559839,10575
2020-12-01,1.559723,1.559723,1.045206,1.200314,1.200314,5267
2020-12-02,1.200214,1.380714,0.964570,1.368546,1.368546,6925
2020-12-03,1.368300,1.437031,1.307554,1.366990,1.366990,3582
2020-12-04,1.367308,1.416013,1.297094,1.341870,1.341870,2138
2020-12-05,1.338518,1.393317,1.215582,1.300174,1.300174,5038
2020-12-06,1.300722,1.331518,1.223667,1.311536,1.311536,2318
2020-12-07,1.311673,1.317976,1.095072,1.179978,1.179978,2436
2020-12-08,1.179752,1.309631,1.092577,1.275558,1.275558,5597
2020-12-09,1.275044,1.313622,1.158326,1.308954,1.308954,1648
2020-12-10,1.308173,1.310875,1.143384,1.288030,1.288030,5688
2020-12-11,1.287422,1.292932,1.147644,1.212955,1.212955,2572
2020-12-12,1.212004,1.391202,1.205088,1.387706,1.387706,4625
2020-12-13,1.388278,1.430595,1.275740,1.340829,1.340829,2876
2020-12-14,1.340408,1.388618,1.313116,1.385107,1.385107,5514
2020-12-15,1.384548,1.415667,1.299570,1.348660,1.348660,2937
2020-12-16,1.348587,1.488806,1.186465,1.428463,1.428463,5910
2020-12-17,1.428579,1.584435,0.924714,1.277688,1.277688,24503
2020-12-18,1.277092,1.387909,1.175623,1.368264,1.368264,2787
2020-12-19,1.368904,1.555555,1.267506,1.549321,1.549321,7672
2020-12-20,1.549703,1.549703,1.416027,1.444000,1.444000,738
2020-12-21,1.440850,1.490237,0.435178,1.273273,1.273273,2845
2020-12-22,1.270890,1.367419,1.267363,1.342678,1.342678,2244
2020-12-23,1.342939,1.439434,1.316937,1.429198,1.429198,5448
2020-12-24,1.427961,1.510808,1.373381,1.484368,1.484368,2179
2020-12-25,1.482730,1.541649,1.400838,1.510231,1.510231,1256
2020-12-26,1.509811,1.645131,1.498771,1.624866,1.624866,1736
2020-12-27,1.625345,1.714131,1.472027,1.497021,1.497021,3772
2020-12-28,1.495098,1.685943,1.491725,1.652396,1.652396,4210
2020-12-29,1.667563,1.667563,1.567765,1.636189,1.636189,4407
