Date,Open,High,Low,Close,Adj Close,Volume
2020-10-21,0.003024,0.003136,0.003006,0.003028,0.003028,904489
2020-10-22,0.003031,0.003082,0.002941,0.002973,0.002973,861951
2020-10-23,0.002975,0.003013,0.002894,0.002961,0.002961,1019967
2020-10-24,0.002961,0.002972,0.002568,0.002650,0.002650,1121219
2020-10-25,0.002650,0.002680,0.002600,0.002638,0.002638,633764
2020-10-26,0.002638,0.002640,0.002508,0.002582,0.002582,621038
2020-10-27,0.002582,0.002601,0.002484,0.002494,0.002494,551610
2020-10-28,0.002494,0.002519,0.002306,0.002348,0.002348,796667
2020-10-29,0.002348,0.002365,0.002273,0.002335,0.002335,743036
2020-10-30,0.002335,0.002397,0.002116,0.002125,0.002125,15291099
2020-10-31,0.002125,0.002307,0.002077,0.002099,0.002099,15088646
2020-11-01,0.002099,0.002302,0.002099,0.002171,0.002171,717978
2020-11-02,0.002171,0.002240,0.001935,0.001949,0.001949,798388
2020-11-03,0.001949,0.001982,0.001805,0.001928,0.001928,501664
2020-11-04,0.001928,0.001972,0.001715,0.001746,0.001746,472575
2020-11-05,0.001746,0.001792,0.001632,0.001710,0.001710,499782
2020-11-06,0.001710,0.001746,0.001625,0.001679,0.001679,463269
2020-11-07,0.001679,0.001731,0.001615,0.001653,0.001653,379334
2020-11-08,0.001653,0.001684,0.001612,0.001649,0.001649,339789
2020-11-09,0.001649,0.001675,0.001548,0.001564,0.001564,464385
2020-11-10,0.001564,0.001598,0.001525,0.001555,0.001555,791751
2020-11-11,0.001555,0.001583,0.001508,0.001523,0.001523,670685
2020-11-12,0.001523,0.001533,0.001433,0.001447,0.001447,719323
2020-11-13,0.001447,0.001465,0.001219,0.001315,0.001315,790385
2020-11-14,0.001315,0.001511,0.001214,0.001444,0.001444,674252
2020-11-15,0.001444,0.001504,0.001412,0.001491,0.001491,281028
2020-11-16,0.001491,0.001505,0.001365,0.001408,0.001408,359462
2020-11-17,0.001389,0.001474,0.001367,0.001395,0.001395,484816
2020-11-18,0.001395,0.001436,0.001329,0.001347,0.001347,58040
2020-11-19,0.001347,0.001481,0.001340,0.001467,0.001467,275244
2020-11-20,0.001467,0.001571,0.001441,0.001563,0.001563,541077
2020-11-21,0.001563,0.001607,0.001315,0.001553,0.001553,420346
2020-11-22,0.001552,0.001585,0.001482,0.001501,0.001501,306611
2020-11-23,0.001500,0.001508,0.001319,0.001408,0.001408,307160
2020-11-24,0.001408,0.001541,0.001321,0.001483,0.001483,193270
2020-11-25,0.001484,0.001521,0.001356,0.001407,0.001407,360561
2020-11-26,0.001407,0.001445,0.001277,0.001316,0.001316,412794
2020-11-27,0.001316,0.001398,0.001304,0.001376,0.001376,316052
2020-11-28,0.001376,0.001409,0.001358,0.001379,0.001379,341422
2020-11-29,0.001379,0.001416,0.001349,0.001375,0.001375,327152
2020-11-30,0.001376,0.001379,0.001327,0.001354,0.001354,372946
2020-12-01,0.001354,0.001366,0.001256,0.001268,0.001268,413425
2020-12-02,0.001268,0.001335,0.001174,0.001203,0.001203,435103
2020-12-03,0.001203,0.001252,0.001187,0.001203,0.001203,422509
2020-12-04,0.001204,0.001204,0.001040,0.001082,0.001082,545538
2020-12-05,0.001070,0.001239,0.000993,0.001183,0.001183,704172
2020-12-06,0.001183,0.001307,0.001166,0.001224,0.001224,569399
2020-12-07,0.001224,0.001233,0.001057,0.001164,0.001164,471647
2020-12-08,0.001164,0.001168,0.001090,0.001100,0.001100,342847
2020-12-09,0.001100,0.001120,0.001031,0.001076,0.001076,362085
2020-12-10,0.001076,0.001092,0.001009,0.001041,0.001041,439372
2020-12-11,0.001041,0.001052,0.000975,0.000979,0.000979,296314
2020-12-12,0.000979,0.001000,0.000871,0.000883,0.000883,335369
2020-12-13,0.000883,0.001033,0.000880,0.000991,0.000991,410449
2020-12-14,0.000991,0.001012,0.000968,0.000991,0.000991,215703
2020-12-15,0.000991,0.001009,0.000954,0.000992,0.000992,251727
2020-12-16,0.000992,0.000997,0.000937,0.000989,0.000989,291554
2020-12-17,0.000989,0.001000,0.000970,0.000982,0.000982,318471
2020-12-18,0.000981,0.001123,0.000970,0.001084,0.001084,382976
2020-12-19,0.001084,0.001117,0.001057,0.001070,0.001070,260603
2020-12-20,0.001070,0.001084,0.001043,0.001055,0.001055,169654
2020-12-21,0.001054,0.001068,0.000957,0.001022,0.001022,214296
2020-12-22,0.001022,0.001041,0.000923,0.000951,0.000951,194635
2020-12-23,0.000952,0.000954,0.000853,0.000888,0.000888,240140
2020-12-24,0.000887,0.000916,0.000846,0.000869,0.000869,284584
2020-12-25,0.000869,0.000931,0.000849,0.000910,0.000910,344359
2020-12-26,0.000910,0.000941,0.000830,0.000874,0.000874,266148
2020-12-27,0.000874,0.000884,0.000844,0.000868,0.000868,272582
2020-12-28,0.000868,0.000925,0.000863,0.000893,0.000893,311627
2020-12-29,0.000883,0.000896,0.000855,0.000881,0.000881,307020
