Date,Open,High,Low,Close,Adj Close,Volume
2017-08-03,0.018737,0.018737,0.013456,0.015592,0.015592,30593
2017-08-04,0.015633,0.025276,0.013642,0.017548,0.017548,310904
2017-08-05,0.017493,0.019874,0.016232,0.019226,0.019226,573192
2017-08-06,0.019364,0.033098,0.019321,0.026400,0.026400,2683390
2017-08-07,0.026162,0.026162,0.022468,0.025697,0.025697,1122250
2017-08-08,0.025753,0.026182,0.019153,0.026182,0.026182,972596
2017-08-09,0.024967,0.036884,0.024967,0.035532,0.035532,1651950
2017-08-10,0.036578,0.065518,0.034908,0.058238,0.058238,4150970
2017-08-11,0.059205,0.098248,0.059205,0.084747,0.084747,5345970
2017-08-12,0.086645,0.097637,0.070345,0.082309,0.082309,2391150
2017-08-13,0.082345,0.093079,0.073918,0.090572,0.090572,2057130
2017-08-14,0.091006,0.185669,0.088502,0.170640,0.170640,9015780
2017-08-15,0.170467,0.173823,0.132964,0.142708,0.142708,6063050
2017-08-16,0.140152,0.167440,0.124014,0.148395,0.148395,4019170
2017-08-17,0.148403,0.152524,0.125403,0.129500,0.129500,3245070
2017-08-18,0.128668,0.160527,0.120707,0.159238,0.159238,5461690
2017-08-19,0.160665,0.181790,0.135437,0.174822,0.174822,6417990
2017-08-20,0.176636,0.257331,0.165119,0.257331,0.257331,7091820
2017-08-21,0.242319,0.261498,0.184282,0.197774,0.197774,8206680
2017-08-22,0.197746,0.197746,0.136344,0.170682,0.170682,6830020
2017-08-23,0.168603,0.173676,0.131380,0.139432,0.139432,3850250
2017-08-24,0.142492,0.160901,0.139767,0.148134,0.148134,2802790
2017-08-25,0.146552,0.162127,0.119329,0.120034,0.120034,2790640
2017-08-26,0.120390,0.136280,0.114624,0.136280,0.136280,2164480
2017-08-27,0.137742,0.162886,0.129784,0.134479,0.134479,3406810
2017-08-28,0.134418,0.135371,0.115262,0.129418,0.129418,2431000
2017-08-29,0.130420,0.130420,0.109419,0.110436,0.110436,2168480
2017-08-30,0.109596,0.110908,0.091783,0.110577,0.110577,2674230
2017-08-31,0.110259,0.127284,0.098338,0.111031,0.111031,2298490
2017-09-01,0.111527,0.112378,0.083861,0.086394,0.086394,2319130
2017-09-02,0.086503,0.090045,0.073757,0.082704,0.082704,1333710
2017-09-03,0.083079,0.094647,0.072920,0.090513,0.090513,1503230
2017-09-04,0.091037,0.093303,0.052453,0.066215,0.066215,1678800
2017-09-05,0.066011,0.071747,0.058008,0.069665,0.069665,1125460
2017-09-06,0.069470,0.078664,0.069283,0.073034,0.073034,1068510
2017-09-07,0.073210,0.076467,0.067437,0.074184,0.074184,1124070
2017-09-08,0.071715,0.134379,0.056623,0.062477,0.062477,782108
2017-09-09,0.062245,0.064803,0.058251,0.061366,0.061366,564833
2017-09-10,0.061808,0.061863,0.054858,0.057969,0.057969,571372
2017-09-11,0.058106,0.058493,0.050059,0.051911,0.051911,772181
2017-09-12,0.051846,0.055934,0.049523,0.049907,0.049907,704886
2017-09-13,0.049963,0.050798,0.038395,0.041131,0.041131,653746
2017-09-14,0.042338,0.043328,0.033055,0.035120,0.035120,469622
2017-09-15,0.035301,0.050473,0.031009,0.050473,0.050473,621230
2017-09-16,0.052778,0.052791,0.041404,0.044395,0.044395,467627
2017-09-17,0.044264,0.044899,0.041209,0.042460,0.042460,268366
2017-09-18,0.042441,0.047247,0.041964,0.042849,0.042849,478692
2017-09-19,0.043600,0.043980,0.038324,0.039933,0.039933,487924
2017-09-20,0.039832,0.070745,0.039354,0.041054,0.041054,500317
2017-09-21,0.040693,0.042047,0.033636,0.035335,0.035335,635622
2017-09-22,0.035434,0.056295,0.033092,0.036488,0.036488,343870
2017-09-23,0.036493,0.038668,0.035650,0.038565,0.038565,335854
2017-09-24,0.038447,0.039471,0.033751,0.034170,0.034170,378120
2017-09-25,0.033985,0.039775,0.033868,0.039253,0.039253,513796
2017-09-26,0.039131,0.040612,0.036201,0.037790,0.037790,428580
2017-09-27,0.037685,0.051697,0.036676,0.047052,0.047052,711215
2017-09-28,0.047497,0.049136,0.044069,0.046068,0.046068,468590
2017-09-29,0.046023,0.046076,0.039152,0.040592,0.040592,494011
2017-09-30,0.040457,0.047979,0.040351,0.047507,0.047507,487970
2017-10-01,0.047845,0.050364,0.045756,0.047826,0.047826,587630
2017-10-02,0.048156,0.057795,0.046797,0.055509,0.055509,933650
2017-10-03,0.055717,0.056425,0.043994,0.047433,0.047433,841792
2017-10-04,0.047600,0.051946,0.046789,0.049891,0.049891,538490
2017-10-05,0.049924,0.050501,0.047076,0.047976,0.047976,443773
2017-10-06,0.048012,0.050062,0.046451,0.047712,0.047712,503372
2017-10-07,0.047682,0.047862,0.043437,0.044891,0.044891,458464
2017-10-08,0.044838,0.045829,0.038890,0.039596,0.039596,444014
2017-10-09,0.039263,0.040568,0.035448,0.036118,0.036118,483915
2017-10-10,0.036670,0.037304,0.035464,0.036352,0.036352,440860
2017-10-11,0.036455,0.039496,0.036455,0.037912,0.037912,396965
2017-10-12,0.037768,0.039695,0.035074,0.037013,0.037013,389822
2017-10-13,0.036993,0.036993,0.031712,0.032178,0.032178,419247
2017-10-14,0.032832,0.069309,0.032755,0.069309,0.069309,921853
2017-10-15,0.070000,0.090036,0.045630,0.051551,0.051551,6221440
2017-10-16,0.051404,0.052019,0.043279,0.044471,0.044471,2701220
2017-10-17,0.044694,0.046441,0.037949,0.038548,0.038548,2306250
2017-10-18,0.038293,0.039804,0.036334,0.039758,0.039758,1950560
2017-10-19,0.039683,0.054369,0.039085,0.052435,0.052435,4136590
2017-10-20,0.052338,0.071851,0.049340,0.070708,0.070708,8682000
2017-10-21,0.071289,0.083222,0.052802,0.058339,0.058339,11088500
2017-10-22,0.059003,0.069379,0.057600,0.066408,0.066408,5199930
2017-10-23,0.066419,0.069357,0.057907,0.064116,0.064116,4113780
2017-10-24,0.064104,0.080068,0.061413,0.068618,0.068618,6691940
2017-10-25,0.068952,0.068952,0.057326,0.058246,0.058246,4498510
2017-10-26,0.058336,0.061722,0.052731,0.054106,0.054106,3418210
