Date,Open,High,Low,Close,Adj Close,Volume
2020-08-20,2.787857,3.077784,2.692896,2.900080,2.900080,48819867
2020-08-21,2.896923,3.090093,2.730919,2.875028,2.875028,49313136
2020-08-22,2.878570,4.510613,2.816762,4.484690,4.484690,485801095
2020-08-23,4.487058,4.487058,3.716271,3.967066,3.967066,320749483
2020-08-24,3.987413,4.783158,3.812670,4.602614,4.602614,407690170
2020-08-25,4.584953,5.760776,4.501223,5.523393,5.523393,898847538
2020-08-26,5.541406,6.554688,5.136205,6.081717,6.081717,1054351759
2020-08-27,6.075772,6.789180,5.313926,5.628337,5.628337,1289248953
2020-08-28,5.639485,6.333746,5.540963,6.159955,6.159955,727162235
2020-08-29,6.175925,6.562906,6.042309,6.159143,6.159143,527290028
2020-08-30,6.153440,6.219506,5.749978,5.869881,5.869881,485335136
2020-08-31,5.905918,6.459377,5.772966,6.300020,6.300020,512604781
2020-09-01,6.298810,6.838898,6.172324,6.288766,6.288766,601527408
2020-09-02,6.282686,6.432652,5.657442,6.139465,6.139465,584155027
2020-09-03,6.131179,6.318079,5.682590,5.747868,5.747868,763663456
2020-09-04,5.726610,5.981395,4.626720,5.146038,5.146038,845787793
2020-09-05,null,null,null,null,null,null
2020-09-06,null,null,null,null,null,null
2020-09-07,null,null,null,null,null,null
2020-09-08,null,null,null,null,null,null
2020-09-09,null,null,null,null,null,null
2020-09-10,null,null,null,null,null,null
2020-09-11,null,null,null,null,null,null
2020-09-12,null,null,null,null,null,null
2020-09-13,null,null,null,null,null,null
2020-09-14,null,null,null,null,null,null
2020-09-15,null,null,null,null,null,null
2020-09-16,null,null,null,null,null,null
2020-09-17,null,null,null,null,null,null
2020-09-18,null,null,null,null,null,null
2020-09-19,null,null,null,null,null,null
2020-09-20,null,null,null,null,null,null
2020-09-21,null,null,null,null,null,null
2020-09-22,4.085402,4.208596,3.918225,4.174463,4.174463,673117343
2020-09-23,4.172700,4.318419,3.977660,4.027708,4.027708,506491669
2020-09-24,4.018092,4.410974,3.995835,4.382961,4.382961,390254720
2020-09-25,4.383142,4.528383,4.268145,4.423528,4.423528,386655789
2020-09-26,4.423381,4.474607,4.249232,4.334268,4.334268,306278282
2020-09-27,4.334268,4.361825,4.144951,4.302318,4.302318,293119417
2020-09-28,4.302318,4.583000,4.266205,4.401093,4.401093,488750086
2020-09-29,4.404835,4.603676,4.368208,4.500073,4.500073,464868721
2020-09-30,4.498007,4.502008,4.259805,4.353697,4.353697,352534726
2020-10-01,4.353697,4.578672,4.267363,4.346024,4.346024,400476985
2020-10-02,null,null,null,null,null,null
2020-10-03,null,null,null,null,null,null
2020-10-04,null,null,null,null,null,null
2020-10-05,4.181025,4.241446,4.128240,4.170383,4.170383,308852045
2020-10-06,4.171682,4.193815,3.642400,3.755649,3.755649,613591683
2020-10-07,3.755190,3.887383,3.628293,3.859264,3.859264,586290320
2020-10-08,3.862732,4.163751,3.670183,4.117292,4.117292,573912568
2020-10-09,4.120344,4.354878,4.030412,4.273632,4.273632,457583964
2020-10-10,4.260407,4.475801,4.239729,4.252955,4.252955,492038159
2020-10-11,4.258698,4.334370,4.178621,4.262162,4.262162,388098954
2020-10-12,4.255739,4.437003,4.207902,4.319948,4.319948,489608532
2020-10-13,4.316079,4.344514,4.157707,4.249400,4.249400,420659946
2020-10-14,4.255530,4.358098,4.093734,4.199114,4.199114,520198619
2020-10-15,4.192293,4.192293,4.033811,4.096811,4.096811,450623089
2020-10-16,4.100024,4.157108,3.839912,3.909529,3.909529,443295515
2020-10-17,3.917128,3.977368,3.871610,3.967252,3.967252,206453737
2020-10-18,3.968360,4.121718,3.960012,4.104651,4.104651,204108300
2020-10-19,4.110965,4.111244,3.964166,3.990592,3.990592,249983724
2020-10-20,3.989690,4.138196,3.875639,3.910343,3.910343,502694692
2020-10-21,3.906004,4.245581,3.905341,4.141120,4.141120,458018406
2020-10-22,4.140915,4.331875,4.131650,4.268950,4.268950,367309225
2020-10-23,4.273909,4.474157,4.202276,4.266850,4.266850,461816707
2020-10-24,4.266853,4.430925,4.244643,4.355344,4.355344,310306551
2020-10-25,4.355344,4.447240,4.267938,4.335231,4.335231,339106539
2020-10-26,4.335231,4.738708,4.304171,4.727016,4.727016,722990809
2020-10-27,4.727016,4.927780,4.660536,4.683952,4.683952,820401908
2020-10-28,4.683954,4.774252,4.262277,4.365097,4.365097,649971737
2020-10-29,4.365098,4.403781,3.879251,4.053345,4.053345,686597328
2020-10-30,4.053278,4.156761,3.937187,4.088113,4.088113,586577443
2020-10-31,4.088186,4.274231,4.072736,4.181767,4.181767,318678917
2020-11-01,4.181673,4.225615,4.122063,4.225615,4.225615,302861123
2020-11-02,4.225769,4.261608,3.985631,4.030231,4.030231,503474044
2020-11-03,4.030229,4.065161,3.886370,4.025468,4.025468,413471120
2020-11-04,4.025474,4.147281,3.894190,4.098083,4.098083,836536271
2020-11-05,4.098084,4.297354,4.025676,4.235195,4.235195,375265287
2020-11-06,4.235197,4.633965,4.206799,4.579652,4.579652,463200955
2020-11-07,4.579652,4.838398,4.106514,4.241960,4.241960,724809168
2020-11-08,4.241960,4.426574,4.142644,4.372093,4.372093,393903989
2020-11-09,4.372093,4.457685,4.250327,4.346767,4.346767,396903279
2020-11-10,4.346766,4.498284,4.308892,4.415016,4.415016,379322634
2020-11-11,4.415018,4.620404,4.415018,4.457202,4.457202,404513889
2020-11-12,4.457201,4.471586,4.320396,4.399240,4.399240,367161906
2020-11-13,4.399240,4.585021,4.374127,4.540120,4.540120,342519103
2020-11-14,4.540120,4.550857,4.370526,4.465622,4.465622,331350626
2020-11-15,4.465622,4.491476,4.309565,4.379988,4.379988,325439057
2020-11-16,4.379988,4.589542,4.345863,4.485500,4.485500,445672647
2020-11-17,4.608518,4.910907,4.566731,4.844666,4.844666,675069949
2020-11-18,4.844668,4.927710,4.526838,4.679663,4.679663,671452167
2020-11-19,4.679658,4.848308,4.547364,4.756766,4.756766,551607999
2020-11-20,4.756759,5.459796,4.752435,5.233436,5.233436,1027776286
2020-11-21,5.233436,5.806043,5.141745,5.751921,5.751921,1022750932
2020-11-22,5.751921,5.834375,5.223394,5.481853,5.481853,1048639985
2020-11-23,5.481853,5.939077,5.422479,5.906932,5.906932,997956276
2020-11-24,5.907906,6.075694,5.624484,5.729446,5.729446,1113438978
2020-11-25,5.729335,5.816350,5.183073,5.309860,5.309860,1011116413
2020-11-26,5.308625,5.365759,4.459481,4.804577,4.804577,1433368624
2020-11-27,4.805900,5.068017,4.522344,4.782790,4.782790,864684858
2020-11-28,4.783548,4.944546,4.679183,4.900476,4.900476,415083876
2020-11-29,4.901079,5.200436,4.814233,5.190352,5.190352,451787953
2020-11-30,5.190307,5.437084,5.146362,5.376430,5.376430,649773393
2020-12-01,5.377254,5.530346,5.018441,5.093567,5.093567,777715514
2020-12-02,5.093467,5.532002,5.030747,5.464157,5.464157,607216780
2020-12-03,5.464745,5.564023,5.338207,5.410368,5.410368,354593131
2020-12-04,5.410147,5.434474,4.971953,5.032713,5.032713,422944392
2020-12-05,5.029704,5.190219,4.892160,5.188903,5.188903,408952852
2020-12-06,5.187960,5.201379,5.009244,5.135868,5.135868,299285627
2020-12-07,5.134985,5.154355,5.018779,5.060320,5.060320,242900962
2020-12-08,5.060634,5.067212,4.712740,4.733347,4.733347,398505417
2020-12-09,4.733150,4.936304,4.628309,4.861897,4.861897,477599466
2020-12-10,4.863700,4.912512,4.749417,4.797596,4.797596,299121449
2020-12-11,4.798060,4.804924,4.546074,4.621052,4.621052,366039075
2020-12-12,4.619786,4.797782,4.615325,4.740454,4.740454,282782417
2020-12-13,4.740725,4.995000,4.735164,4.891212,4.891212,280953204
2020-12-14,4.891505,5.002225,4.835016,4.898082,4.898082,204385757
2020-12-15,4.897907,5.282553,4.854383,5.249607,5.249607,354033042
2020-12-16,5.248825,5.361890,5.124767,5.359313,5.359313,508481878
2020-12-17,5.359304,5.726208,5.292484,5.343967,5.343967,863948412
2020-12-18,5.344194,5.503851,5.258786,5.367641,5.367641,607402856
2020-12-19,5.367060,5.567254,5.287727,5.338945,5.338945,517648631
2020-12-20,5.338881,5.429290,5.090574,5.188476,5.188476,519415555
2020-12-21,5.188238,5.412279,4.806443,4.890545,4.890545,665375358
2020-12-22,4.888161,5.173240,4.814806,5.154830,5.154830,697260532
2020-12-23,5.154473,5.184190,4.619133,4.710613,4.710613,665441295
2020-12-24,4.711977,5.196156,4.655313,5.128820,5.128820,646511051
2020-12-25,5.127846,5.272006,5.043451,5.214211,5.214211,512565394
2020-12-26,5.214895,5.273874,5.093932,5.182181,5.182181,484934518
2020-12-27,5.181959,5.394439,4.952185,5.136191,5.136191,784179881
2020-12-28,null,null,null,null,null,null
2020-12-29,6.385289,6.774498,6.198066,6.306864,6.306864,2302774272
