Date,Open,High,Low,Close,Adj Close,Volume
2020-05-07,0.050631,0.095149,0.028342,0.090502,0.090502,8814
2020-05-08,0.090502,0.095721,0.030573,0.035315,0.035315,5245
2020-05-09,null,null,null,null,null,null
2020-05-10,null,null,null,null,null,null
2020-05-11,null,null,null,null,null,null
2020-05-12,null,null,null,null,null,null
2020-05-13,null,null,null,null,null,null
2020-05-14,null,null,null,null,null,null
2020-05-15,null,null,null,null,null,null
2020-05-16,0.054463,0.060461,0.047109,0.053785,0.053785,7367
2020-05-17,0.051926,0.102649,0.048870,0.098986,0.098986,10915
2020-05-18,0.098077,0.104253,0.048588,0.050513,0.050513,7664
2020-05-19,0.056025,0.062378,0.047835,0.061039,0.061039,7727
2020-05-20,0.059021,0.110759,0.049032,0.106599,0.106599,12777
2020-05-21,0.104892,0.137958,0.095558,0.114238,0.114238,12457
2020-05-22,0.110106,0.120358,0.027851,0.032605,0.032605,5922
2020-05-23,0.030495,0.058913,0.028121,0.057837,0.057837,6243
2020-05-24,0.050658,0.093422,0.028442,0.090158,0.090158,8393
2020-05-25,0.071915,0.095569,0.035990,0.083330,0.083330,8394
2020-05-26,0.092915,0.096572,0.027372,0.033294,0.033294,5760
2020-05-27,0.033294,0.114026,0.028431,0.109864,0.109864,10104
2020-05-28,0.106643,0.112964,0.028486,0.053917,0.053917,6430
2020-05-29,0.053914,0.058653,0.030344,0.053694,0.053694,6182
2020-05-30,0.050010,0.060871,0.029286,0.050040,0.050040,6353
2020-05-31,0.050039,0.115470,0.044027,0.106903,0.106903,6781
2020-06-01,0.106878,0.182995,0.049305,0.052660,0.052660,2352
2020-06-02,0.052669,0.064569,0.029351,0.036091,0.036091,8412
2020-06-03,0.036091,0.060797,0.029315,0.049919,0.049919,8781
2020-06-04,0.056398,0.125511,0.030207,0.120311,0.120311,10583
2020-06-05,0.120311,0.123450,0.031044,0.053723,0.053723,6440
2020-06-06,0.053723,0.061136,0.030033,0.060380,0.060380,6335
2020-06-07,0.060380,0.062168,0.030908,0.038939,0.038939,11418
2020-06-08,0.045092,0.197251,0.032107,0.069038,0.069038,25769
2020-06-09,0.084878,0.193758,0.030139,0.084623,0.084623,24405
2020-06-10,0.086194,0.097432,0.030821,0.089580,0.089580,17379
2020-06-11,null,null,null,null,null,null
2020-06-12,null,null,null,null,null,null
2020-06-13,null,null,null,null,null,null
