Date,Open,High,Low,Close,Adj Close,Volume
2020-05-07,0.019434,0.023168,0.016925,0.020468,0.020468,49953
2020-05-08,0.020468,0.022286,0.015280,0.015536,0.015536,36638
2020-05-09,null,null,null,null,null,null
2020-05-10,null,null,null,null,null,null
2020-05-11,null,null,null,null,null,null
2020-05-12,null,null,null,null,null,null
2020-05-13,null,null,null,null,null,null
2020-05-14,null,null,null,null,null,null
2020-05-15,null,null,null,null,null,null
2020-05-16,0.011003,0.013418,0.010895,0.011731,0.011731,14390
2020-05-17,0.011735,0.017145,0.011717,0.015586,0.015586,29961
2020-05-18,0.015402,0.017014,0.014432,0.016626,0.016626,39415
2020-05-19,0.016616,0.016963,0.011908,0.014501,0.014501,36136
2020-05-20,0.014141,0.015334,0.013800,0.014309,0.014309,33244
2020-05-21,0.014216,0.014828,0.009747,0.011494,0.011494,31675
2020-05-22,0.011228,0.014146,0.011048,0.014061,0.014061,32727
2020-05-23,0.014062,0.014227,0.012930,0.013696,0.013696,23697
2020-05-24,0.013697,0.013916,0.012447,0.012716,0.012716,29704
2020-05-25,0.012679,0.013183,0.009290,0.011672,0.011672,29040
2020-05-26,0.011498,0.013108,0.010854,0.012726,0.012726,28454
2020-05-27,0.012726,0.013799,0.011826,0.013472,0.013472,31053
2020-05-28,0.013473,0.014058,0.012355,0.012878,0.012878,25368
2020-05-29,0.012694,0.013972,0.011708,0.012284,0.012284,30729
2020-05-30,0.012283,0.013161,0.011606,0.011953,0.011953,21982
2020-05-31,0.011953,0.012434,0.011088,0.011207,0.011207,27916
2020-06-01,0.011204,0.014722,0.011178,0.014011,0.014011,35595
2020-06-02,0.013905,0.014871,0.012996,0.013245,0.013245,23044
2020-06-03,0.013245,0.014245,0.012306,0.013671,0.013671,30710
2020-06-04,0.013194,0.014285,0.012635,0.013654,0.013654,30919
2020-06-05,0.013654,0.014249,0.013139,0.013661,0.013661,30548
2020-06-06,0.013689,0.013808,0.012141,0.012907,0.012907,28969
2020-06-07,0.012907,0.015480,0.012648,0.014699,0.014699,20684
2020-06-08,0.015086,0.015284,0.012571,0.013277,0.013277,26991
2020-06-09,0.012894,0.017298,0.012305,0.013310,0.013310,29096
2020-06-10,0.013509,0.019691,0.013251,0.015779,0.015779,38083
2020-06-11,null,null,null,null,null,null
