Date,Open,High,Low,Close,Adj Close,Volume
2020-09-04,17.199446,20.426851,16.956686,17.663235,17.663235,17523618
2020-09-05,null,null,null,null,null,null
2020-09-06,null,null,null,null,null,null
2020-09-07,null,null,null,null,null,null
2020-09-08,null,null,null,null,null,null
2020-09-09,null,null,null,null,null,null
2020-09-10,null,null,null,null,null,null
2020-09-11,null,null,null,null,null,null
2020-09-12,null,null,null,null,null,null
2020-09-13,null,null,null,null,null,null
2020-09-14,null,null,null,null,null,null
2020-09-15,null,null,null,null,null,null
2020-09-16,null,null,null,null,null,null
2020-09-17,null,null,null,null,null,null
2020-09-18,null,null,null,null,null,null
2020-09-19,null,null,null,null,null,null
2020-09-20,null,null,null,null,null,null
2020-09-21,null,null,null,null,null,null
2020-09-22,8.850657,9.068578,8.462226,8.722447,8.722447,5299690
2020-09-23,8.722180,9.459435,8.351291,8.814037,8.814037,9328037
2020-09-24,8.819392,9.221498,8.750355,9.197930,9.197930,5744883
2020-09-25,9.238114,10.104398,9.162100,10.008945,10.008945,7322992
2020-09-26,10.007545,10.590337,9.983765,10.415561,10.415561,5254107
2020-09-27,10.415561,10.482206,9.645935,10.028109,10.028109,4309829
2020-09-28,10.028109,10.508762,10.016872,10.022152,10.022152,4529553
2020-09-29,10.022152,10.325130,9.987987,10.267691,10.267691,4330340
2020-09-30,10.264166,10.600142,10.107317,10.366688,10.366688,6029917
2020-10-01,10.366688,10.953538,10.041594,10.286343,10.286343,7426086
2020-10-02,null,null,null,null,null,null
2020-10-03,null,null,null,null,null,null
2020-10-04,null,null,null,null,null,null
2020-10-05,9.069532,9.126340,8.148170,8.474126,8.474126,6186808
2020-10-06,8.468096,8.489651,6.897848,6.957378,6.957378,5864525
2020-10-07,6.958355,7.789734,6.519010,7.784776,7.784776,6414933
2020-10-08,7.791423,7.791423,7.061018,7.484893,7.484893,5653713
2020-10-09,7.506778,8.123444,7.354634,7.947409,7.947409,5831277
2020-10-10,7.923905,8.068076,7.764983,7.773178,7.773178,3369208
2020-10-11,7.775784,8.180841,7.609295,8.168797,8.168797,4109758
2020-10-12,8.169241,8.188140,7.868267,8.049858,8.049858,4047357
2020-10-13,8.030536,8.154600,7.873408,7.961527,7.961527,3085182
2020-10-14,7.957120,8.173066,7.785662,7.996240,7.996240,5519294
2020-10-15,7.994527,7.994527,7.735955,7.867977,7.867977,4886077
2020-10-16,7.870703,7.874963,7.284109,7.389545,7.389545,5261453
2020-10-17,7.386766,7.658085,7.377261,7.612434,7.612434,3464903
2020-10-18,7.617887,7.691926,7.550207,7.597475,7.597475,3319943
2020-10-19,7.596012,7.598455,7.311000,7.346209,7.346209,4018732
2020-10-20,7.349620,7.349620,6.797470,7.164032,7.164032,7918072
2020-10-21,7.163231,7.499697,7.161679,7.499697,7.499697,6425546
