Date,Open,High,Low,Close,Adj Close,Volume
2020-05-07,1.539455,1.585788,1.395579,1.484931,1.484931,4014871
2020-05-08,1.529969,1.644761,1.470168,1.538517,1.538517,2542940
2020-05-09,null,null,null,null,null,null
2020-05-10,null,null,null,null,null,null
2020-05-11,null,null,null,null,null,null
2020-05-12,null,null,null,null,null,null
2020-05-13,null,null,null,null,null,null
2020-05-14,null,null,null,null,null,null
2020-05-15,null,null,null,null,null,null
2020-05-16,1.340270,1.400997,1.317118,1.356982,1.356982,1025725
2020-05-17,1.341491,1.504521,1.325104,1.420007,1.420007,997807
2020-05-18,1.409546,1.463022,1.375635,1.410755,1.410755,871330
2020-05-19,1.434760,1.443968,1.357362,1.386579,1.386579,1024503
2020-05-20,1.402657,1.452288,1.355442,1.391756,1.391756,859141
2020-05-21,1.383178,1.410883,1.296787,1.332513,1.332513,747049
2020-05-22,1.328230,1.486821,1.313959,1.462636,1.462636,873168
2020-05-23,1.465979,1.795065,1.456522,1.505468,1.505468,881526
2020-05-24,1.509817,1.509817,1.406834,1.411321,1.411321,652444
2020-05-25,1.409144,1.460716,1.397092,1.456700,1.456700,597488
2020-05-26,1.458117,1.492538,1.434882,1.448288,1.448288,659849
2020-05-27,1.448288,1.473921,1.427969,1.458713,1.458713,680896
2020-05-28,1.456723,1.497390,1.438253,1.483886,1.483886,635363
2020-05-29,1.488460,1.744287,1.474850,1.716628,1.716628,5022639
2020-05-30,1.716278,1.735786,1.591701,1.610420,1.610420,935788
2020-05-31,1.610420,1.688585,1.580335,1.596180,1.596180,707836
2020-06-01,1.597538,1.719618,1.595406,1.710608,1.710608,685592
2020-06-02,1.704584,1.738063,1.612643,1.639128,1.639128,925308
2020-06-03,1.639128,1.657857,1.583157,1.608996,1.608996,823764
2020-06-04,1.608896,1.693176,1.604473,1.667393,1.667393,781251
2020-06-05,1.668566,1.690511,1.628213,1.638456,1.638456,750643
2020-06-06,1.638456,1.683710,1.604373,1.649105,1.649105,772268
2020-06-07,1.649105,1.673872,1.613426,1.661968,1.661968,522804
2020-06-08,1.661988,1.746989,1.626071,1.704625,1.704625,1673861
2020-06-09,1.706245,1.987964,1.613140,1.821550,1.821550,2719296
2020-06-10,1.817386,1.876284,1.775283,1.789797,1.789797,1185200
2020-06-11,null,null,null,null,null,null
2020-06-12,null,null,null,null,null,null
2020-06-13,null,null,null,null,null,null
2020-06-14,1.686965,1.709801,1.626265,1.640611,1.640611,835012
2020-06-15,1.640611,1.656085,1.498550,1.588628,1.588628,1150254
2020-06-16,1.589769,1.609468,1.559748,1.595004,1.595004,697945
2020-06-17,1.594260,1.630656,1.588678,1.616927,1.616927,1383863
2020-06-18,1.616927,1.643560,1.576411,1.578583,1.578583,724993
2020-06-19,1.577273,1.644417,1.555883,1.601938,1.601938,1041749
2020-06-20,null,null,null,null,null,null
2020-06-21,1.665352,1.694863,1.604031,1.613895,1.613895,1002052
2020-06-22,null,null,null,null,null,null
2020-06-23,1.646005,1.676468,1.615090,1.674463,1.674463,715609
2020-06-24,1.669097,1.704189,1.573883,1.592241,1.592241,862263
2020-06-25,1.594363,1.709210,1.552137,1.572307,1.572307,653132
2020-06-26,1.572197,2.153299,1.550765,1.568329,1.568329,1657804
2020-06-27,null,null,null,null,null,null
2020-06-28,1.446594,1.515352,1.338743,1.417966,1.417966,1349180
2020-06-29,1.417966,1.504623,1.357379,1.418417,1.418417,2126297
2020-06-30,1.418190,1.423196,1.383077,1.397489,1.397489,632508
2020-07-01,1.402185,1.450335,1.375750,1.414835,1.414835,578710
2020-07-02,1.411145,1.433754,1.355632,1.381030,1.381030,655628
2020-07-03,1.372990,1.458845,1.366004,1.442546,1.442546,645578
2020-07-04,1.442372,1.491107,1.415283,1.475721,1.475721,650460
2020-07-05,1.477941,1.482994,1.413895,1.431535,1.431535,596500
2020-07-06,1.431535,1.526768,1.421404,1.524206,1.524206,710557
2020-07-07,1.522285,1.534711,1.462023,1.529927,1.529927,624005
2020-07-08,1.535957,1.602618,1.507786,1.600245,1.600245,771241
2020-07-09,1.600245,1.613415,1.529944,1.558639,1.558639,713344
2020-07-10,1.558601,1.969042,1.553520,1.882428,1.882428,1923313
2020-07-11,1.882796,2.051043,1.809373,1.939282,1.939282,1535284
2020-07-12,1.941589,2.202341,1.835613,2.128895,2.128895,2069427
2020-07-13,2.128895,2.141911,1.905579,2.069673,2.069673,1398195
2020-07-14,2.064970,2.092295,1.881246,2.007319,2.007319,1011767
2020-07-15,2.013935,2.101578,1.957441,1.958870,1.958870,796402
2020-07-16,1.958723,1.996876,1.862648,1.957938,1.957938,823737
2020-07-17,1.962625,1.993965,1.874932,1.969573,1.969573,715268
2020-07-18,1.963510,2.009865,1.904437,1.940474,1.940474,689767
2020-07-19,1.944964,2.176558,1.916189,2.068911,2.068911,981416
2020-07-20,2.069227,2.130409,2.016303,2.057241,2.057241,812414
2020-07-21,2.057150,2.070129,2.001772,2.064214,2.064214,752290
2020-07-22,2.061782,2.232587,2.039562,2.085979,2.085979,1262455
2020-07-23,2.088343,2.161472,2.059003,2.105189,2.105189,785139
2020-07-24,2.105189,2.404783,2.053683,2.387380,2.387380,1870605
2020-07-25,2.393466,3.294738,2.387846,3.160258,3.160258,6425587
2020-07-26,3.166515,3.214572,2.605813,2.717074,2.717074,4594988
2020-07-27,2.716298,2.744809,2.544170,2.723747,2.723747,3320688
2020-07-28,2.716825,3.015408,2.701324,2.939004,2.939004,3109234
2020-07-29,2.950178,3.169131,2.929161,2.987316,2.987316,6408430
2020-07-30,2.987586,3.072491,2.725846,2.755238,2.755238,4165358
2020-07-31,2.754097,2.835534,2.687601,2.687601,2.687601,3625488
2020-08-01,2.687601,2.788573,2.583998,2.679018,2.679018,8765137
2020-08-02,2.680406,2.739871,2.404124,2.414821,2.414821,7981912
2020-08-03,2.409477,2.633306,2.397562,2.511744,2.511744,6797828
2020-08-04,2.511727,2.557777,2.467896,2.513408,2.513408,5369374
2020-08-05,2.511722,2.526104,2.431309,2.464573,2.464573,5603229
2020-08-06,2.465707,2.466464,2.352731,2.366239,2.366239,2287230
2020-08-07,2.367615,2.413728,2.264125,2.305174,2.305174,1844343
2020-08-08,2.306739,2.525221,2.296901,2.397415,2.397415,3230607
2020-08-09,2.394617,2.445866,2.333107,2.425255,2.425255,2652509
2020-08-10,2.430203,2.772368,2.320703,2.678398,2.678398,5887211
2020-08-11,2.675460,2.763731,2.403764,2.452231,2.452231,4610654
2020-08-12,2.452684,2.538450,2.297785,2.449803,2.449803,2813189
2020-08-13,null,null,null,null,null,null
2020-08-14,null,null,null,null,null,null
2020-08-15,null,null,null,null,null,null
2020-08-16,2.785724,2.858247,2.626767,2.856989,2.856989,4966581
2020-08-17,2.856989,2.887167,2.739882,2.762013,2.762013,7270808
2020-08-18,2.762816,2.854500,2.572851,2.716774,2.716774,5757021
2020-08-19,2.716774,2.716774,2.442291,2.531251,2.531251,6056251
2020-08-20,2.531251,2.818236,2.522059,2.721403,2.721403,6314336
2020-08-21,2.720300,2.838691,2.591409,2.599581,2.599581,6479853
2020-08-22,2.598083,2.717704,2.512279,2.695683,2.695683,5085398
2020-08-23,2.693325,2.695938,2.468445,2.578938,2.578938,3426869
2020-08-24,2.578488,2.678403,2.535510,2.627691,2.627691,3267104
2020-08-25,2.626516,2.645925,2.429387,2.475617,2.475617,2992687
2020-08-26,2.477572,2.546063,2.369437,2.374897,2.374897,1571176
2020-08-27,2.376787,2.439209,2.266943,2.352514,2.352514,1686601
2020-08-28,2.348785,2.418664,2.260980,2.373350,2.373350,1315332
2020-08-29,2.375852,2.390812,2.309434,2.332638,2.332638,1148827
2020-08-30,2.333973,2.492392,2.304254,2.463253,2.463253,1790256
2020-08-31,2.468424,2.479856,2.383322,2.394614,2.394614,1648089
2020-09-01,2.392950,2.443254,2.271385,2.284792,2.284792,2930503
2020-09-02,2.284019,2.290781,1.998471,2.062292,2.062292,2983676
2020-09-03,2.061206,2.088873,1.652896,1.685222,1.685222,2994269
2020-09-04,1.682005,1.964900,1.677053,1.800123,1.800123,2290765
2020-09-05,1.801446,1.884076,1.626379,1.649727,1.649727,1497181
2020-09-06,1.649727,1.894505,1.566291,1.821649,1.821649,2129358
2020-09-07,1.825228,1.901511,1.657653,1.791891,1.791891,1442403
2020-09-08,1.792738,1.841169,1.695647,1.794513,1.794513,2054288
2020-09-09,1.793003,1.878908,1.735811,1.829411,1.829411,1972724
2020-09-10,1.830435,2.033300,1.822507,2.028057,2.028057,2528398
2020-09-11,2.028185,2.786333,2.028185,2.171606,2.171606,9051794
2020-09-12,2.173442,2.270421,2.106172,2.144949,2.144949,2520863
2020-09-13,2.146652,2.166221,2.047048,2.072559,2.072559,1168312
2020-09-14,2.070690,2.114306,2.022793,2.061523,2.061523,997513
2020-09-15,2.056613,2.065495,1.923827,1.943685,1.943685,2013661
2020-09-16,1.945257,2.180005,1.925105,2.030905,2.030905,5770465
2020-09-17,2.032568,2.090639,1.989382,2.084015,2.084015,6811497
2020-09-18,2.084015,2.084077,1.891751,1.947702,1.947702,5612883
2020-09-19,1.943089,1.991290,1.930118,1.938815,1.938815,5502185
2020-09-20,1.939355,1.951901,1.807833,1.836054,1.836054,4901635
2020-09-21,1.836860,1.897329,1.693575,1.869374,1.869374,3742870
2020-09-22,1.867959,1.867959,1.705134,1.790968,1.790968,1177511
2020-09-23,1.794488,1.903380,1.703925,1.716835,1.716835,1006366
2020-09-24,1.716223,1.785593,1.705345,1.775781,1.775781,2552851
2020-09-25,1.777927,1.832834,1.742300,1.812254,1.812254,2218049
2020-09-26,1.811615,1.841277,1.768628,1.812964,1.812964,3357415
2020-09-27,1.812843,1.851492,1.769547,1.803942,1.803942,4245531
2020-09-28,1.803942,1.862875,1.774653,1.813458,1.813458,4435636
2020-09-29,1.815386,1.840823,1.774007,1.839886,1.839886,4313592
2020-09-30,1.838972,1.845618,1.789140,1.804471,1.804471,4598086
2020-10-01,1.804471,1.834161,1.752427,1.765402,1.765402,4373926
2020-10-02,1.765307,1.786857,1.675878,1.715874,1.715874,2968817
2020-10-03,1.715874,1.729799,1.667418,1.689310,1.689310,3770527
2020-10-04,1.689331,1.828967,1.683024,1.783338,1.783338,2546911
2020-10-05,1.783338,1.811818,1.723796,1.781878,1.781878,2655662
2020-10-06,1.782693,1.810526,1.636755,1.650104,1.650104,1806102
2020-10-07,1.650104,1.678948,1.601883,1.653796,1.653796,678734
2020-10-08,1.651217,1.705439,1.602397,1.699044,1.699044,847724
2020-10-09,1.697474,1.704837,1.647417,1.677002,1.677002,1094257
2020-10-10,1.672151,1.763953,1.652624,1.655087,1.655087,1177608
2020-10-11,1.654009,1.679297,1.638959,1.678772,1.678772,1424856
2020-10-12,1.677803,1.679389,1.614599,1.633703,1.633703,1076635
2020-10-13,1.634298,1.678697,1.606769,1.639772,1.639772,900201
2020-10-14,1.639807,1.655957,1.623544,1.640039,1.640039,630161
2020-10-15,1.639588,1.645816,1.591046,1.592704,1.592704,1050689
2020-10-16,1.589940,1.628304,1.571121,1.584808,1.584808,872270
2020-10-17,1.586206,1.636723,1.571131,1.588771,1.588771,563515
2020-10-18,1.586186,1.643993,1.582217,1.617634,1.617634,843828
2020-10-19,1.616940,1.766449,1.605600,1.745602,1.745602,2484106
2020-10-20,1.745708,1.845782,1.708506,1.788476,1.788476,4647785
2020-10-21,1.789084,1.850086,1.750305,1.762002,1.762002,2625174
2020-10-22,1.760640,1.762267,1.650949,1.652177,1.652177,2165112
2020-10-23,1.652048,1.698017,1.595529,1.644979,1.644979,1675371
2020-10-24,1.644979,1.687274,1.614210,1.633850,1.633850,2754042
2020-10-25,1.633850,1.642025,1.601828,1.630824,1.630824,2005978
2020-10-26,1.630824,1.652903,1.581839,1.582221,1.582221,1098536
2020-10-27,1.582221,1.619517,1.570109,1.584914,1.584914,817218
2020-10-28,1.584915,1.631124,1.490301,1.502287,1.502287,1067315
2020-10-29,1.502287,1.560387,1.496212,1.520844,1.520844,1502009
2020-10-30,1.520818,1.522926,1.423481,1.438226,1.438226,679805
2020-10-31,1.438251,1.640991,1.434909,1.558905,1.558905,764053
2020-11-01,1.558871,1.590396,1.464506,1.525040,1.525040,642275
2020-11-02,1.525094,1.610830,1.451188,1.539794,1.539794,918032
2020-11-03,1.539792,1.579505,1.493209,1.552689,1.552689,591596
2020-11-04,1.552691,1.554058,1.405670,1.438282,1.438282,618981
2020-11-05,1.438284,1.528390,1.420173,1.487966,1.487966,640405
2020-11-06,1.487957,1.575968,1.476189,1.543150,1.543150,1670583
2020-11-07,1.543326,1.601064,1.458884,1.476812,1.476812,2309248
2020-11-08,1.476636,1.492378,1.422177,1.463485,1.463485,2143986
2020-11-09,1.463423,1.482378,1.409823,1.464382,1.464382,1930700
2020-11-10,1.464372,1.497138,1.426614,1.463925,1.463925,1969056
2020-11-11,1.463936,1.555840,1.460523,1.487718,1.487718,1798861
2020-11-12,1.487834,1.489727,1.396383,1.405363,1.405363,410659
2020-11-13,1.405182,1.448609,1.402721,1.419830,1.419830,1651555
2020-11-14,1.419873,1.457246,1.408565,1.451200,1.451200,1353286
2020-11-15,1.451128,1.492656,1.446160,1.468237,1.468237,1236452
2020-11-16,1.468164,1.551994,1.466080,1.537728,1.537728,1508832
2020-11-17,1.502454,1.516549,1.469873,1.487208,1.487208,1418039
2020-11-18,1.487362,1.505622,1.406029,1.433407,1.433407,1208004
2020-11-19,1.433329,1.495037,1.404752,1.475844,1.475844,701239
2020-11-20,1.476194,1.526694,1.464460,1.521910,1.521910,1017116
2020-11-21,1.521873,1.789907,1.496227,1.712931,1.712931,1359879
2020-11-22,1.712979,1.736708,1.521996,1.653717,1.653717,1690190
2020-11-23,1.653694,1.676011,1.606082,1.673594,1.673594,1836447
2020-11-24,1.673514,1.788718,1.637445,1.753077,1.753077,1895354
2020-11-25,1.754866,1.791060,1.663545,1.706874,1.706874,1921635
2020-11-26,1.706846,1.714495,1.458712,1.593869,1.593869,1620014
2020-11-27,1.594823,1.604424,1.507851,1.564817,1.564817,707304
2020-11-28,1.564945,1.653021,1.519458,1.608698,1.608698,582597
2020-11-29,1.604424,1.655329,1.577312,1.598515,1.598515,525662
2020-11-30,1.598891,1.637942,1.569627,1.605106,1.605106,672967
2020-12-01,1.604882,1.632422,1.492857,1.519590,1.519590,822964
2020-12-02,1.518959,1.522936,1.458953,1.496672,1.496672,522317
2020-12-03,1.497352,1.534142,1.455259,1.526966,1.526966,521368
2020-12-04,1.527560,1.566797,1.470592,1.564021,1.564021,601657
2020-12-05,1.566677,1.591563,1.475629,1.521720,1.521720,701365
2020-12-06,1.522084,1.562423,1.509593,1.531009,1.531009,472235
2020-12-07,1.531661,1.540024,1.484333,1.538289,1.538289,505270
2020-12-08,1.538252,1.644004,1.524046,1.587368,1.587368,849648
2020-12-09,1.584019,1.598520,1.473929,1.513723,1.513723,536114
2020-12-10,1.511684,1.549804,1.463610,1.514410,1.514410,566909
2020-12-11,1.513926,1.554044,1.478293,1.543700,1.543700,495180
2020-12-12,1.544188,1.573323,1.496150,1.516788,1.516788,386051
2020-12-13,1.516442,1.546538,1.492935,1.507273,1.507273,538194
2020-12-14,1.506796,1.524513,1.497253,1.508035,1.508035,364066
2020-12-15,1.507680,1.525339,1.485707,1.502654,1.502654,311324
2020-12-16,1.502545,1.563649,1.480373,1.536034,1.536034,1415563
2020-12-17,1.533103,1.570288,1.482712,1.548067,1.548067,2058006
2020-12-18,1.545543,1.647478,1.508148,1.635276,1.635276,1892544
2020-12-19,1.635042,1.646024,1.583944,1.583944,1.583944,1956613
2020-12-20,1.592948,1.775343,1.564362,1.665437,1.665437,2006514
2020-12-21,1.663921,1.819446,1.559245,1.577901,1.577901,2268154
2020-12-22,1.573843,1.669146,1.553302,1.668788,1.668788,1998842
2020-12-23,1.665354,1.686667,1.500747,1.528958,1.528958,1814056
2020-12-24,1.528833,1.551741,1.497711,1.533915,1.533915,1831817
2020-12-25,1.533009,1.599259,1.532129,1.584532,1.584532,1654707
2020-12-26,1.584539,1.593950,1.511220,1.573148,1.573148,1611223
2020-12-27,1.573694,1.580750,1.493044,1.514902,1.514902,1633785
2020-12-28,1.514564,1.548925,1.504652,1.514031,1.514031,1765552
2020-12-29,1.521793,1.544973,1.507293,1.519054,1.519054,1763990
