Date,Open,High,Low,Close,Adj Close,Volume
2020-05-07,0.047027,0.049514,0.046754,0.048455,0.048455,391398
2020-05-08,0.048377,0.048773,0.047516,0.048520,0.048520,224747
2020-05-09,null,null,null,null,null,null
2020-05-10,null,null,null,null,null,null
2020-05-11,null,null,null,null,null,null
2020-05-12,null,null,null,null,null,null
2020-05-13,null,null,null,null,null,null
2020-05-14,null,null,null,null,null,null
2020-05-15,null,null,null,null,null,null
2020-05-16,0.043529,0.044145,0.042836,0.043001,0.043001,73410
2020-05-17,0.043001,0.044278,0.042849,0.043420,0.043420,68227
2020-05-18,0.043183,0.044694,0.043106,0.044204,0.044204,121207
2020-05-19,0.044204,0.045132,0.043153,0.045132,0.045132,183468
2020-05-20,0.045132,0.045294,0.043599,0.044884,0.044884,158374
2020-05-21,0.044884,0.046267,0.042807,0.045274,0.045274,458197
2020-05-22,0.045271,0.052072,0.045007,0.048440,0.048440,2810361
2020-05-23,0.048440,0.051410,0.045956,0.049128,0.049128,445256
2020-05-24,0.049128,0.053899,0.045130,0.045289,0.045289,227635
2020-05-25,0.045288,0.049291,0.044928,0.048740,0.048740,495903
2020-05-26,0.048739,0.050736,0.047242,0.049672,0.049672,623164
2020-05-27,0.049672,0.053242,0.047299,0.048663,0.048663,1398530
2020-05-28,0.048663,0.048778,0.047038,0.048313,0.048313,158251
2020-05-29,0.048313,0.048486,0.046969,0.048412,0.048412,136036
2020-05-30,0.048412,0.049435,0.047951,0.048992,0.048992,302662
2020-05-31,0.048992,0.050820,0.048179,0.050228,0.050228,232901
2020-06-01,0.050228,0.052455,0.048844,0.050001,0.050001,180537
2020-06-02,0.050002,0.051866,0.047312,0.049815,0.049815,561185
2020-06-03,0.049815,0.050482,0.048300,0.050240,0.050240,213067
2020-06-04,0.050240,0.052631,0.049007,0.052631,0.052631,446441
2020-06-05,0.052631,0.052743,0.050812,0.051578,0.051578,388334
2020-06-06,0.051578,0.052250,0.049899,0.051295,0.051295,325975
2020-06-07,0.051295,0.066719,0.050126,0.061072,0.061072,4731675
2020-06-08,0.061072,0.067136,0.060253,0.061497,0.061497,4036884
2020-06-09,0.061502,0.063819,0.059308,0.060198,0.060198,1770970
2020-06-10,0.060199,0.060748,0.058393,0.060554,0.060554,522891
2020-06-11,null,null,null,null,null,null
