Date,Open,High,Low,Close,Adj Close,Volume
2020-10-20,0.750480,0.868169,0.605933,0.734538,0.734538,423780
2020-10-21,0.728452,0.841053,0.584136,0.675116,0.675116,613912
2020-10-22,0.671167,0.815421,0.593469,0.689282,0.689282,565198
2020-10-23,0.687185,0.903095,0.570785,0.832720,0.832720,652685
2020-10-24,0.832910,0.991295,0.610111,0.819910,0.819910,710983
2020-10-25,0.819688,0.881656,0.548767,0.779470,0.779470,802472
2020-10-26,0.779779,0.865137,0.530550,0.660629,0.660629,760098
2020-10-27,0.660729,1.044335,0.545035,0.741695,0.741695,717730
2020-10-28,0.742423,0.815612,0.474521,0.617151,0.617151,704578
2020-10-29,0.616573,0.732987,0.497206,0.597625,0.597625,776192
2020-10-30,0.597620,0.887690,0.413255,0.681280,0.681280,661683
2020-10-31,0.681286,0.775489,0.443028,0.609124,0.609124,500433
2020-11-01,0.609116,0.985270,0.439089,0.743687,0.743687,501206
2020-11-02,0.743708,0.872870,0.434917,0.733107,0.733107,591236
2020-11-03,0.732700,0.890667,0.424357,0.722650,0.722650,695232
2020-11-04,0.724218,0.880901,0.443328,0.569282,0.569282,680304
2020-11-05,0.569294,0.885071,0.441369,0.658931,0.658931,896975
2020-11-06,0.659777,0.815691,0.387411,0.653009,0.653009,821417
2020-11-07,0.652478,1.046516,0.420471,0.669725,0.669725,820741
2020-11-08,0.669731,0.730447,0.385454,0.515866,0.515866,808217
2020-11-09,0.515884,0.655380,0.383900,0.644301,0.644301,870550
2020-11-10,0.644275,0.739200,0.393786,0.636690,0.636690,1450681
2020-11-11,0.636653,0.691275,0.428104,0.488980,0.488980,453492
2020-11-12,0.488935,0.505416,0.422046,0.502471,0.502471,644034
2020-11-13,0.502474,0.623479,0.433803,0.599714,0.599714,539921
2020-11-14,0.599712,0.839052,0.502645,0.590058,0.590058,536288
2020-11-15,0.590087,0.798963,0.421144,0.490017,0.490017,538559
2020-11-16,0.490016,0.548285,0.368373,0.459495,0.459495,694860
2020-11-17,0.458220,0.656607,0.389100,0.500885,0.500885,1119559
2020-11-18,0.500902,0.930593,0.402101,0.582819,0.582819,1217586
2020-11-19,0.582869,0.881721,0.413735,0.488373,0.488373,615930
2020-11-20,0.488360,0.692746,0.397888,0.448036,0.448036,693765
2020-11-21,0.448021,0.935031,0.409860,0.585506,0.585506,859460
2020-11-22,0.585515,0.903550,0.402678,0.773978,0.773978,1237783
2020-11-23,0.773921,1.128846,0.415757,1.034096,1.034096,1464057
2020-11-24,1.033925,1.176042,0.682085,0.921637,0.921637,2196718
2020-11-25,0.921546,1.187882,0.449265,1.078672,1.078672,1595422
2020-11-26,1.078582,1.155386,0.567180,0.902525,0.902525,1806687
2020-11-27,0.903706,0.961617,0.335625,0.427234,0.427234,669585
2020-11-28,0.427232,0.606822,0.350352,0.568411,0.568411,1292069
2020-11-29,0.568399,0.702796,0.347266,0.447319,0.447319,737805
2020-11-30,0.447307,0.637914,0.396882,0.518240,0.518240,1031745
2020-12-01,0.518210,0.575264,0.389783,0.542652,0.542652,983916
2020-12-02,0.542610,0.667730,0.391741,0.559772,0.559772,640622
2020-12-03,0.559753,0.581197,0.401943,0.488882,0.488882,749270
2020-12-04,0.488829,0.604837,0.400968,0.467398,0.467398,752160
2020-12-05,0.467337,0.531155,0.388277,0.531155,0.531155,687285
2020-12-06,0.531162,0.593526,0.385956,0.482013,0.482013,671118
2020-12-07,0.482155,0.534379,0.386414,0.445102,0.445102,737811
2020-12-08,0.445064,0.600531,0.402102,0.454041,0.454041,731494
2020-12-09,0.454066,0.468351,0.367623,0.396559,0.396559,739871
2020-12-10,0.396560,0.434551,0.357249,0.366684,0.366684,289445
2020-12-11,0.366683,0.366683,0.338495,0.357994,0.357994,480564
2020-12-12,0.358022,0.374473,0.354655,0.368013,0.368013,347215
2020-12-13,0.367961,0.381744,0.356269,0.380609,0.380609,457887
2020-12-14,0.380648,0.385338,0.368297,0.381602,0.381602,330289
2020-12-15,0.381586,0.387779,0.363115,0.363449,0.363449,478298
2020-12-16,0.363249,0.530252,0.357531,0.448146,0.448146,893375
2020-12-17,0.447851,0.576984,0.432484,0.552805,0.552805,1442360
2020-12-18,0.553073,0.741006,0.453054,0.461246,0.461246,345768
2020-12-19,0.461498,0.597065,0.433313,0.597065,0.597065,729304
2020-12-20,0.597291,0.623184,0.439389,0.550876,0.550876,879390
2020-12-21,0.549879,0.597089,0.433736,0.504710,0.504710,844568
2020-12-22,0.503570,0.533965,0.415501,0.451776,0.451776,1306342
2020-12-23,0.451673,0.503393,0.369913,0.383876,0.383876,1671994
2020-12-24,0.383572,0.644189,0.383572,0.573925,0.573925,621897
2020-12-25,0.573374,0.610909,0.410874,0.500217,0.500217,654910
2020-12-26,0.500102,0.623157,0.415599,0.509599,0.509599,843051
2020-12-27,0.509752,0.685010,0.405381,0.674274,0.674274,1773217
2020-12-28,0.674093,0.836675,0.443161,0.602262,0.602262,557461
2020-12-29,0.601881,0.629699,0.558153,0.608761,0.608761,814323
