Date,Open,High,Low,Close,Adj Close,Volume
2020-05-07,0.003539,0.004108,0.003504,0.003846,0.003846,332482
2020-05-08,0.003837,0.004076,0.003810,0.003942,0.003942,243506
2020-05-09,null,null,null,null,null,null
2020-05-10,null,null,null,null,null,null
2020-05-11,null,null,null,null,null,null
2020-05-12,null,null,null,null,null,null
2020-05-13,null,null,null,null,null,null
2020-05-14,null,null,null,null,null,null
2020-05-15,null,null,null,null,null,null
2020-05-16,0.009258,0.011051,0.007946,0.008787,0.008787,5568599
2020-05-17,0.008787,0.010414,0.008209,0.008646,0.008646,5408961
2020-05-18,0.008656,0.009687,0.008059,0.009518,0.009518,1686151
2020-05-19,0.009511,0.010367,0.007061,0.008067,0.008067,2887065
2020-05-20,0.008114,0.008415,0.006859,0.007233,0.007233,2354853
2020-05-21,0.007232,0.007232,0.005615,0.005919,0.005919,1512237
2020-05-22,0.005917,0.006925,0.005873,0.006600,0.006600,1808858
2020-05-23,0.006609,0.006981,0.006216,0.006673,0.006673,1646411
2020-05-24,0.006682,0.007919,0.006641,0.007109,0.007109,2120251
2020-05-25,0.007119,0.007478,0.006937,0.007420,0.007420,1075444
2020-05-26,0.007420,0.007458,0.006836,0.007286,0.007286,975289
2020-05-27,0.007286,0.008889,0.007285,0.008731,0.008731,1737368
2020-05-28,0.008693,0.009505,0.008511,0.009328,0.009328,1764687
2020-05-29,0.009328,0.009468,0.008460,0.008820,0.008820,1506669
2020-05-30,0.008824,0.009101,0.008718,0.008982,0.008982,1053660
2020-05-31,0.008982,0.009176,0.008544,0.008627,0.008627,1045527
2020-06-01,0.008624,0.008649,0.008122,0.008502,0.008502,1313763
2020-06-02,0.008498,0.008876,0.008352,0.008452,0.008452,1126838
2020-06-03,0.008452,0.008660,0.008286,0.008410,0.008410,801464
2020-06-04,0.008413,0.008693,0.008353,0.008432,0.008432,804002
2020-06-05,0.008384,0.008410,0.007358,0.007438,0.007438,1101140
2020-06-06,0.007438,0.008231,0.007420,0.007950,0.007950,972408
2020-06-07,0.007950,0.007971,0.007391,0.007716,0.007716,764983
2020-06-08,0.007719,0.008128,0.007517,0.008127,0.008127,805199
2020-06-09,0.008128,0.008155,0.007519,0.007576,0.007576,884609
2020-06-10,0.007573,0.007878,0.007546,0.007757,0.007757,876150
2020-06-11,null,null,null,null,null,null
2020-06-12,null,null,null,null,null,null
2020-06-13,null,null,null,null,null,null
2020-06-14,0.006765,0.006874,0.006231,0.006582,0.006582,1422546
2020-06-15,0.006582,0.006730,0.006176,0.006702,0.006702,867593
