Date,Open,High,Low,Close,Adj Close,Volume
2017-06-05,5.783100,5.878580,5.712680,5.784670,5.784670,1239070
2017-06-06,5.806300,6.239650,5.806300,5.977020,5.977020,772477
2017-06-07,5.982240,6.006170,5.384630,5.564690,5.564690,1004770
2017-06-08,5.564610,5.955690,5.251270,5.944530,5.944530,1007020
2017-06-09,5.941800,6.160280,5.256540,5.489200,5.489200,1496850
2017-06-10,5.488300,5.501430,5.147730,5.213870,5.213870,873042
2017-06-11,5.253730,5.290530,4.962870,5.123680,5.123680,578033
2017-06-12,5.166240,5.304630,4.639940,4.714200,4.714200,576435
2017-06-13,4.748110,5.476950,4.586370,5.308840,5.308840,565392
2017-06-14,5.235870,5.422760,4.708840,4.841700,4.841700,511714
2017-06-15,4.898080,4.937740,4.080040,4.788060,4.788060,341765
2017-06-16,4.752770,4.982550,4.611710,4.818770,4.818770,334433
2017-06-17,4.765010,5.088500,4.665300,4.976060,4.976060,525094
2017-06-18,5.005330,5.135650,4.786420,5.025720,5.025720,564260
2017-06-19,5.028940,5.854180,4.827630,5.756550,5.756550,1209340
2017-06-20,5.756490,5.756490,5.420830,5.521370,5.521370,1732880
2017-06-21,5.479350,5.701160,5.123160,5.490760,5.490760,928249
2017-06-22,5.497680,5.652370,5.296050,5.422440,5.422440,886136
2017-06-23,5.422450,5.499440,5.282590,5.437670,5.437670,1059860
2017-06-24,5.421060,6.226280,5.253840,5.662040,5.662040,2666640
2017-06-25,5.647370,5.769330,5.026830,5.449330,5.449330,1416700
2017-06-26,5.443520,5.502280,3.806820,4.334470,4.334470,1497800
2017-06-27,4.457450,4.582480,3.091230,4.080900,4.080900,1424020
2017-06-28,4.073920,4.233370,3.685450,4.072730,4.072730,786704
2017-06-29,4.101780,4.109130,3.738480,3.917810,3.917810,558771
2017-06-30,3.933130,3.933130,3.590270,3.617820,3.617820,547755
2017-07-01,3.660610,3.673890,3.267440,3.320420,3.320420,573443
2017-07-02,3.310040,3.310040,2.673220,2.977420,2.977420,644980
2017-07-03,2.960030,3.140620,2.823160,3.042690,3.042690,621000
2017-07-04,3.088560,3.206820,2.986540,3.052830,3.052830,559692
2017-07-05,3.030940,3.141400,2.679990,2.858500,2.858500,513030
2017-07-06,2.820130,2.926870,2.748060,2.799970,2.799970,388423
