Date,Open,High,Low,Close,Adj Close,Volume
2020-05-07,1.834471,2.052865,1.675698,1.943492,1.943492,46933
2020-05-08,1.943492,1.987701,1.609570,1.838192,1.838192,40510
2020-05-09,null,null,null,null,null,null
2020-05-10,null,null,null,null,null,null
2020-05-11,null,null,null,null,null,null
2020-05-12,null,null,null,null,null,null
2020-05-13,null,null,null,null,null,null
2020-05-14,null,null,null,null,null,null
2020-05-15,null,null,null,null,null,null
2020-05-16,1.674403,1.922100,1.601411,1.803014,1.803014,18681
2020-05-17,1.803489,1.967447,1.641168,1.788601,1.788601,40055
2020-05-18,1.788550,1.853606,1.623516,1.708423,1.708423,22474
2020-05-19,1.707529,1.996409,1.630364,1.996409,1.996409,516687
2020-05-20,2.027091,3.194871,2.027091,2.836738,2.836738,1554212
2020-05-21,2.879398,3.064259,2.481845,2.631472,2.631472,450070
2020-05-22,2.631907,2.759043,2.595054,2.733214,2.733214,355496
2020-05-23,2.733454,3.032268,2.673151,3.027347,3.027347,625746
2020-05-24,3.027613,3.156047,2.689025,2.869483,2.869483,495707
2020-05-25,2.863105,2.924158,2.622742,2.855755,2.855755,217798
2020-05-26,2.855489,3.178930,2.842656,3.028255,3.028255,645431
2020-05-27,3.028255,4.035730,3.028255,3.952409,3.952409,1154069
2020-05-28,3.860152,4.320098,3.507820,4.199280,4.199280,861685
2020-05-29,4.224662,5.447001,4.050536,5.381845,5.381845,1995212
2020-05-30,5.316315,7.248649,5.299911,6.137959,6.137959,4358915
2020-05-31,6.138090,6.751359,5.826747,6.354094,6.354094,1453992
2020-06-01,6.416263,6.548838,6.027997,6.061318,6.061318,1224467
2020-06-02,6.054365,6.332358,5.044920,5.129666,5.129666,1418262
2020-06-03,5.129666,5.582650,3.868997,5.557436,5.557436,2701105
2020-06-04,5.551291,5.714878,4.616303,5.123769,5.123769,1440728
2020-06-05,5.123769,5.290978,4.301222,4.350746,4.350746,983437
2020-06-06,4.350698,4.667700,3.913707,4.567516,4.567516,945184
2020-06-07,4.567516,4.720098,4.034171,4.378964,4.378964,376372
2020-06-08,4.379495,4.728830,4.269392,4.728269,4.728269,421251
2020-06-09,4.727649,5.780879,4.568521,5.737650,5.737650,1216923
2020-06-10,5.703443,5.859932,5.384000,5.384000,5.384000,471313
2020-06-11,null,null,null,null,null,null
2020-06-12,null,null,null,null,null,null
2020-06-13,null,null,null,null,null,null
2020-06-14,6.037946,6.458275,5.904119,6.362806,6.362806,1070866
2020-06-15,6.362806,7.700476,5.659825,7.638818,7.638818,2039632
2020-06-16,7.745882,8.097695,6.919251,7.546903,7.546903,3274331
2020-06-17,7.548550,7.794951,7.098783,7.749997,7.749997,815354
2020-06-18,7.744184,8.128407,6.996415,7.358257,7.358257,1450968
2020-06-19,7.371271,7.443764,6.604836,6.732270,6.732270,777972
2020-06-20,null,null,null,null,null,null
2020-06-21,6.887225,7.243119,6.834194,7.159626,7.159626,383088
2020-06-22,null,null,null,null,null,null
2020-06-23,6.911367,6.927138,6.056190,6.473812,6.473812,944688
2020-06-24,6.476353,6.621399,5.959449,6.150670,6.150670,405814
2020-06-25,6.155048,6.235203,5.744649,5.885814,5.885814,355674
2020-06-26,5.903374,5.957368,5.593668,5.634554,5.634554,410494
2020-06-27,null,null,null,null,null,null
2020-06-28,5.829999,5.842111,5.437558,5.648104,5.648104,223904
2020-06-29,5.648104,5.828943,5.447694,5.739801,5.739801,359568
2020-06-30,5.738885,5.774562,5.363957,5.545377,5.545377,367143
2020-07-01,5.569976,6.419977,5.421363,6.394642,6.394642,948789
2020-07-02,6.416625,7.160021,6.058689,6.408292,6.408292,1635901
2020-07-03,6.446426,6.446426,5.632423,5.913324,5.913324,755301
2020-07-04,5.912991,6.129153,5.750437,5.931899,5.931899,370239
2020-07-05,5.930535,6.072630,5.642241,6.017680,6.017680,355301
2020-07-06,6.017680,6.311853,5.585283,5.813616,5.813616,619111
2020-07-07,5.810923,5.912122,5.459593,5.500252,5.500252,470539
2020-07-08,5.500252,5.609893,5.257971,5.261585,5.261585,611450
2020-07-09,5.262189,6.225481,5.161650,6.033905,6.033905,1093390
2020-07-10,6.034276,6.110404,5.605774,5.804111,5.804111,534327
