Date,Open,High,Low,Close,Adj Close,Volume
2014-09-17,0.005134,0.006753,0.005126,0.006174,0.006174,3594
2014-09-18,0.006168,0.006814,0.005198,0.006125,0.006125,1472
2014-09-19,0.006120,0.006186,0.004768,0.004911,0.004911,111
2014-09-20,0.004910,0.005887,0.003194,0.004093,0.004093,964
2014-09-21,0.004085,0.005639,0.004034,0.005065,0.005065,157
2014-09-22,0.005069,0.005520,0.004059,0.005489,0.005489,459
2014-09-23,0.005489,0.005556,0.004764,0.005103,0.005103,760
2014-09-24,0.005103,0.005953,0.004931,0.005506,0.005506,192
2014-09-25,0.005505,0.005788,0.005323,0.005350,0.005350,565
2014-09-26,0.005349,0.005778,0.004811,0.005500,0.005500,636
2014-09-27,0.005488,0.005782,0.005325,0.005354,0.005354,59
2014-09-28,0.005353,0.005698,0.004773,0.004809,0.004809,419
2014-09-29,0.004806,0.005127,0.004500,0.004506,0.004506,375
2014-09-30,0.004513,0.005388,0.004481,0.004837,0.004837,44
2014-10-01,0.004843,0.005734,0.004824,0.005712,0.005712,268
2014-10-02,0.005718,0.005740,0.005588,0.005610,0.005610,263
2014-10-03,null,null,null,null,null,null
2014-10-04,null,null,null,null,null,null
2014-10-05,null,null,null,null,null,null
2014-10-06,null,null,null,null,null,null
2014-10-07,null,null,null,null,null,null
2014-10-08,null,null,null,null,null,null
2014-10-09,null,null,null,null,null,null
2014-10-10,null,null,null,null,null,null
2014-10-11,null,null,null,null,null,null
2014-10-12,null,null,null,null,null,null
2014-10-13,null,null,null,null,null,null
2014-10-14,null,null,null,null,null,null
2014-10-15,null,null,null,null,null,null
2014-10-16,null,null,null,null,null,null
2014-10-17,null,null,null,null,null,null
2014-10-18,null,null,null,null,null,null
2014-10-19,null,null,null,null,null,null
2014-10-20,null,null,null,null,null,null
2014-10-21,null,null,null,null,null,null
2014-10-22,null,null,null,null,null,null
2014-10-23,null,null,null,null,null,null
2014-10-24,null,null,null,null,null,null
2014-10-25,null,null,null,null,null,null
2014-10-26,null,null,null,null,null,null
2014-10-27,null,null,null,null,null,null
2014-10-28,null,null,null,null,null,null
2014-10-29,null,null,null,null,null,null
2014-10-30,null,null,null,null,null,null
2014-10-31,null,null,null,null,null,null
2014-11-01,null,null,null,null,null,null
2014-11-02,null,null,null,null,null,null
2014-11-03,null,null,null,null,null,null
2014-11-04,null,null,null,null,null,null
2014-11-05,null,null,null,null,null,null
2014-11-06,null,null,null,null,null,null
2014-11-07,null,null,null,null,null,null
2014-11-08,null,null,null,null,null,null
2014-11-09,null,null,null,null,null,null
2014-11-10,null,null,null,null,null,null
2014-11-11,null,null,null,null,null,null
2014-11-12,null,null,null,null,null,null
2014-11-13,null,null,null,null,null,null
2014-11-14,null,null,null,null,null,null
2014-11-15,null,null,null,null,null,null
2014-11-16,null,null,null,null,null,null
2014-11-17,null,null,null,null,null,null
2014-11-18,null,null,null,null,null,null
2014-11-19,null,null,null,null,null,null
2014-11-20,null,null,null,null,null,null
2014-11-21,null,null,null,null,null,null
2014-11-22,null,null,null,null,null,null
2014-11-23,null,null,null,null,null,null
2014-11-24,null,null,null,null,null,null
2014-11-25,null,null,null,null,null,null
2014-11-26,null,null,null,null,null,null
2014-11-27,null,null,null,null,null,null
2014-11-28,null,null,null,null,null,null
2014-11-29,0.006197,0.007752,0.006168,0.007510,0.007510,24
2014-11-30,0.007510,0.007651,0.007466,0.007561,0.007561,0
2014-12-01,0.007565,0.007673,0.007533,0.007601,0.007601,0
2014-12-02,null,null,null,null,null,null
2014-12-03,0.007549,0.007584,0.007493,0.007500,0.007500,0
2014-12-04,0.007514,0.007573,0.007359,0.007420,0.007420,0
2014-12-05,0.007441,0.009101,0.007436,0.009045,0.009045,81
2014-12-06,0.009042,0.009083,0.007498,0.008058,0.008058,41
2014-12-07,0.008059,0.008090,0.007487,0.007498,0.007498,3
2014-12-08,0.007496,0.009183,0.007300,0.009048,0.009048,20
2014-12-09,0.009047,0.009719,0.008624,0.008805,0.008805,36
2014-12-10,0.008805,0.009792,0.008659,0.008659,0.008659,21
2014-12-11,0.008608,0.009034,0.008469,0.008763,0.008763,21
2014-12-12,0.008774,0.008791,0.008774,0.008791,0.008791,21
2014-12-13,0.009243,0.009665,0.009202,0.009657,0.009657,207
2014-12-14,0.009639,0.010273,0.008995,0.008995,0.008995,118
2014-12-15,0.008988,0.010041,0.006370,0.010001,0.010001,769
2014-12-16,0.010011,0.010016,0.006266,0.006744,0.006744,42
2014-12-17,0.006740,0.008866,0.006082,0.008775,0.008775,147
2014-12-18,0.008775,0.008883,0.005643,0.008514,0.008514,84
2014-12-19,0.008508,0.008522,0.006576,0.007605,0.007605,64
2014-12-20,0.007600,0.008820,0.005543,0.008458,0.008458,331
2014-12-21,0.008447,0.008449,0.006609,0.006738,0.006738,199
2014-12-22,0.006742,0.007671,0.004590,0.006020,0.006020,202
2014-12-23,0.006023,0.007454,0.005661,0.006811,0.006811,137
2014-12-24,0.006807,0.006815,0.006147,0.006444,0.006444,18
2014-12-25,0.006439,0.006558,0.004010,0.006556,0.006556,288
2014-12-26,0.006559,0.006564,0.004264,0.005903,0.005903,58
2014-12-27,0.005896,0.005984,0.003917,0.004507,0.004507,45
2014-12-28,0.004512,0.005531,0.004127,0.005526,0.005526,24
2014-12-29,0.005534,0.005579,0.004997,0.005003,0.005003,136
2014-12-30,0.005003,0.005037,0.004548,0.004661,0.004661,0
2014-12-31,0.004664,0.004700,0.003878,0.003906,0.003906,160
2015-01-01,0.003909,0.003909,0.003771,0.003774,0.003774,19
2015-01-02,0.003772,0.006314,0.003766,0.003938,0.003938,170
2015-01-03,0.003936,0.006168,0.003316,0.005653,0.005653,55
2015-01-04,0.005654,0.005727,0.004190,0.004756,0.004756,16
2015-01-05,0.004772,0.006085,0.003749,0.004666,0.004666,95
2015-01-06,0.004668,0.006582,0.004636,0.006582,0.006582,8
2015-01-07,0.006580,0.006626,0.003565,0.005145,0.005145,91
2015-01-08,0.005141,0.005141,0.003961,0.003967,0.003967,56
2015-01-09,0.003953,0.004014,0.003927,0.004004,0.004004,57
2015-01-10,0.003496,0.004119,0.002643,0.004119,0.004119,102
2015-01-11,0.004116,0.005543,0.003610,0.003618,0.003618,28
2015-01-12,0.003625,0.004630,0.002673,0.003005,0.003005,144
2015-01-13,0.003000,0.004961,0.002744,0.003840,0.003840,76
2015-01-14,0.003806,0.005392,0.001973,0.003879,0.003879,697
2015-01-15,0.003853,0.005654,0.003208,0.005351,0.005351,104
2015-01-16,0.005331,0.005421,0.004295,0.004474,0.004474,38
2015-01-17,0.004468,0.005592,0.003275,0.003308,0.003308,37
2015-01-18,0.003321,0.004904,0.003229,0.003458,0.003458,29
2015-01-19,0.003477,0.005184,0.003359,0.005174,0.005174,136
2015-01-20,0.005127,0.005874,0.005090,0.005809,0.005809,110
2015-01-21,0.005811,0.005919,0.002646,0.005573,0.005573,967
2015-01-22,0.005583,0.005640,0.004638,0.005368,0.005368,72
2015-01-23,0.005371,0.005371,0.003831,0.005193,0.005193,87
2015-01-24,0.005189,0.006144,0.005129,0.006144,0.006144,444
2015-01-25,0.006132,0.006949,0.005671,0.006724,0.006724,215
2015-01-26,0.006733,0.007382,0.006224,0.006831,0.006831,320
2015-01-27,0.006824,0.006881,0.005671,0.006584,0.006584,134
2015-01-28,0.006581,0.006661,0.004847,0.004994,0.004994,45
2015-01-29,0.004982,0.005939,0.004712,0.005838,0.005838,46
2015-01-30,0.005819,0.006071,0.005646,0.005661,0.005661,45
2015-01-31,0.005661,0.005805,0.005408,0.005437,0.005437,54
2015-02-01,0.005422,0.005674,0.004592,0.005561,0.005561,170
2015-02-02,0.005549,0.005691,0.004463,0.005604,0.005604,203
2015-02-03,0.005598,0.005843,0.005500,0.005565,0.005565,50
2015-02-04,0.005568,0.005751,0.003759,0.005659,0.005659,205
