Date,Open,High,Low,Close,Adj Close,Volume
2020-07-19,0.083888,0.141718,0.083187,0.124534,0.124534,751873
2020-07-20,0.124478,0.173152,0.124403,0.149572,0.149572,824241
2020-07-21,0.149580,0.179804,0.143050,0.179128,0.179128,708383
2020-07-22,0.179110,0.195687,0.171304,0.180556,0.180556,668864
2020-07-23,0.180556,0.200091,0.170616,0.198255,0.198255,679685
2020-07-24,0.198255,0.201019,0.163345,0.177347,0.177347,867765
2020-07-25,0.177371,0.188439,0.154924,0.165508,0.165508,660657
2020-07-26,0.165424,0.176590,0.159628,0.169973,0.169973,441441
2020-07-27,0.169969,0.192039,0.139930,0.145255,0.145255,478926
2020-07-28,0.145198,0.157598,0.142870,0.150165,0.150165,289435
2020-07-29,0.150159,0.207795,0.146825,0.199279,0.199279,1041583
2020-07-30,0.199186,0.271364,0.195186,0.230677,0.230677,2417927
2020-07-31,0.230677,0.425260,0.222966,0.327699,0.327699,32353945
2020-08-01,0.328345,0.350596,0.270490,0.287659,0.287659,9570992
2020-08-02,0.288812,0.322269,0.249972,0.290172,0.290172,6065916
2020-08-03,0.290509,0.301703,0.255206,0.260294,0.260294,3364418
2020-08-04,0.260681,0.275113,0.259122,0.264301,0.264301,2410426
2020-08-05,0.265228,0.277827,0.246749,0.250711,0.250711,3215909
2020-08-06,0.250711,0.271975,0.245842,0.265936,0.265936,3641399
2020-08-07,0.265630,0.282237,0.250403,0.255914,0.255914,2811860
2020-08-08,0.256680,0.302709,0.255507,0.285307,0.285307,3358038
2020-08-09,0.285348,0.302164,0.272689,0.275312,0.275312,2393091
2020-08-10,0.275312,0.342804,0.266600,0.302890,0.302890,6856099
2020-08-11,0.302949,0.326548,0.280017,0.299159,0.299159,4034194
2020-08-12,null,null,null,null,null,null
2020-08-13,null,null,null,null,null,null
2020-08-14,null,null,null,null,null,null
2020-08-15,null,null,null,null,null,null
2020-08-16,0.366485,0.377080,0.338843,0.341777,0.341777,1963890
2020-08-17,0.341777,0.350348,0.309746,0.320477,0.320477,3431374
2020-08-18,0.320407,0.355049,0.297761,0.312509,0.312509,2293425
2020-08-19,0.311581,0.311623,0.280024,0.290152,0.290152,2641439
2020-08-20,0.290152,0.323796,0.288814,0.318444,0.318444,2125984
2020-08-21,0.318443,0.323656,0.285229,0.287109,0.287109,2977574
2020-08-22,0.287069,0.315002,0.281504,0.308645,0.308645,1719150
2020-08-23,0.308592,0.308856,0.284149,0.291824,0.291824,1304034
2020-08-24,0.291929,0.309282,0.289816,0.302591,0.302591,1421323
2020-08-25,0.302650,0.303865,0.269521,0.278407,0.278407,1752570
2020-08-26,0.278418,0.286645,0.259564,0.285374,0.285374,2463304
2020-08-27,0.285215,0.290857,0.256844,0.264883,0.264883,2202843
2020-08-28,0.264865,0.296257,0.263372,0.280730,0.280730,1723340
2020-08-29,0.280781,0.283509,0.272389,0.274012,0.274012,963352
2020-08-30,0.273976,0.284149,0.259141,0.268122,0.268122,2488924
2020-08-31,0.268124,0.302125,0.264581,0.295784,0.295784,3141278
2020-09-01,0.295723,0.315255,0.278308,0.279679,0.279679,3549985
2020-09-02,0.279599,0.279599,0.234088,0.254673,0.254673,2786888
2020-09-03,0.254562,0.254570,0.187674,0.187674,0.187674,2098819
2020-09-04,0.187625,0.210094,0.180328,0.195573,0.195573,3277908
2020-09-05,null,null,null,null,null,null
2020-09-06,null,null,null,null,null,null
2020-09-07,null,null,null,null,null,null
2020-09-08,null,null,null,null,null,null
2020-09-09,null,null,null,null,null,null
2020-09-10,null,null,null,null,null,null
2020-09-11,null,null,null,null,null,null
2020-09-12,null,null,null,null,null,null
2020-09-13,null,null,null,null,null,null
2020-09-14,null,null,null,null,null,null
2020-09-15,null,null,null,null,null,null
2020-09-16,null,null,null,null,null,null
2020-09-17,null,null,null,null,null,null
2020-09-18,null,null,null,null,null,null
2020-09-19,null,null,null,null,null,null
2020-09-20,null,null,null,null,null,null
2020-09-21,null,null,null,null,null,null
2020-09-22,0.123941,0.124121,0.119715,0.123167,0.123167,597649
2020-09-23,0.123185,0.127057,0.121030,0.121829,0.121829,724709
2020-09-24,0.121829,0.128326,0.121521,0.127846,0.127846,615027
2020-09-25,0.127862,0.130824,0.125541,0.130402,0.130402,508803
2020-09-26,0.130534,0.136467,0.130087,0.134279,0.134279,517187
2020-09-27,0.134279,0.136249,0.128909,0.129451,0.129451,520708
2020-09-28,0.129451,0.130393,0.123129,0.123129,0.123129,755524
2020-09-29,0.123068,0.123890,0.117948,0.119653,0.119653,638571
2020-09-30,0.119645,0.120365,0.118072,0.120202,0.120202,491182
2020-10-01,0.120177,0.123714,0.114616,0.115683,0.115683,719322
2020-10-02,null,null,null,null,null,null
2020-10-03,null,null,null,null,null,null
2020-10-04,null,null,null,null,null,null
2020-10-05,0.109545,0.111931,0.109228,0.109613,0.109613,651434
2020-10-06,0.109631,0.111218,0.102934,0.102934,0.102934,750574
2020-10-07,0.103043,0.103609,0.099862,0.100342,0.100342,473334
2020-10-08,0.100522,0.102977,0.098594,0.101995,0.101995,502297
2020-10-09,0.102034,0.111408,0.101817,0.110739,0.110739,904405
2020-10-10,0.110674,0.111407,0.107492,0.107601,0.107601,924710
2020-10-11,0.107601,0.107642,0.106014,0.106963,0.106963,629741
2020-10-12,0.107522,0.112904,0.105625,0.105885,0.105885,1066319
2020-10-13,0.105908,0.106022,0.102281,0.103319,0.103319,698247
2020-10-14,0.103495,0.110006,0.099911,0.109183,0.109183,1024679
2020-10-15,0.109369,0.130549,0.106226,0.117933,0.117933,3925492
2020-10-16,0.117677,0.118195,0.101425,0.101591,0.101591,1290010
2020-10-17,0.101536,0.103228,0.101225,0.102380,0.102380,508448
2020-10-18,0.102268,0.107926,0.101021,0.104875,0.104875,1212118
2020-10-19,0.104844,0.105045,0.103037,0.103173,0.103173,1031994
2020-10-20,0.103157,0.103345,0.097460,0.101163,0.101163,1043351
2020-10-21,0.101307,0.121531,0.098193,0.098366,0.098366,9014757
2020-10-22,0.098350,0.100548,0.097846,0.098371,0.098371,901711
2020-10-23,0.098336,0.098823,0.094583,0.096271,0.096271,1151722
2020-10-24,0.096271,0.101391,0.095926,0.099999,0.099999,900574
2020-10-25,0.099999,0.110381,0.097098,0.097238,0.097238,2739734
2020-10-26,0.097238,0.097270,0.089743,0.090781,0.090781,1623351
2020-10-27,0.090781,0.091147,0.088035,0.088378,0.088378,1467020
2020-10-28,0.088378,0.088884,0.077824,0.077895,0.077895,1571448
2020-10-29,0.077895,0.080748,0.075956,0.076205,0.076205,1066884
2020-10-30,0.076205,0.076575,0.072576,0.074383,0.074383,896108
2020-10-31,0.074383,0.077661,0.074238,0.076894,0.076894,1201295
2020-11-01,0.076894,0.077044,0.074465,0.074598,0.074598,849276
2020-11-02,0.074598,0.075806,0.073521,0.073800,0.073800,812887
2020-11-03,0.073800,0.073815,0.069882,0.069986,0.069986,745318
2020-11-04,0.069986,0.071797,0.069313,0.070890,0.070890,749651
2020-11-05,0.070890,0.071418,0.068049,0.069667,0.069667,1289061
