Date,Open,High,Low,Close,Adj Close,Volume
2020-05-07,0.007207,0.007996,0.006915,0.007934,0.007934,172
2020-05-08,0.007930,0.008000,0.007483,0.007574,0.007574,49
2020-05-09,null,null,null,null,null,null
2020-05-10,null,null,null,null,null,null
2020-05-11,null,null,null,null,null,null
2020-05-12,null,null,null,null,null,null
2020-05-13,null,null,null,null,null,null
2020-05-14,null,null,null,null,null,null
2020-05-15,null,null,null,null,null,null
2020-05-16,0.006988,0.007162,0.006699,0.006748,0.006748,5
2020-05-17,0.006749,0.007466,0.006714,0.007254,0.007254,43
2020-05-18,0.007254,0.008983,0.005937,0.006618,0.006618,1370
2020-05-19,0.006614,0.008881,0.006468,0.006899,0.006899,266
2020-05-20,0.006904,0.007940,0.006505,0.007045,0.007045,24
2020-05-21,0.007045,0.007409,0.006598,0.007266,0.007266,3
2020-05-22,0.007265,0.007283,0.003449,0.005143,0.005143,380
2020-05-23,0.005144,0.007427,0.005141,0.006447,0.006447,124
2020-05-24,0.006447,0.006448,0.005336,0.005887,0.005887,61
2020-05-25,0.005870,0.006063,0.005088,0.005700,0.005700,72
2020-05-26,0.005700,0.005753,0.005075,0.005564,0.005564,1
2020-05-27,0.005564,0.006002,0.004994,0.005052,0.005052,43
2020-05-28,0.005051,0.005991,0.003853,0.005620,0.005620,460
2020-05-29,0.005620,0.007461,0.004839,0.006794,0.006794,382
2020-05-30,0.006794,0.007420,0.004743,0.005722,0.005722,180
2020-05-31,0.005722,0.005755,0.004540,0.005683,0.005683,38
2020-06-01,0.005682,0.006128,0.005589,0.006100,0.006100,3
2020-06-02,0.006100,0.006116,0.003711,0.005142,0.005142,661
2020-06-03,0.005142,0.005408,0.004923,0.005407,0.005407,21
2020-06-04,0.005408,0.005483,0.003915,0.004704,0.004704,214
2020-06-05,0.004704,0.005411,0.003691,0.004735,0.004735,385
2020-06-06,0.004735,0.004923,0.004515,0.004822,0.004822,77
2020-06-07,0.004823,0.004886,0.004196,0.004880,0.004880,127
2020-06-08,0.004880,0.004883,0.003967,0.004788,0.004788,43
2020-06-09,0.004788,0.004903,0.004274,0.004310,0.004310,71
2020-06-10,0.004310,0.004700,0.003940,0.004144,0.004144,174
2020-06-11,null,null,null,null,null,null
2020-06-12,null,null,null,null,null,null
2020-06-13,null,null,null,null,null,null
2020-06-14,0.003314,0.003402,0.003102,0.003281,0.003281,52
2020-06-15,0.003281,0.003433,0.003047,0.003396,0.003396,180
2020-06-16,0.003397,0.003446,0.003224,0.003238,0.003238,41
2020-06-17,0.003238,0.003432,0.003163,0.003220,0.003220,119
2020-06-18,0.003220,0.003303,0.003168,0.003199,0.003199,5
2020-06-19,0.003203,0.003384,0.003156,0.003249,0.003249,35
2020-06-20,null,null,null,null,null,null
2020-06-21,0.003355,0.003389,0.003160,0.003161,0.003161,11
2020-06-22,null,null,null,null,null,null
2020-06-23,0.003474,0.003481,0.003171,0.003274,0.003274,51
2020-06-24,0.003276,0.003290,0.003056,0.003069,0.003069,36
2020-06-25,0.003071,0.003271,0.003037,0.003238,0.003238,10
2020-06-26,0.003237,0.003261,0.002999,0.003020,0.003020,0
2020-06-27,null,null,null,null,null,null
2020-06-28,0.003248,0.003278,0.003068,0.003192,0.003192,369
2020-06-29,0.003192,0.003401,0.003160,0.003297,0.003297,16
2020-06-30,0.003297,0.003499,0.003106,0.003469,0.003469,75
2020-07-01,0.003469,0.003538,0.003411,0.003504,0.003504,4
2020-07-02,0.003505,0.003524,0.003186,0.003186,0.003186,57
2020-07-03,0.003186,0.003303,0.003182,0.003266,0.003266,57
2020-07-04,0.003266,0.003426,0.003256,0.003281,0.003281,0
2020-07-05,0.003269,0.003382,0.003239,0.003352,0.003352,2
2020-07-06,0.003352,0.003568,0.003347,0.003538,0.003538,8
2020-07-07,0.003537,0.003698,0.003505,0.003609,0.003609,12
2020-07-08,0.003610,0.003780,0.003572,0.003584,0.003584,65
2020-07-09,0.003584,0.003682,0.003509,0.003613,0.003613,4
2020-07-10,0.003614,0.003903,0.003392,0.003898,0.003898,367
2020-07-11,0.003899,0.003916,0.003228,0.003697,0.003697,159
2020-07-12,0.003696,0.003736,0.003611,0.003618,0.003618,10
2020-07-13,0.003618,0.004197,0.003512,0.004085,0.004085,44
2020-07-14,0.004062,0.004094,0.003771,0.003880,0.003880,36
2020-07-15,0.003880,0.003963,0.002855,0.003583,0.003583,307
2020-07-16,0.003583,0.004059,0.003545,0.004016,0.004016,5
2020-07-17,0.004016,0.004057,0.003725,0.004025,0.004025,7
2020-07-18,0.004025,0.004065,0.003934,0.003935,0.003935,0
2020-07-19,0.003935,0.004058,0.003907,0.003949,0.003949,17
2020-07-20,0.003955,0.003984,0.003383,0.003476,0.003476,5
2020-07-21,0.003476,0.004058,0.003474,0.004028,0.004028,39
