Date,Open,High,Low,Close,Adj Close,Volume
2020-05-07,0.024946,0.027831,0.024570,0.027437,0.027437,30949
2020-05-08,0.027437,0.027811,0.025735,0.025842,0.025842,30259
2020-05-09,null,null,null,null,null,null
2020-05-10,null,null,null,null,null,null
2020-05-11,null,null,null,null,null,null
2020-05-12,null,null,null,null,null,null
2020-05-13,null,null,null,null,null,null
2020-05-14,null,null,null,null,null,null
2020-05-15,null,null,null,null,null,null
2020-05-16,0.025715,0.026568,0.025122,0.025305,0.025305,30122
2020-05-17,0.025305,0.027426,0.024727,0.025825,0.025825,35067
2020-05-18,0.025824,0.027305,0.025824,0.026279,0.026279,29169
2020-05-19,0.026274,0.027611,0.025731,0.027352,0.027352,18922
2020-05-20,0.027370,0.031549,0.025566,0.027036,0.027036,12994
2020-05-21,0.027038,0.027102,0.024780,0.026035,0.026035,4847
2020-05-22,0.026032,0.030593,0.024964,0.029941,0.029941,14088
2020-05-23,0.029944,0.031441,0.028216,0.029218,0.029218,10528
2020-05-24,0.029287,0.029769,0.027905,0.027937,0.027937,4331
2020-05-25,0.027862,0.027978,0.025877,0.027344,0.027344,4919
2020-05-26,0.027344,0.029738,0.025910,0.028346,0.028346,13240
2020-05-27,0.028346,0.030016,0.027891,0.029025,0.029025,7059
2020-05-28,0.029023,0.032868,0.028484,0.031150,0.031150,9006
2020-05-29,0.031150,0.031354,0.029290,0.029730,0.029730,5275
2020-05-30,0.029730,0.030491,0.029013,0.030411,0.030411,4171
2020-05-31,0.030411,0.030712,0.029143,0.030712,0.030712,7423
2020-06-01,0.030712,0.033372,0.030184,0.032682,0.032682,27675
2020-06-02,0.032686,0.033094,0.029196,0.030087,0.030087,19619
2020-06-03,0.030092,0.031401,0.029561,0.031398,0.031398,22526
2020-06-04,0.031403,0.031641,0.030612,0.030774,0.030774,18956
2020-06-05,0.030774,0.031478,0.029763,0.030630,0.030630,19911
2020-06-06,0.030630,0.030630,0.029741,0.030077,0.030077,18893
2020-06-07,0.030077,0.030837,0.029700,0.029961,0.029961,18002
2020-06-08,0.029964,0.030640,0.029423,0.029997,0.029997,21617
2020-06-09,0.029996,0.030440,0.028764,0.029481,0.029481,20278
2020-06-10,0.029482,0.030919,0.029038,0.030397,0.030397,21557
2020-06-11,null,null,null,null,null,null
2020-06-12,null,null,null,null,null,null
2020-06-13,null,null,null,null,null,null
2020-06-14,0.028307,0.028989,0.028144,0.028502,0.028502,17900
2020-06-15,0.028501,0.028810,0.027243,0.027829,0.027829,18818
2020-06-16,0.027835,0.028562,0.027362,0.027999,0.027999,19460
2020-06-17,0.028002,0.028016,0.026686,0.027358,0.027358,20283
2020-06-18,0.027358,0.027929,0.026660,0.026970,0.026970,26875
2020-06-19,0.026942,0.026958,0.025661,0.026731,0.026731,18825
2020-06-20,null,null,null,null,null,null
2020-06-21,0.026748,0.027475,0.025744,0.025753,0.025753,17750
2020-06-22,null,null,null,null,null,null
2020-06-23,0.026057,0.026722,0.025456,0.025617,0.025617,19564
2020-06-24,0.025629,0.026183,0.024638,0.025111,0.025111,18603
2020-06-25,0.025127,0.025131,0.023210,0.023388,0.023388,27594
2020-06-26,0.023383,0.025353,0.023344,0.024524,0.024524,20980
2020-06-27,null,null,null,null,null,null
2020-06-28,0.023223,0.024782,0.022715,0.024626,0.024626,19111
2020-06-29,0.024626,0.024794,0.022980,0.023815,0.023815,19341
2020-06-30,0.023814,0.025514,0.023704,0.023824,0.023824,18647
2020-07-01,0.023824,0.024781,0.023330,0.023697,0.023697,18575
2020-07-02,0.023706,0.025087,0.023324,0.024493,0.024493,18433
2020-07-03,0.024488,0.025281,0.023406,0.023803,0.023803,17934
2020-07-04,0.023804,0.025204,0.023128,0.023424,0.023424,18395
2020-07-05,0.023339,0.024069,0.022628,0.023192,0.023192,18806
2020-07-06,0.023192,0.024167,0.022458,0.023836,0.023836,16537
