Date,Open,High,Low,Close,Adj Close,Volume
2020-05-07,0.011147,0.011272,0.010264,0.010842,0.010842,288295
2020-05-08,0.010842,0.011806,0.010367,0.011614,0.011614,248857
2020-05-09,null,null,null,null,null,null
2020-05-10,null,null,null,null,null,null
2020-05-11,null,null,null,null,null,null
2020-05-12,null,null,null,null,null,null
2020-05-13,null,null,null,null,null,null
2020-05-14,null,null,null,null,null,null
2020-05-15,null,null,null,null,null,null
2020-05-16,0.012129,0.012307,0.011945,0.012005,0.012005,233937
2020-05-17,0.012044,0.012245,0.011854,0.012103,0.012103,182979
2020-05-18,0.012085,0.012555,0.011500,0.011554,0.011554,285965
2020-05-19,0.011605,0.011996,0.010997,0.011277,0.011277,309855
2020-05-20,0.011275,0.011660,0.011052,0.011411,0.011411,282779
2020-05-21,0.011359,0.011701,0.010962,0.011622,0.011622,317423
2020-05-22,0.011636,0.011977,0.011225,0.011741,0.011741,502906
2020-05-23,0.011800,0.011996,0.011678,0.011883,0.011883,662152
2020-05-24,0.011881,0.012070,0.011423,0.011832,0.011832,675184
2020-05-25,0.011856,0.012131,0.011672,0.012034,0.012034,703144
2020-05-26,0.012055,0.012364,0.011855,0.012210,0.012210,672829
2020-05-27,0.012210,0.012400,0.012157,0.012345,0.012345,554403
2020-05-28,0.012327,0.012453,0.012167,0.012304,0.012304,709624
2020-05-29,0.012293,0.012455,0.012152,0.012304,0.012304,586475
2020-05-30,0.012302,0.012319,0.012032,0.012235,0.012235,595302
2020-05-31,0.012207,0.012301,0.011677,0.011704,0.011704,515202
2020-06-01,0.011748,0.011910,0.011311,0.011487,0.011487,623063
2020-06-02,0.011632,0.011669,0.011018,0.011165,0.011165,799580
2020-06-03,0.011165,0.011500,0.011005,0.011046,0.011046,987480
2020-06-04,0.011054,0.011310,0.010969,0.011009,0.011009,917098
2020-06-05,0.011009,0.011131,0.010822,0.010977,0.010977,901802
2020-06-06,0.010977,0.011120,0.010838,0.010919,0.010919,935032
2020-06-07,0.010919,0.011089,0.010846,0.010949,0.010949,903256
2020-06-08,0.010945,0.011198,0.010876,0.011046,0.011046,973568
2020-06-09,0.011054,0.011207,0.010810,0.011138,0.011138,931210
2020-06-10,0.011114,0.011264,0.010827,0.011022,0.011022,749683
2020-06-11,null,null,null,null,null,null
2020-06-12,null,null,null,null,null,null
2020-06-13,null,null,null,null,null,null
2020-06-14,0.010985,0.011158,0.010840,0.011021,0.011021,162453
2020-06-15,0.011020,0.011219,0.010309,0.010434,0.010434,523257
2020-06-16,0.010422,0.010528,0.010306,0.010365,0.010365,567930
2020-06-17,0.010363,0.010472,0.010250,0.010419,0.010419,516459
2020-06-18,0.010419,0.010483,0.010266,0.010344,0.010344,397535
2020-06-19,0.010342,0.010570,0.010273,0.010367,0.010367,876550
2020-06-20,null,null,null,null,null,null
2020-06-21,0.010308,0.010392,0.010232,0.010310,0.010310,645285
2020-06-22,null,null,null,null,null,null
2020-06-23,0.010166,0.010171,0.009881,0.010082,0.010082,689886
2020-06-24,0.010118,0.010168,0.009965,0.010024,0.010024,771917
2020-06-25,0.010014,0.010115,0.009920,0.010005,0.010005,736116
2020-06-26,0.009993,0.010132,0.009887,0.009980,0.009980,713293
2020-06-27,null,null,null,null,null,null
2020-06-28,0.010102,0.010164,0.009898,0.009982,0.009982,722691
2020-06-29,0.010030,0.010105,0.009832,0.009967,0.009967,721025
2020-06-30,0.009945,0.010124,0.009868,0.009963,0.009963,951858
2020-07-01,0.009910,0.010093,0.009789,0.009861,0.009861,893672
2020-07-02,0.009828,0.010006,0.009485,0.009957,0.009957,809252
2020-07-03,0.009957,0.009977,0.009636,0.009696,0.009696,823638
2020-07-04,0.009773,0.009920,0.009567,0.009700,0.009700,881719
2020-07-05,0.009683,0.009879,0.009621,0.009819,0.009819,789485
2020-07-06,0.009819,0.009893,0.009695,0.009796,0.009796,716354
2020-07-07,0.009816,0.009883,0.009592,0.009755,0.009755,705771
2020-07-08,0.009755,0.009859,0.009667,0.009786,0.009786,713319
2020-07-09,0.009835,0.009950,0.009709,0.009864,0.009864,910689
2020-07-10,0.009839,0.009914,0.009685,0.009748,0.009748,774271
2020-07-11,0.009731,0.009883,0.009536,0.009832,0.009832,659667
2020-07-12,0.009799,0.009877,0.009425,0.009612,0.009612,716587
2020-07-13,0.009612,0.009787,0.009410,0.009567,0.009567,778278
2020-07-14,0.009567,0.009766,0.009484,0.009556,0.009556,751810
2020-07-15,0.009614,0.009786,0.009510,0.009619,0.009619,713312
2020-07-16,0.009653,0.009823,0.009544,0.009689,0.009689,707123
2020-07-17,0.009683,0.009776,0.009465,0.009547,0.009547,567571
2020-07-18,0.009578,0.009676,0.009420,0.009542,0.009542,600538
2020-07-19,0.009539,0.009634,0.009374,0.009462,0.009462,554839
2020-07-20,0.009462,0.009639,0.009295,0.009492,0.009492,559888
2020-07-21,0.009473,0.009619,0.009350,0.009449,0.009449,561590
2020-07-22,0.009478,0.009677,0.009366,0.009451,0.009451,552938
2020-07-23,0.009451,0.009549,0.009225,0.009381,0.009381,449450
2020-07-24,0.009381,0.009548,0.009170,0.009367,0.009367,421073
2020-07-25,0.009398,0.009514,0.009034,0.009376,0.009376,312682
2020-07-26,0.009361,0.009516,0.009110,0.009456,0.009456,309215
2020-07-27,0.009456,0.009526,0.009072,0.009329,0.009329,324919
2020-07-28,0.009419,0.009494,0.009007,0.009302,0.009302,371187
2020-07-29,0.009274,0.009416,0.009020,0.009252,0.009252,553551
2020-07-30,0.009246,0.009307,0.009122,0.009191,0.009191,593144
2020-07-31,0.009213,0.009273,0.009047,0.009161,0.009161,716891
2020-08-01,0.009161,0.009306,0.009084,0.009235,0.009235,674396
2020-08-02,0.009253,0.009836,0.008893,0.009325,0.009325,587287
2020-08-03,0.009325,0.009452,0.009249,0.009376,0.009376,623889
2020-08-04,0.009376,0.009443,0.009310,0.009377,0.009377,613778
2020-08-05,0.009398,0.009432,0.009258,0.009298,0.009298,458324
2020-08-06,0.009298,0.009437,0.009247,0.009260,0.009260,563333
2020-08-07,0.009334,0.009454,0.009266,0.009355,0.009355,632665
2020-08-08,0.009393,0.009431,0.009283,0.009295,0.009295,586990
2020-08-09,0.009293,0.009419,0.009202,0.009365,0.009365,632722
2020-08-10,0.009365,0.009423,0.009208,0.009263,0.009263,836902
2020-08-11,0.009282,0.009342,0.008991,0.009100,0.009100,584035
2020-08-12,null,null,null,null,null,null
2020-08-13,null,null,null,null,null,null
2020-08-14,null,null,null,null,null,null
2020-08-15,null,null,null,null,null,null
2020-08-16,0.009108,0.009180,0.008972,0.009105,0.009105,611792
2020-08-17,0.009105,0.009231,0.009033,0.009113,0.009113,619672
2020-08-18,0.009129,0.009343,0.009028,0.009249,0.009249,618870
2020-08-19,0.009171,0.009319,0.009076,0.009151,0.009151,654688
2020-08-20,0.009151,0.009283,0.009064,0.009122,0.009122,823018
2020-08-21,0.009148,0.010031,0.009096,0.009959,0.009959,626378
2020-08-22,0.009964,0.010041,0.009782,0.009889,0.009889,694806
2020-08-23,0.009921,0.009987,0.009513,0.009619,0.009619,687831
2020-08-24,0.009580,0.009740,0.008980,0.009393,0.009393,584398
2020-08-25,0.009383,0.010085,0.009302,0.009799,0.009799,687188
2020-08-26,0.009850,0.010123,0.009581,0.009804,0.009804,681266
2020-08-27,0.009826,0.009881,0.009476,0.009649,0.009649,679866
2020-08-28,0.009664,0.009733,0.009486,0.009596,0.009596,672757
2020-08-29,0.009598,0.009713,0.009483,0.009639,0.009639,639218
2020-08-30,0.009600,0.009693,0.009447,0.009516,0.009516,581207
2020-08-31,0.009515,0.009648,0.009449,0.009488,0.009488,591619
2020-09-01,0.009486,0.009590,0.009382,0.009502,0.009502,672960
2020-09-02,0.009521,0.010008,0.009343,0.010008,0.010008,552986
2020-09-03,0.009997,0.010014,0.009362,0.009529,0.009529,664061
2020-09-04,0.009504,0.009780,0.009400,0.009499,0.009499,500753
2020-09-05,null,null,null,null,null,null
2020-09-06,null,null,null,null,null,null
2020-09-07,null,null,null,null,null,null
2020-09-08,null,null,null,null,null,null
2020-09-09,null,null,null,null,null,null
2020-09-10,null,null,null,null,null,null
2020-09-11,null,null,null,null,null,null
2020-09-12,null,null,null,null,null,null
2020-09-13,null,null,null,null,null,null
2020-09-14,null,null,null,null,null,null
2020-09-15,null,null,null,null,null,null
2020-09-16,null,null,null,null,null,null
2020-09-17,null,null,null,null,null,null
2020-09-18,null,null,null,null,null,null
2020-09-19,null,null,null,null,null,null
2020-09-20,null,null,null,null,null,null
2020-09-21,null,null,null,null,null,null
2020-09-22,0.008644,0.008732,0.008484,0.008543,0.008543,446955
2020-09-23,0.008537,0.009527,0.008363,0.008443,0.008443,342509
2020-09-24,0.008405,0.008493,0.008132,0.008192,0.008192,417985
2020-09-25,0.008202,0.008344,0.008145,0.008255,0.008255,351375
2020-09-26,0.008233,0.008304,0.008117,0.008149,0.008149,362690
2020-09-27,0.008146,0.008201,0.008116,0.008167,0.008167,364894
2020-09-28,0.008167,0.008241,0.008056,0.008138,0.008138,204585
2020-09-29,0.008082,0.008172,0.007850,0.007871,0.007871,255218
2020-09-30,0.007870,0.008039,0.007787,0.007862,0.007862,391456
2020-10-01,0.007862,0.008049,0.007812,0.007893,0.007893,377891
2020-10-02,null,null,null,null,null,null
2020-10-03,null,null,null,null,null,null
2020-10-04,null,null,null,null,null,null
2020-10-05,0.007827,0.007926,0.007719,0.007790,0.007790,342463
2020-10-06,0.007821,0.007911,0.007717,0.007845,0.007845,366326
2020-10-07,0.007845,0.007912,0.007689,0.007787,0.007787,373982
2020-10-08,0.007759,0.007847,0.007650,0.007723,0.007723,392109
2020-10-09,0.007700,0.007792,0.007637,0.007712,0.007712,418895
2020-10-10,0.007697,0.007772,0.007638,0.007683,0.007683,406473
2020-10-11,0.007682,0.007803,0.007631,0.007750,0.007750,568609
2020-10-12,0.007750,0.007863,0.007707,0.007798,0.007798,557807
2020-10-13,0.007815,0.007850,0.007754,0.007803,0.007803,564072
2020-10-14,0.007823,0.007883,0.007729,0.007737,0.007737,522686
2020-10-15,0.007777,0.007841,0.007722,0.007786,0.007786,544395
2020-10-16,0.007810,0.007820,0.007639,0.007676,0.007676,543381
2020-10-17,0.007694,0.007805,0.007636,0.007745,0.007745,550462
2020-10-18,0.007724,0.007780,0.007611,0.007714,0.007714,549526
2020-10-19,0.007701,0.007841,0.007695,0.007824,0.007824,472096
2020-10-20,0.007834,0.007880,0.007767,0.007801,0.007801,423895
2020-10-21,0.007821,0.007851,0.007766,0.007822,0.007822,560637
2020-10-22,0.007816,0.007999,0.007715,0.007815,0.007815,454473
2020-10-23,0.007816,0.007841,0.007693,0.007744,0.007744,435522
2020-10-24,0.007744,0.007835,0.007698,0.007742,0.007742,519947
2020-10-25,0.007742,0.007813,0.007645,0.007772,0.007772,480459
2020-10-26,0.007772,0.007823,0.007660,0.007713,0.007713,543683
2020-10-27,0.007713,0.007765,0.007603,0.007680,0.007680,408588
2020-10-28,0.007680,0.007762,0.007633,0.007716,0.007716,480192
2020-10-29,0.007716,0.007764,0.007614,0.007657,0.007657,480084
2020-10-30,0.007657,0.007735,0.007589,0.007650,0.007650,145224
2020-10-31,0.007702,0.007737,0.007591,0.007695,0.007695,491476
2020-11-01,0.007695,0.007839,0.007648,0.007696,0.007696,442366
2020-11-02,0.007696,0.007727,0.007621,0.007661,0.007661,482937
2020-11-03,0.007661,0.007746,0.007606,0.007720,0.007720,489113
2020-11-04,0.007720,0.007765,0.007659,0.007725,0.007725,463535
2020-11-05,0.007725,0.007842,0.007601,0.007657,0.007657,249938
2020-11-06,0.007657,0.007766,0.007569,0.007680,0.007680,254127
2020-11-07,0.007680,0.007768,0.007561,0.007667,0.007667,224997
2020-11-08,0.007667,0.007768,0.007583,0.007696,0.007696,241067
2020-11-09,0.007696,0.007769,0.007594,0.007702,0.007702,358512
2020-11-10,0.007702,0.007758,0.007626,0.007685,0.007685,396436
2020-11-11,0.007685,0.007806,0.006926,0.006947,0.006947,254052
2020-11-12,0.006947,0.007385,0.006923,0.007179,0.007179,393379
2020-11-13,0.007179,0.007268,0.007142,0.007191,0.007191,498468
2020-11-14,0.007191,0.007262,0.007138,0.007181,0.007181,462973
2020-11-15,0.007181,0.007264,0.007150,0.007218,0.007218,454049
2020-11-16,0.007218,0.007255,0.007148,0.007232,0.007232,398893
2020-11-17,0.007220,0.007319,0.007019,0.007310,0.007310,382486
2020-11-18,0.007310,0.007792,0.007198,0.007676,0.007676,368026
2020-11-19,0.007676,0.007812,0.007527,0.007800,0.007800,363520
2020-11-20,0.007800,0.007967,0.007748,0.007940,0.007940,419279
2020-11-21,0.007940,0.007964,0.007780,0.007913,0.007913,385336
2020-11-22,0.007913,0.008038,0.007758,0.008008,0.008008,302020
2020-11-23,0.008008,0.008035,0.007738,0.007932,0.007932,338804
2020-11-24,0.007932,0.008129,0.007794,0.008010,0.008010,347571
2020-11-25,0.008010,0.008164,0.007872,0.007956,0.007956,238137
2020-11-26,0.007956,0.009370,0.007887,0.009055,0.009055,351280
2020-11-27,0.009055,0.009156,0.008888,0.009107,0.009107,360363
2020-11-28,0.009107,0.009168,0.008864,0.009012,0.009012,352982
2020-11-29,0.009012,0.009075,0.008939,0.008960,0.008960,297232
2020-11-30,0.008960,0.009046,0.008859,0.008975,0.008975,289579
2020-12-01,0.008975,0.009020,0.008867,0.008936,0.008936,386347
2020-12-02,0.008937,0.010480,0.008895,0.010432,0.010432,333233
2020-12-03,0.010433,0.010918,0.010333,0.010841,0.010841,334880
2020-12-04,0.010841,0.011171,0.010683,0.010963,0.010963,297134
2020-12-05,0.010962,0.011186,0.010714,0.010948,0.010948,340234
2020-12-06,0.010948,0.011085,0.010712,0.010871,0.010871,337468
2020-12-07,0.010872,0.010956,0.010692,0.010731,0.010731,351839
2020-12-08,0.010732,0.010870,0.010684,0.010771,0.010771,348820
2020-12-09,0.010771,0.010898,0.010706,0.010788,0.010788,356047
2020-12-10,0.010789,0.010824,0.010330,0.010349,0.010349,284150
2020-12-11,0.010349,0.010457,0.010283,0.010388,0.010388,269992
2020-12-12,0.010388,0.010476,0.010292,0.010292,0.010292,287591
2020-12-13,0.010292,0.010426,0.010236,0.010317,0.010317,280341
2020-12-14,0.010317,0.010379,0.010251,0.010340,0.010340,286756
2020-12-15,0.010340,0.010389,0.010211,0.010228,0.010228,194400
2020-12-16,0.010229,0.010307,0.010160,0.010229,0.010229,231025
2020-12-17,0.010230,0.010309,0.010170,0.010256,0.010256,318764
2020-12-18,0.010256,0.010267,0.009899,0.010012,0.010012,211710
2020-12-19,0.010012,0.010245,0.009864,0.009954,0.009954,307626
2020-12-20,0.009954,0.010048,0.009803,0.009803,0.009803,334024
2020-12-21,0.009803,0.010044,0.009755,0.009891,0.009891,335832
2020-12-22,0.009891,0.010023,0.009721,0.009849,0.009849,314290
2020-12-23,0.009849,0.009915,0.009324,0.009462,0.009462,265998
2020-12-24,0.009462,0.009490,0.009307,0.009435,0.009435,417488
2020-12-25,0.009435,0.009487,0.009227,0.009303,0.009303,324156
2020-12-26,0.009302,0.009431,0.009225,0.009321,0.009321,216551
2020-12-27,0.009321,0.009422,0.009237,0.009393,0.009393,207482
2020-12-28,0.009393,0.009443,0.009057,0.009142,0.009142,310864
2020-12-29,0.008994,0.009208,0.008969,0.009041,0.009041,343404
