Date,Open,High,Low,Close,Adj Close,Volume
2020-05-07,0.008684,0.009794,0.008031,0.009721,0.009721,22876
2020-05-08,0.009721,0.009878,0.008833,0.009629,0.009629,9495
2020-05-09,null,null,null,null,null,null
2020-05-10,null,null,null,null,null,null
2020-05-11,null,null,null,null,null,null
2020-05-12,null,null,null,null,null,null
2020-05-13,null,null,null,null,null,null
2020-05-14,null,null,null,null,null,null
2020-05-15,null,null,null,null,null,null
2020-05-16,0.008758,0.009114,0.008358,0.008810,0.008810,4265
2020-05-17,0.008810,0.009377,0.008647,0.009285,0.009285,1257
2020-05-18,0.009284,0.009582,0.008846,0.009340,0.009340,2676
2020-05-19,0.009338,0.009342,0.008771,0.008940,0.008940,2988
2020-05-20,0.008945,0.009426,0.008279,0.008836,0.008836,12988
2020-05-21,0.008836,0.008905,0.008126,0.008353,0.008353,816
2020-05-22,0.008352,0.008651,0.007844,0.008622,0.008622,4094
2020-05-23,0.008565,0.008761,0.008425,0.008537,0.008537,4606
2020-05-24,0.008537,0.008750,0.008226,0.008301,0.008301,3277
2020-05-25,0.008279,0.008487,0.008140,0.008247,0.008247,3568
2020-05-26,0.008247,0.008662,0.008137,0.008618,0.008618,5155
2020-05-27,0.008618,0.009132,0.008464,0.008929,0.008929,7187
2020-05-28,0.008929,0.009697,0.008864,0.009625,0.009625,4047
2020-05-29,0.009625,0.009688,0.008852,0.009257,0.009257,7201
2020-05-30,0.009257,0.009545,0.009012,0.009386,0.009386,13392
2020-05-31,0.009386,0.009911,0.009143,0.009243,0.009243,13912
2020-06-01,0.009243,0.010295,0.009131,0.010250,0.010250,6380
2020-06-02,0.010251,0.010297,0.008818,0.009160,0.009160,11162
2020-06-03,0.009162,0.009560,0.009038,0.009478,0.009478,5077
2020-06-04,0.009480,0.009906,0.009318,0.009824,0.009824,3962
2020-06-05,0.009824,0.009972,0.009722,0.009752,0.009752,3402
2020-06-06,0.009751,0.009863,0.009626,0.009706,0.009706,3488
2020-06-07,0.009706,0.009944,0.009476,0.009840,0.009840,3775
2020-06-08,0.009841,0.009901,0.009577,0.009899,0.009899,3284
2020-06-09,0.009898,0.009967,0.008873,0.008988,0.008988,10468
2020-06-10,0.008989,0.009639,0.008952,0.009509,0.009509,4526
2020-06-11,null,null,null,null,null,null
2020-06-12,null,null,null,null,null,null
2020-06-13,null,null,null,null,null,null
2020-06-14,0.009282,0.009435,0.009161,0.009305,0.009305,3659
2020-06-15,0.009304,0.009526,0.008935,0.009236,0.009236,4403
2020-06-16,0.009227,0.009348,0.008763,0.009203,0.009203,4324
2020-06-17,0.009205,0.009242,0.008649,0.008747,0.008747,7203
2020-06-18,0.008747,0.009098,0.008238,0.008455,0.008455,9529
2020-06-19,0.008465,0.008524,0.007870,0.008460,0.008460,4962
2020-06-20,null,null,null,null,null,null
2020-06-21,0.008779,0.008848,0.007792,0.008340,0.008340,5452
2020-06-22,null,null,null,null,null,null
2020-06-23,0.008256,0.008755,0.007790,0.008632,0.008632,5534
2020-06-24,0.008636,0.008759,0.008313,0.008436,0.008436,4340
2020-06-25,0.008442,0.008557,0.008158,0.008227,0.008227,4940
2020-06-26,0.008224,0.008485,0.008058,0.008328,0.008328,3679
2020-06-27,null,null,null,null,null,null
2020-06-28,0.008182,0.008342,0.007413,0.007433,0.007433,6038
2020-06-29,0.007434,0.007954,0.007404,0.007866,0.007866,3375
2020-06-30,0.007866,0.008003,0.007366,0.007702,0.007702,8055
2020-07-01,0.007702,0.008537,0.007488,0.008297,0.008297,4056
2020-07-02,0.008300,0.008465,0.007577,0.007835,0.007835,5478
2020-07-03,0.007833,0.008013,0.007529,0.007916,0.007916,4538
2020-07-04,0.007916,0.008257,0.007793,0.008118,0.008118,3624
2020-07-05,0.008089,0.008248,0.006865,0.007068,0.007068,9283
2020-07-06,0.007068,0.008224,0.006842,0.007536,0.007536,19170
2020-07-07,0.007534,0.008040,0.007328,0.007960,0.007960,5036
2020-07-08,0.007965,0.008774,0.007957,0.008512,0.008512,20777
2020-07-09,0.008512,0.009203,0.008160,0.008216,0.008216,9259
2020-07-10,0.008217,0.008382,0.007956,0.008379,0.008379,4734
2020-07-11,0.008377,0.008886,0.008241,0.008834,0.008834,3044
2020-07-12,0.008834,0.008879,0.008653,0.008819,0.008819,4036
2020-07-13,0.008819,0.009235,0.008321,0.008742,0.008742,11332
2020-07-14,0.008692,0.008821,0.008308,0.008679,0.008679,4565
2020-07-15,0.008679,0.008887,0.008548,0.008697,0.008697,4650
2020-07-16,0.008695,0.008772,0.007872,0.008198,0.008198,14949
2020-07-17,0.008197,0.008328,0.007795,0.008239,0.008239,8104
2020-07-18,0.008239,0.008763,0.007952,0.008410,0.008410,4357
2020-07-19,0.008410,0.008896,0.008407,0.008792,0.008792,3111
2020-07-20,0.008805,0.008937,0.007610,0.007949,0.007949,9051
2020-07-21,0.007949,0.008709,0.007663,0.008627,0.008627,5217
2020-07-22,0.008615,0.008755,0.008105,0.008699,0.008699,5066
2020-07-23,0.008700,0.008811,0.008309,0.008615,0.008615,4932
2020-07-24,0.008617,0.009082,0.008388,0.008726,0.008726,4600
2020-07-25,0.008726,0.008773,0.008270,0.008577,0.008577,6996
2020-07-26,0.008579,0.009086,0.008339,0.009071,0.009071,4533
2020-07-27,0.009071,0.009667,0.008712,0.009240,0.009240,8971
2020-07-28,0.009229,0.011592,0.002591,0.008563,0.008563,56810
2020-07-29,0.008566,0.009704,0.008213,0.008985,0.008985,15332
2020-07-30,0.008985,0.009900,0.008891,0.009295,0.009295,13044
2020-07-31,0.009295,0.009805,0.008797,0.009217,0.009217,12873
2020-08-01,0.009217,0.009923,0.008888,0.009606,0.009606,11578
2020-08-02,0.009604,0.009733,0.008842,0.009503,0.009503,5470
2020-08-03,0.009508,0.009746,0.008572,0.009086,0.009086,18483
2020-08-04,0.009085,0.009631,0.008939,0.009611,0.009611,4581
2020-08-05,0.009612,0.010236,0.009469,0.009984,0.009984,5906
2020-08-06,0.009984,0.010461,0.009655,0.010450,0.010450,3009
2020-08-07,0.010449,0.010576,0.010068,0.010292,0.010292,3085
2020-08-08,0.010295,0.010485,0.009688,0.009903,0.009903,5385
2020-08-09,0.009906,0.010020,0.009561,0.009829,0.009829,7048
2020-08-10,0.009833,0.010200,0.009771,0.010083,0.010083,6390
2020-08-11,0.010091,0.010343,0.009476,0.009532,0.009532,22834
2020-08-12,0.009537,0.010074,0.009495,0.009737,0.009737,7232
2020-08-13,0.009737,0.010436,0.009726,0.010370,0.010370,5412
2020-08-14,0.010366,0.010565,0.009602,0.010021,0.010021,13983
2020-08-15,0.010021,0.010288,0.009752,0.010210,0.010210,6370
2020-08-16,0.010208,0.010649,0.009682,0.010175,0.010175,12698
2020-08-17,0.010175,0.010858,0.009587,0.010718,0.010718,19816
2020-08-18,0.010718,0.011171,0.010337,0.010412,0.010412,13947
2020-08-19,0.010411,0.010507,0.009902,0.010098,0.010098,9219
2020-08-20,0.010098,0.010471,0.009792,0.010413,0.010413,8648
2020-08-21,0.010412,0.010421,0.009293,0.009681,0.009681,11043
2020-08-22,0.009684,0.010170,0.009320,0.010101,0.010101,8099
2020-08-23,0.010134,0.010227,0.009906,0.010136,0.010136,4914
2020-08-24,0.010133,0.010480,0.010097,0.010470,0.010470,4166
2020-08-25,0.010468,0.010476,0.009607,0.009660,0.009660,6333
2020-08-26,0.009647,0.010056,0.009462,0.009882,0.009882,7359
2020-08-27,0.009879,0.010035,0.009586,0.009927,0.009927,3994
2020-08-28,0.009927,0.010009,0.009506,0.009799,0.009799,4073
2020-08-29,0.009801,0.009867,0.009305,0.009411,0.009411,8275
2020-08-30,0.009407,0.009765,0.009322,0.009759,0.009759,6805
2020-08-31,0.009761,0.009842,0.009193,0.009624,0.009624,9715
2020-09-01,0.009621,0.010178,0.009198,0.009636,0.009636,10515
2020-09-02,0.009636,0.009826,0.009017,0.009097,0.009097,8645
2020-09-03,0.009097,0.009131,0.007314,0.007481,0.007481,22151
2020-09-04,0.007484,0.007670,0.007002,0.007520,0.007520,12796
2020-09-05,0.007519,0.007679,0.007130,0.007405,0.007405,5656
2020-09-06,0.007405,0.007882,0.007332,0.007838,0.007838,6884
2020-09-07,0.007839,0.008051,0.007276,0.008025,0.008025,14798
2020-09-08,0.008028,0.008060,0.007367,0.007607,0.007607,7885
2020-09-09,0.007575,0.008074,0.007468,0.007664,0.007664,7689
2020-09-10,0.007799,0.008090,0.007590,0.007696,0.007696,8335
2020-09-11,0.007696,0.008185,0.007596,0.007970,0.007970,10305
2020-09-12,0.007973,0.008097,0.007800,0.008017,0.008017,6986
2020-09-13,0.008017,0.008080,0.007604,0.007937,0.007937,5905
2020-09-14,0.007941,0.008189,0.007825,0.008165,0.008165,4227
2020-09-15,0.008168,0.008431,0.008061,0.008209,0.008209,5194
2020-09-16,0.008209,0.008477,0.007966,0.008333,0.008333,3710
2020-09-17,0.008333,0.008386,0.007901,0.008046,0.008046,8774
2020-09-18,0.008046,0.008508,0.008046,0.008508,0.008508,3409
2020-09-19,0.008511,0.008802,0.008424,0.008580,0.008580,3450
2020-09-20,0.008581,0.008639,0.008162,0.008338,0.008338,4019
2020-09-21,0.008338,0.008365,0.006824,0.007106,0.007106,8164
2020-09-22,0.007104,0.007411,0.006635,0.007077,0.007077,9455
2020-09-23,0.007077,0.007348,0.006749,0.006909,0.006909,3768
2020-09-24,0.006908,0.007611,0.006551,0.006730,0.006730,8075
2020-09-25,0.006730,0.006971,0.006608,0.006954,0.006954,3287
2020-09-26,0.006953,0.007140,0.006864,0.007101,0.007101,2806
2020-09-27,0.007101,0.007186,0.006985,0.007022,0.007022,3325
2020-09-28,0.007022,0.007206,0.006488,0.006602,0.006602,6802
2020-09-29,0.006600,0.006746,0.006365,0.006675,0.006675,4793
2020-09-30,0.006674,0.007007,0.006516,0.006663,0.006663,2919
2020-10-01,0.006663,0.007085,0.006520,0.006669,0.006669,7680
2020-10-02,0.006668,0.007003,0.006424,0.006512,0.006512,3810
2020-10-03,0.006513,0.006754,0.006228,0.006425,0.006425,5512
2020-10-04,0.006425,0.006809,0.006310,0.006514,0.006514,4273
2020-10-05,0.006514,0.006782,0.006490,0.006735,0.006735,4140
2020-10-06,0.006736,0.006840,0.006497,0.006533,0.006533,3102
2020-10-07,0.006533,0.006651,0.006124,0.006477,0.006477,7022
2020-10-08,0.006477,0.006866,0.006377,0.006675,0.006675,4954
2020-10-09,0.006682,0.006919,0.006527,0.006768,0.006768,3942
2020-10-10,0.006757,0.007395,0.006750,0.007148,0.007148,3767
2020-10-11,0.007149,0.007477,0.007077,0.007267,0.007267,5621
2020-10-12,0.007625,0.007735,0.007055,0.007402,0.007402,7351
2020-10-13,0.007280,0.007485,0.006841,0.007119,0.007119,8250
2020-10-14,0.007119,0.007283,0.006900,0.007175,0.007175,5256
2020-10-15,0.007176,0.007690,0.006625,0.006750,0.006750,6101
2020-10-16,0.006750,0.006948,0.006477,0.006854,0.006854,5579
2020-10-17,0.006853,0.007464,0.006852,0.006915,0.006915,4350
2020-10-18,0.006915,0.007025,0.006358,0.006609,0.006609,7163
2020-10-19,0.006609,0.006686,0.006098,0.006402,0.006402,8608
2020-10-20,0.006402,0.006404,0.005995,0.006326,0.006326,4689
2020-10-21,0.006326,0.006645,0.006169,0.006481,0.006481,5937
2020-10-22,0.006483,0.007354,0.006204,0.007120,0.007120,14815
2020-10-23,0.007122,0.007802,0.006960,0.007362,0.007362,11512
2020-10-24,0.007364,0.007646,0.007206,0.007646,0.007646,3617
2020-10-25,0.007643,0.007765,0.007302,0.007413,0.007413,4848
2020-10-26,0.007416,0.007707,0.007103,0.007396,0.007396,4599
2020-10-27,0.007397,0.007492,0.006911,0.007078,0.007078,5398
2020-10-28,0.007085,0.007381,0.006930,0.007067,0.007067,4225
2020-10-29,0.007067,0.007476,0.006675,0.006695,0.006695,8256
2020-10-30,0.006695,0.007275,0.006677,0.007156,0.007156,10231
2020-10-31,0.007156,0.008059,0.007143,0.007985,0.007985,3496
2020-11-01,0.007985,0.007985,0.007680,0.007769,0.007769,3496
2020-11-02,0.007769,0.008017,0.006995,0.007151,0.007151,4023
2020-11-03,0.007147,0.007633,0.006964,0.007157,0.007157,4751
2020-11-04,0.007172,0.007202,0.006459,0.006625,0.006625,8914
2020-11-05,0.006625,0.007213,0.006319,0.007131,0.007131,7994
2020-11-06,0.007141,0.007849,0.006693,0.007222,0.007222,16192
2020-11-07,0.007228,0.007534,0.006076,0.006698,0.006698,10638
2020-11-08,0.006692,0.007558,0.006666,0.007443,0.007443,4875
2020-11-09,0.007440,0.007570,0.006701,0.007382,0.007382,4579
2020-11-10,0.007382,0.008953,0.007197,0.008953,0.008953,29535
2020-11-11,0.008952,0.010167,0.007978,0.009181,0.009181,19152
2020-11-12,0.009180,0.012198,0.008742,0.009803,0.009803,41201
2020-11-13,0.009803,0.016016,0.009779,0.012155,0.012155,79118
2020-11-14,0.012155,0.015350,0.012155,0.014871,0.014871,42226
2020-11-15,0.014871,0.015130,0.012269,0.014787,0.014787,185966
2020-11-16,0.014787,0.015286,0.013158,0.013805,0.013805,32301
2020-11-17,0.013697,0.016932,0.013459,0.014767,0.014767,28024
2020-11-18,0.014767,0.015521,0.013546,0.014420,0.014420,18944
2020-11-19,0.014420,0.014750,0.011945,0.014229,0.014229,32548
