Date,Open,High,Low,Close,Adj Close,Volume
2017-06-27,0.017410,0.017410,0.007840,0.013975,0.013975,8782
2017-06-28,0.014053,0.022747,0.011963,0.018610,0.018610,28675
2017-06-29,0.018567,0.254108,0.011891,0.020344,0.020344,46735
2017-06-30,0.020367,0.148304,0.011830,0.033141,0.033141,177531
2017-07-01,0.337854,0.337854,0.015202,0.019166,0.019166,109529
2017-07-02,0.019183,0.090707,0.013812,0.090707,0.090707,96683
2017-07-03,0.090013,0.090013,0.003316,0.024629,0.024629,96912
2017-07-04,0.024583,0.197060,0.018222,0.020114,0.020114,323348
2017-07-05,0.019001,0.082337,0.019001,0.023303,0.023303,4821760
2017-07-06,0.022878,0.026018,0.015174,0.019737,0.019737,3178290
2017-07-07,0.019907,0.020920,0.010538,0.012896,0.012896,1493760
2017-07-08,0.013453,0.014385,0.011224,0.012703,0.012703,825656
2017-07-09,0.012931,0.013353,0.010141,0.012139,0.012139,1276830
2017-07-10,0.012349,0.013968,0.011033,0.012087,0.012087,935060
2017-07-11,0.012210,0.017102,0.011937,0.015629,0.015629,2749220
2017-07-12,0.015485,0.018600,0.012636,0.017949,0.017949,1315430
2017-07-13,0.017995,0.018976,0.013797,0.015222,0.015222,826019
2017-07-14,0.015147,0.015205,0.012438,0.012882,0.012882,363148
2017-07-15,0.012832,0.013056,0.010054,0.010398,0.010398,292390
2017-07-16,0.010416,0.011602,0.008429,0.011602,0.011602,424293
2017-07-17,0.011009,0.013272,0.010148,0.012885,0.012885,580590
2017-07-18,0.012900,0.014603,0.011985,0.013626,0.013626,557570
2017-07-19,0.013267,0.013787,0.010467,0.011474,0.011474,594138
2017-07-20,0.011456,0.013497,0.010911,0.012569,0.012569,518285
2017-07-21,0.012422,0.013201,0.010518,0.011220,0.011220,734587
2017-07-22,0.011145,0.015927,0.010766,0.011835,0.011835,604149
2017-07-23,0.011666,0.013791,0.011353,0.013705,0.013705,714335
2017-07-24,0.013579,0.014871,0.012629,0.013098,0.013098,1074080
2017-07-25,0.013099,0.013203,0.010800,0.010967,0.010967,541693
2017-07-26,0.011080,0.011706,0.010150,0.010608,0.010608,513288
2017-07-27,0.010639,0.011411,0.010569,0.010980,0.010980,431993
2017-07-28,0.010909,0.012420,0.010867,0.011301,0.011301,658726
2017-07-29,0.011267,0.011775,0.010710,0.011573,0.011573,211393
2017-07-30,0.011564,0.011965,0.011026,0.011258,0.011258,142368
2017-07-31,0.011391,0.011855,0.010676,0.011556,0.011556,442097
2017-08-01,0.011566,0.012802,0.011379,0.012475,0.012475,600151
2017-08-02,0.012478,0.013099,0.011655,0.012208,0.012208,335031
2017-08-03,0.012056,0.013480,0.011906,0.013274,0.013274,307817
2017-08-04,0.013122,0.013701,0.012503,0.013322,0.013322,572205
2017-08-05,0.013091,0.015337,0.012783,0.014735,0.014735,523661
2017-08-06,0.014690,0.019855,0.014465,0.017683,0.017683,1868120
2017-08-07,0.017839,0.018800,0.015950,0.017348,0.017348,897438
2017-08-08,0.017112,0.020009,0.016574,0.019663,0.019663,953548
2017-08-09,0.019536,0.020198,0.017345,0.020046,0.020046,566208
2017-08-10,0.019758,0.026873,0.018840,0.026585,0.026585,2559630
2017-08-11,0.026812,0.040196,0.024706,0.032959,0.032959,7417180
2017-08-12,0.033608,0.034496,0.027105,0.027105,0.027105,2262110
2017-08-13,0.027055,0.032037,0.023252,0.029960,0.029960,1878590
2017-08-14,0.030088,0.031940,0.025414,0.026922,0.026922,1356670
2017-08-15,0.026476,0.026865,0.021883,0.024369,0.024369,989450
2017-08-16,0.024498,0.027794,0.024089,0.025873,0.025873,1100330
2017-08-17,0.025741,0.038330,0.024778,0.032533,0.032533,4157260
2017-08-18,0.033058,0.035120,0.026740,0.029334,0.029334,1399670
2017-08-19,0.030039,0.044616,0.027647,0.030823,0.030823,688178
2017-08-20,0.031280,0.035951,0.030318,0.031369,0.031369,820968
2017-08-21,0.031266,0.040488,0.028289,0.028289,0.028289,933758
2017-08-22,0.028309,0.031505,0.025821,0.029433,0.029433,678155
2017-08-23,0.029336,0.031632,0.027423,0.028321,0.028321,892936
2017-08-24,0.028485,0.030386,0.027923,0.028101,0.028101,698951
2017-08-25,0.028062,0.028718,0.023983,0.025471,0.025471,1537340
2017-08-26,0.025554,0.027726,0.024765,0.027053,0.027053,618548
2017-08-27,0.027240,0.027240,0.025019,0.025857,0.025857,548354
2017-08-28,0.025740,0.028227,0.024768,0.027772,0.027772,544276
2017-08-29,0.027733,0.029568,0.027267,0.027804,0.027804,915487
2017-08-30,0.027784,0.031183,0.026695,0.030595,0.030595,642831
2017-08-31,0.029691,0.036435,0.028885,0.031678,0.031678,1695340
2017-09-01,0.031682,0.038477,0.029968,0.037319,0.037319,2366000
2017-09-02,0.037024,0.037298,0.029530,0.032537,0.032537,760683
2017-09-03,0.032537,0.032982,0.028994,0.030398,0.030398,497969
2017-09-04,0.029865,0.030031,0.021825,0.023245,0.023245,1021880
2017-09-05,0.023580,0.027646,0.021311,0.027243,0.027243,697694
2017-09-06,0.027384,0.029959,0.026593,0.027522,0.027522,995106
2017-09-07,0.027650,0.028586,0.025637,0.027847,0.027847,920777
2017-09-08,0.027975,0.029250,0.023558,0.025315,0.025315,579486
