Date,Open,High,Low,Close,Adj Close,Volume
2020-05-07,0.579993,0.639071,0.572941,0.633641,0.633641,24791
2020-05-08,0.633641,0.662441,0.624254,0.652420,0.652420,25056
2020-05-09,null,null,null,null,null,null
2020-05-10,null,null,null,null,null,null
2020-05-11,null,null,null,null,null,null
2020-05-12,null,null,null,null,null,null
2020-05-13,null,null,null,null,null,null
2020-05-14,null,null,null,null,null,null
2020-05-15,null,null,null,null,null,null
2020-05-16,1.754683,1.799082,1.735492,1.771082,1.771082,139954
2020-05-17,1.767943,1.829959,1.758309,1.798546,1.798546,119534
2020-05-18,1.797825,1.845376,1.779421,1.811103,1.811103,138051
2020-05-19,1.811025,1.837557,1.775855,1.830944,1.830944,139093
2020-05-20,1.831526,1.842826,1.782526,1.795355,1.795355,115874
2020-05-21,1.795384,1.805890,1.684288,1.719755,1.719755,129184
2020-05-22,1.719676,1.755633,1.693452,1.749526,1.749526,144787
2020-05-23,1.749676,1.770923,1.731561,1.751599,1.751599,114555
2020-05-24,1.750729,1.937717,1.713495,1.874062,1.874062,151401
2020-05-25,1.869689,2.050402,1.860603,2.040508,2.040508,252602
2020-05-26,2.040192,2.050132,1.985453,2.020329,2.020329,218578
2020-05-27,2.020329,2.112327,2.009469,2.097735,2.097735,304133
2020-05-28,2.107337,2.194181,2.046929,2.189758,2.189758,281577
2020-05-29,2.189833,2.204204,2.150769,2.164176,2.164176,284399
2020-05-30,2.164045,2.203761,2.102685,2.195453,2.195453,286073
2020-05-31,2.195428,2.195778,2.136019,2.141336,2.141336,248876
2020-06-01,2.140509,2.309790,2.117876,2.298545,2.298545,277668
2020-06-02,2.299026,2.302347,2.124353,2.131011,2.131011,288053
2020-06-03,2.131011,2.182865,2.123579,2.178412,2.178412,276845
2020-06-04,2.178895,2.208022,2.140397,2.192054,2.192054,305283
2020-06-05,2.192054,2.502175,2.097532,2.109648,2.109648,347124
2020-06-06,2.109478,2.122924,2.092332,2.103580,2.103580,319812
2020-06-07,2.103580,2.134929,2.059755,2.132264,2.132264,314806
2020-06-08,2.132571,2.134955,2.112641,2.134429,2.134429,312980
2020-06-09,2.132857,2.148044,2.109696,2.138058,2.138058,301731
2020-06-10,2.138270,2.223716,2.114671,2.181685,2.181685,309347
2020-06-11,null,null,null,null,null,null
2020-06-12,null,null,null,null,null,null
2020-06-13,null,null,null,null,null,null
2020-06-14,2.097387,2.101927,2.068105,2.077125,2.077125,316795
2020-06-15,2.076700,2.116442,1.989186,2.100864,2.100864,348233
2020-06-16,2.100936,2.134555,2.093120,2.126545,2.126545,375455
2020-06-17,2.126801,2.136447,1.984154,2.125036,2.125036,395976
2020-06-18,2.125164,2.125207,2.082217,2.099735,2.099735,294252
2020-06-19,2.101608,2.101608,2.054788,2.059123,2.059123,266767
2020-06-20,null,null,null,null,null,null
2020-06-21,2.066590,2.085939,2.062905,2.065349,2.065349,269837
2020-06-22,null,null,null,null,null,null
2020-06-23,2.193167,2.199367,2.165524,2.190162,2.190162,294348
2020-06-24,2.191258,2.375693,2.127873,2.144521,2.144521,299386
2020-06-25,2.145896,2.146198,2.086181,2.123829,2.123829,275438
2020-06-26,2.123401,2.138007,2.088271,2.104970,2.104970,370949
2020-06-27,null,null,null,null,null,null
2020-06-28,2.075183,2.115548,2.036154,2.093799,2.093799,383653
2020-06-29,2.093799,2.122838,2.072219,2.103445,2.103445,304383
2020-06-30,2.103203,2.120270,2.083496,2.094524,2.094524,270995
2020-07-01,2.105461,2.138764,1.992311,2.112921,2.112921,287117
2020-07-02,2.113096,2.132809,2.065694,2.087660,2.087660,311880
2020-07-03,2.087026,2.104775,2.075248,2.081078,2.081078,291289
2020-07-04,2.081092,2.120244,2.071478,2.093338,2.093338,273556
2020-07-05,2.093080,2.118434,2.006047,2.079456,2.079456,278672
2020-07-06,2.079456,2.141451,1.871081,1.910292,1.910292,190372
2020-07-07,1.909621,1.922750,1.696322,1.807042,1.807042,71069
2020-07-08,1.807042,1.853939,1.701490,1.841168,1.841168,135637
2020-07-09,1.841278,1.863694,1.766951,1.825902,1.825902,111512
2020-07-10,1.826092,1.831585,1.749034,1.798850,1.798850,128975
2020-07-11,1.798850,1.808105,1.766922,1.787812,1.787812,112846
2020-07-12,1.787854,1.838224,1.786584,1.821989,1.821989,114602
2020-07-13,1.821989,1.828065,1.800734,1.806456,1.806456,151228
2020-07-14,1.806310,2.134903,1.792248,2.117397,2.117397,93699
2020-07-15,2.117414,2.138594,2.110027,2.117310,2.117310,215774
2020-07-16,2.116948,2.131343,2.093315,2.100684,2.100684,293443
2020-07-17,2.100865,2.119209,2.090399,2.103368,2.103368,260864
2020-07-18,2.103068,2.125135,2.095670,2.106326,2.106326,315466
2020-07-19,2.106278,2.123264,2.092003,2.114562,2.114562,317911
2020-07-20,2.117393,2.131411,2.103305,2.105530,2.105530,338544
2020-07-21,2.105605,2.172374,2.101479,2.159891,2.159891,329280
2020-07-22,2.159592,2.206996,2.145732,2.194757,2.194757,257168
2020-07-23,2.194757,2.224211,2.185471,2.210231,2.210231,282486
2020-07-24,2.210231,2.228378,2.184593,2.198755,2.198755,336274
2020-07-25,2.199104,2.238924,2.187270,2.229040,2.229040,337138
2020-07-26,2.228058,2.309721,2.218581,2.282463,2.282463,315578
2020-07-27,2.282520,2.615451,2.282520,2.534645,2.534645,340438
2020-07-28,2.532574,2.585123,2.452697,2.514771,2.514771,387236
2020-07-29,2.515656,2.607721,2.502873,2.559635,2.559635,339945
2020-07-30,2.559635,2.601527,2.508080,2.556992,2.556992,367728
2020-07-31,2.556992,2.633111,2.526174,2.609611,2.609611,351083
2020-08-01,2.609543,2.722682,2.590169,2.713564,2.713564,397230
2020-08-02,2.713303,2.775566,2.534639,2.549593,2.549593,351394
2020-08-03,2.549530,2.636169,2.535376,2.591239,2.591239,356180
2020-08-04,2.590722,2.624901,2.552106,2.580957,2.580957,396446
2020-08-05,2.581228,2.778756,2.567717,2.704667,2.704667,415267
2020-08-06,2.704667,2.793122,2.671857,2.707683,2.707683,400619
2020-08-07,2.707382,2.736110,2.617963,2.667433,2.667433,455937
2020-08-08,2.667459,2.767848,2.655734,2.702680,2.702680,416737
2020-08-09,2.703839,2.712854,2.659020,2.693676,2.693676,408788
2020-08-10,2.693676,2.835924,2.693168,2.737536,2.737536,381337
2020-08-11,2.738283,2.747473,2.574358,2.624050,2.624050,387073
2020-08-12,null,null,null,null,null,null
2020-08-13,null,null,null,null,null,null
2020-08-14,null,null,null,null,null,null
2020-08-15,null,null,null,null,null,null
2020-08-16,2.716586,3.010727,2.701296,3.010727,3.010727,428588
2020-08-17,3.010727,3.137091,2.984426,3.104297,3.104297,410852
2020-08-18,3.103481,3.184443,3.023346,3.040032,3.040032,426385
2020-08-19,3.039988,3.054411,2.960653,2.981977,2.981977,375937
2020-08-20,2.981977,3.033933,2.972142,3.027835,3.027835,415552
2020-08-21,3.027240,3.081755,2.920080,2.922153,2.922153,350355
2020-08-22,2.923703,2.954220,2.896978,2.953184,2.953184,362526
2020-08-23,2.951063,2.966425,2.916428,2.954304,2.954304,410334
2020-08-24,2.953408,2.995474,2.941674,2.977787,2.977787,411446
2020-08-25,2.977025,2.977675,2.850085,2.891005,2.891005,374265
2020-08-26,2.887655,2.941469,2.865746,2.927284,2.927284,447097
2020-08-27,2.926435,2.935710,2.829999,2.864992,2.864992,395654
2020-08-28,2.865047,2.913469,2.863493,2.910827,2.910827,363402
2020-08-29,2.912118,2.931370,2.896008,2.904551,2.904551,339482
2020-08-30,2.902087,2.958322,2.899902,2.958322,2.958322,344758
2020-08-31,2.959524,2.970964,2.929721,2.946147,2.946147,321698
2020-09-01,2.945190,3.042059,2.923536,3.013583,3.013583,343847
2020-09-02,3.013600,3.019037,2.848812,2.880182,2.880182,348800
2020-09-03,2.879112,2.890573,2.562736,2.583597,2.583597,306674
2020-09-04,2.584561,2.683295,2.559016,2.649404,2.649404,325155
2020-09-05,null,null,null,null,null,null
2020-09-06,null,null,null,null,null,null
2020-09-07,null,null,null,null,null,null
2020-09-08,null,null,null,null,null,null
2020-09-09,null,null,null,null,null,null
2020-09-10,null,null,null,null,null,null
2020-09-11,null,null,null,null,null,null
2020-09-12,null,null,null,null,null,null
2020-09-13,null,null,null,null,null,null
2020-09-14,null,null,null,null,null,null
2020-09-15,null,null,null,null,null,null
2020-09-16,null,null,null,null,null,null
2020-09-17,null,null,null,null,null,null
2020-09-18,null,null,null,null,null,null
2020-09-19,null,null,null,null,null,null
2020-09-20,null,null,null,null,null,null
2020-09-21,null,null,null,null,null,null
2020-09-22,2.649208,2.683298,2.636752,2.673562,2.673562,366509
2020-09-23,2.673707,2.673897,2.578629,2.596210,2.596210,295846
2020-09-24,2.596210,2.727719,2.591653,2.719945,2.719945,385264
2020-09-25,2.719855,2.723058,2.669138,2.696209,2.696209,323749
2020-09-26,2.696150,2.717715,2.680159,2.701483,2.701483,330766
2020-09-27,2.701242,2.716122,2.673620,2.714267,2.714267,311849
2020-09-28,2.714267,2.765778,2.708507,2.708938,2.708938,448562
2020-09-29,2.708433,2.734284,2.680627,2.731065,2.731065,371042
2020-09-30,2.730490,2.731624,2.599687,2.715753,2.715753,392045
2020-10-01,2.715460,2.726774,2.586548,2.637554,2.637554,265831
2020-10-02,null,null,null,null,null,null
2020-10-03,null,null,null,null,null,null
2020-10-04,null,null,null,null,null,null
2020-10-05,2.585027,2.595295,2.525247,2.537854,2.537854,266465
2020-10-06,2.538674,2.539098,2.453618,2.458875,2.458875,296600
2020-10-07,2.458776,2.472105,2.425563,2.455460,2.455460,270861
2020-10-08,2.456127,2.540792,2.180708,2.527049,2.527049,294835
2020-10-09,2.530149,2.848026,2.516176,2.571981,2.571981,299289
2020-10-10,2.577262,2.665422,2.541233,2.547406,2.547406,308618
2020-10-11,2.546989,2.575332,2.538692,2.572923,2.572923,296126
2020-10-12,2.572851,2.637056,2.293609,2.603827,2.603827,292689
2020-10-13,2.603900,2.607728,2.554478,2.582639,2.582639,307959
2020-10-14,2.583812,2.621281,2.246983,2.264309,2.264309,277243
2020-10-15,2.264530,2.300476,2.243074,2.285780,2.285780,327513
2020-10-16,2.285831,2.296478,2.200887,2.259771,2.259771,118477
2020-10-17,2.259777,2.272708,2.213634,2.224377,2.224377,210650
2020-10-18,2.224377,2.260621,2.217462,2.260249,2.260249,76816
2020-10-19,2.260157,2.313169,2.226947,2.301494,2.301494,180631
2020-10-20,2.301492,2.351429,2.286599,2.333009,2.333009,185846
2020-10-21,2.333009,2.583171,2.322504,2.511281,2.511281,150085
2020-10-22,2.511523,2.548440,2.468049,2.509730,2.509730,115229
2020-10-23,2.509814,2.526052,2.468499,2.493455,2.493455,210641
2020-10-24,2.494142,2.537067,2.484118,2.532728,2.532728,213619
2020-10-25,2.531893,2.571634,2.455743,2.487230,2.487230,236787
2020-10-26,2.488411,2.533096,2.457432,2.520176,2.520176,236617
2020-10-27,2.520648,2.652950,2.516673,2.630896,2.630896,251743
2020-10-28,2.633966,2.668244,2.492195,2.560286,2.560286,227216
2020-10-29,2.560236,2.710468,2.557574,2.671443,2.671443,315344
2020-10-30,2.671414,2.726159,2.534292,2.613406,2.613406,268259
2020-10-31,2.613440,2.709571,2.595102,2.667305,2.667305,184531
2020-11-01,2.667262,2.691133,2.635972,2.652948,2.652948,188375
2020-11-02,2.653037,2.670398,2.554111,2.612278,2.612278,248546
2020-11-03,2.612416,2.638572,2.527699,2.630311,2.630311,251285
2020-11-04,2.630394,2.698478,2.561834,2.675900,2.675900,150271
2020-11-05,2.677022,2.951139,2.651850,2.922781,2.922781,466078
2020-11-06,2.927178,2.987822,2.857524,2.943641,2.943641,159625
2020-11-07,2.943623,2.980026,2.706268,2.809061,2.809061,122693
2020-11-08,2.809099,2.954913,2.788812,2.923994,2.923994,134743
2020-11-09,2.924131,2.984843,2.808353,2.901908,2.901908,129932
2020-11-10,2.901204,2.941634,2.872859,2.894562,2.894562,112733
2020-11-11,2.894367,3.003455,2.882957,2.960905,2.960905,155225
2020-11-12,2.962670,3.103809,2.922329,3.099804,3.099804,156490
2020-11-13,3.098815,3.135421,3.013482,3.121678,3.121678,112674
2020-11-14,3.121669,3.161253,2.291499,2.530454,2.530454,141199
2020-11-15,2.530578,3.173680,2.483824,3.014683,3.014683,257078
2020-11-16,3.014674,3.302363,2.501855,3.299285,3.299285,79317
2020-11-17,3.286115,3.495526,2.612519,2.754131,2.754131,71018
2020-11-18,2.754243,3.588382,2.749861,3.317018,3.317018,242587
2020-11-19,3.317325,3.525056,2.628040,2.630996,2.630996,249281
2020-11-20,2.630925,3.655739,2.628630,3.467796,3.467796,336371
2020-11-21,3.467658,3.681324,2.900457,3.509973,3.509973,331035
2020-11-22,3.510041,3.621394,2.819876,2.890260,2.890260,270800
2020-11-23,2.890050,2.945153,2.712199,2.888769,2.888769,234065
2020-11-24,2.891243,3.026226,2.777768,2.988939,2.988939,265752
2020-11-25,2.988644,3.029928,2.802454,2.925836,2.925836,278735
2020-11-26,2.925590,2.950280,2.495241,2.674434,2.674434,231856
2020-11-27,2.677933,3.244047,2.606963,3.231911,3.231911,102763
2020-11-28,3.231869,3.358400,2.762874,2.804881,2.804881,129163
2020-11-29,2.804803,3.432313,2.722060,3.393865,3.393865,233745
2020-11-30,3.393727,3.696561,2.795668,3.679885,3.679885,263653
2020-12-01,3.679596,3.716729,2.951529,3.534773,3.534773,159668
2020-12-02,3.534773,3.614512,3.416257,3.571620,3.571620,293359
2020-12-03,3.570880,3.669137,3.503390,3.644080,3.644080,271129
2020-12-04,3.645029,3.657762,3.492006,3.503085,3.503085,333959
2020-12-05,3.492439,3.580065,3.471313,3.576560,3.576560,339605
2020-12-06,3.578095,3.611848,3.489783,3.553468,3.553468,334536
2020-12-07,3.553715,3.591263,3.481476,3.543162,3.543162,341636
2020-12-08,3.542468,3.560917,3.298101,3.309259,3.309259,231509
2020-12-09,3.307873,3.363585,3.238000,3.351127,3.351127,241044
2020-12-10,3.349071,3.349533,3.241089,3.297199,3.297199,236441
2020-12-11,3.297423,3.298772,3.180104,3.258594,3.258594,240035
2020-12-12,3.258865,3.415634,3.257305,3.396325,3.396325,239971
