Date,Open,High,Low,Close,Adj Close,Volume
2020-05-07,0.359139,0.406692,0.298991,0.403437,0.403437,686851
2020-05-08,0.403437,0.411101,0.347821,0.354300,0.354300,969331
2020-05-09,null,null,null,null,null,null
2020-05-10,null,null,null,null,null,null
2020-05-11,null,null,null,null,null,null
2020-05-12,null,null,null,null,null,null
2020-05-13,null,null,null,null,null,null
2020-05-14,null,null,null,null,null,null
2020-05-15,null,null,null,null,null,null
2020-05-16,0.321269,0.337850,0.211950,0.317006,0.317006,1440832
2020-05-17,0.319014,0.340668,0.299796,0.317859,0.317859,1412684
2020-05-18,0.317176,0.335816,0.297297,0.331430,0.331430,1279226
2020-05-19,0.331351,0.331351,0.296070,0.314473,0.314473,1554459
2020-05-20,0.312497,0.323059,0.292417,0.298907,0.298907,1201888
2020-05-21,0.299304,0.312031,0.275759,0.278890,0.278890,727835
2020-05-22,0.278573,0.292738,0.222588,0.241870,0.241870,622126
2020-05-23,0.241722,0.283181,0.240667,0.241331,0.241331,687836
2020-05-24,0.241148,0.246953,0.167742,0.232255,0.232255,586414
2020-05-25,0.231515,0.232654,0.161515,0.162509,0.162509,523697
2020-05-26,0.162396,0.175302,0.119407,0.152799,0.152799,434202
2020-05-27,0.152799,0.198770,0.119018,0.147327,0.147327,415803
2020-05-28,0.147279,0.176013,0.075351,0.108587,0.108587,361880
2020-05-29,0.108631,0.158242,0.080524,0.156520,0.156520,525282
2020-05-30,0.156580,0.159915,0.108849,0.132913,0.132913,667940
2020-05-31,0.132832,0.137017,0.105856,0.119150,0.119150,605239
2020-06-01,0.119105,0.124062,0.109955,0.123717,0.123717,635897
2020-06-02,0.123375,0.127173,0.102126,0.116253,0.116253,553824
2020-06-03,0.116253,0.117383,0.087642,0.109571,0.109571,569850
2020-06-04,0.109008,0.116032,0.104967,0.108674,0.108674,546552
2020-06-05,0.108674,0.110301,0.099804,0.107730,0.107730,518212
2020-06-06,0.107728,0.108909,0.104884,0.105956,0.105956,534182
2020-06-07,0.105956,0.115665,0.096036,0.115504,0.115504,564968
2020-06-08,0.114899,0.143107,0.112777,0.129419,0.129419,572318
2020-06-09,0.130000,0.208634,0.114237,0.207493,0.207493,593980
2020-06-10,0.207490,0.207989,0.141245,0.202807,0.202807,759747
2020-06-11,null,null,null,null,null,null
2020-06-12,null,null,null,null,null,null
2020-06-13,null,null,null,null,null,null
2020-06-14,0.148754,0.150291,0.130754,0.131110,0.131110,565032
2020-06-15,0.131110,0.139887,0.102352,0.137741,0.137741,380813
2020-06-16,0.139100,0.142640,0.121474,0.124678,0.124678,425337
2020-06-17,0.124690,0.131319,0.121222,0.123562,0.123562,411066
2020-06-18,0.123589,0.145864,0.096999,0.114504,0.114504,435387
2020-06-19,0.100150,0.195646,0.081204,0.173227,0.173227,515863
2020-06-20,null,null,null,null,null,null
2020-06-21,0.102172,0.143570,0.084060,0.127131,0.127131,474936
2020-06-22,null,null,null,null,null,null
2020-06-23,0.232001,0.357777,0.108192,0.181177,0.181177,518772
